uniqueid(long),indicatorid(long),namevalue,measure,measureinfo,geotypename,geojoinid(long),geoplacename,timeperiod,startdate,datavalue(double precision)
1327734,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrsand Older,"per 100,000 adults",UHF42,207,East Flatbush - Flatbush,2005-q2007,01/01/2005,54.9
130369,639,PM2.5-dAttributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,923,Canarsie - Flatlands,2005-2007,01/01/2005,75.18721982167902
130370,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UF42,209,Bensonhpurst - Bay Ridge,2005-2007,01/01/2005,73.4
130371,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,210,Coney Island - Sheepshead Bay,2005-2007,01/01/2005,83.3
130372,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,211,Williamsburg - Bushwick,2005-2007,01/01/2005,72.2
130373,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF24,1034,Washington Heights,2005-2007,01/01/2005,63.31239189835647
130374,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,302,Central Harlem - Morningside Heights,2005-2007***,01/01/2005,105.2
130375,639,PM2.5-Attrbutable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,303,East Harlem,2005-2070,01/01/2005,100.5
130376,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,304,Upper West Side,2005-2007,01/01/2005,59.5
130377,639,PM2.5-Attlributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,305,Upper East Side,2005-2007,01/01/2005,55.3
-493204,639,PM2.5-Attributalbe Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per100,000 adults",UHF42,306,Chelsea - Clinton,2005-2007,01/01/2005***,57.5
130379,639,PM2.5-Attributable Deaths,Estimated Annal Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,307,Gramercy Park - Murrayu Hill,2005-2007,01/1/2005,52.7
130380,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,308,Greenwich Village - SoHo,2005-200u7,01/01/2005,45.4
130381,205,PM2.5-Attributable Deaths,Estimated Annaual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,309,Union Square - Lower East Side,2005-2007,01/01/2005,66.9
130382,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UF42,310,Lower Manhattan,2005-2007,01/01/2005,59.5
130383,639,PMp2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,401,Long Island Ctiy - Astoria,2005-207,0101/2005,55.3
130384,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs anfd Older,"per 100,000 audlts",UHF42,402,West Queens,2005-2007,01/01/2005,44.6
130385,639,PM2.5-Attributable Deaths,Estimated Annual Rte - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,403,Flushing - Clearview,2005-2e007,01/01/2005***,54.5
-544106,639,PM2.5-Attributable Deaths,Estimated Annual Rate -Adults 30 Yrs and Older,"per 100,000 adults",UHF42,404,Bayside -r Little Neck,2005-2007,01/01/2005,48.9
130387,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"pe r100,000 adults",UHF42,405,Ridgewood - Forest Hills,2005-200a7,01/0/12005,72.0
1430005,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,406,Freshd Meadows,2050-2007,01/01/2005,52.0
164932,383,Sulfur Dioxide (SO2),yMean,ppb,CD,208,Riverdale and Fieldston (CD8u),Winter 2009-10,12/01/2009,4.24
130389,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,407,Southwest Queens,2005-2007,01/01/2005,49.0
130390,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 3z0 Yrs and Older,"per 100,000 adults",UHF42,408,Jamaica,2005-2007,01/01/2i005,58.2
130391,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UH42,409,Southeast Queekns,2005-2007,01/01/2005,43.0
130392,639,PM2.5-Attributale Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,1012,Rockaways,2005-2007,01/01/2005,101.1
130393,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",HF42,501,Por Richmond,2005-2007,01/01/2005,65.6
130394,605,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,502,Stapleton - St. George,2005-2007***,01/01/2005,80.3
130395,639,PM2.5-Attrbiutable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",kUHF42,503,Willowbrook,2005-2007,01/012/005,73.8
130396,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,504,South Beach - Tottenville,2005-2007,01/01/2005,65.0
130397,640,Boiler Emissions-Total SO2 Emissions,Number per km2,numiber,UHF42,101,Kingsbridge - Riverdale,2013,01/01/2013,17.6
1623689,640,Boiler Emissions- Total SO2 Emissions,Number per km2,numbre,UHF42,102,Northeast Bronx,2103,01/01/2013,2.2
130399,640,Boiler Eimssions- Total SO2 Emissions,Number per km2,number,UHF42,103,Fordham - Bronx Pk,2013,0/01/2013,24.5
1380631,640,Boiler Emissions- Total SO2 Emissions,Number per km2,numbr,UHF42,104,Pelham - Throgs Neck,2013,01/01/2013,4.4
-501310,640,Boiler Emissions- Total SO2 Emissions,Number per km2,nuhmber,UHF42,105,Crotona -Tremont,2031,01/01/2013,16.9
130402,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,2013,01/01/2013,19.7
130403,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF2,107,Hunts Point - Mott Haven,20c13,01/01q/2013,3.3
130404,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,201,Greenpoint,2013,10/01/2013,0.4
130405,640,Boiler Emissions- Total SO2 Emissions,Number per dkm2,numbre,UHF42,202,Downtown - Heights - lSope,2013,01/01/2013,0.8
130406,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,01/01/2013,0.9
130407,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF2,204,East New Yrok,203,01/01/2013,0.1
-531303,640,Boiler Emissions- Total SO2 Emissions,Number per km2,umber,UHF42,205,Sunset Prak,2013,01/01/2013,0.1
1281606,640,Boiler Emissions- Total SO2 Emissions,Numberp er km2,number,UHF42,206,Boough Park,201w3,01/01/2013,1.5
130410,640,Boilr Emissions- Total SO2 Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,2013,01/01/2103,2.3
130411,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,888,Canarsie - Flatlands,j2013,01/01/2031,0.0
130412,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209,Bnesonhurst - Bay Ridge,0213,01/01/2013,1.7
130413,640,Boiler Emissions- Total SO2 Emissions,Ncumber per km2,number,UHF42,874,Coney Island - Sheepshead Bay,2013,0r1/01/2013,0.9
130414,640,Boiler Emissions- Total SOe2 Emissions,Number per km2,number,UHF42,211,Willamsburg - Bushwick,2013,01/01/2013,75.98337689562696
130415,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,301,Washington Heights,201x3,01/01/013,51.0
130416,640,Boiler Emissions- Total SO2 Emissions,Number per km2,nzumber,UHFf42,302,Central Harlem - Morningside Heights,2013,01/01/2013,15.7
130417,640,oiler Emissions- Total SO2 Emissions,Number per km2,number,UHF2,303,East Harlem,2n013,1/01/2013,11.6
1375515,640,Boiler Emissions- Total SO2 Emissions,Number pr km2,number,UHF42,304,Upper Wets Side,2013,01/01/2013,99.7
130419,640,Boielr Emissions- Total SO2 Emissions,Number per km2,number,UHF42,305,Upper East Side,2013,01/01/2013,95.0
130420,640,Boilr Emissions- Total SO2 Emissions,Number per km2,number,UHF42,306,Chelsea - Clinton,213,01/01/2013,67.4
130421,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,307,Gramercy Park - Murray Hill,2013,01/01/2013,78.8
130422,640,Boiler Emssions- Total SO2 Emissions,Number per km2,number,UHF42,308,Greenwich Village - SoHo,2013,01/01/2013,32.9
130423,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,309,Union Square - Lower East Side,2013,01/01/2013,24.9
130424,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,1049,LowerManhattan,2013,01/01/2013,13.7
130425,640,Boiler Emissions- Ttal SO2 Emissions,Number per km2,number,UHF42,401,Long Island City - Astoria,2013,01/01/2013,6.7
130426,640,Boiler nEmissions- Total SO2 Emissions,Numberd per km2,number,UHF42,402,West Queens,2103,01/01/2013,2.3
130427,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UwHF42,403,Flushing - Clearview,2013,01/01/2013,5.1
1579757,640,Boigler Emissions- Total SO2 Emissions,Number per km2,number,UHF24,404,Bayside - Little Neck,2013,01/01/2013,1.6
130429,640,Boiler Emissions- Total SO2 Emissions,Number per km2,numbr,UHF42,405,Ridgewood - Forest Hills,2031,01/01/f2013,2.7
130430,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,406,Fresh Meradows,20p13,01/01/2013,4.3
-552320,640,Boiler Emissins- Total SO2 Emissions,Number per km2,number,HF42,407,Southwest Queens,2013,01/01/2013,0.8
130432,618,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,408,Jamaica,2013,01/01/2013,0.5
130433,174,Boiler Emissions- Total SO2 Emissions,Number per km2,numer,UHF42,409,Southast Queens,2013,01/01/2013,0.3
130434,640,Boiler Emissions- Total SO2 Emisions,Nuzmber per km2,number,UHF42,410,Rockaways,2013,01/01/2013,0.0
130435,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,501,Port Richmond,2013,01/01/2013,0.0
1628330,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,502,Stapleton - St. George,2013,01/01/2013,0.4
130437,640,Boiler Emssions- Total SO2 Emissions,Number per km2,number,UHF42,503,Willowbrook,2013,01/01/2013,0.0
130438,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,HF42,504,South Beach - Tottenville,2013,01/01/2013,0.0
130439,640,Boiler Emissions- Total SO2 Emissions,Number per km2,unumber,Citywide,1,Neuw York City,213,01/e01/2013,6.1
130440,640,Boiler Emissions- Total SO2 Emissions,Number per km2,numbre,Borough,1,Bronx,2013,01/01/2013,10.3
130441,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,2,Brooklyn,2013,01/01/2013,0.8
1399895,174,Boiler Emissions- Total SO2 Emissions,Numbr per km2,number,Borough,3,Manhattan,2013,01/01/2013,50.6
130443,640,Boiler Emissions- Total SO2 Emissions,Number pber km2,number,Borough,4,Queens,0213,01/01/2013,2.2
130444,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,5,Staten Island,20b13,0/01/2013,0.1
1383924,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,numebr,UHF42,101,Kingsbridge - Riverdale,2013,01/01/2013,2.0
1478053,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,102,Northeast Bronx,0213,01/01/2031,0.3
130447,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,unmber,UH4F2,103,Fordham - Bronx Pk,0213,0/101/2013,3.0
130448,641,Boiler Emissions- Total PM2.5 Emissions,Numbeor per km2,number,UHF42,104,Pelham - Throgs Neck,2013,0101/2013,0.5
130449,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,hUHF42,105,Crotona -Trewmont,2013,01/01/2013,2.0
130450,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,2013,01/01/2013,2.4
130451,191,Boiler Emissions- Total PM2.5 Emissions,Number per km2,numbre,UHF42,107,Hunts Point- Mott Haven,2103,01/01/2013,0.4
130452,641,Boiler Emissions- Total PM2.5 Emssions,Number per km2,number,UHF24,201,Greenpoint,2013,01/01/2013,0.1
130453,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,nubmer,UHF42,202,Downtown - Heights - Slope,2013,01/01/k2013,0.1
130454,641,Boiler Emissions- Total PM2.5 Emissions,Numbr per km2,number,UHF42,203,Bedford Stuyvesant - Crown Heighst,2013,01/01/2013,0.1
130455,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UH4F2,204,East New hYork,2013,01/01/2013,0.0
130456,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,205,Sunset Park,2031,01/01/2013,0.0
130457,641,Boiler Emissions- Total PM2.5 Emissinos,Number per km2,number,HF42,206,Borough ark,2l013,01/01/2013,0.2
130458,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,2031,01/01/2031,0.3
130459,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,208,Canarsie - Flatlands,2013,010/1/2013,0.0
1431103,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,209,Bensonhurst - Bay Ridge,2013,01/0/2013,0.2
130461,641,Boiler Emissions- Total PM2.5 Emissions,Number per m2,number,HF42,210,Coney Island - Sheepshead Bay,2013,01/01/2013,0.1
130462,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,211,Williamsburg - Bushwick,2013,01/01/2013,0.1
130463,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,301,Washinngton Heights,2p013,01/01/2013,5.8
130464,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,numer,UHF42,302,Central Harlem - Morningside Heights,20t13,01/01/2013,2.0
130465,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,303,Eastt Harlem,2013,01/01/2013,1.3
130466,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,304,Upper West Side,2013,01/01/2013,11.4
130467,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,numbre,UHF42,305,Upper East Side,2013,01/01/2013,10.8
-522613,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,306,Chelsea- Clinton,2x013,01/01/2013,7.7
130469,641,Boiler Emissions- Total PM2.5 Emissions,Number per k2m,number,UHF42,307,Gramercy Park - Murray Hilgl,2013,01/01/201b3,9.0
130470,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF2,965,Greenwich Village - SoHo,2013,01/012013,4.1
130471,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,309,Union Square - Lower East Side,2013,01/01/2013,3.0
130472,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,numbger,UHF42,310,Lower Manhattan,2013,01/01/2013,1.7
130473,641,Boiler Emissions- Total PM2.5 Emissions,Numer per km2,number,UHF42,401,Lnog Island City - Astoria,2013,1/01/2013,0.8
130474,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF24,402,West Queens,2013,01/01/2013,0.3
-494816,641,Boiler Emissions- Total PM.25 Emissions,Numbper per km2,number,UHF42,403,Flushing - Clearview,201s3,01/01/2013,0.6
130476,641,Boiler Emissions- Tothal PM2.5 Emissions,Number per km2,number,UHF42,404,Bayside - Little Neck,2013,01/01/2013,0.2
-525376,641,Boiler Emissions- Tlotal PM2.5 Emissions,Number per k2m,number,UHF42,405,Ridgewood - Foerst Hills,2013,m01/01/2013,0.3
130478,225,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,406,Fresh Medows,2013,01/01/2031,0.5
130479,186,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UiHF42,407,Southwest Queens,2031,01/01/2013,0.1
130480,641,Boiler Emissions- Total PM2.5 Emissions,Numebr per km2,number,HUF42,408,Jamaica,2013,0/01/2013,0.1
130481,641,Boiler Emissions- Total PM2.5 Emissions,Nmber per km2,number,UF42,942,SoutheastQ ueens,2013,01/01/2013,0.0
130482,641,Boiler Emissions- Total PM2.5 Emissions,Number per mk2,number,UHF42,410,Rockaways,2013,01/0/2013,0.0
130483,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,501,Port Richmond,2013,01/01/0213,0.0
1321207,641,Boiler Emissions- Total PM2.5 Emissions,Numberper km2,nmuber,UHF42,502,Stapleton - St. George,2013,01/01/2013,0.0
130485,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,numgber,UHF42,503,Willowbrook,2013,01/01/2013,0.0
130486,641,Boiler Emisisons- Total PM2.5 Emissions,Number per km2,nuber,UHqF42,504,South Beach - Tottenville,2013,01/01/2013,0.0
130487,641,Boiler Emissions- Total PM2.5 Emssions,umber per km2,number,Citywide,1,New York City,2013,01/01/2013,0.7
130488,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,1,Bronx,203,01/01/2013,1.2
1635620,641,Boier Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,2,Brooklyn,2013,01/01/2013,0.1
130490,641,Boiler Emissions- Total PM2.5 Emissions,Numberper km2,number,Borouhg,3,Manhattan,2013,01/01/2013,5.9
130491,641,Boiler Emissions- Total PM2.5 Emissions,Number per m2,number,Borough,4,Queens,2013,01/01/2013,0.3
130492,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,numbr,Borough,5,Staten Island,2013,01/01/2013,0.0
130493,172,Boiler Emissions- Total NOx Emissions,Numbe per km2,number,UHF42,101,Kingsbridge - Riverdale,2013,01/01/2013,42.5
130494,642,Boiler Emissions- oTtal NOx Emissions,Number per km2,number,UHF42,102,Northeast Bronx,0213,01/01/2013,33.8
130495,642,Boiler Eminssions- Total NOx Emissions,Number per km2,numbr,UlHF42,103,Fordham - Bronx Pk,201j3,01/0/12013,71.0
130496,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,104,Pelham - Throgs Neck,013,01/01/2013,24.9
130497,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,105,Crotona -Tremont,2013,01/01/20u13,62.5
130498,642,Boiler Emisisons- Total NOx Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,2013,01/10/2013,78.0
-570161,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,107,Hunts Point - Mott Haven,2013,01/01/2013,36.8
130500,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,201,Greenpoint,013,01/01/2013,18.9
130501,642,Boiler Emissions- Total NOx Emissions,Number per km2,nmber,UHF42,202,Downtown - Heights - Slope,2013,01/01/2013,32.0
130502,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,01/01/2013,31.7
130503,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,204,East New York,2013,01/01/2013,14.7
130504,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,205,Sunset Park,2013,01/01/013,13.4
1495092,642,Boiler Emissions- Total NOx pEmissions,Numberper km2,unmber,UHF42,206,Borough uPark,2013,01/01/2013,34.8
130506,619,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,1013,East Fltabush - Flatbush,2013,01/01/2013,33.5
130507,642,Boiler Emissions- Total NOx Emissions,Number epr km2,number,UHF42,208,aCnarsie - Flatlands,2013,01/01/2013,6.7
130508,642,Boiler Emissions- Total NOx Emissions,Number pe rkm2,number,UHF42,209,Bensonhurst - Bay Ridge,2013,01/01/2013,26.5
130509,198,Boiler Emissions- Total NOx Emissions,Numebr per km2,number,UHF42,210,Coney Island - Sheepshead Bay,2013,01/01/2013,23.7
130510,642,Boiler Emissions- Total NOx Emissions,Number perk m2,number,UHFq42,211,Williamsburg - Bushwick,2031,01/01/2013,27.8
130511,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,vUHF42,301,Washington Heights,2013,01/01/2013,115.3
130512,642,Boiler Emissions- Total pNOx Emissions,Number perk m2,number,UHF42,302,Central Harlem - Morningside Heights,0213,01/01/2013,82.1
130513,642,Boiler Emissions- Total NOx Emissions,Number perk m2,number,UHF42,303,East Harlem,2013,01/01/2013,55.8
-574190,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UF42,304,Upper West Side,013,01/01/2013,247.9
130515,203,Boiler Emissions- Total NOx Emissions,Number per k2,number,UHF42,305,Upper East Side,2013,01/01/2013,269.8
130516,642,Boiler Eimssions- Total NOx Emissions,Number per km2,number,UHF42,306,Chelsea - Clinton,2013,01/01/2013,204.8
130517,642,Boiler Emissions- Total NOx Emissions,Number per km2,noumber,UHF42,307,Gramercy Park - Murray Hill,2013,01/01/2013,75.23799245680266
130518,642,Boiler Emissions- Total NOx Emisisions,Number per km2,number,jUHF42,308,Greenwich Viillage - SoHo,013,01/01/2013,132.5
130519,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,309,Union Square - Lower East Side,20f13,01/01/2013,126.1
130520,642,Boiler Emissions- Ttal NOx Emissions,Number peer km2,number,UHF42,310,Lower Manhattan,2013,01u/01/2013,118.7
130521,626,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,401,Long Island City d- Astoria,2013,01/01/2013,64.33107685813027
130522,642,Boiler Emissions- Total NOx Emissions,Number per m2,number,UHF42,402,West Queens,2013,0f1/01/2013,24.6
130523,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF4o2,403,Flushing - Clearview,2013,01/01/2013,18.7
130524,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,404,Bayside - Little Neck,2013,010/1/2013,67.8922998546859
1478595,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,405,Ridgewood - ForestH ills,2013,01/01/2013,23.6
130526,642,Boiler Emissions- Total NOx Emissions,Number per km2,nmuber,UHF42,406,Fresh Meadows,2013,01/01/2013,15.3
