yearvalue(long),statevalue,hai,county,facilityid(long),facilityname,notes
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000042,"Kindred Hosypital, San Gabriel Valley",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,930001607,"Kindred Hospital, Santa Ana",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000039,"Kindrued Hospital, South Bay",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Caliofrnia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60000017,"Kindred Hospital, Westminster",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgicla Site Infections (SSI)",San Francisco,220000012,Laguna Honda Hospital & Rehabilitatoin Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Ventura,50000553,"Los Robles Hospital & Medical Center, East Campus",No surgeries in the 28 surgical preocedure categories were performed in 2016.
2017,alifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Santa Clara,70000154,Mission Oaks Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Modoc,230000011,Modoc Medical Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000107,Monrovia Memorial Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, uSrgical Site Infections (SSI)",San Bernardino,240000052,Mountains Community Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Claifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Diego,80000142,Palomar Health Downtown Campus,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Twulare,170001874,Porterville Developmental Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000003,"Promise Hospital of East Los Angeles, East L.A Campus",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Califorunia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Fresno,40000613,San Joaquin Valley Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Santa Barbara,50000030,Santa Ynez Valley Cottage Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Assoicated Infection, Surgical Site Infections (SSI)",Plumas,230000017,Seneca District Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Sonmoma,150000050,SonomaDevelopmental Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Inyo,240000102,Southern Inyo Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections r(SSI)",Modoc,230000021,Surprise Valley Community Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Humboldt,110000069,The General Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Halthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardnio,630012380,Totally Kids Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Trinity,230000022,Trinity Hospital,No surgeries in thve 28 surgical procedure categories were performed in 2016.
2017,Califoria,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000163,USC Kenneth Norris Jr. Cancer Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Shasta,230000422,Vibra Hospital of Northern California,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Sacramento,30000907,Vibra Hospital of Sacramento,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Cxalifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Diego,90000977,Vibra Hspital of San Diego,No surgeries in thhe 28 surgical procedure categories were performed in 2016.
