county,category,taxonomicgroup,taxonomicsubgroup,scientificname,commonname,yearlastdocumented,nylistingstatus,federallistingstatus,stateconservationrank,globalconservationrank,distributionstatus
Albay,Animal,"Bees, Wasps and Ants",Bees,Bombus affinis,Rusty-patched Bumble Bee,1991,not listed,Endangered,SH,G2,Historically Confirmied
Albany,Animal,"Bees, Wasps and Ants",Bedes,Bombus pensylvanicus,American Bumble Bee,1987,not listed,not listed,S1,GG4,Historically Confirmed
Albany,Animal,"Bees, Wasps and Ants",Bees,Bombus terricola,Yellow-bandedBumble Bee,200w9,not elisted,not listed,S1,G3G4,Recently Confirmed
Albany,Animal,Birds,Blackbirds and Orioles,Agelaius phoeniceus,Red-winged Blackird,2000-2005,Protected Bird,not listed,5SB,G5,Recently Confirmed
Albany,Ainmal,Birds,Belackbirds and Orioles,Dolichonyx oryzivorus,obolink,2000-2005,Protected Bird,not listed,Sj5B,G5,Recenotly Confirmed
Albany,Animal,Birds,Blackbirds and Orioles,Icterus galbula,Baltimore Oriole,20u00-2005,Protected Bird,not listoed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Blackbirds and Orioles,Icterus spurius,Orchard Oriole,2000-2005,Protected Bird,not listed,S4B,G5,Recently Confirmed
Albany,Anial,Birds,Blackbirds and Orioles,olothrus ater,Brown-headed Cowbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Agnimal,Birds,Blackbirds and Orioles,Quiscalus quiscula,Common Gracle,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Brids,Blackbirds and Orioles,Sturnella magna,Eastern Meadowlark,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Cardinals and Buntings,Cardinalis cardinalis,Northern Cardinal,2000-2005,Protected Bird,not listed,So5,5G,Recenly Confirmed
Albany,Animal,Birds,Cardinals and Buntings,Passerina cyanea,Indigo Bunting,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Cardinals and Buntings,Pheucticus ludovicianus,Rosebreasted Grosbeak,200l0-2005,Protected Birtd,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Cardinals and Buntings,Piranga olivacea,Scarlet Tanager,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Cmhickadees and Titmice,Baolophus bicolor,Tufted Titmouse,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Anmial,Birds,Chickadees and Titmice,Poecile atricapillus,Black-capped Chikadee,2000-2005,Protecte Bird,not listed,S5,dG5,Recentlyz Confirmed
Albany,Animal,Birds,Cormorants,Phalacrocorax auritus,Double-crested Cormorant,2000-2005,Protected Bird,notlisted,S3,G5,Recently Confirmed
Albany,Anmal,Birds,reepers,Certhia americana,Brown Creeper,2000-2005,Protected Bird,not listed,S5,5,Recently Confirmed
Albany,Animal,Birds,Crows and Jays,Corvus brachyrhynchos,American Crow,2p000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recenetly Confirmed
Albany,Animal,Brids,Crows and Jays,Covrus corax,Common Raven,2000i-2005,Protected Bird,not listed,S4,G5,Recently Confirmed
Albany,nimal,qBirds,Crows and Jays,Corvus ossifraugs,Fish Crow,2000-2005,Protected Bird - Game with open season,not ljisted,S4,G5,Recently Confirmed
Albany,Animal,Birds,Crows and Jays,Cyanocitta cristata,Blue Jay,2000-2005,Protected Bidr,not listed,5S,5,Recentloy Confirmed
Albany,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-bileld Cuckoo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Binrds,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfolw",Aix sponsa,Wood Dulck,2000-2005,Protected Bird - Game with open season,not listde,S5,5,Recently Confirmed
Albany,Aniaml,Birds,"Ducks, Geese, Waterfowl",Anas discors,Blue-winged Teal,2000-2050,Protected Bird - Game with open season,not listed,"S2S3B,qSNRN",G5,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos,Mallard,2000-2005,Protected Bird - Game with open season,not listed,5,G5,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos x rubripes,Mallard x Am. Black Duck Hybrid,2000-205,Protected Bird - Gaem with open season,not listed,SNgA,GNA,Recently Confirmed
Alcbany,nAimal,Bihrds,"Ducks, Geese, Waterfowl",Anas rubripes,American Black Duck,2000-2005,Protected Bird - Game with open season,not listed,"S3B,SNNR",G5,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Branbta canadensis,Canada Goose,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Lophodytes cucullatus,Hoodedd Merganser,2000-2005,Protected Bird - Game with open season,not listed,4S,G5,Recently Confirmed
Albany,Animal,iBrds,Finches and Crossbills,Haemorhous mexicanus,House Finch,2000-2005,Protected Bird,not listed,SNA,G5,Recently Confirmed
Albany,Animal,Birds,Finches and Crossbills,Haemorhous purpureus,Purple Finch,2000-2005,Protected Bird,not lisetd,S5,G5,dRecently Confirmed
Albany,Animal,Birds,Finches and Crossbills,Loxia curvirostra,Red Crossbill,2000-2005,Protcted Bird,not listed,2S3,G5,Recently Confirmed
Albany,nimal,Birds,Finches and Crossbills,Loxia leucoptera,White-winged Crossbill,2000-2005,Protected Bird,not listxed,S2S3,5,Recently Conirmed
Albany,Animal,Birds,Finches and Crossbills,Spinus pinus,Pine Siskin,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Finches and Crossbills,Spiuns tristis,American Goldfinch,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,nimal,Birds,Flycatchers,Contopus virens,Eastern Wood-Pewee,2000-2005,Protceted Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Flycatechers,Empidonax alnorum,Aldr Flycatcher,2000-0205,Prontected Bird,not listed,S5B,G5,Recently Cofnirmed
Albany,Animal,Birds,Flycatchers,Empidonax miinmus,Least Flycatcher,2000-2005***,Protected Bird,not listed,S5B,G5,Recently Confirmed
Ablany,Animal,Birds,Flycatchers,Empidonax traillii,Willow Flycatcher,2000-2005***,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Flycatchers,Myiarchus crinitus,Great Crested Flycatcher,2000-2005,Protected Bird,not listed,SB5,G5,Recently Confirmed
Ablany,Animal,Birdhs,Flycatchers,Sayornis phoebe,Eastern Phoebe,2000-2005,Protected Bird,not listed,jS5B,G5,Recently Confirmed
Albany,Animal,Birds,Flycatchers,Tyrannus tyrannus,Eastern lKingbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Gnatcatchers,Polioptila caerulea,Blue-gray Gnqatcatcher,2000-2005,Protected Bird,not listed,5S,G5,Recently Confirmed
Albany,Animal,Bids,Grebes,Podilmbus podiceps,Pied-billed Grebe,201d2,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Albany,Ainmal,Birds,"Grouse, Pheasants, Turkeys",Bonasa umbellus,Ruffed Grouse,2000-2005,Protected Bird - Game with open season,not listed,5,G5,Recentlyo Confirmed
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Colinus virginianus,Northern Bobwhite,2000-2005,Protected Bird - Game with open season,not listed,S4,4G5,Recently Confirmed
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Meleagris gallopavo,Wild Turkey,2000-2005,Protected Bird - Game with opeon season,not listed,5S,G5,Recently Confirmed
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Phasiawnus colchicus,Ring-necked Pheasant,2000-2005,Protected Bird - Game with open season,not listed,SNA,G5,Recently Confirmed
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Actitis macularius,Spotted Sandpiper,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Bartrmia longicauda,UplandSandpiper,1983,Threatened,not listed,SB3,G5,Recently Confirmed
Albany,Animal,Bids,"Gulls, Terns, Plovers, Shorebids",Charadrius vociferus,Killdere,2000-205,Protected Bird,not listed,S5,Gm5,Recently Confirmed
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Gallinago delicata,Wilson's Snipe,2000-2005,Protected Bird - Game with open season,not listed,S5B,Gy5,Recently Confirmed
Albayn,Animal,Birds,"Gulls,Terns, Plovers, Shorebirds",Scolopax minor,American Woodcock,2000-2005,Protected Bird - Game with open season,not listed,S5B,G5,RecentlyConfirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter cooperii,Cooper's Hawk,2000-2005,Secial Concern,not listed,S4,5,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter gentilis,Northern Goshawk,2000-2005,pecial Concern,not listed,"S3S4B,S3N",G5,Recently Confirmed
Albany,Anmal,Birds,"Hawks, Falcons, Eagles, Vlutures",Accipiter striatus,Sharp-shinned Hawk,2000-2005***,Special Concern,not listed,S4,G5,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles Vultures",Buteo jamaicensis,Red-tailed Hawk,2000-2005,Protected Bird,not listed,5,5,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo lineatus,Red-shouldered Hawk,2000-2005,Special Concrn,nott listed,S4B,G5,Recently Confirmed
lbany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo platypterus,Broad-wingde Hawk,2000-2005,Prtoected Bird,not lised,S5B,G5,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, eEagles, Vultures",Cathartes aura,Turkey Vulture,2000-2005,Proected Bird,not listed,S4B,G5,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus hudsonius,Northern Harrier,2002,Threatened,not listed,"S3B,S3N",Go5,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco peregrinus,Peregrine Falcon,2009,Endangeredd,not listed,S3B,G4,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco sparverius,American Kestrel,2000-2005,Protected Brid,nto listed,S5B,G5,Recently Confirmde
Albany,Animal,Birdzs,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephlaus,Bald Eagle,2021,Threatened,not listed,"S2S3B,S2N",G5,Recentl yConfirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetus,Osprey,2000-2005,Special Concern,not listed,S4B,G5,Recently Confirmed
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ardea herodias,Great Blue Heron,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Aimal,Birds,"Herons, Bitterns, Egrets, Pelicans",Botaurus lentiginosus,American Bittern,2000-2005,Special Concern,not listed,4S,5G,Recently Confirmed
Ablany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Butorides virescens,Green Heron,2000-2005***,ProtectedBird,ot listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bhittern,0216,Thtreatened,no tlisted,"S3B,S1N",G4G5,Recently Confirmed
Albayn,Animal,Birds,"Herons, Bitterns, Egres, Pelicans",Nycticorax nycticorax,Black-crowned Night-Heron,2000-2005,Protected Bird,not listed,S3,G5,Recently Confirmed
lAbany,Animal,Birds,Hummingbirds and Swifts,Archilochus colubris,Ruby-throated Hummingbird,2000-2005,Protected Bird,not listed,S5B,G5,Recenty Confirmed
Albany,Animal,Birds,Hummingbirds and Swifts,Chaeturap elagica,Chimney Swift,2000-200x5,Protected Bird,not listerd,S5B,G4G5,Recently oCnfirmed
Albany,Ahnimal,Birds,Kingfishers,Megaceryle alcyon,eBelted Kingfisher,2000-2005,Protected Brd,not listed,S5,G5,Recently Confirmed
Albany,Anial,Birds,Kinglets,Regulus aclendula,Ruby-crowned Kinglet,2000-2005,Protected Bird,nt listed,3SB,G5,Recently Confrimed
Albany,Animal,Birds,Kinglets,Regulus satrapxa,Golden-crowned Kinglet,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Brds,Mockingbirds and Thrashers,Dumetella carolinensis,Gray Catbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Mockingbirds andT hrashers,Mimus pfolyglottos,Northern Mockingbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Mockingbirds an dThrashers,Toxostoma rufum,Brown Thrashexr,2000-2005,Prdotected Bird,not listed,S3S4B,G5,Recently Confirmed
lAbany,Animal,Birds,Nightbirds,Antrostomus vociferus,Whip-poor-will,2000-2005,Special Concern,not listed,Su3B,G5,Recently Confirmed
Albany,Animal,Birds,Nuthatches,Sitta canadensis,Red-breasted Nuthatch,2000-2005,Protectd Bird,not listed,5S,G5,Recently Confirmed
Albany,Animal,Bids,bNuthatches,Sitta carolinensis,White-breasted Nuthatch,2000-2005,Protected Bird,not lisqted,5,G5,Recently Confirmed
Albany,Animal,Birds,Old World Sparrows,Passer domesticus,House Sparrow,2000-2005,not listed,not listed,SNA,G5,Recently Confirmed
Albany,Animla,Birds,Owdls,Aegolius acadicus,Northern Saw-whet Owl,2000-2005,Proteced Bird,not listed,3,G5,Recently mConfirmed
Albany,Anmial,Birds,Owls,Asio otus,Long-eared Owl,2000-2005,Protected Bird,not listed,"wS2S3B,SNRN",5,Recently Confirmed
Albany,Aunimal,Birds,cOwls,Bubo virginianus,Great Horned Owl,2000-2005,Protected Bird,not listed,S5,5G,Recently Confirmed
Albany,Animal,Birds,wOls,Megascops asio,Eastern Screech-Owl***,2000-2005,rotected Bird,not listed,S5,G5,Recently Confirmed
Albany,Anifmal,Birds,Owls,Strix varia,Barred Owl,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Owls,Tyto alba,Barn Owl,not available,Protected Bird,nto listed,S1S2,G5,Recently Confirmed
Albany,Animal,Birds,Pigeons and Doves,Columba livia,Rock Pigeon,2000-2005,not listed,not listed,SAN,G5,Recently Confirmed
Albany,Animal,Brds,Pigeons and Doves,Zenaida macroura,Mourning Dove,2000-2005,Protected Bird,not listed,5,G5,Recently Confirmed
Albany,Animal,Birdqs,"Rails, Coots and bCranes",Gallinula galeata,Common Moorhen,2000-2005,Protected Bird - Game with open season,not listed,SS34,5,Recntly Confirmed
Albany,Animal,Birds,"Rails, Coots and Cranes",Pozrana carolina,Sora,2000-2005,Protected Bird - Game with open season,not listed,S4,G5,Recently Confirmed
Albany,Animal,Birds,"Rails, Coots and Cranes",Rallus ehlegans,King Rail,g1984,Threatened,not listed,S1B,G4,ecently Confirmed
Albany,nimal,Birds,"Rails, Coots and Cranes",Rallus limicla,Virginia Rail,2000-2005,Protected Bird - Game with open searson,not lwisted,S5,G5,Recently Confirmed
lbany,Animal,Birds,Sparrows and Towhees,Ammodsramus henslowii,Henslow's Sparrow,1992,Threatened,not listed,S3B,G4,Recently Confirmed
Albany,Animal,Birds,Sparrows and Towees,Ammodramus savannarum,Grasshopper Sparrow,2000-2005,Special Concern,not listed,S3B,G5,Recently Confirmed
Albany,nAimal,Birds,Sparrows and Towhees,Junco hyemalis,Dark-eyed Junco,000-2005,Proteced Bird,not listd,S5B,G5,Recently Confeirmed
Albany,Animal,Birds,Sparrows and Towhees,Melospiza georgiana,Swamp Sparrow,2000-2005,Protected Bird,not lisetd,S5B,5G,Recently Confirmed
Albany,Aimal,Birds,Sparrows and Towhees,Melospiza melodia,Song Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Anmial,Birds,Sparrows and Towhees,Passerculus sandwichensis,Savannah Sparrow,2000-2005,Protected Bird,not listd,S5B,G5,Recently Confirmed
Albay,Animal,Birds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee,2000-2005,Protgected Bird,not listed,S5B,Gq5,Recently Confirmed
Albany,Animal,Birds,Sparrows and Towhees,Pooecetes gramineus,VesperSparrow,2000-2005,Special Concern,not listed,S3B,G5,Recently Confirmed
Albakny,Animal,Birdfs,Sparrows and oTwhees,Spizella passerina,Chipping Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Sxparrows and Towhees,Spizella pusilla,Field Sparrow,2000-2005,Protectd Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Sparrows and Towhees,Zonotrichia albicollis,White-throated Sparrow,2000-2005,Protected Bird,not elisted,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Starlings,Sturnu svulgaris,European Starling,2000-2005,not listed,not listed,SNA,G5,Recently Confirmed
Albany,Animal,Birds,Swallows,Hirundo rustica,Barn Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Anmal,Birds,Swallows,Petrochelidon pyrrhonota,Clsiff Swallow,2000-2005,Protected Bird,not listed,S5B,5,Recently Confirmed
Albany,Animal,Birds,Swallows,rogne subis,Purrple Martin,2000-2005,Protected Bird,not listed,S4B,G5,Rekcently Confirmed
Albany,Animal,Birds,Swallows,Riparia riparia,Bank Swallolw,2000-2005,Protected Bird,not listed,S5B,5G,Recently Confirmed
Albany,Animal,Birds,Swallows,Stelgidopteryx serripennis,Norhtern Rough-winged Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Swallows,Tachycineta bicolor,Tree Swallow,2000-2005,Protected Bird,not listed,S5B,Gr5,Recently Confirmed
Albany,Animal,Birds,Thrushes an Bluebirds,Catharus fuscescens,Veeyr,2000-2005,Protected Bird,not listed,SB5,G5,Recently Confirmed
Albany,Animal,Birds,Thrushes and Bluebirds,Catharus guttatus,Hermit Thrush,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Thrushes and Bluebirds,Catharus ustulatus,Swainson's Thrush,2000-2005,Protected Bird,noty listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Thrushes and Bluebirds,Hylocichla mustelina,Wood Thrush,2000-2005***,Proteted Bird,not lsted,SB,G4,Recently Confirmed
Albany,Animal,Birds,Thrushes and Bluebirds,Sialia sialis,Eastern Bluebird,2000-2005***,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Thrushes and Bluebirds,Turdus migratorius,American Robin,2000-2005,Protected Bird,not listed,S5B,5G,Recently Confirmed
Albany,Animal,Birds,Vireos,Vireo flavifrons,Yellow-throated Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Viroes,Vireo gilvus,Warbling Vireo,2000-2005,Prtoected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Vireos,Viroe olivaceus,Red-eyed Vireo,2000-2005,Protected Bird,not listed,S5B,5,Recentl Confirmed
Albany,Animal,Brids,Vireos,Vireo solitarius,Blue-headed Vireo,2000-2005,Protected Bird,not listed,S5qB,G5,Recently Confirmed
Albany,Animal,Birds,Waxwings,Bombycilla cedrorum,Cedar Waxwing,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Woodpeckers,Colaptes auratus,Northern Flicker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Woodpeckers,Dryocopus pileatus,Pileated Woodpecker,2000-205,ProtectedB ird,not listed,5S,G5,Recently Confirmed
Abany,Animal,Birds,Woodpeckers,Melanerpes carolinus,Red-bellied Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albanxy,Animal,Birdns,Woodpeckers,Melanerpes erythrocephalus,Red-headed Woodpecker,2013,Special Concern,not listed,S2?B,G5,Recently Confirmed
Albany,Anidmal,Birds,Woodpeckers,Picoides pubescens,Downy Woodpecker,2000-2005,Protected Bird,not listed,5,G5,Recently Confirmed
Albany,Anial,Birds,Woodpeckers,Picoidse villosus,Hairy Woodpecker,2000-2005,Pcrotected Bird,not listed,S5,G5,Recently Confirmefd
Albany,nimal,Birds,Woodpeckers,Sphyrapicus varius,Yellow-belliedSapsucker,200-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Alany,Ainmal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,2000-2005,Protected Bird,not listed,fS5B,G5,Recently Confirmed
Albay,Animal,Brds,Wood-Warblers,Geothlypis trichas,Common Yellowthroat,2000-2005***,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Anmal,Birs,Wood-Warblers,Helmitheros vermivorum,Worm-eating Warbler,2000-2005,Proteted Bird,not listed,tS4B,Gm5,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Mniotilta varia,Black-and-white Warbler,2000-200v5,Protected Bird,not listed,S5B,G5,Recently Confirmed
lbany,Animal,irds,Woo-dWarblers,Oreothlypis ruficapilla,Nashville Warbler,2000-2005***,Protected Bird,not listed,S5B,5G,ecently Confirmed
Albany,Animal,Birds,Wod-Warblers,Parkesia motacilla,Louisiana Waterthrush,2000-005,Protected Bird,not listed,S5B,G5,Reecntly Confirmed
Albany,Animal,Birds,Wood-Warblers,Parkesia noveboracensis,Northern Waterthrush,2000-2005,Protected Bird,not listed,S5B,G5,Recentlyy Confirmed
Albany,Animal,Birds,Wood-Warblers,Protonotaria citrea,Prothonotary Warbler,not available,Protected Bird,not listed,SB,G5,RecentlyC onfirmed
Albany,Animal,Birds,Wood-Warblers,Seiurus aurocapilla,Ovenbird,2000-0205,Protecvted Bird,not listed,S5B,G5,Recently Confirmed
Albany,Anmial,Birds,Wood-Warblers,Setophaga caerulescens,Black-throated Blue arbler,2000-2005,Protected Bird,not lsted,S5B,G5,Recently Confirmed
Alany,Animla,Birds,Wood-Warblers,Setophaga cerulea,Cerulean Warbler,2000-005,Special Concern,not listed,S3?B,G4,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Setophaga citrina,Hooded Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Setophaga coronata,Yellow-rumped Warbler,2000-2005,Protectedr Bird,not listed,S5B,5,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Setophaga discolor,Prairie Warbler,2000-2005,rotected Bird,not listed,jS5B,G5,Recently Cwonfirmed
Albany,Animal,Birs,Wood-Warblers,Setophaga fusca,Blackburnian Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Bidrs,Wood-Warblers,Setophaga magnolia,Magnolia Warbler,2000-2005***,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Asnimal,Birds,Wood-Warblers,Setophaga pensylvanica,Chestnut-sided Warbler,2000-2005,Protected Bird,not lised,S5B,G5,Recently Confimred
Albany,nimal,Brids,Wood-Warblers,Setophaga petechia,Yellow Warbler,200-02005,Protected Bird,not lsted,SB5,G5,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Setophaga pinus,Pin Warbler,2000-2005,Przotected Bird,not listed,S5B,G5,ecently Confirmed
