OBJECTID,ZCTA5CE10,GlobalID,Zip,ERVisits_Age_0_to_4,ERVisits_Age_5_to_17,TotalChildERVisits,ERVisits_Diabetes_0_17,ERVisits_Asthma_0_17,TotalMedicaidPop0_17,ChildERVisitRate,ChildERVisitRateAsthma,ChildERVisitRateDiabetes
22,48195,bcecc383-91e7-44fb-b680-34f7b8f4f2f3,48195,139,174,313,2,10,1732,180.715935334873,5.77367205542725,1.15473441108545
23,48192,eda664a7-6ab8-4242-acf0-bfcf702a53c5,48192,77,163,240,2,9,1640,146.341463414634,5.48780487804878,1.21951219512195
24,48230,16931875-12e5-46f5-b967-514018122691,48230,,12,12,,1,345,34.7826086956522,2.89855072463768,
25,48187,3179cd64-b758-491c-80cd-727454f6d7bd,48187,106,163,269,4,7,2180,123.394495412844,3.21100917431193,1.8348623853211
26,48225,347f0cfc-dde4-4131-aab7-26110afb1c65,48225,285,198,483,9,20,1530,315.686274509804,13.0718954248366,5.88235294117647
27,48218,3c7b9a51-4d3c-43d6-9bb1-f9775726c8cd,48218,88,51,139,4,9,1724,80.6264501160093,5.22041763341067,2.32018561484919
28,48178,835b6e37-f067-4558-a7cb-0943672b09f3,48178,65,63,128,,3,704,181.818181818182,4.26136363636364,
29,48062,4213c181-ae1b-4cbb-b2ce-0d8a55ef4eab,48062,16,59,75,2,1,859,87.3108265424913,1.16414435389988,2.32828870779977
30,48036,b2d6c8ee-e7c5-4a88-b898-a0dbe59ec95c,48036,160,159,319,7,14,1887,169.051404345522,7.41918388977212,3.70959194488606
31,48312,e1b3f7d6-9844-4c1c-8294-83291c2605cb,48312,115,83,198,,6,1473,134.419551934827,4.07331975560081,
32,48043,db0bf471-366e-4015-ab5e-947c83a2fe05,48043,124,193,317,8,11,1563,202.815099168266,7.03774792066539,5.11836212412028
33,48309,5f93c5ea-ee3a-464c-8d2d-937d55066aa3,48309,59,56,115,1,5,582,197.594501718213,8.59106529209622,1.71821305841924
34,48301,c83f5c63-afb8-44d2-afb8-2591975c5853,48301,4,18,22,2,,285,77.1929824561404,,7.01754385964912
35,48331,72d5af6f-d6c8-4b43-91bc-a3acbdd940f2,48331,22,26,48,4,3,455,105.494505494505,6.59340659340659,8.79120879120879
36,48357,59ddfa90-cf02-4cf0-8508-048d108026fc,48357,25,23,48,,,656,73.1707317073171,,
37,48356,ebc74b06-0606-46fc-a0e2-9cf0b9c3a990,48356,11,11,22,,,209,105.263157894737,,
38,48360,7ef973d0-1cc1-4099-b2b7-3ac93039579a,48360,16,4,20,,,506,39.5256916996047,,
39,48328,8be4d0f4-eda6-4c0a-a79d-1527c56f7582,48328,107,84,191,2,11,2127,89.7978373295722,5.17160319699107,0.940291490362012
40,48205,30551420-72c3-44bd-a764-4c293f44bd75,48205,1021,835,1856,17,113,7529,246.513481206003,15.0086332846328,2.25793598087395
41,48214,7bf9d9d8-dadf-4f7c-bd23-2ea8ca84f679,48214,458,537,995,3,28,2700,368.518518518519,10.3703703703704,1.11111111111111
42,48146,000dd441-8e78-4c5f-acd2-4ba388a01996,48146,492,528,1020,1,33,4839,210.787352758834,6.81959082455053,0.206654267410622
43,48101,4db688f5-3705-4cff-8ff5-c1b795ffb9d4,48101,107,127,234,6,7,1375,170.181818181818,5.09090909090909,4.36363636363636
44,48193,4a44ae11-a5cd-4d3f-93a1-7a9c630a40ab,48193,68,78,146,2,7,1031,141.610087293889,6.78952473326867,1.93986420950533
45,48223,aa601fad-f413-4199-93fc-608f3fb1e81f,48223,513,383,896,4,37,3797,235.975770345009,9.74453515933632,1.05346326046879
46,48217,20a8a37b-b4ae-4b4c-8c41-b18088b00efe,48217,111,72,183,,11,1411,129.695251594614,7.79588944011339,
47,48180,f8b0b3d8-27a7-4d31-9bd6-5cba362e2b27,48180,825,399,1224,16,34,7893,155.074116305587,4.30761434182187,2.02711263144558
48,48185,7169cdd2-d829-46c2-a5b0-3c1655c88680,48185,438,140,578,2,31,4373,132.174708438143,7.08895495083467,0.457351932311914
49,48208,88caabdc-8c13-4b67-947d-de5691d17ed6,48208,266,113,379,2,15,1562,242.637644046095,9.60307298335467,1.28040973111396
50,48096,7d0e3445-4bee-405f-a5a6-817d35c056a8,48096,9,,9,,,148,60.8108108108108,,
51,48313,f1f1c063-f867-4955-9eb4-405d20ff39e8,48313,165,89,254,2,1,2312,109.861591695502,0.432525951557093,0.865051903114187
52,48091,3b9eb69e-4dd3-4784-8412-842b708a10dd,48091,473,524,997,10,56,4310,231.322505800464,12.9930394431555,2.32018561484919
53,48316,ea7bc4bd-3485-479f-a13a-fc610e0f847e,48316,25,78,103,,3,873,117.983963344788,3.43642611683849,
54,48047,1f7942a3-a56d-41d6-a27b-16785945463b,48047,67,117,184,4,6,2103,87.4940561103186,2.85306704707561,1.9020446980504
55,48045,c5a94f98-4622-4bd3-a6c1-3ff3b11730e8,48045,118,52,170,,8,1826,93.0996714129244,4.38116100766703,
56,48397,ce923966-c3c6-4a56-a7c1-ec6ba83952c1,,,,,,,0,,,
57,48340,3f109ee6-caa6-4e36-a6f3-28cf6742a7a8,48340,307,262,569,12,35,5094,111.700039261877,6.87082842559874,2.35571260306243
58,48220,180a74b3-489c-4e2f-979b-f466eb6c2cb5,48220,101,186,287,2,13,2337,122.80701754386,5.56268720581943,0.855798031664527
59,48329,896d777a-cbef-42da-b590-40a4bf594836,48329,50,44,94,,3,1436,65.4596100278551,2.0891364902507,
60,48076,5bef5e4f-21bf-4638-bd6e-a6017d5ee82f,48076,134,270,404,2,13,1900,212.631578947368,6.84210526315789,1.05263157894737
61,48393,a4970535-a144-485f-a851-9eb3065cc81e,48393,79,74,153,6,5,1258,121.621621621622,3.97456279809221,4.76947535771065
62,48359,b781c521-5a8b-44ba-a24f-662a43acd4ac,48359,42,27,69,2,3,666,103.603603603604,4.5045045045045,3.003003003003
63,48167,095dbdc6-5b67-4399-813e-d26eef1b9cfd,48167,64,13,77,,6,556,138.489208633094,10.7913669064748,
64,48070,f6095edd-c1b3-448c-ae8d-5ef943982a6b,,,,,,,45,,,
65,48207,515caa8e-5097-4bb9-a8df-a141a1364c17,48207,462,348,810,5,66,2850,284.210526315789,23.1578947368421,1.75438596491228
66,48174,5e7603d4-d786-4ecf-bdd7-38b72688ef53,48174,306,243,549,8,24,3799,144.511713608844,6.31745196104238,2.10581732034746
67,48188,7028fda9-72c8-47f0-ace4-989235bb66eb,48188,46,47,93,2,6,1831,50.791916985254,3.27689787001638,1.09229929000546
68,48126,7e8bb135-58b5-4e9c-a474-cc5730c3b359,48126,1216,678,1894,24,34,12552,150.892288081581,2.7087316762269,1.91204588910134
69,48228,f46761ea-c566-47b2-9665-4aeffc9b381f,48228,1278,847,2125,30,104,12117,175.373442271189,8.58298258644879,2.47586036147561
70,48219,8f12e850-ef27-4e32-b5a0-73e3b35ca5c9,48219,855,996,1851,27,119,7895,234.452184927169,15.0728309056365,3.41988600379987
71,48203,0bd41480-95d6-4e7b-b3d4-24b9a5d79a22,48203,620,653,1273,21,82,3745,339.919893190921,21.8958611481976,5.60747663551402
72,48138,bdf2bbc3-185e-4228-8058-fae51234926b,48138,19,6,25,,,116,215.51724137931,,
73,48233,cbb73d38-71b3-4486-9bcc-47367563a7e2,,,,,,,0,,,
74,48134,a180cd56-7dea-42b9-893d-bca612c2acfb,48134,209,121,330,2,11,1222,270.049099836334,9.00163666121113,1.6366612111293
75,48111,6b9ddc51-e364-4e58-82c2-61d372370437,48111,323,207,530,8,26,4359,121.587520073411,5.96467079605414,1.83528332186281
76,48341,cbf210e3-e38f-463b-b0ae-743b92aa4d5b,48341,218,230,448,1,27,2234,200.53715308863,12.0859444941808,0.44762757385855
77,48302,739f3f00-cc9c-4c94-87f5-a74fd717bcbf,48302,57,15,72,,,154,467.532467532468,,
78,48304,8252eff5-7958-4737-9872-ee51052c0883,48304,,7,7,,,349,20.0573065902579,,
79,48348,d6701598-eb99-4600-b0b1-45cf072cfd2c,48348,44,63,107,,1,1070,100,0.934579439252336,
80,48346,ae07966e-4dc5-4ff5-b69d-38a2c3337426,48346,106,38,144,2,4,1278,112.676056338028,3.12989045383412,1.56494522691706
81,48237,d2318989-0770-433f-a759-7550c692ce86,48237,322,325,647,4,31,3299,196.120036374659,9.39678690512276,1.21248863291907
82,48025,23bb78c9-65e1-43f1-93c3-fd04349229f1,48025,6,,6,,,129,46.5116279069767,,
83,48017,7b939815-8b81-4ed1-8888-d68cf14b901f,48017,45,29,74,,,346,213.872832369942,,
84,48005,6bf3aad7-ad53-4171-ae5a-2e500b0b922c,48005,26,31,57,,,148,385.135135135135,,
85,48211,327a2acd-e5d8-408e-91dd-dee06b8ab05b,48211,160,125,285,8,15,1272,224.056603773585,11.7924528301887,6.28930817610063
86,48120,ebcaefbe-0bd8-43d2-bebd-bdcc199d096a,48120,189,182,371,2,8,1252,296.325878594249,6.38977635782748,1.59744408945687
87,48201,2566bcdc-97ea-4e71-8d24-1d958a779727,48201,463,184,647,,29,1200,539.166666666667,24.1666666666667,
88,48127,c12f09d8-de47-4652-8d83-23c77ab49d72,48127,253,190,443,3,9,4764,92.9890848026868,1.88916876574307,0.629722921914358
89,48442,55190b1d-4212-421c-a45b-fbc1075ed976,48442,72,89,161,,3,1262,127.575277337559,2.37717908082409,
90,48314,15bde746-315b-4048-adf8-34ba39a26445,48314,72,150,222,3,5,1031,215.324927255092,4.84966052376334,2.909796314258
91,48038,cdd759f1-5579-411e-800d-58231abebe2f,48038,102,89,191,,11,1762,108.399545970488,6.24290578887628,
92,48026,f4fdeb0f-3ab5-46e9-aeb3-6620205b4616,48026,64,49,113,1,2,787,143.583227445997,2.54129606099111,1.27064803049555
93,48386,e5a78856-566f-4b80-8e8f-3331e459d039,48386,68,19,87,,2,579,150.259067357513,3.45423143350604,
94,48326,9f42a94f-a3ad-48f2-b89a-b40205c2ec9d,48326,113,71,184,,2,1307,140.780413159908,1.53022188217291,
95,48390,b5dfe9f2-bc2c-4da0-ada8-a6bd115092c2,48390,43,63,106,4,4,1108,95.6678700361011,3.6101083032491,3.6101083032491
96,48374,bbd2dccc-2203-4c69-9b02-86d9a02f5701,48374,73,8,81,,3,565,143.362831858407,5.30973451327434,
97,48377,ea90317c-c373-4d03-ac6a-d62b332b595c,48377,73,60,133,,6,882,150.793650793651,6.80272108843537,
98,48342,a8dac103-2307-4760-ae03-6b38a48ace2b,48342,482,244,726,2,16,4282,169.546940681924,3.73657169546941,0.467071461933676
99,48327,38fecbbc-ac5c-493f-8848-a935227b9463,48327,107,49,156,2,,1385,112.635379061372,,1.44404332129964
100,48367,85ff3e03-ad5c-4add-b5fa-abfdf9f92f07,48367,9,22,31,,,319,97.1786833855799,,
101,48204,874c4408-24bd-44c8-930a-6ff68d5f7faf,48204,745,322,1067,,50,4901,217.710671291573,10.20199959192,
102,48173,6e22ac28-80a5-4c7b-af24-45728c4b4214,48173,35,44,79,2,,470,168.085106382979,,4.25531914893617
103,48141,5e6379f5-c8d1-4424-a060-6b98e6b00f6e,48141,272,597,869,14,42,5127,169.494831285352,8.19192510239906,2.73064170079969
104,48229,00c597c4-5798-4c71-ae84-f0a1f7da2f1d,48229,166,184,350,2,22,2066,169.409486931268,10.648596321394,0.968054211035818
105,48184,0a9d67cc-813a-4047-873c-567ad1092b48,48184,95,123,218,,11,2025,107.654320987654,5.4320987654321,
106,48243,9cbaa90f-7f89-40f6-abd4-bb92a9e3735a,,,,,,,0,,,
107,48186,969933e4-2e0f-41ea-b7b8-60b56373f589,48186,324,284,608,8,33,3288,184.914841849148,10.036496350365,2.4330900243309
108,48226,2a8d0306-201d-469d-a0a3-f155f483fbf8,48226,3,16,19,1,1,112,169.642857142857,8.92857142857143,8.92857142857143
109,48462,a0756d64-d9c9-4c43-8f60-33c12b74f3ac,48462,33,7,40,,2,740,54.0540540540541,2.7027027027027,
110,48066,f3bdb0ae-667f-424f-b5c4-4322cf4db4a9,48066,467,391,858,4,28,5079,168.930891907856,5.51289623941721,0.78755660563103
111,48310,09d6eefc-ad77-4b10-8533-d7dd121499d3,48310,290,219,509,2,10,3833,132.794156013566,2.6089225150013,0.521784503000261
112,48092,4c34a3ed-25e6-4795-a04e-18dfe67322e1,48092,300,95,395,2,8,2444,161.620294599018,3.27332242225859,0.818330605564648
113,48051,6f378e7f-fe08-4a4e-a2cb-3d9baa521710,48051,96,84,180,,1,1767,101.867572156197,0.565930956423316,
114,48164,0973dfca-24a9-4582-b1c1-514f6397e3d8,48164,25,23,48,,,393,122.137404580153,,
115,48370,2c40e4e3-6e18-4405-857b-88fef4aa8961,,,,,,,59,,,
116,48307,d68dfffc-fd24-497a-8802-20f3631f3994,48307,98,47,145,1,5,1660,87.3493975903614,3.01204819277108,0.602409638554217
117,48382,a87bd0ed-b367-4b8a-8e60-d5adc4cd2fa1,48382,13,45,58,,4,814,71.2530712530713,4.91400491400491,
118,48336,e845c342-52f6-45e9-8d3e-453f122e464a,48336,122,75,197,3,1,1488,132.39247311828,0.672043010752688,2.01612903225806
119,48334,fe8ba971-9597-4d72-a8f8-2ba51730a1c8,48334,25,51,76,,2,706,107.648725212465,2.8328611898017,
120,48030,2af5dc56-f9ea-4369-a293-9bbf40d7647a,48030,232,280,512,2,10,2064,248.062015503876,4.84496124031008,0.968992248062015
121,48324,86f54390-61f9-453e-aea7-4eb6264a5893,48324,14,116,130,2,7,690,188.405797101449,10.1449275362319,2.89855072463768
122,48362,e0874865-97d0-435a-81e5-a20924d351f7,48362,47,29,76,,2,720,105.555555555556,2.77777777777778,
123,48350,3ddc1ae6-3b43-478d-b995-7452af2b7e79,48350,36,10,46,,4,453,101.545253863135,8.83002207505519,
124,48084,802b9473-6fae-4233-a1cf-707ef8a11a0a,48084,14,5,19,,2,163,116.564417177914,12.2699386503067,
125,48072,5853af17-7789-4780-924a-009672158a23,48072,29,53,82,6,5,482,170.124481327801,10.3734439834025,12.448132780083
126,48009,34b47936-6958-4719-b74d-99280459cc81,48009,37,4,41,,,164,250,,
127,48168,91f6215f-9e27-4651-a3ad-dc48c88fe747,48168,12,4,16,,,390,41.025641025641,,
128,48170,1bd23d4b-f437-444c-b821-839f0ee8a156,48170,29,14,43,,1,992,43.3467741935484,1.00806451612903,
129,48224,db949bed-278b-4504-9c38-00d2ccfe8216,48224,1001,1231,2232,29,149,9324,239.382239382239,15.980265980266,3.11025311025311
130,48209,89ca4419-70fd-4d2e-9691-2f3088f89b6d,48209,967,477,1444,3,49,9268,155.804920155373,5.28700906344411,0.323694432455762
131,48212,dcf405ad-12d2-4bc0-8193-89211ece91cf,48212,1246,801,2047,5,59,9309,219.894725534429,6.33795251906757,0.537114620259963
132,48239,35e601e9-6b29-4902-a446-90aa5fd3c183,48239,236,277,513,4,28,3644,140.779363336992,7.68386388583974,1.09769484083425
133,48093,14d5232b-ce69-4433-9eef-87e075f1de3e,48093,69,80,149,,3,1448,102.900552486188,2.07182320441989,
134,48042,eeed686a-89cb-4c56-b10d-b984f246090b,48042,37,46,83,,,528,157.19696969697,,
135,48080,eb22bd61-a5a7-4744-a26f-989a162be102,48080,114,60,174,,9,1044,166.666666666667,8.62068965517241,
136,48095,b121c0af-fc05-4710-8e1f-b77fb8c2fc3c,,,,,,,188,,,
137,48306,5ae3c6ac-dece-4e90-9e4c-f18b59ba64c0,48306,7,9,16,,1,312,51.2820512820513,3.2051282051282,
138,48071,6595fdd6-980c-42f9-9501-5a18334d72a6,48071,188,167,355,2,15,2614,135.807192042846,5.73833205814843,0.765110941086457
139,48375,3ed41bc0-f9d9-48d8-81fb-d07d81c18a3f,48375,19,28,47,,2,616,76.2987012987013,3.24675324675325,
140,48067,359509c2-523a-40c0-a7ae-5c17167f21c3,48067,27,14,41,3,5,512,80.078125,9.765625,5.859375
141,48034,414ea769-969a-4d13-9dcc-f7e2d58c39ed,48034,202,140,342,1,18,1370,249.63503649635,13.1386861313869,0.72992700729927
142,48033,5bb87665-d22f-4ac9-a94b-f3a50f40a777,48033,124,45,169,4,8,1427,118.430273300631,5.60616678346181,2.8030833917309
143,48075,cbd9278b-32b3-4a9c-874c-25bc47c5d688,48075,208,45,253,3,8,1473,171.758316361168,5.43109300746775,2.03665987780041
144,48085,5750f95b-367f-4646-b391-5a5fc3f14cb9,48085,31,64,95,2,2,839,113.230035756853,2.38379022646007,2.38379022646007
145,48322,74fa6a69-21ad-48cd-8ddf-7fd336b77f6d,48322,54,29,83,,2,1070,77.5700934579439,1.86915887850467,
146,48069,b05a89fd-6c5e-4760-80e5-df9714d63497,,,,,,,25,,,
147,48206,46da7d77-2f7a-4543-872c-07f5662705b0,48206,499,242,741,8,36,3493,212.138562839966,10.3063269395935,2.29029487546522
148,48135,19401156-3d89-465d-bfdf-13f4ed959467,48135,74,102,176,4,3,2346,75.0213128729753,1.27877237851662,1.70502983802217
149,48150,1e81350a-8ec4-492f-b2b2-8c7283095346,48150,38,59,97,,1,1077,90.0649953574745,0.928505106778087,
150,48152,ab23fc64-f2e2-482f-8763-4a711583b8b0,48152,167,83,250,,8,1430,174.825174825175,5.59440559440559,
151,48242,2363764d-643a-4a7d-a00b-6e18af58a2c6,,,,,,,0,,,
152,48238,b2cdb565-0e77-40e8-aece-932343eb0173,48238,737,631,1368,25,80,5705,239.789658194566,14.022787028922,4.38212094653812
153,48122,da216295-8579-4ae1-8c37-8a08375a3f0f,48122,213,115,328,,5,1492,219.839142091153,3.35120643431635,
154,48021,73da6041-d018-42bf-a8d4-dac87c1aefb9,48021,435,277,712,6,41,4452,159.928122192273,9.20934411500449,1.34770889487871
155,48035,40486b78-8499-49db-9695-9e198d13d149,48035,189,197,386,3,18,3359,114.91515331944,5.35873771955939,0.893122953259899
156,48044,e415b9dc-dd8c-4d2a-b349-b1c7befa8684,48044,109,52,161,,7,2998,53.7024683122081,2.33488992661775,
157,48094,b0121ec2-69a0-4715-9a6d-0ef36cb14f6e,48094,25,39,64,4,,1078,59.3692022263451,,3.71057513914657
158,48089,1e04409a-9675-4e62-abed-97efbb6ff043,48089,446,375,821,12,39,5031,163.188232955675,7.75193798449612,2.38521168753727
159,48065,405a6e39-4383-4762-ae28-9f829789a04f,48065,48,34,82,1,5,662,123.867069486405,7.55287009063444,1.51057401812689
160,48050,23ed23eb-22bf-4833-b68c-9c56069400ce,48050,30,,30,,,24,1250,,
161,48015,f380a03e-91d6-4e67-929a-cdeb742a60e2,48015,60,35,95,,5,1197,79.3650793650794,4.17710944026734,
162,48082,a9077999-5b60-478d-8177-a4d27287ee00,48082,15,20,35,,,1069,32.7408793264733,,
163,48323,d281dfd0-affc-4951-94e5-b4ba70d1ba61,48323,38,29,67,,1,416,161.057692307692,2.40384615384615,
164,48098,65adc78b-8ef0-468b-8f44-651e68e2e3c8,48098,43,26,69,,,215,320.930232558139,,
165,48381,d30a3d93-d42c-4d7f-8bde-81d6e43daa41,48381,29,43,72,,2,636,113.207547169811,3.14465408805031,
166,48234,d8a61178-f7a7-4872-bfaf-ada8ef6cf8c7,48234,899,642,1541,16,84,6089,253.079323370011,13.7953686976515,2.62768927574314
167,48210,d0e0ed32-49ca-4111-866b-d7f257d2fa3a,48210,1041,525,1566,3,53,8932,175.324675324675,5.93372145096283,0.335871025526198
168,48202,b543993a-e728-4291-929d-bb1e2eb79764,48202,312,205,517,5,31,1481,349.088453747468,20.9318028359217,3.37609723160027
169,48235,d03aebae-0b00-48fd-a455-af3de7502d8c,48235,806,695,1501,13,70,7784,192.831449126413,8.99280575539568,1.67009249743063
170,48124,457b80ec-3004-4f8e-abc7-333ef7c433d4,48124,183,115,298,2,4,1474,202.170963364993,2.71370420624152,1.35685210312076
171,48183,91f8595a-dab1-44d9-b073-5d82a2f40897,48183,184,242,426,7,6,2267,187.913542126158,2.64666960741068,3.08778120864579
172,48154,a9c67d2a-948e-422c-a43f-3361656dcafe,48154,5,76,81,,3,1089,74.3801652892562,2.75482093663912,
173,48240,d8161f90-1f32-415b-9dae-1a31ccb215b0,48240,187,195,382,2,21,1691,225.901833234772,12.4186871673566,1.18273211117682
174,48125,0e161ce6-0732-42e9-9429-f6bb943c8932,48125,182,108,290,7,6,2242,129.348795718109,2.67618198037467,3.12221231043711
