ID,Zip_Code,Tenant_Age,Tenant_Gender,Tenant_Race,Hispanic_Y_N,Month_s__Covered,Verified_Monthly_Income,F__in_house__hold,Amount_Paid,Date_Paid,Council_District,ObjectId
507,40210,57,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,19200,1,2550,5/12/2022,6,53
45,40211,32,Female,African American,Non-Hispanic,Dec deposit and pro-rated rent,,4,540,12/13/2021,1,54
522,40210,57,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,22200,1,2040,5/12/2022,4,55
308,40211,52,Female,African American,Non-Hispanic,dep/Sept/Oct,1400,2,3000,12/13/2021,5,56
384,40214,29,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,4200,3,2400,5/12/2022,21,57
159,40211,66,Male,African American,Non-Hispanic,Dec deposit,0,1,775,12/13/2021,4,58
433,40214,48,Female,White,Non-Hispanic,Deposit + 2 Months Rent,10116,1,1144,5/12/2022,21,59
152,40212,32,Female,White,Non-Hispanic,Dec deposit and rent,0,3,100,12/13/2021,5,60
474,40219,52,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,14800,2,1624,5/12/2022,24,61
155,40210,47,Female,African American,Non-Hispanic,Dec deposit and rent,0,4,143.87,12/13/2021,4,62
182,40219,45,Female,White,Non-Hispanic,Deposit Only,0,2,200,5/12/2022,24,63
150,40203,34,Female,White,Hispanic,Dec deposit and rent,0,5,288.93,12/13/2021,4,64
561,40218,33,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,28200,4,2288,5/12/2022,2,65
22,40215,32,Female,White,Non-Hispanic,deposit / december / january,,6,4800,12/13/2021,15,66
161,40203,55,Male,African American,Non-Hispanic,Dec deposit and rent,0,1,100,12/13/2021,4,67
154,40203,42,Female,White,Non-Hispanic,Dec deposit and rent,0,2,75.47,12/13/2021,6,68
624,40208,58,Female,White,Non-Hispanic,deposit / December,1087,1,1300,12/13/2021,6,69
153,40217,55,Male,African American,Non-Hispanic,Dec deposit and rent,0,1,117.3,12/13/2021,15,70
149,40206,33,Female,White,Non-Hispanic,December deposit,0,3,100,12/13/2021,4,71
151,40206,24,Female,African American,Non-Hispanic,Dec deposit and rent,0,5,138.73,12/13/2021,9,72
375,40203,31,Female,White,Non-Hispanic,dep/Dec/Jan,3200,3,3000,12/13/2021,4,73
20,40258,35,Female,African American,Non-Hispanic,deposit / december ,,2,1130,12/10/2021,1,74
358,40272,39,Female,African American,Non-Hispanic,deposit / december / january,2700,4,2700,12/10/2021,25,75
51,40214,39,Female,White,Non-Hispanic,deposit / december,,6,2200,12/10/2021,25,76
43,40211,39,Female,African American,Non-Hispanic,deposit / december / january,,2,1506.66,12/10/2021,4,77
503,40258,27,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,19200,4,3000,5/5/2022,14,78
420,40258,41,Male,White,Non-Hispanic,Deposit + 2 Months Rent,10092,4,3900,5/5/2022,14,79
412,40211,67,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,9960,1,639,5/5/2022,5,80
472,40212,38,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,14400,4,2700,5/5/2022,5,81
457,40211,63,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,12468,1,2100,5/5/2022,1,82
562,40211,28,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,28340.52,4,2460,5/5/2022,4,83
487,40210,34,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,16800,2,2670,5/5/2022,5,84
556,40203,32,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,27000,4,2300,5/5/2022,5,85
485,40215,27,Female,Mixed Race,Non-Hispanic,Deposit + 2 Months Rent,16344,1,2225,5/5/2022,3,86
176,40214,53,Female,White,Non-Hispanic,Deposit Only,0,1,943,5/5/2022,21,87
450,40208,30,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,11700,1,3413,5/5/2022,6,88
577,40214,36,Female,White,Non-Hispanic,Deposit + 2 Months Rent,31200,2,3027,5/5/2022,21,89
492,40203,38,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,17292,4,1784,5/5/2022,4,90
519,40208,39,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,21600,1,3700,5/5/2022,9,91
572,40218,32,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,30276,6,2559,5/5/2022,2,92
565,40229,34,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,28800,3,4800,5/5/2022,23,93
603,40220,42,Female,Mixed Race,Hispanic,Deposit + 2 Months Rent,38000,3,2950,5/5/2022,10,94
195,40272,34,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,0,3,2894,4/28/2022,25,95
546,40216,26,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,25920,2,1902,4/28/2022,12,96
563,40212,39,Female,White,Non-Hispanic,Deposit + 2 Months Rent,28800,3,2550,4/28/2022,5,97
471,40211,67,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,14400,1,2355,4/28/2022,5,98
439,40216,64,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10332,1,1288,4/28/2022,3,99
482,40212,53,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,15840,1,2430,4/28/2022,5,100
386,40258,27,Female,White,Non-Hispanic,Deposit + 2 Months Rent,4500,2,1030,4/7/2022,1,101
588,40212,41,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,33600,4,1800,4/7/2022,5,102
408,40214,25,Female,African American,Non-Hispanic,Deposit Only,9600,2,665,4/7/2022,25,103
211,40211,29,Female,African American,Non-Hispanic,Deposit Only,0,5,400,4/7/2022,1,104
409,40211,62,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,9600,1,2250,4/7/2022,5,105
558,40216,57,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,27600,1,2240,4/7/2022,15,106
387,40210,26,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,5000,2,2400,4/7/2022,6,107
406,40216,34,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,9528,1,1702,4/7/2022,3,108
606,40210,45,Male,White,Non-Hispanic,Deposit + 2 Months Rent,38400,1,1800,4/7/2022,6,109
451,40210,56,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,11712,1,1950,4/7/2022,4,110
449,40203,58,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,11414,1,734,4/7/2022,4,111
486,40210,37,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,16728,3,1669,4/7/2022,4,112
501,40214,42,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,18900,2,2090,4/7/2022,25,113
188,40214,32,Female,White,Non-Hispanic,Deposit + 2 Months Rent,0,1,832,4/7/2022,21,114
381,40203,59,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,3500,4,4400,4/7/2022,6,115
612,40204,45,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,42000,1,2550,4/7/2022,8,116
435,40219,61,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,10320,1,896,4/7/2022,2,117
620,40212,39,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,49359,3,3600,3/30/2022,5,118
197,40214,42,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,0,1,1036,3/30/2022,25,119
497,40212,52,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,18000,1,1800,3/30/2022,5,120
436,40216,59,Male,White,Non-Hispanic,Deposit + 2 Months Rent,10332,1,1396,3/30/2022,3,121
540,40210,31,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,25000,1,2670,3/30/2022,5,122
418,40210,42,Female,White,Non-Hispanic,Deposit + 2 Months Rent,10080,4,2018,3/30/2022,1,123
285,40215,31,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,1000,3,1384,3/30/2022,3,124
601,40212,34,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,37000,4,2940,3/30/2022,5,125
354,40214,28,Female,African American,Non-Hispanic,Deposit Only,2500,5,500,3/30/2022,25,126
190,40212,39,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,0,2,1370,3/30/2022,5,127
191,40203,30,Female,Others,Non-Hispanic,Deposit + 2 Months Rent,0,1,1051.1,3/30/2022,4,128
477,40203,29,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,15000,1,1732,3/30/2022,4,129
473,40204,42,Male,Others,Hispanic,Deposit + 2 Months Rent,14628,1,2948,3/30/2022,8,130
179,40207,31,Female,White,Non-Hispanic,Deposit Only,0,1,925,3/30/2022,9,131
208,40216,27,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,0,3,961,3/24/2022,1,132
437,40211,67,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10332,1,636,3/24/2022,5,133
465,40212,54,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,13692,3,1502,3/24/2022,5,134
432,40211,62,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10092,2,1755,3/24/2022,5,135
568,40211,32,Female,White,Non-Hispanic,Deposit + 2 Months Rent,29000,2,3000,3/24/2022,1,136
608,40216,55,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,39000,1,1920,3/24/2022,3,137
592,40212,52,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,35000,1,3600,3/24/2022,5,138
537,40212,31,Female,White,Non-Hispanic,Deposit + 2 Months Rent,24000,3,2350,3/24/2022,5,139
423,40212,63,Female,White,Non-Hispanic,Deposit + 2 Months Rent,10092,1,2400,3/24/2022,5,140
202,40210,41,Male,African American,Non-Hispanic,Deposit Only,0,1,1596,3/24/2022,6,141
469,40203,53,Female,White,Non-Hispanic,Deposit + 2 Months Rent,14280,1,1700,3/24/2022,5,142
464,40214,64,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,13512,1,1548,3/24/2022,21,143
407,40203,51,Female,White,Non-Hispanic,Deposit + 2 Months Rent,9552,1,395.33,3/24/2022,6,144
478,40214,43,Female,White,Non-Hispanic,Deposit + 2 Months Rent,15000,2,2162,3/24/2022,21,145
544,40214,28,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,25272,1,2394,3/24/2022,21,146
185,40203,55,Female,African American,Non-Hispanic,Deposit Only,0,1,100,3/24/2022,4,147
610,40202,43,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,40931.64,1,1861.78,3/24/2022,4,148
422,40219,59,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10092,1,1222,3/24/2022,21,149
518,40223,37,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,21120,3,4844,3/24/2022,18,150
525,40215,42,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,22636,1,1630,4/28/2022,3,151
495,40215,33,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,18000,4,2180,4/28/2022,3,152
570,40211,35,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,30000,2,2565,4/28/2022,5,153
549,40212,62,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,26400,1,2625,4/28/2022,5,154
520,40211,53,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,21600,6,2580,4/28/2022,4,155
198,40215,32,Female,African American,Non-Hispanic,Deposit Only,0,4,1200,4/28/2022,15,156
509,40210,52,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,19200,1,2625,4/28/2022,6,157
538,40212,51,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,24000,1,3600,4/28/2022,5,158
416,40210,40,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10042,1,2250,4/28/2022,6,159
528,40203,37,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,23000,1,1250,4/28/2022,5,160
391,40210,33,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,7840,4,1441,4/28/2022,4,161
398,40218,49,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,9108,1,2400,4/28/2022,6,162
461,40214,32,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,13200,3,2550,4/28/2022,21,163
613,40219,27,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,42996,1,3600,4/28/2022,24,164
571,40218,21,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,30000,1,1974,4/28/2022,10,165
427,40220,27,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10092,2,688,4/28/2022,26,166
559,40299,29,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,27600,4,4315.97,4/28/2022,11,167
205,0,59,Female,African American,Non-Hispanic,Deposit Only,0,1,500,4/28/2022,14,168
458,40258,47,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,12588,1,1256,4/21/2022,14,169
206,40216,43,Female,African American,Non-Hispanic,Deposit Only,0,1,650,4/21/2022,12,170
545,40211,42,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,25488,3,2508,4/21/2022,5,171
506,40206,49,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,19200,1,1950,4/21/2022,12,172
405,40211,48,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,9528,1,686,4/21/2022,5,173
417,40211,34,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10080,2,550,4/21/2022,1,174
178,40211,31,Female,African American,Non-Hispanic,Deposit Only,0,1,600,4/21/2022,4,175
504,40211,38,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,19200,4,1664,4/21/2022,5,176
602,40210,40,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,37632,1,2100,4/21/2022,4,177
447,40210,73,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,11124,1,1800,4/21/2022,4,178
180,40216,31,Female,African American,Non-Hispanic,Deposit Only,0,4,905,4/21/2022,4,179
390,40214,30,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,5892,4,1482,4/21/2022,25,180
411,40214,38,Female,White,Non-Hispanic,Deposit + 2 Months Rent,9864,1,1046,4/21/2022,21,181
564,40118,39,Female,White,Non-Hispanic,Deposit + 2 Months Rent,28800,2,2250,4/21/2022,13,182
434,40220,36,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,10320,1,1024,4/21/2022,26,183
551,40241,53,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,26400,1,3400,4/21/2022,17,184
531,40212,43,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,23520,1,1900,4/21/2022,5,185
609,40212,38,Female,Others,Hispanic,Deposit + 2 Months Rent,40000,3,4350,4/14/2022,5,186
183,40211,35,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,0,1,1086,4/14/2022,1,187
200,40211,30,Female,African American,Non-Hispanic,Deposit Only,0,4,900,4/14/2022,1,188
548,40211,32,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,26400,2,2850,4/14/2022,4,189
421,40215,42,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,10092,2,1780,4/14/2022,3,190
587,40212,35,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,33600,3,3400,4/14/2022,1,191
523,40211,35,Male,White,Non-Hispanic,Deposit + 2 Months Rent,22428,4,3300,4/14/2022,4,192
448,40212,33,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,11148,2,726,4/14/2022,5,193
453,40210,73,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,11976,1,2250,4/14/2022,6,194
481,40211,33,Female,White,Non-Hispanic,Deposit + 2 Months Rent,15600,1,2820,4/14/2022,4,195
431,40210,58,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,10092,1,1534,4/14/2022,4,196
496,40212,31,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,18000,1,2250,4/14/2022,5,197
470,40212,51,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,14400,4,1114,4/14/2022,5,198
397,40228,54,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,9072,1,642,4/14/2022,2,199
395,40299,43,Female,White,Non-Hispanic,Deposit + 2 Months Rent,8300,3,696,4/14/2022,20,200
389,40211,39,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,5388,1,2250,2/2/2022,1,201
596,40219,28,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,36000,2,2850,3/18/2022,2,202
516,40258,64,Male,White,Non-Hispanic,Deposit + 2 Months Rent,20544,2,2435,3/16/2022,14,203
479,40212,64,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,15192,1,2065,2/2/2022,5,204
460,40212,31,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,13020,1,2175,3/16/2022,5,205
619,40203,29,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,48592,4,3285,2/2/2022,5,206
438,40214,39,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,10332,1,800,3/16/2022,25,207
196,40210,33,Female,African American,Non-Hispanic,Deposit + 1 Month Rent,0,2,1550,2/2/2022,4,208
456,40215,67,Female,White,Non-Hispanic,Deposit + 2 Months Rent,12108,2,2250,3/16/2022,15,209
585,40229,28,Female,Others,Hispanic,Deposit + 1 Month Rent,33600,2,2600,2/2/2022,24,210
400,40210,34,Female,African American,Non-Hispanic,Deposit Only,9396,3,1100,3/16/2022,6,211
480,40299,40,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,15600,2,1514,2/2/2022,20,212
410,40215,65,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,9756,2,790,3/16/2022,15,213
589,40258,30,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,33621,2,2770,1/27/2022,12,214
557,40208,40,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,27000,1,2375,3/16/2022,3,215
569,40216,56,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,30000,3,3600,1/27/2022,3,216
443,40214,31,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10560,4,2092,3/16/2022,21,217
579,40203,33,Male,White,Non-Hispanic,Deposit + 2 Months Rent,31688,2,1859.67,1/27/2022,6,218
550,40214,43,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,26400,1,3600,3/16/2022,21,219
594,40217,34,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,35000,1,2250,1/27/2022,15,220
207,40203,44,Female,White,Non-Hispanic,Deposit Only,0,1,500,3/16/2022,4,221
210,40207,31,Female,African American,Non-Hispanic,Deposit Only,0,1,500,1/27/2022,9,222
535,40203,29,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,24000,1,1900,3/16/2022,4,223
326,40210,32,Male,African American,Non-Hispanic,Dep/Dec,1833,2,1600,12/22/2021,4,224
377,40202,44,Female,African American,Unknown,dep/Dec/Jan,3200,2,1578.8,12/22/2021,4,225
247,40272,52,Female,White,Non-Hispanic,dep/Dec/Jan,793,1,1950,12/21/2021,14,226
347,40216,24,Female,White,Non-Hispanic,dep/dec/jan,2400,1,2400,12/21/2021,3,227
258,40211,48,Male,African American,Non-Hispanic,dep/dec/jan,794,1,2700,12/21/2021,5,228
340,40210,33,Female,African American,Unknown,Dep/Dec/Jan,2250,2,1750,12/21/2021,1,229
283,40216,22,Female,White,Non-Hispanic,dep/dec,1000,1,1450,12/21/2021,3,230
339,40216,30,Female,Mixed Race,Non-Hispanic,dep/dec/jan,2240,1,2050,12/21/2021,3,231
264,40215,48,Female,African American,Non-Hispanic,Dep/Dec/Jan,813,3,675.32,12/21/2021,3,232
173,40210,37,Female,African American,Non-Hispanic,dep/Dec/Jan,0,2,2150,12/21/2021,1,233
246,40211,67,Male,African American,Non-Hispanic,dep/dec/jan,784,1,1950,12/21/2021,5,234
243,40211,72,Female,African American,Non-Hispanic,Deposit/Dec,739,2,1150,12/21/2021,4,235
301,40215,55,Male,White,Non-Hispanic,Dep/Dec/Jan,1250,1,900,12/21/2021,15,236
242,40215,53,Female,African American,Non-Hispanic,dep/Dec/Jan,717,1,1127,12/21/2021,3,237
334,40210,55,Female,African American,Non-Hispanic,Dep/Dec/Jan,2000,1,1314,12/21/2021,4,238
343,40215,27,Male,African American,Non-Hispanic,Dec deposit and Dec and Jan rent,2300,3,2475,12/21/2021,21,239
288,40208,60,Female,White,Non-Hispanic,Deposit,1056,5,1100,12/21/2021,3,240
337,40214,19,Female,Mixed Race,Non-Hispanic,dep/dec/jan,2128,1,2379.55,12/21/2021,21,241
315,40203,21,Male,African American,Unknown,dep/dec/jan,1600,1,1535,12/21/2021,6,242
232,40203,63,Female,White,Non-Hispanic,dep/dec/jan,528,1,356,12/21/2021,6,243
376,40202,70,Female,African American,Unknown,dep/Dec/Jan,3200,1,2307.8,12/21/2021,4,244
259,40208,53,Female,African American,Non-Hispanic,Deposit,794,1,1498,12/21/2021,6,245
284,40206,48,Female,African American,Non-Hispanic,Dep/Dec/Jan,1000,2,1059.27,12/21/2021,4,246
257,40204,39,Male,African American,Non-Hispanic,dep/dec/jan,794,2,2975,12/21/2021,8,247
241,40220,41,Female,Others,Unknown,Deposit,689,4,300,12/21/2021,26,248
333,40241,57,Male,White,Non-Hispanic,Nov/Dec,2000,2,2818,12/21/2021,17,249
324,40291,22,Female,African American,Non-Hispanic,dep/Dec/Jan,1800,1,3697,12/21/2021,22,250
338,,47,Female,African American,Non-Hispanic,Dep/Dec,2175,1,2049.5,12/21/2021,,251
44,40258,21,Female,African American,Non-Hispanic,deposit/Dec,,2,3600,12/20/2021,1,252
171,40272,24,Female,African American,Non-Hispanic,Dep/Jan/Feb,0,4,1409,12/20/2021,25,253
170,40216,25,Male,White,Non-Hispanic,deposit,0,1,937.5,12/20/2021,1,254
39,40216,34,Female,African American,Non-Hispanic,Dec deposit and portion of Dec rent,,4,1732.5,12/20/2021,12,255
378,40216,49,Female,White,Non-Hispanic,dep/november,3250,2,1900,12/20/2021,1,256
256,40216,29,Female,African American,Non-Hispanic,Deposit/Dec,794,3,2204,12/20/2021,12,257
169,40212,40,Female,African American,Non-Hispanic,Deposit,0,1,655,12/20/2021,5,258
273,40216,32,Female,African American,Non-Hispanic,dep/Dec,914,3,1984,12/20/2021,3,259
309,40212,29,Female,African American,Non-Hispanic,Dep/Dec/Jan,1400,3,1269,12/20/2021,5,260
360,40212,46,Female,African American,Non-Hispanic,dep/dec/jan,2720,1,2340,12/20/2021,5,261
368,40218,27,Female,African American,Unknown,Dep/Nov/Dec,3000,3,2400,12/20/2021,1,262
148,40215,47,Male,African American,Non-Hispanic,Dep and Dec rent,0,1,1074.07,12/10/2021,15,263
553,40218,21,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,26400,2,2880,3/3/2022,2,264
