text,start,stop
That's the minus 34 over 3.,00:09:34.990,00:09:38.160
so minus 34A is equal to 10.,00:09:38.160,00:09:40.530
"A is equal to minus 10/34
or minus 5/17.",00:09:40.530,00:09:45.510
So minus 3 times minus 5/17.,00:09:45.510,00:09:49.310
"So 5/17 is equal to
plus 5B, right?",00:09:49.310,00:09:55.980
"And then we get B is
equal to 3/17.",00:09:55.980,00:10:01.050
That was hairy.,00:10:01.050,00:10:03.050
"And notice, the hard
part was not losing",00:10:03.050,00:10:05.870
your negative sines.,00:10:05.870,00:10:07.100
"But anyway, we now have our
particular solution to this.",00:10:07.100,00:10:10.710
 ,00:10:10.710,00:10:15.030
"let me try to write in a
non-nauseating color, although",00:10:15.030,00:10:17.140
"I think I picked a
nauseating one.",00:10:17.140,00:10:19.150
"The particular solution is A
minus 5/17 sine of x-- right?",00:10:19.150,00:10:27.480
"That was a coefficient on sine
of x-- plus B plus 3/17 times",00:10:27.480,00:10:33.160
cosine of x.,00:10:33.160,00:10:35.240
"And if we look at our original
problem, the general solution",00:10:35.240,00:10:38.300
"out of this nonhomogeneous
equation would be this-- which",00:10:38.300,00:10:41.310
"is the general solution to the
homogeneous equation, which",00:10:41.310,00:10:44.010
"we've done many videos on--
plus now our particular",00:10:44.010,00:10:47.950
"solution that we solved using
the method of undetermined",00:10:47.950,00:10:52.690
coefficient.,00:10:52.690,00:10:53.330
"So if you just take that and add
it to that, you're done.",00:10:53.330,00:10:56.420
And I am out of time.,00:10:56.420,00:10:57.850
See you in the next video.,00:10:57.850,00:11:00.070
