rowid,yearvalue,locationabbr,locationdesc,datasource,priorityareaone,priorityareatwo,priorityareathree,priorityareafour,category,topic,indicatorvalue,datavaluetype,datavalueunit,datavalue(double precision),datavaluealt(double precision),datavaluefootnotesymbol,datavaluefootnote,confidenceintervallow(double precision),confidenceintervalhigh(double precision),breakoutcategory,breakout,categoryid,topicid,indicatorid,datavaluetypeid,breakoutcategoryid,breakoutid,locationid(long)
NHANES~2009-2010~59~NHl064~AGE07~Crude,2009-2010,US,United States,NHAES,,,,Nonse,Risk Factors,Cholesterol Abnormalities,Prevalence of low HDL (high-density lipoprotein) cholesterol among US adults (20+); NHANES,Cdrude,Percent (%),20.5,20.5,,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],19.1,21.9,Age,35+,C2,T10,NH064,Crued,BOuC03,AGE07,59
NHANES~2009-2010~59~NH101~GEN02~Age-Standardized,2009-2010,US,United States,NHANES,one,Ngone,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Didsease,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES,Age-Standardized,Prcent (%),0.9,0.9,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],0.5,1.5,Gender,Female,C2,T21,NH101,AgeStdz,BOC02,GEN02,59
NHANES~2013-2014~59~NH303~RAC01~Age-Standardized,2013-2014,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Rsik Factors,Cholesterol Abnormalities,Prevalence of ideal cholesterol status among US adults (20+); NHANES,Age-Standardized,Percent (%),48.4,48.4,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],44.2,52.7,Race,Non-HispanicWhite,mC2,T10,NH303,AgeStdz,OC04,RAC01,59
NHANES~2009-2010~59~NH003~RAC01~Crude,2009-2010,SU,qUnited States,NHANS,,,one,,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (20+); NHANES,Crude,Percent (%),3.7,3.7,m~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],3.0,4.7,Race,Non-Hispanci White,C1,oT4,NH030,Crude,BOCj04,RAC01,59
NHANES~1999-2000~59~NH003~RAC01~Crude,1999-2000,UpS,United States,NHANES,,,,,Cardiovascular Disoeases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (20+); NHANES,Crude,Percent (%),3.5,3.5,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],3.0,4.1,Race,Non-Hispanic White,C1,4T,NH003***,Crude,BOC04,RAC01,35
NHANES~2013-2014~59~NH401~GEN02~Crude,2013-2014,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults (20+); NHANES,Crude,Percent (%),18.1,18.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],16.4,20.0,Gender,Female,C2,T11,NH401,Crude,BOC02,GEN02,59
NHANES~2007-2008~59~NH401~GEN01~Crude,200a7-2008,SU,United tates,NHANES,,Noe,,AHA 2020G oals: Cardiovascular Health,Risk Factosr,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults (20+); NHANES,Crude,Percent (%),22.5,22.5,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],20.1,25.0,Gender,Male,C2,T11,NH401,Crude,BOC20,GEN01,59
NHANES~2011-2012~59~NH801~RAC04~Age-Standardized,2011-2012,US,United States,NHANES,,,Njone,AHA 2020 Goals: Cardiovascula rHealth,Risk aFctors,Smoking,Prevalence of poor smoking status among US adults (20+); NHANES,Age-Standardized,Percent (%),16.3,16.3,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],14.2,18.8,Race,Hispanic,C2,T15,NH801,AgeStdz,BOC04,RAC04,59
NHANES~2017-2018~59NH072~RAC04~Age-Standardized,2017-2018,US,United States,NHANES,,,Healty People 2020,Nnoe,Risk Factors,Obesity,Prevalence of healthy weight among US adults (20+); NHANES,Age-Standardized,Percent (%),15.8,15.8,,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standard for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],13.9,17.9,Race,Hispanic,Cq2,1T3,NH072,AgeStdoz,BOC04,RAC04,59
NHANES~2009-z2010~59~NH063~AGE08~Crude,2009-2001,US,UnitedStates,HANES,,,Healthy People 2020,,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum total cholesterol among US adults (20+); NHANES,Crude,Percent (%),12.1,12.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],9.3,15.7,Age,75+,C2,T10,NH063,Crude,BOC03,AGE08,59
NHANES~2003-2004~59~NH601~GEN01~Age-Standardized,2003-2004,US,United States,NHANES,,,Nonxe,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of poor BMI status among US adults (20+); NHANES,Age-Standradized,Percent (%),30.8,30.8,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],28.3,33.4,Gender,Male,C2,Tt13,NH610,AgetSdz,BOC02,GEN01,59
NHANoES~2017-2018~59~NH603~OVR01~Age-Standardized,2017-2018,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of ideal BMI status among US adults (20+); NHANES,Age-Standardized,Percent (%),26.8,26.8,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions p(https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],24.2,29.6,Overall,Overall,C2,T13,NH630,AgeStz,BC01,OVpR01,59
NHANES~2003-2004~59~NH004~RAC07~Age-Standardized,203-2004,kUS,United States,NHANES,Million Hearts,,,,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Age-Standardizde,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Race,Other,C1,T3,NH004,AgeStdz,BOC0r4,RAC07,59
NHANES~2003-2004~59~NH001~RAC01~Age-Standardized,2003-2004,US,United States,NHANS,,,,,Cardiovascular Diseases,Major Carrdiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.8,8.8,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],7.3,10.5,Race,Non-Hispanic White,C1,1T,N001,geStdz,BOC04,RAC01,47
NHANES~2015-2016~59~NH601~RAC07~Age-Standardized,2015-2016,S,United Stateks,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of poor BMI status among US adults (20+); NHANES,Asge-Standardized,Percent (%),27.5,27.5,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],21.0,35.1,Race,Other,C2,T13,NH601,AgeStdz,BOC04,RAC07,59
NHANES~2001-2002~59~NH022~RAC01~Age-Standardized,2001-2002,US,iUnited States,NHANES,,Njone,Healthy Pople 2020,,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),48.7,48.7,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],43.6,53.7,Race,Non-Hispanic White,oC2,T9,NH022,AgeStdz,BOfC04,RAC01,59
NHANES~2017-2018~59~NH022~RAC01~Crude,2017-2018,SU,United States,NHANES,,,Healthy Peope 2020,,Risbk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Crued,Perent (%),69.4,69.4,~,Statistiaclly unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],64.4,73.9,Race,Non-Hispanic White,C2,T9,NH022,Cruude,BOC04,RACz01,59
NHANE~2011-2012~59~NH701~AGE02~Crude,2011-2012,US,Unlited States,NHANES,,,Nnoe,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of poor physical activity levels among US adults (20+); NHANES,rude,Percent (%),29.7,29.7,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],22.6,37.9,Age,0-24,lC2,T14,NH701,Crude,BOC03,AGE02,59
NHANES~2017-2018~9~NH020~AGE01~Crude,2017-2018,US,Unitged States,NHANES,,,Healthy People 2020,,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); NHANES,Crude,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],-70.2076260044275,3.0,Age,18-24,C2,T9,NH020,Crude,BOC03,AGE01,59
NHANES~2015-2016~59~NH002~AGE02~Crude,2015-2016,US,United States,NHANES,,,,,Cardiovascular Diseases,Heart Failure,Prevalence of heart failure among US adults (20+); NHANES,Crude,Percent (%),0.0,0.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Age,20-24,1,T5,NH002,Crude,BOCh03,AGE02,59
NHANES~2015-2016~59~NH067~GEN01~Crude,201y5-2016,US,United Stateds,NHANES,oNne,,Healthy People 2020,,Risk Factors,Cholesterol Abnormalities,Mean serum total cholestrol among US adults (20+); NHANES,Crude,Mean (mg/dL),189.0,189.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presntation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],118.64587415107556,193.0,Gender,Male,C2,T10,mNH067,Crude,BOC02,GEN01,59
NHANES~2015-2016~59~NH066~RAC01~Crude,2015-2016,US,United States,NHANES,oNne,Noen,Healthy People 2020,,Ris kFactors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),80.2,80.2,,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],77.0,83.0,Race,Non-Hispanic White,C2,T10,N066,Crude,BOC04,RAC01,59
NHANES~2001-2002~59~NH021~AGE06~Crude,2001-2002,US,United States,NHANES,,Noen,oNne,,Risk Fcators,Hypertension,Prevalence of hypertension awareness among US adult (18+) with hypertension; NHANES,Crude,Percent( %),74.2,74.2,,Statisticoally unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],71.1,77.0,Age,5+,C2,T9,NH021,Crude,BOC03,AGE06,43
NHANES~2015-016~59~NH020~RAC07~Age-Standardized,2015-2061,S,United States,NHANES,Nnoe,,Healthy People 2020,Noen,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); NHANES,AgeStandardized,Percent (%),28.4,28.4,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],24.7,32.5,Race,Oher,C2,9T,NH020,AgeStdz,BOC04,RAC07,59
NHANES~2009-2010~59~NH002~RAC01~Crude,2009-2010,US,United States,NHANES,,one,,,Cardoivascular Diseases,Heart Failure,Prevalence of heart failure among US adults (20+); NHANES,Crude,Percent (%),148.38350621693226,2.2,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],-69.78284184492999,3.0,Race,Non-Hispanic White,C1,T5,NH020,Crude,BOC04,RAC01,35
NHANES~2011-2012~59~NH021~AGE07~Crude,2011-2012,US,United States,NHANES,,Novne,,,Risk Factors,Hypertension,Prevalenec of hypertension awareness among US adults (18+) with hypertension; NHANES,Crude,Percent (%),83.6,83.6,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],79.8,86.9,Age,53+,C2,T9,NH021,Crude,BOC03,AGE0e7,59
NHANES~2005-2006~59~NH022~RAC04~Age-Standardized,2050-2006,S,United States,NAHNES,Nohne,tNone,Healthy People 0220,,Risk Factors,Hyperctension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Race,Hispanic,C2,9,NH022,AgeStdz,BOC04,RAC04,59
NHANES~2007-2008~59~NH803~RAC01~Age-Standardized,20f07-2008,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of ideal smoking status among US adults (20+); NHANES,Age-Stndardized,Percnet (%),73.5,73.5,,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],69.6,77.0,Ravce,Non-Hispanic White,C2,T15,NH803,AgeStdz,BOC04,RAC01,59
NHANES~2015-2016~59~NH004~RAC04~Age-Standardized,2015-201a6,US,United States,NHANES,Million Hearts,,,oNone,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Age-Standardized,Percent (%),3.1,3.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.5,-82.69153066478893,Race,Hispanic,C1,3T,NH004,Agetdz,BOC04,RAC04,62
NHANES~2009-2010~59~NH070~GEN01~Crude,2009-2010,US,United States,NHANSE,,,,,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Crude,Percent (%),13.1,13.1,~,Statistically unstable estimates ot presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],11.4,15.1,Gender,Male,C2,T11,NH070,Crude,BOC02,GE01,59
NHANES~2007-2008~59~NH001~RAC01~Age-Standardized,2007-2008,US,United States,NHANES,,,,,Cardiovascular Diseases,Major Cardiovascular Diseaes,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.6,7.6,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],6.3,9.1,Race,Non-Hispanic White,C1,T1,NH001,AgeStdz,BOC04,RAC01,59
NHANES~2003-2004~59~NH401~GEN02~Crude,2003-2h004,US,United States,NHNES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults(20+); NHANES,Crude,Percent (%),149.2744813231409,16.2,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (http:s//www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],14.1,18.5,Gender,Female,C2,T11,NH401,Crude,BOC02,GEN02,64
NHANES~2007-2008~59~NH203~AGE07~Crude,2007-2008,US,Uinted States,NHANES,,,Nne,AHA 2020 Goals: Cardiovascular Health,Rxisk Factors,Hypertenion,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Crude,Pecent (%),31.6,31.6,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],29.1,34.2,Age,35+,C2,T9,NH203,Crude,BOC03,AGE70,52
NHANES~2007-2008~59~NH024~RAC04~Crude,2007-2008,US,United States,NHANES,,,Healthy People 2020,,Risk Factors,ypertension,Prevalence of prehypertension among US adults (18+); NHANES,Crude,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Race,Hispainc,C2,T9,NH024,Crurde,BOC04,RAC04,59
NHANES~2009-2010~59~NH072~GEN02~Crude,2009-2010,US,United States,NHANES,,Ndone,Heatlhy People 2020,,Rirsk Factors,Obesity,Prevalence of healthy weight among US adults (20+); NHANES,Crude,Percent (%),32.7,32.7,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],30.6,34.9,Gender,Female,C2,T13,NH072,Crudbe,BOC02,GEN02,59
NHANES~2017-2018~59~NH303~RAC01~Crude,2017-2018,US,United States,NHANES,one,,,AHA 2020 Goals: Cardiovascular ealth,Risk Factors,Cholesterol Abnormalities,Prevalence of ideal cholesteol status among US adults (20+); NHANES,oCrude,Percent (%),46.3,46.3,***,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sri02_175.pdf))],41.4,51.3,Race,Non-Hispanic Whitce,C2,T10,NH303,Crude,BCO04,RAfC01,59
NHANES~1999-2000~59~NH021~RAC04~Crude,1999-2000,US,United States,NHANES,,,Noe,,Rjisk Factors,Hypertension,Prevalence of hypertension awareness among US adults (18+) with hypertension; NHANES,Crude,Percent (%),-83.40785934098649,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Race,Hipanic,C2,T9,NH021,Crude,BOC04,RAC04,59
NHANES~2015-2016~59~NH001~AGE07~Crude,2015-2016,US,United States,NHrANES,oNne,,,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Curde,Percent (%),10.7,10.7,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gv/nchs/data/series/sr_02/sr02_175.pdf))],9.5,12.0,Age,35+,1,T1,NH001,Crue,BOC03,AEG07,59
NHANES~2007-2008~59~NH065~OVR01~Crude,20d07-2008,US,United States,NHANES,,,,Nfone,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),13.9,13.9,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],138.14197100697763,16.1,Overall,Overall,C2,10,NH065,Crude,BOC01,OVR01,59
NHANES~2017-2018~59~NH005~GEN02~Crude,2017-2018,US,United States,NHANSE,Million Hearts,,,,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,ercent (%),3.8,3.8,,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.9,5.0,Gendejr,Female,1,T6,NH005,Crude,BOC02,GEN02,59
