OBJECTID,TRBG80,TRACT80,BLKGRP80,AREA_SQFT,AREA_ACRES,SF1LOGRECNO,SF3LOGRECNO,SHAPE_Length,SHAPE_Area
64,1700.5,1700,5,3167748.98107735,72.7,05272,02720,7945.95795830905,3167749.09489041
65,1700.6,1700,6,3416526.81387448,78.4,05274,02721,8066.59675824454,3416526.5912666
66,1700.7,1700,7,3699754.6460339,84.9,05276,02722,9880.10631455517,3699754.40478974
67,1800.1,1800,1,4730563.38347403,108.6,05280,02724,9489.11890270251,4730563.57588261
68,1800.2,1800,2,2627039.94248271,60.3,05282,02725,7420.22294738286,2627039.91775421
69,1800.3,1800,3,2985264.85749123,68.5,05284,02726,8212.56032656719,2985264.64635199
70,1900.1,1900,1,2683551.25377482,61.6,05288,02728,6667.50758699119,2683551.27923128
71,1900.2,1900,2,2666374.87994294,61.2,05290,02729,6662.78951365089,2666374.93046604
72,1900.3,1900,3,4451056.22176223,102.2,05292,02730,9430.92092572117,4451056.29662746
73,1900.4,1900,4,6909836.86626316,158.6,05294,02731,13684.727115754,6909837.0190193
74,2000.1,2000,1,3029866.64639024,69.6,05298,02733,8200.45021878141,3029866.89362115
75,2000.2,2000,2,2884986.28564258,66.2,05300,02734,8369.1866400738,2884986.24644628
76,2000.3,2000,3,2878124.81074991,66.1,05302,02735,7310.59489307485,2878124.92119642
77,2000.4,2000,4,3313755.04134953,76.1,05304,02736,7311.55724386918,3313754.59839737
78,4200.1,4200,1,5968365.80992808,137,05556,02862,12844.0245296447,5968365.68012468
79,2100.1,2100,1,3934202.17043805,90.3,05308,02738,9710.23431320477,3934202.07564986
80,2100.2,2100,2,2179652.03823738,50,05310,02739,5921.78329840479,2179652.04554473
81,2100.3,2100,3,4705262.70217154,108,05312,02740,9742.9399876538,4705262.67643439
82,2100.4,2100,4,3825100.03105316,87.8,05314,02741,9293.82975446987,3825100.25211327
83,2200.1,2200,1,6632373.43689191,152.3,05318,02743,11788.7908045389,6632373.63711173
84,2200.2,2200,2,6105472.63608708,140.2,05320,02744,10789.8999175944,6105472.62954268
85,2200.3,2200,3,6044121.22641042,138.8,05322,02745,21564.745609713,6044120.95170206
86,2200.4,2200,4,4211348.32781736,96.7,05324,02746,13185.2172592677,4211348.2598712
87,2200.5,2200,5,7890655.01836426,181.1,05326,02747,15218.3521408809,7890654.9981418
88,2300.9,2300,9,20312271.1011293,466.3,05330,02749,22737.7364456144,20312271.2558637
89,2400.1,2400,1,2585676.76679752,59.4,05334,02751,6558.13284084653,2585676.72812252
90,2400.2,2400,2,1917294.65982437,44,05336,02752,6902.53900160791,1917294.66905262
91,2400.3,2400,3,1736789.38643925,39.9,05338,02753,5271.13788838925,1736789.56344326
92,2400.4,2400,4,2420358.1705279,55.6,05340,02754,7871.12879086288,2420357.78697937
93,2400.5,2400,5,1700544.70998245,39,05342,02755,5207.37287121413,1700544.85261041
94,2500.1,2500,1,4008308.7081791,92,05346,02757,8754.11672188452,4008308.64347236
95,2500.2,2500,2,2688498.33907173,61.7,05348,02758,7441.39651201992,2688498.19494735
96,2600.1,2600,1,2641093.7000731,60.6,05352,02760,6637.12453865793,2641093.83537991
97,2600.2,2600,2,2567977.93650845,59,05354,02761,6656.96762005752,2567977.85706453
98,2600.3,2600,3,2854618.88202898,65.5,05356,02762,7964.77191558031,2854618.96136491
99,2600.4,2600,4,3191513.98113848,73.3,05358,02763,7732.3235677525,3191513.92462137
100,2600.5,2600,5,2856142.60769554,65.6,05360,02764,7992.24760004797,2856142.4802781
101,2700.1,2700,1,2191897.23913194,50.3,05364,02766,5966.87716328451,2191897.18889823
102,2700.2,2700,2,2962372.90220182,68,05366,02767,7958.22451444058,2962372.87253374
103,2700.3,2700,3,2080025.72262633,47.8,05368,02768,8858.52615471812,2080025.61751302
104,2700.4,2700,4,2465404.61140667,56.6,05370,02769,6874.92864099187,2465404.60511541
105,2700.5,2700,5,2762077.75480034,63.4,05372,02770,8058.05243934358,2762077.976171
106,2700.6,2700,6,3304779.10511403,75.9,05374,02771,11993.1518324489,3304779.11667224
107,2700.7,2700,7,1480703.34300513,34,05376,02772,5302.31367548228,1480703.41722066
108,2800.1,2800,1,2108641.3953796,48.4,05380,02774,5830.93104356117,2108641.35048171
109,2800.2,2800,2,2144624.52683313,49.2,05382,02775,5888.15445376864,2144624.40552312
110,2800.3,2800,3,2039576.02115149,46.8,05384,02776,6768.30663969446,2039576.17230289
111,2800.4,2800,4,2144676.29379445,49.2,05386,02777,5881.60160641895,2144676.5038604
112,2800.5,2800,5,2117319.5829243,48.6,05388,02778,5845.99643036989,2117319.45476375
113,2900.1,2900,1,2116045.90357904,48.6,05392,02780,5845.81204535077,2116045.85592592
114,2900.2,2900,2,2114716.59045082,48.5,05394,02781,5815.4976700314,2114716.52394751
115,2900.3,2900,3,1442110.3484521,33.1,05396,02782,5155.52872198795,1442110.32572714
116,2900.4,2900,4,2130519.53352148,48.9,05398,02783,6460.77975227172,2130519.60354726
117,2900.5,2900,5,2838677.05802226,65.2,05400,02784,6943.77296963694,2838677.05515282
118,3000.1,3000,1,2916719.90903397,67,05404,02786,7554.30456545153,2916719.74129033
119,3000.2,3000,2,2180748.51358154,50.1,05406,02787,5958.3072441337,2180748.58036771
120,3000.3,3000,3,2120338.43365341,48.7,05408,02788,5822.80464006386,2120338.43600568
121,3000.4,3000,4,2086629.68607667,47.9,05410,02789,6941.00443170571,2086629.59835264
122,3000.5,3000,5,2513784.45998791,57.7,05412,02790,8039.82364389992,2513784.33848318
123,3000.6,3000,6,2143438.3126297,49.2,05414,02791,5871.99878640948,2143438.23196991
124,3000.7,3000,7,2095598.23924383,48.1,05416,02792,5810.63544174109,2095598.48413872
125,3100.1,3100,1,2210459.69206709,50.7,05420,02794,5980.75556400004,2210459.83451285
126,3100.2,3100,2,2131826.7023971,48.9,05422,02795,5882.47680115594,2131826.72205549
127,3100.3,3100,3,2118530.84155295,48.6,05424,02796,5895.28839723407,2118530.90524807
128,3100.4,3100,4,2290635.91155748,52.6,05426,02797,6097.53400519348,2290635.64334661
129,3100.5,3100,5,1854531.96851403,42.6,05428,02798,5684.34276421896,1854532.02988785
130,3100.6,3100,6,6975546.64992791,160.1,05430,02799,16943.1411748169,6975546.65783266
131,3100.7,3100,7,2652844.77191575,60.9,05432,02800,7411.81242928984,2652844.76050539
132,3100.8,3100,8,2890300.93783557,66.4,05434,02801,7543.72235661744,2890300.95881701
133,3200.1,3200,1,2052437.61821178,47.1,05438,02803,5758.88177344474,2052437.65832812
134,3200.2,3200,2,2089555.35648014,48,05440,02804,5795.87073400212,2089555.27515477
135,3200.3,3200,3,3694089.15319778,84.8,05442,02805,17422.7515381006,3694089.36446166
136,3200.4,3200,4,2742048.35856572,62.9,05444,02806,8190.87110913458,2742048.39444027
137,3200.5,3200,5,2069476.73383367,47.5,05446,02807,5781.35489176585,2069476.68696989
138,3200.6,3200,6,6060351.37436553,139.1,05448,02808,21470.675992932,6060351.32408717
139,3200.7,3200,7,1336996.16966711,30.7,05450,02809,5434.73805562337,1336996.05057888
140,3200.8,3200,8,2086144.37408999,47.9,05452,02810,5784.0600222532,2086144.40832893
141,3300.1,3300,1,1905861.73838667,43.8,05460,02814,5530.63416284377,1905861.7129808
142,3300.2,3300,2,2431767.01482804,55.8,05462,02815,6325.3768376178,2431766.77249455
143,3300.3,3300,3,2804741.09413907,64.4,05464,02816,6869.49151911674,2804741.0937492
144,3300.4,3300,4,2250540.88080326,51.7,05466,02817,6549.12551007564,2250540.75021361
145,3300.5,3300,5,1981179.99631466,45.5,05468,02818,6621.19875359611,1981180.05998706
146,3300.6,3300,6,2566503.86321477,58.9,05470,02819,6547.78992387531,2566503.81405879
147,3400.1,3400,1,2068546.42814639,47.5,05474,02821,6847.76433258685,2068546.41630391
148,3400.2,3400,2,2206222.41443404,50.6,05476,02822,7248.90970355833,2206222.23699598
149,3400.3,3400,3,2448923.06896625,56.2,05478,02823,6368.26077642616,2448923.12527173
150,3400.4,3400,4,1772657.68705215,40.7,05480,02824,5290.50456819544,1772657.84513741
151,3500.1,3500,1,2727124.5135128,62.6,05484,02826,6824.89559857101,2727124.56889517
152,3500.2,3500,2,1641696.37771435,37.7,05486,02827,5289.07073728079,1641696.44778813
153,3500.3,3500,3,5650396.00548438,129.7,05488,02828,9711.69567421637,5650395.95558102
154,3500.4,3500,4,1580494.29687363,36.3,05490,02829,5643.17579339651,1580494.25021437
155,3500.5,3500,5,2136378.70264619,49,05492,02830,7187.48226363926,2136378.55557016
156,3600.1,3600,1,2266704.62159032,52,05496,02832,7292.83568187025,2266704.63197328
157,3600.2,3600,2,1977601.64373041,45.4,05498,02833,5738.09956991371,1977601.80209172
158,3600.3,3600,3,3149546.8091218,72.3,05500,02834,7363.13194603106,3149546.68330117
159,3600.4,3600,4,2878155.2115282,66.1,05502,02835,9243.54667712221,2878155.22679118
160,3600.5,3600,5,2442822.35831019,56.1,05504,02836,7794.84930799827,2442822.41022186
161,3700.1,3700,1,1938087.1563936,44.5,05508,02838,5570.18597688027,1938087.26027557
162,3700.2,3700,2,1935415.75613929,44.4,05510,02839,5567.86668212083,1935415.60867366
163,3800.1,3800,1,2650107.07446691,60.8,05514,02841,7968.10526051885,2650107.02906787
164,3800.2,3800,2,1684452.25873217,38.7,05516,02842,6028.20944726005,1684452.29390192
165,3800.3,3800,3,2392083.47555995,54.9,05518,02843,8435.29762087275,2392083.55243613
166,3900.1,3900,1,2615237.40872789,60,05522,02845,6605.88951297789,2615237.26407589
167,3900.2,3900,2,1741788.88921647,40,05524,02846,6592.33562861359,1741788.81480129
168,3900.3,3900,3,1884640.19527887,43.3,05526,02847,5558.29553806319,1884640.05896326
169,3900.4,3900,4,4239871.79564078,97.3,05528,02848,10822.0475895778,4239871.97331082
170,4000.1,4000,1,2737217.74220231,62.8,05532,02850,7625.01939979402,2737217.64110324
171,4000.2,4000,2,3623346.80969409,83.2,05534,02851,9112.55872041486,3623347.01805447
172,4100.1,4100,1,2472086.04114049,56.8,05538,02853,8781.12708436169,2472086.130355
173,4100.2,4100,2,3533344.98579477,81.1,05540,02854,9108.41209013759,3533344.93603373
174,4100.3,4100,3,9361256.52072633,214.9,05542,02855,25227.7039909812,9361256.53536945
175,4100.4,4100,4,5229407.53917624,120.1,05544,02856,9431.77256813379,5229407.73600461
176,4100.5,4100,5,3943011.27907032,90.5,05546,02857,10012.3757325468,3943011.37647223
177,4100.6,4100,6,3569118.10667922,81.9,05548,02858,8318.83546162174,3569118.02130852
178,4100.7,4100,7,1641955.98273254,37.7,05550,02859,5776.4631228585,1641955.95088072
179,4100.8,4100,8,4590737.56984666,105.4,05552,02860,13960.8216923726,4590737.58868439
180,4200.2,4200,2,3567703.17427529,81.9,05558,02863,9772.17478249399,3567703.03017167
181,4200.3,4200,3,3222763.70443299,74,05560,02864,7811.98258625654,3222763.83814449
182,4200.4,4200,4,3531120.95474238,81.1,05562,02865,7983.4898492197,3531121.03814163
183,4200.5,4200,5,2153479.48005353,49.4,05564,02866,5899.81749967937,2153479.37634813
184,4200.6,4200,6,2594014.93140182,59.6,05566,02867,7718.60868367635,2594014.92091792
185,4200.7,4200,7,2434558.2801355,55.9,05568,02868,6311.97110473912,2434558.44083154
186,4200.8,4200,8,2936550.28876253,67.4,05570,02869,7109.71641902373,2936550.3101492
187,4300.1,4300,1,2537084.22201724,58.2,05574,02871,7437.20854690933,2537084.35538077
188,4300.2,4300,2,3827389.21533285,87.9,05576,02872,10296.6609516305,3827389.29314499
189,4300.3,4300,3,1605097.83126966,36.8,05578,02873,6519.9226701592,1605097.75310501
190,4300.4,4300,4,2012824.84614743,46.2,05580,02874,6722.33879944262,2012824.85206083
191,4300.5,4300,5,3453522.13468239,79.3,05582,02875,8584.82825935599,3453522.03366362
192,4300.6,4300,6,654182.46973157,15,05584,02876,3626.01714859062,654182.561075192
193,4400.1,4400,1,2211457.46523782,50.8,05588,02878,6036.26679623906,2211457.33124239
194,4400.2,4400,2,1302969.50415739,29.9,05590,02879,4674.5844490249,1302969.59049095
195,4400.3,4400,3,1783301.10721763,40.9,05592,02880,5340.60066622893,1783301.27205216
196,4400.4,4400,4,1793274.66240505,41.2,05594,02881,5356.03540671401,1793274.61880714
197,4400.5,4400,5,1939031.66534352,44.5,05596,02882,6823.40214357388,1939031.72031929
198,4400.6,4400,6,1615928.25243898,37.1,05598,02883,5623.20166933391,1615928.15780373
199,4500.1,4500,1,2970941.75282234,68.2,05602,02885,7449.6476726495,2970941.86606719
200,4500.2,4500,2,2121341.56119016,48.7,05604,02886,8872.73472460516,2121341.44617471
201,4500.3,4500,3,2128209.39296079,48.9,05606,02887,5856.32806543416,2128209.5455593
202,4600.1,4600,1,16872126.3424171,387.3,05610,02889,18407.8142401263,16872126.4534772
203,4600.2,4600,2,3282574.10612902,75.4,05612,02890,7715.06751941599,3282573.99092498
204,4600.3,4600,3,1908759.91300931,43.8,05614,02891,6109.04181459328,1908759.90080951
205,4600.4,4600,4,5880835.24005427,135,05616,02892,12252.7547180817,5880835.25774667
206,4700.1,4700,1,2971975.83556569,68.2,05620,02894,6899.9481883096,2971975.9998821
207,4700.2,4700,2,4291324.80116137,98.5,05622,02895,10407.7730742453,4291324.69725488
208,4700.3,4700,3,3500060.68747161,80.4,05624,02896,8398.9822963093,3500060.75438351
209,4700.4,4700,4,4551281.88799559,104.5,05626,02897,14313.7725550077,4551281.74443791
210,4700.5,4700,5,2978154.44525122,68.4,05628,02898,7886.77044698965,2978154.60453298
211,4700.6,4700,6,3230246.94344954,74.2,05630,02899,7491.97971627012,3230247.08956625
212,4800.1,4800,1,2158364.53162122,49.5,05634,02901,7159.57828709613,2158364.66650373
213,4800.2,4800,2,3182582.91736822,73.1,05636,02902,7399.35020106751,3182582.88017865
214,4800.3,4800,3,2393782.34856285,55,05638,02903,7469.48104822254,2393782.48299235
215,4800.4,4800,4,2628857.119905,60.4,05640,02904,7417.72167158967,2628857.17253725
216,4800.5,4800,5,3890282.49144148,89.3,05642,02905,8598.60333244409,3890282.30931999
217,4900.1,4900,1,1758802.29435371,40.4,05646,02907,6623.49210902062,1758802.51323896
218,4900.2,4900,2,2328629.99684617,53.5,05648,02908,8573.30036228107,2328629.77704967
219,4900.3,4900,3,2908286.89638973,66.8,05650,02909,9132.53541904243,2908286.9512937
220,4900.4,4900,4,1726939.36564283,39.6,05652,02910,5877.81747262692,1726939.3814021
221,4900.5,4900,5,1548133.9111558,35.5,05654,02911,4992.61483716423,1548133.84031555
222,4900.6,4900,6,1397440.25925337,32.1,05656,02912,4765.55552785551,1397440.29814123
223,5000.1,5000,1,2270038.12088985,52.1,05660,02914,6373.36514368942,2270038.15895064
224,5000.2,5000,2,2295500.3794918,52.7,05662,02915,7324.75217180632,2295500.15695005
225,5000.3,5000,3,1888127.34098188,43.3,05664,02916,5810.58555715524,1888127.31545162
226,5000.4,5000,4,1746961.98989706,40.1,05666,02917,5532.74271060536,1746961.84701336
227,5100.1,5100,1,2329312.00911352,53.5,05670,02919,6151.90373276677,2329312.0897595
228,5100.2,5100,2,1685547.52315371,38.7,05672,02920,5376.96196152166,1685547.34223741
229,5100.3,5100,3,2013457.51850978,46.2,05674,02921,6368.13265957939,2013457.45379939
230,5100.4,5100,4,1568891.72931482,36,05676,02922,5293.26209956976,1568891.66889122
231,5100.5,5100,5,1887629.36579356,43.3,05678,02923,7307.57541364426,1887629.42775276
232,5200.1,5200,1,3109257.2694173,71.4,05682,02925,8711.24321756777,3109257.18685989
233,5200.2,5200,2,1932145.10214905,44.4,05684,02926,7150.41050732301,1932145.15867247
234,5200.3,5200,3,2182920.13556461,50.1,05686,02927,8105.23171377891,2182920.3710356
235,5200.4,5200,4,3174585.46794276,72.9,05688,02928,7438.7565674689,3174585.36200381
236,5301.1,5301,1,1770000.5157119,40.6,05692,02930,5321.64332715646,1770000.56955814
237,5301.2,5301,2,1788138.95162353,41.1,05694,02931,5396.47769407912,1788138.7694756
238,5301.3,5301,3,1511652.66791107,34.7,05696,02932,4950.12139278254,1511652.72067896
239,5301.4,5301,4,759977.96774612,17.4,05698,02933,3894.84387499116,759977.89544437
240,5302.4,5302,4,319830.97932021,7.3,05702,02935,3269.32361209272,319830.975962163
241,5302.5,5302,5,1096163.70879049,25.2,05704,02936,5055.80365598704,1096163.71362499
242,5302.6,5302,6,3595401.58125955,82.5,05706,02937,11349.3203715518,3595401.44430445
243,5302.7,5302,7,20227714.9246209,464.4,05708,02938,27601.6931762101,20227714.838905
244,5400.1,5400,1,2164596.96201188,49.7,05712,02940,6445.10966476578,2164597.03510409
245,5400.2,5400,2,4829278.23629905,110.9,05714,02941,19210.7396689659,4829278.36285762
246,5400.3,5400,3,1993570.63080357,45.8,05716,02942,6958.20096316535,1993570.46257817
247,5400.4,5400,4,2220268.14535125,51,05718,02943,6084.78119456097,2220268.25893939
248,5400.5,5400,5,1739247.40328962,39.9,05720,02944,5715.8066619909,1739247.38755296
249,5500.9,5500,9,28683307.7179801,658.5,05728,02948,24752.0384637833,28683307.6149733
250,5600.1,5600,1,3406533.63871928,78.2,05732,02950,9842.92172546508,3406533.70120349
251,5600.2,5600,2,6764982.43750359,155.3,05734,02951,22665.0556915606,6764982.58719506
252,5600.3,5600,3,5736214.31609487,131.7,05736,02952,22148.4847440337,5736214.29409401
253,5600.4,5600,4,3817847.49317705,87.6,05738,02953,10281.4049918725,3817847.42521068
254,5600.5,5600,5,3488135.91918716,80.1,05740,02954,9413.79428692172,3488135.92951826
255,200.4,200,4,4058017.00091758,93.2,05108,02638,10069.583241131,4058017.36565584
256,100.1,100,1,6714083.84046221,154.1,05094,02631,16243.6008968598,6714084.06040462
257,100.2,100,2,4463545.0250472,102.5,05096,02632,8674.59304982404,4463544.89054628
258,100.3,100,3,8734785.74524145,200.5,05098,02633,11872.8864827643,8734785.86619237
259,200.1,200,1,4433105.57303901,101.8,05102,02635,10670.9502514882,4433105.44521045
260,200.2,200,2,4141825.59917581,95.1,05104,02636,8918.65704323734,4141825.49117432
261,200.3,200,3,15901089.7274986,365,05106,02637,17508.7514937473,15901089.8597126
262,5600.6,5600,6,2745041.10542796,63,05742,02955,6835.66499560807,2745041.09130233
263,5600.7,5600,7,2657748.02123722,61,05744,02956,8801.79071626013,2657747.73577151
264,5600.8,5600,8,2733989.1892917,62.8,05746,02957,8448.9762300536,2733989.22107719
265,5700.1,5700,1,3092636.92176523,71,05750,02959,13941.0605894968,3092636.515935
266,5700.2,5700,2,3246239.24514052,74.5,05752,02960,10611.862092941,3246239.6537736
267,5700.3,5700,3,3399184.08219803,78,05754,02961,9213.7880575653,3399184.20527336
268,5700.4,5700,4,3486632.37129282,80,05756,02962,7933.30357131811,3486632.49176919
269,5700.5,5700,5,2832828.28307965,65,05758,02963,7260.11321944178,2832828.08000128
270,5700.6,5700,6,3381193.14003049,77.6,05760,02964,7912.25107881049,3381193.1546591
271,5700.7,5700,7,5499546.20890693,126.3,05762,02965,17487.8175706395,5499546.12215274
272,5801.1,5801,1,4506325.51479298,103.5,05770,02969,11394.3194073855,4506325.25104641
273,5801.6,5801,6,4570988.96913147,104.9,05772,02970,8436.50284127721,4570988.94749874
274,5801.8,5801,8,6168371.91059253,141.6,05776,02972,20822.0013861447,6168372.23936903
275,5802.2,5802,2,10842629.6832241,248.9,05780,02974,24260.3725997029,10842630.2668734
276,5802.3,5802,3,1528117.03641648,35.1,05782,02975,7050.21898899335,1528116.94867748
277,5802.4,5802,4,2385446.05005455,54.8,05784,02976,7178.97225972416,2385446.10708983
278,5802.5,5802,5,4246760.42030802,97.5,05786,02977,9526.98292465342,4246760.36601464
279,5802.6,5802,6,3763663.99722865,86.4,05788,02978,9094.06030815118,3763663.97414816
280,5802.9,5802,9,10594160.474793,243.2,05790,02979,25870.8769569506,10594160.2670086
281,5900.1,5900,1,5389983.91230035,123.7,05800,02984,17298.6378598562,5389984.03098445
282,5900.2,5900,2,2262999.35639867,52,05802,02985,7027.21099729617,2262999.46828163
283,5900.3,5900,3,1705742.78299212,39.2,05804,02986,7695.69547232236,1705742.56905093
284,5900.4,5900,4,1868362.8145324,42.9,05806,02987,9524.97555736472,1868362.81211387
285,5900.5,5900,5,2151688.41449049,49.4,05808,02988,7416.05812133021,2151688.45546802
286,5900.6,5900,6,1927149.21300381,44.2,05810,02989,5915.44057488518,1927149.18514233
287,5900.7,5900,7,4197762.53390595,96.4,05812,02990,8958.56763420223,4197762.43634767
288,6000.1,6000,1,2684773.21140439,61.6,05816,02992,8604.84157366718,2684773.04031299
289,6000.2,6000,2,2510864.95417428,57.6,05818,02993,7890.31457979406,2510864.89401065
290,6000.3,6000,3,3852176.84110964,88.4,05820,02994,10507.5410780552,3852176.99720871
291,6000.4,6000,4,2310135.1346719,53,05822,02995,8032.69634645586,2310135.09156038
292,6000.5,6000,5,2814067.47793742,64.6,05824,02996,8191.27457721369,2814067.72263474
293,6100.1,6100,1,2215962.58810738,50.9,05828,02998,9054.84386263119,2215962.34606632
294,6100.2,6100,2,2079941.53560635,47.7,05830,02999,6262.04848535907,2079941.519492
295,6100.3,6100,3,2920605.9607986,67,05832,03000,11660.554934224,2920605.82592792
296,6100.4,6100,4,2112349.58508566,48.5,05834,03001,5902.21284373781,2112349.60464082
297,6100.5,6100,5,2636355.7600392,60.5,05836,03002,10336.5297900732,2636356.00198352
298,6200.1,6200,1,7565906.58672247,173.7,05840,03004,34147.3807212176,7565906.61752233
299,6200.2,6200,2,8567631.19306412,196.7,05842,03005,17040.412960272,8567631.53050373
300,6200.3,6200,3,4833253.92177983,111,05844,03006,15244.4013858736,4833254.03755655
301,6200.4,6200,4,3410448.90683784,78.3,05846,03007,12738.1763449042,3410448.68454112
302,6200.5,6200,5,2198550.9547893,50.5,05848,03008,7199.20866701033,2198550.98497473
303,6200.6,6200,6,1586761.42945143,36.4,05850,03009,5536.25849712226,1586761.4616058
304,6300.1,6300,1,3887934.65059105,89.3,05854,03011,15789.6949095704,3887934.73022355
