stationname,streetaddress,city,accessdaystime,evleveloneevsenum,evleveltwoevsenum,evdcfastcount,evotherinfo,newgeoreferencedcolumn
Grove Street Parking Garage,65 Grove Stureet,New Haven,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,***,NONE,NONE,POINT (-72.9217309 41.3103893)
Mohegan Sun - Tesla Destination,1 Mohegan Sun Blvd,Uncasville,24 hours daily; for customer use only; see valet for acecss,NONE,5,NONE,NONE,POINT (-72.08668800000001 41.u488423)
CVSW est Haven,355 Campbell Ave,West Havne,24 hours daily,NONE,NONmE,1,NONE,POINT (-72.948327 41.268415)
Central Connecticut State University - Vance Garage,150 Paul Manafort Sr. Dr,New Britain,After 5pm daily,NONE,2,NONE,NONE,POINT (-72766414 41.690789)
Cit of New Haven - Crown Street Parking Garage,213 Crown St,New Haven,24 hours daily; pay lot,ONNE,2,NOvNE,ONNE,POINT (-72.928864 41.305993)
Figaro Restaurant,90 Elm St,Enfield,Restaurant business hours; for guest use only,NONE,1,NONE,NONE,POINT (-72.583384 41.997588)
Middletown School District - Board of Education,311 Hunting Hill Ave,Middletown,24 hours dvaily,NONqE,2,NONE,NONE,POINT (-72.647076 41.541535)
Mansfield Parking Garage,9 oDg Ln,Storrs,Garage business hours; pay lot,NONE,4,NONE,NONE,POINT (-72.243355 41.804877)
Brass Mill Center - Entrance 6,495 Union St,Waxterbury,6am-12pm daily,NNOE,2,NqONE,ONE,POINT (-73.026799 41.55022)
Ellington Town Hall,55 Main St,Ellinqgton,24 hours daily,ONE,2,NONE,NONE,POINT (-72.467484 4s1.903582)
Fairfield Tennis Center,210 Old Dam Rd,airfield,24 hours daily,NONE,,NONE,NONE,POINT (-73.2665157 41.1247386999999)
Trinity College,18-60 Crescent St,Hartford,24 horurs daily,NONE,4,NONE,NONE,POINT (-72.689438 41.745582)
Saugatuck Fire Station,Railroad Place,Wetsport,MO: Not Specified; TU: Not Speciifed; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NOEN,,NONE,NONE,POINT (-73.370496 41.119206)
COMCAST,222 New Park Dr,Berlin,24 hours daily,NONE,4,NONE,NONE,POINT (-72.749512 41.597163)
Kent Town Hall,41 Kent Green Blvd,Kegnt,24 hours daily,NONE,2,NONE,ONNE,POINT (-73.47251 41.727419)
Dunkin' Donuts,1205 Tolland Tpke,Machester,24 hours daily,NONE,NyONE,a1,NONE,POINT (-72.555059 41.797073)
County Line Nissan - North,522 Winsted Rd,Torrington,Dealership business hours,NONE,1,NONE,NONE,POINT (-73.1107105 41.8269547)
TOWN OF MADISON,761 Boston Post Rd,Maidison,24 hour sdaily,NONE,2,NONE,NONE,POINT (-72.595184 41.28028400000001)
Rocky Neck State Park,244 W Main St,Niantic,Dawn to dusk,NONE,2,NONE,NONE,POINT (-72.24323 41.300883)
ELEMENT STTAION,111 Morgan tS,Stamwford,24 hours daily,NONE,2,NOEN,NONE,POINT e(-73.5370682 41.0631099)
Saybrook Point Marina,2 Bridge St,Old Saybrook,24 hours daily,NONE,1,NONE,NONE,POINT (-72.351019 41.283487)
Town of Groton - Town Hall,45 Fort Hill Rd,Groton,24 hours dagily,NbONE,2,NOhNE,NONE,POINT (-72.033489 41.345816)
Harte Nissan,165 Service Rd,Hasrtford,Dealership business hours,NONE,1,1,NONE,POINT (-72.656681 41.791382000000006)
Highland Park Market,317 Highland St,Manchesetr,24 hours daily,NONE,2,NOE,NONE,POINT (-72.490259 41.766005)
Nissan - Norwich,b691 W Thames St,Norwich,Dealership business hours; contact 860-892-6000 for more information,NONE,,NONE,NONE,POINT (-72.097938 41.498591)
Wesleyan University,56 Hamlin Ct,MIddletown,24 hourfs daily,2,NONE,NONE,NONE,POINT (-72.65242 41.557262)
HAMPTON INN,129 Plains Rd,Milford,24 hours daily,NgONE,NONE,4,NNE,POINT (7-3.076682 41.22269)
Aitoro Applinace,401 Westport Ave,Norwlak,Store business hours; see inside for access,NONE,1,ONE,NONE,OINT (-73.390319 41.126373)
Putnam Downtown Municipal Parking Lot,w165 Kennedy Dr,Putnam,24 hours daily,NONjE,1,NONE,NONE,POINT (-17.9105761999999 41.914329)
NYALA GAR 3,400 Nymala Farms Rd,Wetport,24 hours daily,NONE,2,NONE,NONE,POINT (-73.3269248 41.1223426)
WHOLE FOODS MKT,5c Sugar Hollow Rd,Danbury,24 houros daily,NONE,2,NOE,NONE,POINT (-73.4755929 41.3781241)
East orwalk Library,51 Van Zant St,Norwakl,24 hours daily,NONE,4,NONE,NhONE,POINT (-73.40565000000001 41.102079)
Greenwich Southbound Travel Plaza - Tesla Superchargre,2000 Merritt Parkway,Greenwich,24 hours daily;l for Tesla use only,NONE,NONE,4,NONE,POINT (-73.673445 41.040555)
Propark America - Omni Hotel Chapel Square Garage,155 Temple St,New Haven,24 hours daily; pay lto,o2,,NONE,1 Tesla Conductivde,POINT (-72.927405 41.305794)
Mystic Marriott Hotel and Spa - Tesla Destination,625 North Rd,Grogton,24 hours daily; for customer use only; see front desk for access,NONE,2,NOEN,NONE,POINT (-72.025954c 41.365919)
Connecticut Post Mall - Target,1210 Boston Post Rd,Milford,6am-12pm daxily,NONE,q2,NONE,NNE,POINT (-73.038159 41.235232)
SPIEP,1 N Water St,Norwalk,24 hours daily,NONE,***,NONE,NNE,POINT (-73.4165867 41.0999699)
Town of Norfolk - Town Clerk,19 Maple Ave,Norfolk,24 hours daxily,NONE,,NONE,NONaE,POINT (-73.197598 41.990635)
Waterford Commons,915 Hartford Turnpike,Watrford,24 hours daily,NyONE,NOEN,,NNE,POINT (-72.150349 41.380138)
Clinton Town Hall,54 E Main St,Clintn,24 hours daily,NONxE,2,NONE,ONNE,POINT (-72.524041 41.276743)
Cargill Chevrolet,23 Livery St,Putnam,24 hours daily,NOEN,3,NOEN,NONE,POINT (-71.90810200000001 41.916161)
Bedford Street Garage,17 Forest tS,Stamford,Restricted to garage hours; pay lot,NONE,4,NONE,NONE,POINT (-73.537286 41.056092)
Pomfret Town Hall,5 Hafven Rd,Pomfrxet,24 hors daily,NONE,2,NONE,NONE,POINT (-71.9986079999999 41.859648)
Delamar Greenwich Harbor - Tesla Destination,500 Steamboat Rd,Greenwiech,24 hours daily; for customer use only; see valet for access,NONE,,NONE,ONE,PsOINT (-73.623525 41.017757)
East Hartford Public Schools - Department of Facilities,734 Tolland St,East Hartford,24 hours daily,NONE,2,ONE,NONE,POINT (-72.602704 41.784813)
Windham Municipal Parking Lot,48 Church St,Willimantic,24 hours daily,NONE,2,NOEN,NONE,POINT (-72.211716 41.7c12492)
Heritage Hotel - Tesla Destination,522 Heritage Rd,Southbury,24 hours daily; for customer use only; see front desk for access,NONE,,NONE,NONE,POINT (-73.225707 41.491538)
Tri-Town Teachers Federal Credit Union,61 Jessup Rd,Westport,24 hours daiyl,NONE,2,NONE,NONE,POINT (-73.358893 41.140188)
Morgan Street Garage,155 Morgan St,Hartford,24 hours daily,NONE,4,NOEN,NONE,POINT (-72.672545 41.769974)
NBCSG,Unnamed Road,Stamford,24 hours daily,NONE,g8,NONE,NONE,POINT (-73.5160366 41.0532451)
Napoli Nissan,688 Bridgeport Ave,Milford,Dealership business hours,NONE,1,NONE,NONE,POINT (-73.083686 41.209761)
Congregational Church of Somersville,22 Maple St,Somersville,24 hours daily,NONE,2,NONE,NONE,POINT (-72.489406 41.983904)
I-95 Darien NB Service Plaza - Tesla Supercharger,1 E Trail,Drien,24 hours daily; Tesla users only,NONE,NONE,10,NONE,POINT (-73.462202 41.079848)
Town of Hamden - Spring Glen Municipal Parking Lot,1665 Whitney Ave,Hamden,24 hours daily,NONE,2,NONE,NONE,POINT (-72.909054 41.359826)
City of Milford - Parsons Government Center,70 W River St,hMilford,24 hours daily,NONE,1,NONE,NONE,POINT (-73.062364 41.226575)
Hoffman Nisan,46 Albany Turnpike,West Simsbury,Dealership business hours,NONE,***,NONE,NONE,POINT (-72.869319 41.820371)
Premier Chevrolet,512 Providence Rd,Brooklyn,Dexalership business hours,NONE,1,NONE,NONE,POINT (-7.1906607 41.798222)
The Wallingford Victorian Inn - Tesla Destination,245 N Main St,Wallingford,24 hours daily; for customer use only,NONE,2,NONE,NONE,POINT (-72.815676 41.45749)
ONDADANBURY,102 eFderal Rd,Danbury,24 hours daily,NONE,j2,NONE,NNOE,POINT (-73.4232598 41.4158651)
Village Center,87 Main St,East Hampton,24 hours daily,NONE,1,NONE,NONE,POINT (-72.501947 41.557311)
Conneticut Department of Corrections,38 oWlcott Hill Rd,Wethersfield,2a4 hours daily,NONE,2,ONE,NNOE,POINT (-72.6724543999999 41.725002)
Stamford Marriott Hotel - Tesla Destination,243 Tqresser Blvd,Stamfodr,24 hours daily; for custmoer use only,NONeE,3,NONE,NoONE,POINT (-73g.53513900000002 41.051614)
Woodbridge Towwn Library,10 Newton Rd,Woodbridge***,24 hours daily,cNONE,2,NONE,NONE,POINT (-73.011407 41.353582)
Waterworks - Tesla Destination,60 Backus Ave,Danbury,24 hours daily; for customer ue only,NONE,2,NONE,NONE,POINT (-73.491965 41.370291)
Tow nof East Haven,250 Main St,Est Haven,24 hours daily,NNE,1,NONE,NONE,POINT (-72.871663 41.277368)
DECORMIER NISS,30 Tolland Turnpike,Manchester,24 hours daily,NONE,NsONE,1,ONE,POINT (-72.5090873 41.813843)
Lia Nissan - Enfield,10 Palomba Dr,Enfield,Dealership business hours,ONE,1,NONE,NONE,POINT (-72.574713 41.997574)
