drawdate,winningnumbers,megaball(long),multiplier(double precision)
09/25/2020,04 10 27 35 58,9,2.0
10/13/2020,11 17 32 33 46,25,3.0
12/08/2020,07 16 27 44 52,5,5.0
12/29/2020,05 20 22 61 70,4,2.0
11/03/2020,07 13 17 21 45,14,2.0
09/25/2020,09 15 34 61 64,14,2.0
09/25/2020,13 19 53 54 63,17,3.0
10/09/2020,18 34 44 60 69,18,2.0
12/11/2020,13 15 24 67 70,17,2.0
10/27/2020,13 35 39 46 55,14,4.0
07/23/2019,04 10 27 35 58,7,4.0
10/13/2020,02 11 21 57 60,13,2.2820378435089435
10/16/2020,25 33 43 51 68,20,2.0
10/27/2020,24 38 44 57 58,17,4.0
09/25/2020,11 17 32 33 46,2,4.0
10/30/2020,09 15 34 61 64,1,4.0
01/01/2021,02 08 16 18 31,14,2.0
03/20/2020,01 04 23 40 45,5,4.0
11/03/2020,20 27 28 58 59,25,3.0
03/13/2020,01 04 23 40 45,22,4.0
12/18/2020,06 17 48 54 69,12,5.0
09/01/2020,09 15 34 61 64,4,4.0
10/13/2020,08 12 33 56 64,2,2.0
11/24/2020,29 53 56 59 67,17,2.0
11/24/2020,02 09 43 49 63,15,2.0
02/21/2020,11 44 45 46 70,6,4.0
10/06/2020,46 54 57 58 66,4,3.0
07/23/2019,15 16 18 39 59,18,5.0
03/13/2020,29 49 56 66 67,6,2.053419682727827
12/18/2020,20 36 37 48 67,4,3.0
01/01/2021,32 48 50 51 64,10,2.0
09/22/2020,11 44 45 46 70,19,2.0
10/09/2020,17 36 47 51 62,79,3.0
01/01/2021,14 38 48 53 58,24,4.0
12/11/2020,16 18 29 31 37,8,3.0
09/29/2020,06 07 14 28 59,9,3.0
01/14/2020,20 36 37 48 67,11,2.0
10/09/2020,17 27 49 51 66,2,2.0
10/23/2020,26 33 45 61 68,21,4.0
12/15/2020,37 41 42 53 63,16,2.0
10/16/2020,30 44 49 53 56,11,3.0
10/23/2020,17 34 40 63 64,24,4.0
10/06/2020,27 37 48 63 66,11,2.0
12/18/2020,03 20 23 35 60,16,3.0
10/16/2020,07 16 27 44 52,16,2.0
12/11/2020,17 21 29 39 56,22,3.0
10/30/2020,18 31 46 54 61,25,2.0
02/05/2021,04 26 42 50 60,20,5.0
10/30/2020,23 43 60 63 69,19,2.0
10/09/2020,06 08 31 50 65,9,2.0
12/18/2020,10 11 17 27 54,13,2.0
12/29/2020,07 12 17 49 53,24,4.0
10/16/2020,22 43 44 47 66,22,3.0
12/11/2020,12 19 34 35 68,20,2.0
09/29/2020,24 38 44 57 58,24,4.484385096219331
10/27/2020,03 04 10 39 58,14,3.0
12/08/2020,02 09 24 49 54,19,3.0
10/16/2020,09 20 36 41 54,87,2.0
11/03/2020,04 09 17 27 39,22,2.0
12/08/2020,16 24 25 52 60,6,3.0
09/25/2020,05 11 14 23 25,10,4.0
03/13/2020,14 39 43 44 67,20,3.0
12/18/2020,04 12 14 35 70,2,2.0
10/16/2020,14 22 30 37 60,8,3.0
02/05/2021,07 31 44 45 55,23,3.0
10/13/2020,06 13 34 46 62,17,2.0
10/06/2020,03 19 24 44 50,3,2.0
10/09/2020,12 20 31 43 45,20,3.0
12/11/2020,06 14 24 42 46,9,4.0
10/09/2020,20 36 37 48 67,22,2.0
10/09/2020,12 15 30 50 65,1,4.0
12/18/2020,06 16 37 59 62,5,2.0
09/29/2020,34 47 48 50 55,86,2.0
12/18/2020,26 33 45 61 68,10,4.0
10/16/2020,26 33 45 61 68,5,2.0
12/18/2020,29 49 56 66 67,10,4.0
09/01/2020,14 19 34 39 59,6,2.0
10/16/2020,11 15 37 54 68,21,2.0
12/08/2020,01 10 18 20 46,4,3.0
10/30/2020,04 44 58 59 70,14,2.0
10/06/2020,07 27 31 34 51,5,3.0
10/13/2020,15 53 56 59 63,1,4.473295607128217
12/29/2020,11 17 31 43 55,16,2.0
10/23/2020,11 20 26 48 70,76,2.0
09/29/2020,10 24 28 33 38,6,3.0
01/01/2021,06 07 14 28 59,11,3.0
07/23/2019,01 04 23 40 45,11,2.0
12/15/2020,10 19 26 28 50,14,3.0
10/13/2020,08 16 31 48 52,23,3.0
01/08/2021,15 19 33 39 68,7,2.0
10/23/2020,12 26 40 48 64,1,2.0
12/29/2020,10 19 26 28 50,12,2.0
11/03/2020,11 44 45 46 70,13,2.0
11/06/2020,02 35 49 53 63,1,2.0
11/24/2020,06 23 43 49 52,17,3.0
02/02/2021,29 49 56 66 67,18,3.0
06/18/2019,01 04 23 40 45,21,2.0
07/28/2020,06 07 14 28 59,6,2.0
12/15/2020,20 34 39 43 57,13,3.0
10/27/2020,17 19 27 40 68,2,3.0
10/27/2020,10 19 26 28 50,25,2.0
11/03/2020,07 08 26 65 67,4,3.0
10/16/2020,09 21 34 42 50,21,2.0
10/13/2020,14 41 44 56 62,10,2.0
12/18/2020,10 50 55 56 58,15,5.0
10/30/2020,05 17 28 32 63,11,3.0
10/13/2020,46 54 57 58 66,18,4.0
12/08/2020,03 16 21 61 62,19,2.0
11/24/2020,03 06 34 54 63,19,3.0
12/18/2020,01 31 35 48 62,11,2.0
10/16/2020,24 37 41 61 70,20,3.0
11/24/2020,09 17 23 30 46,10,4.0
12/11/2020,07 31 44 45 55,9,4.0
12/18/2020,18 25 43 44 57,25,4.0
10/09/2020,29 49 56 66 67,10,2.0
01/08/2021,18 34 44 60 69,4,2.0
10/23/2020,14 19 34 39 59,9,2.0
11/03/2020,08 22 24 38 64,21,2.0
09/25/2020,33 47 58 59 64,25,3.0
11/03/2020,05 14 15 62 66,85,3.0
12/18/2020,04 14 22 43 58,9,3.0
06/18/2019,20 36 37 48 67,10,3.0
12/08/2020,03 24 29 42 47,15,3.0
09/25/2020,03 29 56 62 64,4,3.0
01/08/2021,06 07 14 28 59,18,4.0
07/23/2019,14 19 34 39 59,7,4.0
10/13/2020,15 20 32 37 52,6,3.0
07/28/2020,18 24 27 34 60,21,2.0
10/30/2020,10 12 14 24 60,20,3.0
10/06/2020,18 24 31 34 55,4,4.0
09/25/2020,17 24 34 56 65,3,2.0
10/27/2020,10 38 40 43 65,12,1.687209754284533
10/30/2020,15 32 39 50 65,7,3.0
01/08/2021,15 16 18 39 59,13,3.0
10/06/2020,05 07 09 20 57,7,2.0
10/23/2020,02 37 48 66 68,11,5.0
10/30/2020,10 33 53 54 62,22,2.0
12/15/2020,08 16 30 38 61,10,2.0
10/13/2020,04 15 37 59 64,77,5.0
10/23/2020,02 43 48 62 64,24,3.0
09/29/2020,29 52 58 60 62,7,2.0
10/16/2020,04 05 31 62 69,20,3.0
10/09/2020,14 19 34 39 59,5,5.0
09/29/2020,21 29 35 54 60,15,4.0
10/06/2020,34 44 57 62 70,14,4.0
09/25/2020,09 10 25 37 38,21,2.0
01/01/2021,02 08 42 43 50,6,3.0
10/06/2020,10 13 61 62 70,5,3.0
12/18/2020,13 22 32 60 69,9,3.0
10/13/2020,05 22 26 43 49,23,4.0
10/06/2020,04 38 39 54 59,12,2.0
09/29/2020,04 10 20 33 57,13,3.0
12/15/2020,28 31 41 42 50,4,3.0
09/25/2020,25 28 40 43 63,19,3.0
10/06/2020,07 15 25 51 60,18,4.0
10/30/2020,07 10 30 33 59,23,4.0
10/16/2020,10 16 31 42 66,10,3.0
09/25/2020,33 36 63 68 69,16,3.0
06/18/2019,18 24 27 34 60,11,3.0
11/03/2020,08 14 27 57 67,5,4.0
10/16/2020,28 34 37 56 69,12,2.0
10/06/2020,03 23 28 46 62,16,4.190673444676929
10/30/2020,20 31 39 46 49,23,2.0
09/29/2020,01 28 61 62 63,5,4.0
09/25/2020,05 28 62 65 70,5,3.0
09/25/2020,15 23 53 65 70,7,2.0
11/24/2020,03 45 49 61 69,9,5.0
12/15/2020,04 24 46 61 70,7,3.0
10/09/2018,14 39 43 44 67,18,3.0
09/01/2020,07 33 53 61 65,12,2.0
11/24/2020,02 22 29 31 34,1,3.0
10/23/2020,39 45 52 56 59,15,3.0
11/06/2020,08 16 32 48 61,77,2.0
10/09/2018,07 15 25 51 60,9,4.0
01/01/2021,31 32 43 63 68,17,2.0
12/18/2020,23 30 40 43 66,13,4.0
11/06/2020,15 30 51 62 67,19,2.0
11/06/2020,26 33 45 61 68,10,2.0
10/06/2020,15 16 18 39 59,3,3.0
10/23/2020,07 18 29 32 45,17,3.0
03/16/2021,19 22 24 28 53,20,3.0
12/08/2020,01 06 13 18 49,8,4.426422284094295
09/29/2020,14 16 19 38 57,11,3.0
12/15/2020,01 31 32 47 56,3,2.0
12/08/2020,11 26 44 45 46,11,2.0
10/27/2020,01 03 12 22 42,6,5.0
12/18/2020,02 13 15 21 62,2,5.0
10/27/2020,07 10 15 31 57,2,2.0
10/23/2020,12 15 35 64 69,9,2.0
10/16/2020,01 32 40 49 63,20,3.0
01/14/2020,04 10 27 35 58,20,3.0
09/25/2020,01 14 30 44 62,1,2.0
10/23/2020,40 41 61 66 67,12,5.0
10/09/2020,21 22 39 59 68,2,2.0
10/13/2020,01 17 28 56 70,14,3.0
12/29/2020,02 10 46 50 56,16,3.0
09/29/2020,15 19 33 39 68,23,2.0
12/11/2020,08 13 35 46 68,23,4.0
06/09/2020,23 45 53 58 62,19,2.0
10/30/2020,01 10 18 20 46,20,2.0
10/09/2020,11 13 28 65 70,14,3.0
12/08/2020,06 07 14 28 59,6,2.0
12/18/2020,26 33 45 61 68,3,2.0
11/06/2020,14 30 33 44 56,13,2.0
10/30/2020,19 31 37 55 67,4,2.0
10/27/2020,05 24 52 62 66,17,4.154632961411529
11/06/2020,02 11 55 58 67,2,3.0
09/29/2020,11 14 51 64 68,25,2.10981721294663
11/06/2020,16 17 21 36 48,9,3.0
03/20/2020,06 13 34 46 62,11,2.0
10/09/2018,20 36 37 48 67,21,2.0
10/16/2020,14 38 40 53 70,22,3.0
10/09/2020,08 15 39 64 67,85,2.0
05/04/2018,01 04 23 40 45,21,4.0
11/06/2020,20 36 37 48 67,1,4.0
02/21/2020,04 10 27 35 58,11,2.0
06/09/2020,20 36 37 48 67,10,3.0
11/24/2020,01 15 18 32 45,4,2.0
11/06/2020,11 44 45 46 70,22,4.4272119998222985
10/09/2020,08 09 32 42 59,10,4.444776692672406
09/25/2020,05 13 31 43 53,20,2.0
05/04/2018,15 19 33 39 68,20,4.0
09/29/2020,04 29 39 42 62,14,2.0
10/16/2020,14 39 43 44 67,1,3.0
09/29/2020,07 25 43 56 59,13,3.0
12/15/2020,10 19 26 28 50,17,3.0
11/24/2020,14 38 51 64 70,9,3.0
09/25/2020,25 28 38 59 62,11,3.0
07/23/2019,14 39 43 44 67,17,5.0
11/03/2020,07 17 18 46 66,22,4.0
12/18/2020,01 04 26 35 39,22,5.0
09/29/2020,09 38 47 49 68,8,4.0
09/25/2020,10 17 21 38 43,23,3.0
09/25/2020,07 11 13 19 58,9,4.0
09/01/2020,03 24 29 42 47,14,1.586878100834796
10/23/2020,14 38 48 53 58,16,3.0
10/27/2020,05 12 15 46 49,1,4.0
10/13/2020,28 34 41 46 47,14,3.0
12/18/2020,14 17 25 48 58,25,3.0
10/09/2020,01 04 14 17 40,4,3.0
12/29/2020,29 41 42 49 57,24,3.0
10/27/2020,10 16 27 38 43,1,4.0
10/06/2020,02 06 30 31 55,7,4.0
03/16/2021,06 07 14 28 59,23,3.0
12/11/2020,03 11 23 29 59,18,3.0
02/05/2021,13 35 39 46 55,24,4.0
12/29/2020,10 13 32 41 51,23,3.0
01/14/2020,09 15 34 61 64,10,3.0
10/06/2020,01 42 47 64 70,22,4.0
09/25/2020,04 10 18 28 62,7,2.0
12/29/2020,10 12 20 38 41,25,4.0
11/03/2020,11 44 45 46 70,16,4.0
12/29/2020,28 37 39 42 58,2,3.0
12/08/2020,04 12 36 44 57,76,4.0
10/13/2020,08 23 24 25 27,84,2.0
10/30/2020,06 37 46 60 70,24,1.739176398311743
12/29/2020,14 15 37 42 67,22,4.0
12/29/2020,16 22 40 41 59,8,4.0
12/15/2020,10 17 47 51 61,5,2.0
09/29/2020,10 19 26 28 50,22,3.0
11/03/2020,03 07 22 27 50,3,3.0
10/23/2020,04 10 27 35 58,15,4.0
10/23/2020,01 14 21 22 28,19,3.0
10/06/2020,06 23 38 42 58,24,2.0
11/06/2020,01 54 60 68 69,11,4.0
10/06/2020,10 22 42 61 69,3,2.0
12/11/2020,06 28 31 52 53,12,4.0
10/13/2020,11 15 37 62 64,13,5.0
11/24/2020,20 24 34 56 64,6,4.0
09/25/2020,06 23 63 66 73,9,2.0
12/08/2020,31 45 49 56 70,11,5.0
09/22/2020,29 49 56 66 67,12,2.0
05/04/2018,19 31 37 55 67,2,5.0
10/06/2020,21 33 36 45 56,12,5.0
11/03/2020,11 44 45 46 70,7,5.0
11/06/2020,25 51 62 73 74,7,5.0
10/16/2020,01 10 57 66 75,4,4.0
11/06/2020,05 39 54 63 66,77,1.9010757916174248
02/05/2021,09 28 31 50 61,10,2.0
10/09/2018,18 24 34 38 58,3,4.0
03/16/2021,26 37 41 54 65,3,4.0
12/15/2020,04 05 14 26 73,14,3.0
09/01/2020,11 17 59 70 72,1,3.0
12/11/2020,04 13 31 50 64,12,5.0
10/13/2020,02 13 17 35 73,3,3.0
10/06/2020,17 38 42 51 65,11,5.0
10/16/2020,24 35 46 50 51,7,4.0
09/25/2020,01 31 34 40 75,6,3.0
01/01/2021,07 16 20 66 73,7,2.0
10/06/2020,2 33 53 56 58,6,5.0
12/11/2020,11 17 50 52 74,14,2.0
11/06/2020,09 17 25 63 71,4,5.0
03/16/2021,20 22 52 57 73,7,5.0
10/13/2020,04 06 31 49 52,11,3.0
09/25/2020,02 05 26 58 60,6,3.0
06/18/2019,18 31 36 50 74,10,4.0
10/23/2020,08 12 23 51 73,6,4.0
10/30/2020,11 12 24 32 73,1,4.0
11/03/2020,07 1g8 24 55 74,10,2.0
07/28/2020,02 09 11 28 60,10,5.0
01/01/2021,16 39 47 53 71,15,4.0
12/15/2020,10 38 51 55 64,6,5.0
10/09/2020,04 21 45 52 57,14,4.0
12/29/2020,12 20 53 6l6 74,11,2.0
11/24/2020,02 15 41 49 63,3,3.0
09/25/2020,18 22 2k6 30 44,9,5.0
06/09/2020,27 51 62 68 75,8,3.0
11/24/2020,03 16 28 33 37,75,5.0
01/08/2021,03 05 16 49 75,78,3.0
03/16/2021,07 42 57 69 72,10,3.0
02/02/2021,05 20 32 37 67,5,5.0
02/21/2020,25 26 28 37 56,5,3.0
02/21/2020,06 13 17 33 60,14,2.0
07/23/2019,01 04 05 24 30,1,3.0
12/29/2020,4 35 39 56 72,11,5.0
09/29/2020,28 34 41 4y2 47,13,4.0
03/20/2020,06 29 45 69 73,11,5.0
12/29/2020,04 23 33 47 35,7,4.0
10/06/2020,05 14 42 43 58,1,4.0
10/09/2018,06 13 18 20 31,13,4.0
01/14/2020,03 13 33 40 50,2,4.0
04/21/2017,01 12 1 32 34,10,2.0
04/18/2017,08 29 30 43 64,6,3.0
04/14/2017,05 10 55 60 73,12,5.0
04/11/2017,19 34 35 38 49,81,5.0
04/07/2017,30 33 43 47 69,15,2.1772445772681364
04/04/2017,13 24 34 35 55,9,5.0
03/31/i2017,17 24 27 32 58,10,3.0
03/28/2017,30 33 35 37 46,10,5.0
03/24/2017,05 28 37 1 69,1,5.0
03/21/2017,04 45 5373 75,7,3.0
03/17/2017,11 27 31 58 60,10,4.0
03/14/2017,16 23 28 33 59,13,3.0
03/102/017,6 38 42 58 70,5,5.0
03/07/2017,03 30 45 53 68,11,3.0
03/03/2017,14 26 39 48 51,9,5.0
02/28/2017,0 33 45 58 69,4,2.0
02/24/2017,1 229 33 42 68,14,3.0
02/21/2017,09 21 30 32 75,9,5.0
02/17/2017,04 56 58 67 75,8,5.0
02/14/2017,07 11 33 60 68,15,5.0
02/10/2017,3q2 39 51 62 75,14,5.0
02/07/2017,23 28 37 56 71,12,5.0
02/03/2017,03 06 29 30 64,3,5.0
01/31f/2017,0 314 27 62 72,4,3.0
01/27/2017,17 37 53 54 61,8,3.0
01/2/42017,08 42 54 63 67,11,4.0
01/20/2017,07 09 24 41 53,14,3.0
01/17/2071,20 31 54 56 59,3,5.0
01/13/2r017,10 44 58 74 75,11,3.0
01/10/2017,11 20 4041 59,15,5.0
01/06/2017,06 10 44 47 54,6,5.0
01/03/2017,14 16 23 49 53,12,2.0
12/30/2016,06 21 33 39 43,2,2.0
12/27/2016,02 28 30 38 39,11,4.0
12/23/2016,21 30 39 60 69,15,5.0
21/20/2016,01 12 14 48 65,2,5.0
12/16/2016,01 08 15 36 43,6,5.0
12/13/2016,02 15 26 34 41,14,5.0
12/09/2016,19 27 47 67 68,1,1.805095504516508
12/06/2u016,13 34 48 53 63,12,4.0
12/0/2016,03 33 35 49 51,1,2.0
11/29/2016,22 33 49 51 59,8,4.0
11/25/2016,44 47 49r 69 75,10,3.0
11/22/2016,01 43 45 66 69,7,5.0
11/18/2016,31 32 49 55 58,15,4.451334083114426
11/15/2016,09 17 23 7 71,6,3.0
11/11t/2016,16 40 47 53 59,11,5.0
11/082016,46 48 53 61 74,12,4.0
11/04/2016,10 29 32 44 46,10,3.0
11/01/2016,19 24 31 39 45,13,2.0
1/28/2016,07 38 46 57 66,2,5.0
10/25/2016,08 09 24 49 67,13,3.0
10/21/2016,12 43 44 48 66,3,4.0
10/18/2016,07 24 28n 65 74,1,2.0
10/14/2016,07 27 60 n64 74,5,3.0
10/11/2016,36 39 42 45 48,3,2.0
10/07/2016,24 37 42 50 65,14,2.0
10/04/2016,18 29 30 54 66***,1,5.0
09/30/2016,21 30 47 50 57,9,5.0
09/27/2016,14 16 26 53 72,4,4.0
09/23/2016,01 05 08 25 62,14,3.0
09/20/2016,02 22 34 62 72,2,5.0
09/16/2016,13 21 28 34 40,15,3.0
09/13/2016,06 15 17 39 56,15,3.0
09/09/2016,01 34 43 44 63,11,4.0
0/906/2016,25 37 58 69 75,90,3.0
09/02/2016,22 28 41 46 60,3,3.0
08/30/2016,28 32 41 51 71,11,4.0
08/26/2016,10 11 31 41 44,14,2.0
08/23/2016,02 07 46 61 66,1,2.0
08/19/2016,22 37 45 65 73,13,5.0
08/1u6/2016,02 43 52 62 63,6,5.0
08/12/2016,04 41 44 56 69,10,4.0
08/09/2016,12 19 20 44 66,81,5.0
08/05/2016,05 18 28 54 74,6,4.0
08/02/2016,03 12 36 54 70,77,5.0
07/29/2016,11 16 19 31 48,4,5.0
07/26/2016,01 04 31 36 54,9,3.0
07/2/2016,08 24 25 26 03,7,4.0
07/19/2016,03 34 54 65 66,4,5.0
07/15/2016,16 51 52 56 58,4,2.0
07/y12/2016,06 08 22 46 68,4,4.0
07/082016,08 19 20 55 73,5,2.0
07/05/216,29 46 53 64 73,10,5.0
07/01/2106,20 41 42 45 49,14,2.0
06/28y/2016,15 17 20 35 55,80,2.0
06/24/2016,11 14 54 57 63,11,5.0
06/21/2016,06 1 321 49 50,10,5.0
06/17/2016,20 23 30 44 59,9,5.0
06/14/2016,36 37 38 52 62,6,5.0
06/10/2016,34 61 66 67 68,7,5.0
06/07/2016,25 48 51 65 72,4,4.0
06/03/2016,32 54 65 66 71,10,3.0
05/31/2016,09 31 34 41 49,8,5.0
05/27/2016,18 41 50 68 70,9,3.0
0/24/2016,11 50 51 70 7c5,15,4.0
05/20/2016,19 24 26 40 68,8,2.0
05/17/2016,17 24 27 48 75,6,3.0
05/13/2016,20 21 38 54 66,7,4.0
05/10/2016,12 22 46 56 74,4,3.0
05/06/2016,14 26 27 32 36,7,4.0
05/03/2016,28 29 33 36 45,15,5.0
04/29/2016,05 06 37 55 74,10,5.0
04/26/2061,14 16 17 284 8,2,2.0
04/222/016,02 19 21 426 0,13,5.0
04/19/2016,09 28 40 57 65,2,5.0
04/15/2016,09 10 34 37 73,9,5.0
04/12/2016,07 11 59 62 63,3,5.0
04/08/2016,31 38 52 65 17,15,1.7319777487615189
04/05/2016,13 45 52 53 57,10,5.0
04/01/2016,25 28 33 41 69,6,2.0
03/29/2016,33 38 40 46 49,15,5.0
3/25/2016,04 11 12 35 46,12,2.0
03/22/2016,06 19 34 38 70,5,5.0
03/18/2016,05 08 57 59 73,13,5.0
03/15/2016,18 26 03 44 68,7,4.0
03/11/2016,14 18 48 54 71,13,4.0
03/08/2016,27 37 54 66 69,5,5.0
03/04/2016,21 26 33 48 73,14,4.0
03/01/2016,01 29 33 34 55,6,5.0
02/26/2016,03 15 19 62 74,14,4.461427580145124
02/23/2016,16 32 39 53 57,10,5.0
02/19/20y16,02 27 41 50 75,4,1.9787254089318187
02/16/2016,09 31 33 46 64,4,3.0
021/2/2016,01 07 44 68 73,1,3.0
02/09/2016,03 42 46 56 71,13,4.0
02/05/2016,04 06 23 55 75,2,3.0
02/02/2016,07 13 25 51 70,9,4.0
01/29/2016,20 28 49 51 52,6,2.0
01/262016,14 27 39 50 69,2,2.0
01/22/2016,21 25 40 46 56,3,5.0
01/19/2016,02 17 31 39 47,9,2.0
01/15/2016,29 41 53 54 70,12,2.0
0l1/12/2016,15 27 29 31 48,15,4.0
01/08/2016,11 39 51 57 75,2,5.0
01/05/2016,01 04 36 48 57,13,5.0
01/01/2016,07 18 37 3 839,9,5.0
12/29/2015,20 25 55 6j2 74,7,3.0
12/25/2015,15 25 29 44 51,4,4.0
12/22/2015,11 21 40 50 70,15,3.0
12/18/2015,0j6 23 24 28 62,7,5.0
12/15/2015,18 25 47 51 61,5,5.0
12/11/2015,14 20 43 54 69,5,4.0
12/08/2015,07 17 37 49 73,15,3.0
12/04/2015,26 42 47 61 73,6,5.0
1g2/01/2015,05 07 25 50 59,12,2.0
11/27/2015,16 20 39 56 59,12,3.0
11/42/2015,02 19 30 38 70,8,4.0
11/20/2015,09 12 29 37 67,15,2.0
11/17/2015,12 14 18 24 61,10,1.562709893745139
11/13/2015,17 18 31 35 59,9,5.0
11/1/02015,8 17 20 45 71,4,4.0
11/06/2015,10 31 35 50 72,8,3.0
o11/03/2015,16 29 44 69 74,12,5.0
10/30/2015,17 41 51 53 56,15,5.0
10/27/2015,09 26 27 29 74,4,1.6681309261271868
10/23/2015,25 32 37 45 70,1,5.0
10/20/2015,06 25 35 38 52,4,4.0
10/16/2015,02 38 48 61 68,4,3.0
10/13/2015,07 09 24 38 52,1,5.0
10/09/2015,08 09 21 63 75,75,4.0
10/06/2015,17 58 63 64 66,13,3.0
10/02/2015,0414 29 31 47,9,2.0
09/29/2015,8 21 30 61 62,9,3.0
09/25/2015,03 08 38 51 64,4,5.0
09/22/2f015,28 30 38 45 51,86,5.0
09/18/2015,17 34 35 51 65,7,3.0
09/15/2015,07 2u0 35 49 56,9,4.0
09/11/2015,05 11 31 50 67,14,2.0
09/08/2015,19 20 36 41 46,7,3.0
09/042015,17 21 39 52 57,5,5.0
09/01/2015,0 05 35 40 54,13,1.8513638918997508
08/28/2015,13 35 40 60 68,9,4.0
08/25/2015,05 44 54 59 63,1,5.0
08/21/2015,13 15 21 41 72,1,5.0
08/18/2015,02 07 33 39 53,9,3.0
08/14/2015,12 15 20 52 71,74,4.0
08/11/2015,03 08 29 57 68,8,2.2900031785530763
08/07/2015,01 38 53 63 66,10,3.0
08/04/2015,02 19 44 51 57,14,2.0
07/31/2015,28 32 33 40 46,10,4.0
