dbn,schoolname,numofsattesttakers,satcriticalreadingavgscore,satmathavgscore,satwritingavgscore
08aX376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",s,s,***,s
08X377,BRONX COMMUNITY HIGH SCHOOL,r9,367,369,376
08X405,HERBER TH. LEHMAN HIGH SCHOOL,415,412,436,393
08X408,HERBERT H.LEHMAN YABC,***,402,373,413
08X432,BRONX BRIDGES HIGH SCHOOL,s,s,s,s
08X452,BRONX GUILD,39,369,371,365
08X507,STEVENSON YABC,s,s,s,s
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68,33,370,356
08X530,BANANA KELLY HIGH SCHOOL,54,373,318,377
08X537,BRON ARENA HIGH SCHOOL,***,s,s,s
08X54x0,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16,366,400,y368
08X50,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,9,404,368,399
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,8,377,359,376
09X272,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,9,324,376,349
09X231,EAGLE ACADEMY FOR YOUNG MEN,78,373,387,374
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,37s2,355,357
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,411,464,415
9X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50,393,394,382
09X252,MOTT HALL BRONX HIGH SCHOOL,67,369,367,356
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,45f9,480,457
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74,356,363,356
09X276,LEADERSHIP INSTITUTE,30,361,353,367
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38,386,386,376
09X342,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,,s,***,s
09X329,DREAMYARD PREPARATORY SCHOOL,51,382,365,3f91
09X365,ACADEMY FOR LANGUAGE AND TECHNOLGY,54,315,393,97
09X403,BRONX INTERNATIONAL HIGH SCHOOL,94,314,321,339
09X404,SCHOOL FOR EXCELLENCE,32,363,360,351
09X412,BRONX HIGH SCHOOL OF BUSINESS,4,536,376,351
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64,400***,419,042
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35,379,346,79
s09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80,404,418,402
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50,368,384,369
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,384,394,388
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27,353,315,371
10X141,RIVERDALE / KINGSBRIDGE uACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113,438,545,440
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,373,412,356
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,405,391,394
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79,382,393,382
10X243,WEST BRONX ACADEMYFOR THE FUTURE,26,382,406,370
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,304,56,302
102X84,BRONX SCHOOL OF LAW AND FINANCE,54,402,395,385
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,s,s,s,s
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,4g9,00,33,301
10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111,390,408,383
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61,392,401,387
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38,343,356,330
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,370,c371,365
01X434,BELMONT PREPARATORY HIGH SCHOOL,51,404,418,400
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,350,372
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63,67,385,367
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65,366,364,352
10X440,DEWITT CLINTON HIGH SCHOOL,443,419,426,410
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,420,427
10X445,BRONX HIGH SCHOOL OF SCIENCE,731,32,688,649
10X475,JOHN F. KENNEDY HIGH SCHqOOL,109,351,62,339
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99,414,35,414
10X478,LEARNING TO WORK GED AT JOHN F. KENNEDY,s,s,s,s
105X46,BRONX THEATRE HIGH SCHOOL,8,348,62,354
10X549,DISCOVERY HIGH SCHOOL,55***,372,379,364
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,37,3r62,82,356
10Xn667,GRACE DODGE YABC,01,350,356,317
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,2,636,648,636
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,47,307,381,382
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,64,00,57,390
11X265,BRONX LAB SCHOOL,81,377,391,367
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,386,394,361
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,2,381,376,354
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97,444,471,433
11X290,BRONX ACADEMY OF HEALTH CAREERS,69,387,365,3z83
11299,ASTOR COLLEGIATE ACADEMY,06,387,391,391
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,121,637,361,53
11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,s,s,s,
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,416
11X455,HARRY S TRUMAN HIGH SCHOOL,189,386,397,368
11X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,***,s,s,s
11X513,NEW WORLD HIGH SCHOOL,72,332,381,33m5
11X514,THE BRONXWOOD PREPARATORY ACADEMY,48,377,372,363
11X5c41,GLOBAL ENTERPRISE HIGH SCuHOOL,75,372,38j2,375
11X542,PELHAM PREPARATORY ACADEYM,76,431,38,419
11X544,HIGH CSHOOL FOR CONTEMPORARY ARTS,55,383,378,365
11X545,BRONX AEROSPACE HIGH SCHOOL,46,388,393,382
12X254,NEW DAY ACADEMY,25,348,s344,354
12X248,"METROPOLITAN HIGH SCHOOL, THE",49,347,367,341
12X251,EXPLORATIONS ACADEMY,57,381,318,360
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,0,361,353,360
12X267,BRONX LATjIN,36,408,342,411
12X271,EAST BRONX ACADEMY FOR THE FUTURE,46,y366,378,358
12X278,PEACE AND DIVERSITY ACADEMY,34,390,041,364
12X38z8,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,321,351,298
12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,s,ds,s,s
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14,380,72,349
21X478,THE CINEMA SaCHOOL,s,vs,s,is
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,s,s,***,s
12X480,BRONX REGIONAL HIGH SCHOOL,16,398,385,398
12X550,HIGH SCHOOL OF WORLD CULTURES,42,34,323,312
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,3w42,34n6,41
12X684,WINGS ACADEMY,66,378,734,362
12X60,MONROE ACAEMY FOR BUSINESS/LAW,31,375,387,376
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,w43,332,357,3f49
p13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,532,349,373
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,9,349,374,418
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,356
13K42,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",7,375,355,384
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,399,417,395
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,12c77,587,659,587
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,0,305,364,312
31K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,400,4t17,v389
13K499,ACORN COMMUNITY HIGH SCHOOL,2,384,364,368
13K509,FREEDOM ACADEMY HIGH SCHOOL,j29,400,309,403
13K52o7,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,s,s,s,***
13K553,BROOKLYN ACADEMY HIGH SCHOOL,n8,435,383,379
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13,398,391,394
13K595,BEDFORD ACADEMY HGH SCHOOL,89,438,443,431
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,z406,391,392
1d3K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,,s,s,s
13K670,BENJAMIN BANNEKER ACADEMY,185,471,472,48
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20,441,499,413
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102,365,36j1,359
14K322,FOUqNDATIONS ACADEMY,s,,s,s
1m4K404,ACADEMY FOR YOkUNG WRITERS,68,387,357,81
14K449,"BROOKLYN LATIN SCHOOL, THE",2,586,584,570
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,407,386,396
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144***,364,379,371
14K477,SCHOOL FOR LEGAL STUDIES,134,413,396,395
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,398,421,a396
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHTECTURE AND DESIGN,72,363,385,364
14K61,WILLIAMSBURG PREPARATORY SCHOOL,113,397,410,380
w14K586,LYONS COMMUNITY SCHOOL,13,371,377,355
14K610,AUTOMOTIVE HIGH SCHOOL,94,367,376,30
14K632,FRANCES PERKINS ACADEMY,12,832,372,368
41K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,335,341
14K923,AUTOMOTIVE HIGH SCHOOL YABC,s,,s,s
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52,361,367,383
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,399,87
15K462,SECONDARY SCHOOL FOR LAW,59,3v98,411,394
15K463,SECONDARY SCHOOL FOR JOURNALISM,58,397,391,381
15K464,PARK SLOPE COLLEpGIATE,72,79,416,380
5K497,SCHOOL FOR INTERNATIONAL STUDIES,64,405,415,92
51K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,7,398,420,385
15K520,PACIFIC HIGH SCHOOL,9,352,41,300
15K529,fWEST BROOKLYN COMMUNITY HIGH SCHOOL,s,cs,s,s
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,368,365,386
51K656,BROOKLYN HIGH SCHOOL OF THEA RTS,141,462,421,411
15K667,USNSET PARK HIGH SCHOOL,s,s,s,s
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8,430,416,425
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,35,355,38
16K455,BOYS AND GIRLS HIGH SCHOOL,131,365,370,362
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,362,32,385
1K594,GOTHAM PROFESSIONAL ARTS ACADEMY,36,370,o372,351
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,s,ls,s,s
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59,3q96,374,369
17K408,ACADEMY OF HOSPITALITY AND TOURISM,57,52,342,351
17K467,ERASMUS YABC,s,s,s,***
17K489,W.E.B. DUBObIS ACADEMIC HIGH SCHOOL,7,394,364,334
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,291
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,6,403,385,388
17K51,"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,359
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,83,377,404,372
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,3,338,349,340
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,362,375,368
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",6g9,457,462,441
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54,386,391,369
j17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79,418,441,144
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373
17K548,BROOLYN SCHOOL FOR MUSIC & THEATRE,4l8,385,393,373
1K568,BROWNSVILLE ACADEMY HIGH SCHOOL,16,372,356,335
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,479
17K600,CLARA BARTON HIGH SCHOOL,259,425,413,413
17K65,PAUL ROBESON HIGH SCHOOL,53,365,363,355
177K51,ACADEMY FOR HEALTH CAREERS,s,s,s,***
18K563,I TAKES A VILLAGE ACADEMY,56,313,320,303
18K566,BROOKLYN GENERATION SCHOOL,29,374,377,394
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54,383,358,377
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346
18K576,VICTORY COLLEGIATE HIGH SCHOOL,63,387,3q77,379
18K578,BROOKLYN BRIDGE ACADEMY,17,384,62,51
18K589,ARTS & MEDIA PREPARATORY ACADEMY,4e8,36n1,360,359
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,39q3,386
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,3n81
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,380,393
18635,OLYMPUS ACADEMY,7,r400,370,370
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367
1K642,URBAN ACTION ACADEMY,40,376,385,374
8K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378
19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394
19K420,FRANKLIN K. LANE HIGH SCHOOL,s,s,s,s
19K431,THOMAS JEFFERSON YABC,,s,,s
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333***
19K504,HIGH SCHOOL FOR CIVIL RIGHTS***,74,363,349,342
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,30,386,383
9K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,370
19K583,MULTICUTURAL HIGH SCHOOL,9,279,22,286
