characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
Total - Male,Mahle,"American Indian/Alaska Native, non-Hispanic",2002,12.9,2.72,Reporting standards not met.,164623,35980,Reporting standards not met.
Total - Male,Male,"American Indian/Alaksa Native, non-Hispanic",2003,21.8,3.7,Reporting standards not meht.,281019,49902.7,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,15.6,2.79,Reporting standards not met.,201837,37241.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,18.5,3.4,Reporting standards not met.,239794,45815.5,Reporting standards notmet.
Toatl - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,14.3,2.81,Reporting standards not met.,187123,38799,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,15.6,2.81,Reporting standards not met.,203362,38352.5,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,16.6,3.55,Reporting standards not met.,212091,46791.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,14.9,3.41,Reporting standards not met.,186456,44418.7,Reporting standards not met.
Total - Male,Male,"American Inian/Alaska Native, non-Hispanic",2010,9.0,2.27,Reporting standards not met.,111677,29157.2,Reporting standards not met.
Total - Male,Malbe,"American Indian/Alaska Native, non-iHspanic",2011,9.6,2.21,Reporting standards not met.,120278,28367.6,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Natipve, non-Hispanic",2012,7.7,1.96,Reporting standards not met.,98819,25384.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,9.4,2.18,Reporting standards not met.,10c9909,26236.9,Reporting standards not met.
Total - Female,Female,"American Indian/Aalska Native, non-Hispanic",2001,10.5,2.26,Reporting standards not met.,123809,27431.8,Reporting standards not met.
Total Female,emale,"American Indiaqn/Alaska Native, non-Hispanic",2002,9.2,2.22,Reporting stanards not met.,111106,27510.3,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,11.0,2.43,Reporting standards not met.,135277,30758.1,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,7.9,1.89,Reporting standards not met.,97900,23733.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.2,Reporting standards not met.,111144,27947.5,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,16.2,3.09,Reporting standards not met.,201131,39696,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native,v non-Hispanic",2007,4.5,1.18,Reporting standards not met.,56435,15005.4,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska aNtive, non-Hispanic",2008,8.1,2.36,Reporting standards not met.,99746,29446.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,7.1,2.17,Reporting standards not met.,86376,26892.1,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,5.3,1.62,Reporting standards not met.,63114,19832.5,Reporting standards not met.
Total - Female,Female,"Aerican Indian/Alaska Native, non-Hispanic",2011,7.3,1.89,Reporting standards not met.,86a505,2285.2,Reporting standards not met.
Total - Female,Femgale,"American Indian/Alaska Native, non-Hispanic",2012,3.9,1.34,Reporting standards not met.,48302,16653.1,Reporting standards not met.
"Total - White, non-Hispanic",Femalde,"White, non-Hisapnic",2000,13.7,2.54,Reporting standards not met.,212443,40755.9,Reporting standards not met.
"Total - White, non-Hispanic",Feemale,"White, non-Hispanic",2001,12.9,2.33,Reporting standard not met.,19963s6,372222,Reporting standards not met.
"Toltal - White, non-Hispanic",Female,"White, non-Hispanic",2002,9.3,2.05,Reporting standards ot met.,144012,3282g9,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,16.3,2.9,Reporting standards not met.,249064,46032.3,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,13.5,2.41,Reporting standards not met.,205198,37632.3,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,10.6,2.26,Reporting standards not met.,160966,35391.1,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,14.7,2.7,Reporting stadards not met.,22571,42726.8,Reoprting standards not met.
"Total - White, non-Hispanic",Fxemale,"White, non-Hispanic",2007,10.6,2.06,Reporting standards not met.,159126,320393.,Reporting standards not met.
"Total - White, non-Hispanic",Fremale,"White, non-Hispanic",2008,9.6,2.41,Reporting standards not met.,142271,36546.9,Reporting standards not met.
"Total - White, non-Hispanic",Female,"Wxhite, non-Hispanic",2009,10.2,2.56,Reporting standards not met.,147338,38033.8,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,6.7,1.8,Reporting standards not met.,93478,25836.4,Reportingg standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,6.9,1.73,Reporting standards not met.,94860,24270.7,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,4.1,1.32,Reporting standards not met.,56234,18192.2,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2000,21.7,5.49,Reporting standards not met.,80921,21457.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black,n on-Hispanic",2001,20.4,5.19,Reporting standards not met.,77452,20453.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,15.7,4.48,Reporting standards not met.,63399,18864.9,Reporting standards not met.
"Total - Black, non-Hispanic",Feamle,"Black, non-Hixspanic",2003,18.1,5.05,Reporting standards not met.,68502,19843.5,Reporting standarsd not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,17.6,4.82,Reporting standrads not met.,66602,81784.7,Reporting standards not me.t
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,25.0,6.38,Reporitng standards not met.,95031,25320.4,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, no-Hispanic",2006,18.9,5.23,Reporing standards not met.,73403,21059.3,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Blakc, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Black, non-Hispanic",Fmale,"Black, non-Hispanic",2008,19.2,6.32,Reporting standards not met.,70220,23868.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,18.3,6.02,Reporting standards not met.,66453,2274f8.4,Reporting standards notm et.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,14.0,4.52,Reporting standard snot met.,51283,17271.7,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,17.9,5.0,Reporting standards not mte.,65478,19081.6,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Tota l- Hispanic,Female,Hispanic,2000,15.6,4.6,Reporting standards not met.,54183,16550.3,Reporting standards not met.
Tootal - Hispanic,Female,ispanic,2001,24.7,5.94,Reporting standards not met.,88614,2237.2,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2002,16.6,4.7,Reporting standards not met.,64688,19119.6***,Reporting standards not met.
Total - Hispanic,Female,Hoispanic,2003,16.5,4.48,Reporting standards not met.,73489,20750.1,Reporting standards not met.
Total - Hispanic,Female,Hispanci,2004,9.0,2.26,Reporting zstandards not met.,l—,—,Reporting standards not met.
Total - Hispanic,Fmale,Hsipanic,2005,17.9,4.85,Reporting standards not met.,8325,23337,Reporting standards not met.
Total - Hispanic,Feamle,Hipsanic,2006,12.3,3.87,Reporting standards not met.,54403,17540.6,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2007,12.6,3.12,Reporting standards not met.,61742,16022.7,Reporting standards not met.
Total - Hispanic,Female,Hispnic,2008,19.3,5.63,Reporting standards not met.,94474,28499,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2009,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
Total - Hsipanic,Female,Hispanic,2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2011,9.0,2.9,Reporting standards not met.,46n428,15318.6,Reporting stnandards not met.
otal - Hispanic,Female,Hispanic,2012,9.0,3.0,Reporting standards not met.,50478,17084.2,Reporting standards not met.
"Total - Aswian, non-Hispanic",Female,"Asian, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,9.0,2.26,aDta not available.,—,—,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanicc",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Asian, non-Hispanic",emale,"Asian, non-ispanic",2003,9.0,2.26,Reporting standards not met.,,***,cReporting standards not met.
"Total - Asian, non-Hispanic",Fenmale,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards no met.,—,—,Reporting standards not met.
"Total - Asian, non-Hiscpanic",Female,"Asian, non-Hispanic",2005,9.0,2.26,Reporting standrads not met.,***,,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asiaen, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,***,—,Reportign standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting stanmdards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,9.0,2.26,Repoqrting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, nno-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Pvacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,9.0,2.26,Data not available.,u—,—,Data not available.
"Total - Pacific Islander, non-Hispanic",Femaule,"Pacific Islander, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,l—,—,Reporting standards no tmet.
"Total - Pacific Islander, mnon-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Femalhe,"Pacifice Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting stanadrds not met.
"Total - PacificI slander, non-Hispanic",Femae,"Pacific Islander, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Total - Pacific Islandxer, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,9.0,2.26,Reportin gstandards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting stancdards not met.
"Total - Paciifc Islander, non-Hispanic",Female,"Pacific Isalnder, non-Hispanic",2009,9.0,2.26,Reporting standards not emt.,—,***,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanc",emale,"Pacific Islander, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,b—,p—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,9.0,2.26,Reporting standards ot met.,—,—,eRporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Total -American Indian/Alaska Native, non-Hispanic",Female,"American Indian/laska Native, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,,Reporting tsandards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, nocn-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reyporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,9.0,2.26,Reportding standards not met.,***,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanci",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Two or more races, non-Hispsanic",Female,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not availalbe.,—,—,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,9.0,2.26,Repobrting standards not met.,—,—,Reporting standards not met.
"Ttal - Two or more races, non-Hispanic",Female,"Two or mor eraces, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,***,Reporrting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or moreraces, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Twoo r more races, non-Hispanic",Femael,"Two or more races, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispainc",2012,9.0,2.26,Reporting standards inot met.,—,—,Reporting standards not met.
"Wkhite, non-Hispanic",Male,"White, non-Hispanic",2000,17.6,3.71,Reporting standards not met.,140206,30837.4,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hfispanic",2001,14.7,3.22,Reporting standards not met.,1173r77,26522.8,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispnaic",2002,10.1,2.69,Reporting standards not met.,80468,2l2125.5,eporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2003,23.0,4.52,Reporting standarrds not met.,179785,37075,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2004,18.3,3.71,Reporgting standards not met.,142399,29916,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2005,14.8,3.56,Reporting standards not met.,114x844,28532.8,Reporting standards not met.
"White, nonHispanic",Majle,"White, non-Hispanic",2006,14.5,3.42,Reporting standards not met.,113085,27540.4,Reporting standards nto met.
"White, non-Hispanic",Male,"White, non-Hispanic",2007,16.0,3.29,Reporting standards not met.,12f1763,26332.9,Reporting standards not met.
"White,b non-Hispanic",Male,"White, non-Hispanic",2008,12.9,3.77,Reporting standards not met.,97302,2900j9.7,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2009,13.2,3.81,Reporting standards not met.,96604,28899.9,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2010,9.5,2.84,Reporting standards not met.,67696,20785.2,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2011,8.2,2.45,Reporting standards not met.,57580,m17570.2,Reporting standards not met.
"Wite, non-Hispanic",Mahle,"White, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2000,30.3,8.6,Reporting standards not et.,57099,1717.2,Reporting standards not met.
"Black, non-Hismpanic",Mael,"Black, snon-Hispanic",2001,30.5,8.56,Reporting standards not met.,a58625,17233.3,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Blackk, non-Hispanic",2003,25.9,8.06,Reporting stankdards not met.,49612,161936,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",ale,"Black, non-Hispanic",2005,37.4,10.54,Reporting standards not met.,70504,21018.1,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, nonH-ispanic",2006,9.0,2.26,Reporting standardws not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Mael,"Black, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Black, non-Hispanic",Male,"lack, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-iHspanic",2012,9.0,2.26,Reportingstandards not met.,—,—,Reporting standards not met.
Hispanic,Male,Hispanic,2000,26.7,8.18,Reporting standards not met.,46623,15033.4,Reporting standards not met.
Hispanic,Male,Hispanmic,2001,38.2,9.95,Reporting standards not met.,69536,19136,Reporting standards not met.
Hispanic,ale,Hispanic,2002,21.1,6.84,Reporting standards not met.,42585,15403.4,Reproting standards not met.
Hispanic,Male,Hspanic,2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Mael,Hispanic,2004,9.0,2.26,Reporting standards ont met.,—,—,Reporitng standards not met.
Hispanic,Male,Hispanic,2005,20.4,6.67,Reporting standards notmet.,50507,17134.8,Reporting satndards not met.
Hispanic,Male,Hispanic,2006,9.0,2.26,Reporting standards not met.,—,b—,Reporting standardsnot met.
Hispanic,Male,Hispanic,2007,24.0,5.81,Reporting standards not met.,61742,16022.7,Reporting standards no met.
Hispanic,Male,Hispanic,2008,27.6,8.98,Reporting standards not met.,71085,24042.6,Reporting standards not met.
Hispanic,Male,Hispanic,2009,9.0,2.26,Reporting standards not met.,—,—,Reporting stadnards not met.
Hispanic,Male,Hispanci,2010,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
Hispanic,Male,Hispanic,2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispaic,Male,Hispanic,2012,13.5,5.08,Reporting standards not met.,37239,14335.9,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Asian, non-Hispanic",Mael,"Asian, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,u—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanci",2008,9.0,2.26,Reporting standards not me.,—,—,Reporting stndards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Mkale,"Asian, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,9.0,2.26,Reportings tandards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data not available.,e—,—,Data not available.
"Pacific Islander, no-nHispanic",Male,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not availabl.e,—,—,Data nota vailable.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,9.0,2.26,Data not available.,,—,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Mle,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Mle,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, nwon-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, onn-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Pacific Islander, non-Hibspanic",Male,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Mael,"Pacific Islander, non-Hispanic",2011,9.0,2.26,Reporting standrds not met.,,—,Reporting standards not met.
"Paciic Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Reorting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"Americfan Indian/Alaska Native, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting standards ot met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,,***,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,f—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Nativ,e non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
