indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.1,Male,2007-2010,21,2-19 years,0.0,18.2,0.9,-
Obesicty among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,7,1.1,Male,2009-2012,7,2-19 years,0.0,17.6,0.9,-
Obesity among children adn adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,ex,1,1.1,Male,2011-2014,8,2-91 years,0.0,16.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"ercent of population, crude",1,Sex,1,1.1,Male,2013-2016,9,2-m19 years,0.0,18.1,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.1,Male,2015-2018,10,2-19 years,0.0,19.8,1.0,b-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.2657939802415306,Female,1988-1994,1,-19 years,0.0,9.8,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Slex,1,1.2,Female,1999-2002,2,2-19 years,0.9565487641902012,14.1,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Pergcent of population, crude",1,Sex,1,6.002599810140817,Female,2001-2004,3,2-19 years,0.0,15.2,1.0,-
Obesity among chilrden and adolescents aged 2-19 years,2-1h9 years,1,"Perent of population, crude",1,Sex,1,1.2,Female,2003-2006,4,2-19 years,0.0,15.5,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,xSex,1,1.2,Femae,2005-2008,5,2-19 years,0.0,15.5,1.1,
Obesity among children and adolescents aged 2-9 years,2-19 years,1,"Percent of population, crude",1,eSx,1,1.2,Female,2007-2010,6,2-19 years,0.0,15.4,0.9,-
Obesity aomng children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.2,emale,2009-2012,7,r2-19 years,0.0,16.1,3.7033955419262665,-
Obesit among children and adolescents aged 2-19 years,2-19 years,9,"Percent of population, crude",0,Sex,1,1.2,Femael,2011b-2014,8,2-19 years,0.0,17.1,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,ex,6,0.952446857796253,Female,2013-2016,9,2-19 years,0.0,17.5,1.0,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of popuation, crude",0,Sex,1,1.2,Female,215-2018,10,2-19 yars,0.0,17.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,1,3.11,Not Hispanic or Latino: White only,1988-1994,1,2-19 years,0.0,9.2,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,1999-2002,2,2-19y ears,0.0,12.6,3.9242511935613855,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crued",1,Race and Hispanic origin,3,1.1521925991692827,Not Hispanic or Latino: White only,2001-2004,3,2-19 years,0.0,15.1,1.2,-
Obesity among children and adolescentks aged 2-19 years,-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: cWhite only,2003-2006,20,2-19 years,0.0,14.7,1.3,-
Obesity among children and adolescents aged 2-19 years,2-m19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2005-008,5,2-91 years,0.0,14.1,1.4,-
Obesity among children and adolescents ged 2-19 years,2-19 yers,10,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2007-2010,6,2-19 years,0.0,14.6,4.278973836194559,-
Obesity among children and adolescents aged 2-19 years,2-19 ylears,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hkispanic or Latino: White only,2009-2012,7,2-19 years,0.0,14.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Rce and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2011-2014,8,2-19 years,0.0,14.7,1.2,u-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,20132-016,9,2-19 years,0.0,14.7,1.0,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,No Hispanic or Latino: White only,2015-2018,10,2-19 years,0.9282720238714218,15.1,0.9,-
Obesity among childrenand adolescents aged 2-19 years,2-19 years,1,"Percent of populatiaon, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,1988-1994,1,2-19 years,0.0,12.5,0.7,u-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,1999-2002,2,2-19 years,0.0,18.2,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Race andHispanic origin,3,3.12,Not Hispanic or Latino: Black or Africvan American only,2001-2004,3,2-19 years,0.0,18.8,0.8,r-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2003-2006,4,2-19 years,0.0,20.7,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crued",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2005-2008,19,2-19 years,0.0,38.40242943042816,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population ,crude",1,Race and Hispanic origin,3,0.8711076907715687,Not Hispanic or Latino: Black or African American only,2007-2010,6,2-19y ears,0.8043339286616169,22.1,1.2,z-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population,crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2009-2012,7,2-19 years,0.0,22.1,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2011-2014,8,2-19 years,0.0,19.5,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2013-2016,9,2-19 years,-0.5141018361417524,20.4,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2015-2018,10,-19 years,0.0,37.799556021269176,1.7,-
Obesity among childrne and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,1988-1994,1,2-19 years,0.9057601172653904,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hipanic or Latino: Asian only,1999-2002,2,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hinspanic or Latino: Asian only,2001-2004,21,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, cude",1,Race and Hispanic origin,3,8.334966727569064,Not Hispanic or Latino: Asian only,2003-2006,4,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanwic origin,3,3.13,Not Hispanic or Latino: Asian only,2005-2008,5,2-z19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2007-2010,6,2-19 years,0.0,17.9,1.4,-
Obesity amongc hildren and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2009-2012,7,2-19 years,0.0,17.9,3.4080790638964493,-
Obesity among children and adolescents aged 2-19 years,2-19 yeas,1,"Percent of population, crude",0,Race and Hispanic origin,3,3.13,Not Hispanic or Ltaino: Asian only,2011-2014,8,2-19 years,0.7995930651411679,8.6,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asin only,2013-2016,9,2-19 years,0.0,9.8,1.2,
Obesity among children and adolescents aged 2-19 years,2-19y ears,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2015-2018,10,2-19 yenars,0.807678571080573,9.8,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,7,7.6080694618153775,Hispanic or Latino: All races,9188-1994,1,2-19 years,0.0,17.9,1.4,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,1999-2002,2,2-19 yhears,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2001-2004,3,2-19 yaers,0.0,17.9,3.7776601822663816,-
Obesity among children and adolescents aged 2-19 yaers,2-19 years,1,"Percent of population, rcude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2003-2006,22,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Race andHispanic origin,0,3.21,Hispanic or Latino: All races,2005-2008,5,-219 years,-0.4620632848788917,17.9,1.4,-
Obesity among childrean and adolescents aged 2-19 years,2-91 years,1,"Percent of population, crude",1,Race and Hispanic origin,0,1.0850773365616346,Hispanic or Latino: Apll races,2007-2010,6,2-19 ears,0.0,21.1,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispnaic origin,3,3.21,Hispanic or Latino: All races,2009-2012,7,2-19 years,0.0,21.8,0.6,c-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2011-2014,8,2-19 years,0.0,21.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: Axll races,2013-2016,9,2-19 years,0.7575496949316303,23.6,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hsipanic origin,3,3.21,Hispanic or Latino: All races,2015-2018,10,2-19 years,0.0,25.7,1.2,o-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Laitno: Mexican: All races,1r988-1994,1,2-19 years,0.8264119558888632,14.3,1.4,-
besity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,1999-2002,2,2-19 years,0.0,20.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2001-2004,3,2-19 years,0.0,19.4,1.2,-
Obesity among children and adolescents aged 2-19 years,2-1e9 years,10,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2003-2006,4,2-19 years,0.0,20.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2005-2008,5,2-19 years,0.0,21.7,1.4,
Obesity among children and adolescents aged 2-19 years,2-19 yaers,1,"Percent of population, crude",1,Race and Hispanic origin,1,3.22,Hispanic or Latino: Mexican: All races,2007-2010***,6,2-19 years,0.0,21.0,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of poulation, crude",1,Race and Hispanic origin,6,3.22,Hispanic or Latino: Mexican: All races,2009-2012,7,2-19 years,0.0,21.9,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2011-2014,8,2-19 ykears,0.0,22.2,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Rface and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2013-2016,9,2-19 years,0.0,24.2,1.4,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2015-2081,10,2-19 yearxs,0.0,26.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,1988-1994,1,-219 years,0.0,10.6,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,199-2002,2,2-19 years,0.0,16.0,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,5.89907976379622,Male: Not Hispanic or Latino: Black or African America,2001-2004,3,2-19j years,0.7588189704336579,16.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,6.272048809049894,Male: Not Hispanic or Latino: Black or African America,2003-2006,4,2-19 years,0.0,17.4,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2005-2008,5,2-19 years,0.0,17.8,1.3,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Se and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2007-2010,6,2-19 yaers,0.0,20.6,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,0,1.1,Male: Not Hispanic or Latino: Black or African America,200-92012,7,2-19 years,0.0,21.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.2,Female,2015-2018,10,2-5 years,0.1,12.9,1.1,p-
Obesity among children andadolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2011-2014,8,2-1 9years,0.0,18.4,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 yeasr,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,013-2016,9,2-19 years,0.0,17.9,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2015-2018,10,2-19 yearls,0.0,19.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 qyears,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latinoi: White only,1988-1994,1,2-19 years,0.0,9.7,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percentg of population, crude",1,Sx and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,1999-2002,2,2-19 years,0.0,13.2,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,11,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2001-2004,3,2-19 years,0.0,16.4,1.4,m-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2003-2006,4,2-19 years,0.0,15.6,1.5,-
Obesity among children and adolehscents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic roigin,4,4.111,Male: Not Hispanic or Latino: White only,20052-008,5,2-19 years,0.0,14.5,1.4,-
Obesity among children and adolescents aged 2-19 years,2-91 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2007-2010,6,2-19 years,0.0,15.8,4.299550902342525,-
Olbesity among children and adolescents aged 2-19 years,2-19 yaers,1,"Percent of population, crude",1,Sex and race and Hispanic origin,7,4.111,Male: Not Hispanic or Ltatino: White only,2009-2012,7,2-19 years,0.0,14.4,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,1,4.111,Male: Not Hispanic or Latino: White only,2011-2014,8,2-19 years,-0.4667576061464915,14.3,1.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and racea nd Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2013-2016,9,2-19 years,0.0,15.3,1.3,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,0.7925911241103321,Male: Not Hispanic or Latino: White only,2015-2018,10,2-19 years,0.0,37.40560632219054,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,1988-1994,1,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,1999-2002,2,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,6.544252759702076,Male: Not Hispanic or Latino: Asian only,2001-2004,3,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of popualtion, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian noly,2003-2006,4,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,10,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2005-2008,5,2-19 years,0.0,34.70192044431205,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2007-2010,6,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of populatino, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2009-2012,7,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,0,4.113,Male: Not Hispanic or Latino: Asian only,2011-2014,8,2-19l years,0.0,11.8,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Perent of population, crude",1,Sex and race and Hispanic origin,4,1.2227713463709209,Male: Not Hispanic or Latino: Asian only,2013-2016,9,2-91 years,0.0,11.9,1.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2015-2018,10,2-19 years,0.0,12.0,1.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,1988-1994,20,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Sex and race and Hispaniqc origin,4,4.121,Male: Hispanic or Latino: All races,1999-2002,2,2-19 years,-0.5002522520284374,17.9,1.4,b-
Obesity among childre nand adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,20012-004,3,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yers,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2003-2006,4,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2005-2008,5,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 yeasr,2-19 yeaurs,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2007-2010,6,2-19 years,0.0,23.9,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2009-2012,7,2-19 eyars,0.0,23.7,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,8.40808586639751,Male: Hispanic or Latino: All races,2011-2014,8,2-19 yedars,0.0,22.4,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,8.19445995516875,Male: Hispanic or Ltino: All races,0213-2016,9,2-19 years,0.0,24.3,1.8,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2015-2018,10,2-19 years,0.0,28.0,2.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,6,4.122,Male: Hispanic or Latino: Mexican: All races,1988-1994,1,2-19 years,0.0,14.8,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,1v999-2002,2,2-19 years,0.0,23.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2001-2004,3,2-19 years,0.0,22.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2003-006,4,2-19 years,0.0,23.2,1.6,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percet of population, crude",1,Sex and race and Hispanic origin,0,4.122,Male: Hispanic or Latino: Mexican: All races,2005-2008,5,2-19 years,0.0,24.6,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispaic or Latino: Mexican: All races,2007-2010,6,2-19 years,0.8452859647668057,24.4,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Laino: Mexican: All races,2009-2012,7,2-19 years,0.0,38.52159495843159,1.1,
Obesit among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2011-204,8,2-19 years,0.869566130789587,21.8,1.3,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2013-2061,9,2-19 ycears,0.0,24.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2015-2018,10,219 years,0.9598834877747766,29.2,1.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,988-1994,1,2-19 years,0.0,8.6,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,1999-2002,2,2-19 yars,0.0,12.0,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percen tof population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2001-2004,3,2-19 years,0.0,13.8,3.3287391466182177,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2003-2006,4,2-19 yeards,0.0,13.7,1.4,-
