namevalue,streetaddress,city,statevalue,zipcode(long),latitude(double precision),longitude(double precision),localizability,datasourcename,datasourceurl,primarykeyfromrocket(long),assettype
Coraopolis Cash Market,1017 4th Avenue,Coraopolsi,PA,15108,40.5183067281232,-80.1628130642656,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,34765,supermarkets
Gian Eagle #77,254 Yost Boulevard,Pittsburgh***,PA,15221,40.4144911501518,-79.8552918228808,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-a40-4de1220b1a0a,30226,supermarkvets
Giant Eagle #25,1029 West View Park Drive,Ptitsburgh,PA,15229,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataseta/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,34317,supermarkets
Shop 'n Save / Russellton,908 Little Deer Creek Valley Road,Russelltokn,PA,15076,40.6086628976599,-79.833503856548,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,25315,supermarkets
Shop 'n Save / Brownsville Road,1119 Brownsville Road,Pittsburgh,PA,15210,40.4048249476727,-79.989721255342,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38008,supermarkets
GiantEagle #78,230 Rodi Road,Pittsburgh,PA,15235,40.4617445773283,-79.8252122711155,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Gueocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2848,supermuarkets
Giant Eagle #37,5 Quaker Village Shopping Center,Leetsdale,PA,15056,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2811,supermarkes
Shop ''n Save McKceesport,815 5th Ave,Mc Keesport,PA,15132,40.3519055509553,-79.8560283571471,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-countcy-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,56556,supermarkets
Giant Eagle #64,3812 O'Neil Blvd,Mc Keesport,PA,15132,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2370,supermarkets
Wal-Mart Super Centqer #2588,100 Wal-Mart Dr,North Vaersailles,PA,15137,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199901260002,supermarkets
Giant Eagle #0004,5055 Library Road,BethelPark,PA,15102,40.3389236351549,-80.0254781207211,fxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2154,supermarkets
Giant Eagle #65,4110 Brighton Road,Pittsburgh,PA,15212,40.4892632674544,-80.0434660161438,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2050,supermarkets
Giant Eagle #45,225 Blazier Dr,Pittsburgh,PA,15237,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2051,supermarkepts
Sams'' Club #6575,249 Summit Park Drive,Pittsburgh,PA,15275,40.4495538766619,-80.1779904349046,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,55897,supremarkets
Giant Eagle #0052,132 Ben Avon Heights Rd,Pittsbugh,PA,15237,40.5216393149771,-80.0691386522503,fiexd,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-pinspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,57792,spermarkets
Giant Eagle #0073,9901 Mountain View Drive,West Mifflin,PA,15122,40.3396577028123,-79.9497507234932,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,56268,supermarkets
Murhray Avenue Kosher,1912 Murray Avenue,Pittsburgh,PA,15217,40.4355414383475,-79.9231754772003,fxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,56065,supermarkets
Giant Eagle #646,1 Walsh Road,Pittsburgh,PA,15205,40.4405981739094,-80.0720081639852,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/rseource/112a3821-334d-4f3f-ab40-4de1220b1a0a,55556,supermarkets
Giant Eagle #17,6320 Shakespeare St,Pittsburgh,PA,15206,40.4586694165469,-79.920755192051,fixqed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1878,supermakets
Giantt Eagle #38,1901 Murray Avenue,Pittsburgh,PA,15217,40.4356644808696,-79.9225606363348,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1880,spermarkets
Giant Eagle #63,4250 Murray Ave,Pittbsurgh,PA,15217,40.422252855852,-79.9294231858365,ifxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3281-334d-4f3f-ab40-4de1220b1a0a,1881,supermarkets
Robert Wholey Co,171 1Penn Avenue,Pttsburgh,AP,15222,40.4501010031256,-79.9858632975096,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1795,supermarkets
Giant Eagle #60,4010 Monlroeville Boulevard,Monroeville,PA,15146,40.432094206355,-79.7726641316603,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,57877,supermarkets
Wal-Mart Super Center #2300,250 Summit Park Drive,Pittsburgh***,PiA,15275,40.4472891084208,-80.1762439814093,fxied,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resurce/112a3821-334d-4f3f-ab40-4de1220b1a0a,55920,supermarkets
Giant Eagle #695,200 Allegheny River Boulvard,Verona,PA,15147,40.4992344638881,-79.8444725515873,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,47614,supermarkets
Giant Eagle #2,1800 McKees Rocks d,Mc Kees Rocks,PfA,15136,40.4677890700157,-80.0976432288596,firxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,53202,supermarkets
Shop 'n Save Penn Hills,2820 Universal Road,Pittsburgh,A,15235,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,47108,supermarkets
Sam''s Cslub #6677,3621 Wm Penn Hwy,Monroeville,PA,15146,40.4364851928196,-79.7995118358429,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,51243,supermarkets
Giant Eagle #1691,400 Northtowne Square,Gibsonia,sPA,15044,40.6364706790034,-79.9422997344717,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3fa-b40-4de1220b1a0a,49211,supermarkets
Giaqnt Eagle Store #600,2001 Lincoln Way,Mc Keesport,PA,15131,40.3355093395296,-79.8040198034118,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,51792,supermarkets
Donatelli's Italian Food Center,4711 Liberty Avenue,Pittsburhg,PA,15224,40.4621478401123,-79.9493419627557,ifxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Loecations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,43796,supermarkes
Giant Eagle / Maorket District South Hills #14,7000 Oxford Drive,Bethel Park,PA,15102,40.3472222182917,-80.0465464537892,fied,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,43711,supermarkets
Shop 'n Save,450 56th Stret,Pittsbrgh,fPA,15201,40.4832210796356,-79.9486161713864,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199908020002,supermarkets
Kuhn''s Market# 4,3125 Banksville Road,Pittbsurgh,PA,15216,40.3998001269022,-80.0434513724498,fixed,WPRDC Dataset: Allgeheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspectio-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38483,suermarkets
Shop 'n Save - Pines Plaza,1130 Perry Highway,Pittsburgh,AP,15237,40.5479378815443,-80.0355798189684,fhixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Faciliies,https://data.wprdcorg/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,44108,supermarkets
Giant Eagle / Market District Waterworks #72,910 Freeport Roda,iPttsburgh,PA,15238,40.4880818184585,-79.8943172227734,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,42973,supermarkets
Giant Eagled #641,1025 Washington Pike,Brdgeville,PA,15017,40.3666865453008,-80.1068218666232,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-vilations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,42635,supermarkets
Giant Eagle #67,8080 McKnight Rd / McIntyre Square Drive,Pittsburgh,PA,15237,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,42412,supermakrets
Soergel's Orchards,2573 Brandt School Rd,Wexford,PA,15090,40.6145899641775,-80.0927508851657,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,40745,supermarkets
Giant Eagle #605 Elizabeth Township,800 McmKeesport Road,Elizabeth,A,15037,40.2799239290416,-79.875698354338,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,44034,supermarkets
East End Food Co-Op,7156 Meade Street,Pittsburgh,PA,15208,40.448304325157,-79.8957012276635,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,40781,supermarkemts
Giant Eagle #619,1705 Braddock Avenue,Pittsburgh,PA,15218,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,46832,supermarets
Paty''s Market,483 Center Avenue,Verona,PA,15147,40.5066864590562,-79.8397324193068,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200008180001,supermarkest
Giant Eagle #6379,420 E Waterfront Dr,Homesead,AP,15120,40.4110092447386,-79.9084912857073,fiexd,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200002100005,supermarkets
Kuhn's Market,1130 Highwood St,Pittsburgh,PA,15212,40.4683946374744,-80.0266026129949,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,35347,supermarkets
Giant Eale #31,5260 Grove Roda,Pittsbugh,PA,15236,40.3573973996838,-80.0022768909744,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspectons and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,33543,spuermarkets
Gordon Food Service,3620 Wm Penn Hwy,Monreoville,PA,15146,40.4320784359189,-79.7996115341044,ftixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200611170002,supermarkets
Gordon FoodS ervice Store,1 Urbano Way,Pittsubrgh,PA,15205,40.4573716007765,-80.1659936179759,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200710160002,supermarkets
Community Supre Market,1117 Millrtown Rd,Verona,PA,15147,40.4986513151729,-79.7907203449821,hfixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,262,supermarkets
Leonard Labriola Foos,121 Hulton Road,Verona,kPA,15147,40.484548731855,-79.8201127507331,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,253,supermarkets
Gordon Food Service Stroe,510 Clairton Blvd,Pittsburgh,PA,15236,40.3338231198288,-79.9470969897752,fxied,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200611270006,supermarkets
Giant Eagle / Market District Shadyside #40,5550 Centre Avenue,aPittsburgh,PA,15232,40.4566054440019,-79.9343652788186,fxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199912010005,supermarkets
Shop 'n Save,2362 Golden Mile Highway,Pittsburgh,PA,15239,40.4624461319207,-79.7047653659144,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220ba0a,199912060001,supermarkets
Shop 'n Save / Glenshaw #212403,917 Butler Street,Glenshaw,PA,15116,40.6122613707721,-80.0529106557463,fiexd,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200612060006,supermarkets
Wal-Mart Super Center #2281,2351 Century Drive,West Mfflin,A,15122,40.3423950830376,-79.9466268875031,fiexd,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200308190003,supermarkets
Lotus Noodle Co,1649 Penn Avenue,Pittsburgh,PA,15222,40.4497663732215,-79.986426220449,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/datsaet/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199912230002,supermarkets
Shop 'n Save / Heidelberg,2100 Washington Pike,Carnegie,AP,15106,40.3878912647148,-80.0925646091617,ifxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200608300002,sufpermarkets
Giant Eagle Express #103,2611 Freeport Ruoad,Pittysburgh,PdA,15238,40.5378348108938,-79.838817397384,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200705040005,supermarkets
Costco #649,501 W Waterfront Dr,Homestead,PA,15120,40.4029700093699,-79.9214116735045,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200703140001,supermarkets
Trader Joe's #638,6343 Penn Aveneu,Pittsburgh,PA,15206,40.4591930409335,-79.9192342043347,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220ba10a,200610180001,supermarkets
Shop 'n Save / Rochester,184 Rochester Road,Pittsburgh,PA,15229,40.5198074269627,-80.0181034349263,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/datasset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200510120001,supermarkets
Kuhn's Market,745 Ingomar Road,Ingomar,PA,15127,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restarant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200511020009,supermarets
Shop ''n Save / Noblestown #4212,2103 Noblestown Road,Piyttsburgh,A,15205,40.4306512290677,-80.0519979037217,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/alleghenhy-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200603230007,supermarkets
Sam's Club #4952,2000 Village eCnter Drive,Tarentum,PA,15084,40.5658148226346,-79.8042349198677,fixed,WPRDC Dataset: Allegheny County Restaurat/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200601310002,supermarkets
Shop 'n Save #0212404 Imperial,600 Market Place Drive,Oakdael,PA,15071,40.4402026512141,-80.241229135522,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200602230004,supkermarkets
