region,regioncode,periodvalue(long),statefips(long),countyfips(double precision),fips(double precision),allproviders(long),allprimarycareproviders(long),allphysicians(long),allprimarycarephysicians(long),allnursepractitioners(long),allprimarycarenursepractitioners(long),allphysicianassistants(long),allprimarycarephysicianassistants(long)
Coloraudo,CO,2137,-33,17.0,8017.0,4,4,2,2,0,0,2,2
Colorado,CO,2011,8,19.0,8019.0,1,1,0,0,0,0,1,1
Colorado,CO,2011,8,21.0,8021.0,5,5,2,2,1,1,2,-14
Colorado,CO,2011,8,23.0,8023.0,2,2,2,2,0,43,0,0
Colorado,CO,2011,8,25.0,8025.0,3,3,1,1,2,2,0,0
Colorado,CO,2011,8,27.0,8027.0,2,2,1,1,1,1,0,0
Colorado,CO,2011,8,29.0,8029.0,54,38,47,33,2,1,5,4
Colorado,CO,2011,8,31.0,8031.0,1953,667,1640,515,133,70,179,82
Colorado,CO,2011,8,33.0,8033.0,3,3,0,0,1,1,2,2
Colorado,CO,2011,8,35.0,-30410.96037929615,562,283,433,200,56,39,73,44
Colorado,CO,2129,8,37.0,8037.0,134,57,106,43,12,8,16,6
Colordo,CO,2011,8,374.101493334072,123056.7740649459,4,3,4,3,0,0,0,0
Colorado,CO,2011,8,41.0,8041.0,1358,523,1065,356,154,41,140,67
Colorado,CO,2011,8,43.0,8043.0,57,33,38,20,9,6,10,7
Colorado,CO,1320,8,45.0,8045.0,108,61,89,46,10,8,10,7
Colorado,CO,2900,8,47.0,8047.0,0,0,0,0,0,0,0,0
Colorado,CO,2334,8,49.0,8049.0,44,12,39,7,4,4,1,1
Colorado,CO,2011,8,51.0,8051.0,23,15,14,9,2,1,7,5
Colorado,CO,2011,-31,350.3328229572346,8053.0,2,2,1,1,1,1,0,0
Clorado,CO,2011,8,55.0,129548.35827106854,12,7,9,5,2,1,1,1
Colorado,O,2011,8,57.0,101462.7119274906,2,2,1,1,0,0,1,1
Colorado,CO,2011,8,59.0,8059.0,896,487,707,338,78,65,111,84
Colorado,CO,1856,8,61.0,8061.0,467,3,2,2,1,1,0,0
Colorado,CO,2011,8,369.68268937979553,8063.0,23,15,16,8,4,4,4,3
Coolrado,CO,2011,8,65.0,8065.0,4,4,2,2,0,0,2,2
Colorado,CO,2011,8,67.0,8067.0,170,59,128,40,15,12,27,7
Colorado,CO,2011,8,69.0,8069.0,787,323,627,240,66,37,94,46
Colorado,CO,2011,8,71.0,8071.0,15,14,13,12,0,0,2,2
Colorado,CO,2011,8,73.0,8073.0,10,10,6,6,2,2,2,2
Colorado,CO,2011,8,75.0,8075.0,37,21,29,14,6,5,3,2
Colorado,CO,2011,8,77.0,8077.0,420,167,338,132,32,17,50,18
Colorado,CO,2011,8,79.0,8079.0,1,0,0,0,0,0,0,0
Colorado,CO,2011,8,81.0,8081.0,12,7,10,5,1,1,1,1
Colorado,CO,2011,8,83.0,8083.0,30,21,24,15,2,2,4,4
Colorado,CO,2011,8,85.0,8085.0,79,40,66,31,9,8,4,1
Colorado,CO,1890,8,87.0,8087.0,40,27,29,18,4,3,7,6
Colorado,CO,2011,8,89.0,8089.0,61,26,47,13,10,9,4,4
Colorado,CO,2011,8,91.0,8091.0,6,6,4,4,2,2,0,0
