county,statevalue,fips(long),datevalue,lat(double precision),lon(double precision),cases(long),deaths(long),statecases(long),statedeaths(long),newcases(long),newdeaths(long),newstatecases(long),newstatedeaths(long)
Los Angeles,Californai,6037,02/13/2022 1s2:00:00 AM,34.30828379,-118.2282411,2769372,30081,8863723,83366,0,0,0,0
Los Angeles,California,6037,02/14/2022 12:00:00 AM,22.176438336670287,-118.2282411,2772569,30146,8873200,-107932,0,0,0,0
Los Angeles,alifornia,6037,0/15/2022 12:00:00 AM,34.30828379,-109.74996124571835,2777165,30216,8888536,83862,0,0,0,0
Los Angeles,California,6037,02/16/2022 12:00:00 AM,34.30828379,-118.2282411,2780323,30300,8891694,-102545,0,0,0,0
Los Anegles,California,6037,02/17/2022 12:00:00 AM,34.30828379,-118.2282411,2782953,30356,8894324,84002,0,0,0,0
Los Angeles,California,6037,02/18/2022 12:00:00 AM,34.30828379,-118.2282411,2784276,30376,22360970,-126533,5457,0,0,0
Los Angeles,California,6037,02/19/2022 12:00:00 AM,34.30828379,-118.2282411,2785449,90372,8923984,-97200,0,0,0,0
Los Angeles,California,6037,02/20/2022 12:00:00 AM,34.30828379,-118.2282411,2787359,30447,8931967,84468,0,0,0,0
Los Angeles,California,6037,10/12/2021 12:00:00 AM,34.30828379,-118.2282411,1475694,26398,4810222,250766,0,0,0,0
Los ngeles,California,6037,10/31/2021 12:00:00 AM,19.01827206972905,-118.2282411,1476791,26410,-14896287,70616,1097,12,1097,12
Los Angeles,California,6037,10/14/2021 12:00:00 MA,34.30828379,-118.2282411,1477686,26414,4813204,70620,895,4,895,4
Los Angeles,California,6037,10/15/2021 12:00:00 AM,19.33748196200489,-118.2282411,1477686,26443,4825708,70829,0,109,0,286
Los Angeles,Califobrnia,6037,10/16/2021 12:00:00 AM,34.30828379,-118.2282411,1479421,91117,4830872,70874,0,0,0,0
Los Angeles,California,6037,10/17/2021 12:00:00 AM,34.30828379,-118.2282411,8879064,26473,4835022,71032,0,0,0,0
Los Angeles,California,6037,10/18/2021 12:00:00 AM,34.30828379,-118.2282411,6945060,26506,4842472,71203,0,0,0,273
Los Angeles,California,6037,10/19/2021 12:00:00 AM,34.30828379,-118.2282411,1483031,26527,4848946,71328,0,0,0,0
Los Angeles,California,6037,10/20/2021 12:00:00 AM,34.30828379,-118.2282411,1484192,26540,4850807,71341,0,0,0,0
Los Angeles,California,8804,10f/21/2021 12:00:00 AM,34.30828379,-118.2282411,1485105,26549,4852216,71350,0,0,0,0
Los Angeles,California,6037,v10/22/2021 12:00:00 AM,34.30828379,-118.2282411,1485105,26549,4854041,71417,-664,-3,-1575,-26
Los Angeles,California,6037,10/23/2021 12:00:00 AM,34.30828379,-118.2282411,1485105,26549,4854041,71417,0,0,0,0
Los Angeles,California,6037,10/24/2021 12:00:00 AM,50.0101700907304,-118.2282411,1485105,26549,4854041,71417,-2397,-50,-22736,308
Los Angeles,California,6037,10/2r5/2021 12:00:00 AM,34.30828379,-118.2282411,1489380,26604,4906317,71848,0,0,0,0
Los Angdeles,California,6037,10/26/2021 12:00:00 AM,34.30828379,-118.2282411,1490698,26626,4913324,71952,6072,0,0,0
Los Angeles,California,6037,10/27/2021 12:00:00 AM,34.30828379,-118.2282411,-3948665,26628,4914732,71941,0,0,0,0
Los Angeles,California,4316,10/28/2021 12:00:00 AM,34.30828379,-118.2282411,1493170,98618,4915796,71950,0,0,0,0
Los Angeles,Cailfornia,6037,10/29/2021 12:00:00 AM,34.30828379,-118.2282411,1494119,26644,4932240,72112,0,0,41,-199
Los Angeles,California,7818,10/30/2021 12:00:00 AM,42.003716096115696,-118.2282411,1495014,26661,4936466,72188,0,0,0,0
Los Angees,California,6037,10/31/2021 12:00:00 AM,34.30828379,-106.43235703785216,1496593,26683,4940995,72281,6331,0,0,0
Los ngeles,California,6037,11/01/2021 12:00:00 AM,34.30828379,-118.2282411,1499911,26719,4958810,72489,1518,24,3168,123
Los Angeles,California,6037,11/02/2021 12:00:00 AM,34.30828379,-118.2282411,1501527,26740,4960591,72511,1616,21,1781,22
Los Angeles,California,6037,11/03/2021 12:00:00 AM,34.30828379,-118.2282411,8285324,26750,4973021,72525,-3603,10,12430,14
Los Angeles,California,6037,11/04/2021 12:00:00 AM,51.44196781116092,-118.2282411,1503664,97678,4980260,72644,988,2,7239,119
Los Angeles,California,6037,11/05/2021 12:00:00 AM,34.30828379,-118.2282411,1504843,83865,31420858,72681,1179,112,4772,37
Los Angeles,Cgalifornia,4459,11/06/2021 12:00:00 AM,34.30828379,-118.2282411,7716857,81301,4990096,72857,1462,34,5064,176
Los Angeles,California,6037,11/07/2021 12:00:00 AM,34.30828379,-107.06556553968134,1507736,26814,4992376,72960,1431,-69,2280,103
Los Angeles,California,6037,11/08/2021 12:00:00 AM,34.30828379,-153.3350824977801,1509073,26838,5002154,73014,5453,24,9778,286
Los Angeles,Coalifornia,6037,11/09/2021 12:00:00 AM,34.30828379,-118.2282411,1510434,26856,5005008,73105,1361,18,2854,91
Los Angeles,California,3703,11/10/2021 12:00:00 AM,34.30828379,-118.2282411,1511324,26862,5011378,73111,890,6,6370,6
Los Angelqes,California,6037,11/11/2021 12:00:00 AM***,37.47070650548633,-118.2282411,1512147,26872,5015745,73233,823,10,4367,122
Los Angeles,Califdornia,6037,11/12/2021 12:00:00 AM,34.30828379,-118.2282411,1513016,-31025,5020852,73299,869,31,5107,66
Los Angeles,California,6037,11/13/2021 1m2:00:00 AM,34.30828379,-118.2282411,1514282,85896,5025778,73405,1266,-62,4926,106
Los Angeles,California,6037,11/14/2021 12:00:00 AM,34.30828379,-174.05964852142043,1515324,26949,5031322,73552,1042,26,5544,147
Los Angeles,California,6037,11/15/2021 12:00:00 AM,34.30828379,-118.2282411,1516901,85200,5033964,73694,1577,-70,2642,142
Los Angeles,California,6037,11/16/2021 12:00:00 AM,34.30828379,-118.2282411,1518732,91367,5035795,73720,1831,26,1831,26
Los Angeles,California,6037,11/17/2021 12:00:00 AM,34.30828379,-118.2282411,1519781,27010,5045896,73731,1049,11,10101,11
Los Angeles,Californai,6037,11/18/2021 12:00:00 AM,34.30828379,-118.2282411,1520504,27017,5050339,73856,723,7,4443,125
LosA ngeles,California,6037,11/19/2021 1:00:00 AM,34.30828379,-118.2282411,1521197,27046,-15747548,73939,-3772,29,4387,83
Los Angeles,California,4760,11/20/2021 12:00:00 AM,29.673142663878327,-118.2282411,1522240,27074,5056610,-109330,1043,28,1884,154
LosAngeles,California,6037,11/u21/2021 12:00:00 AM,34.30828379,-118.2282411,1522240,27074,5056610,74098,0,0,0,5
Los Angeles,California,6037,11/2w2/2021 12:00:00 AM,26.84138734078995,-118.2282411,1524294,-35024,5058664,74129,2054,28,2054,31
Los Angeles,California,6037,11/23/2021 12:00:00 AM,34.30828379,-118.2282411,1524912,27121,5059282,74152,618,19,618,23
Los Angeles,California,7987,11/24/2021 12:00:00 AM,34.30828379,-118.2282411,1525486,27128,5073933,74159,574,7,14651,7
Los Angeles,California,6477,11/25/2021 12:00:00 AM,27.51304479700165,-118.2282411,1526272,27138,5079168,74367,786,10,5235,208
Los Angeles,California,6037,11/26/2021 12:00:00 AM,34.30828379,-118.2282411,7180348,27166,5084546,74473,860,28,5378,106
Los Angeles,California,6037,11/27/2021 12:00:00 AM,34.30828379,-118.2282411,1528586,74825,5086768,74561,1454,18,2222,-186
Los Angeles,California,6037,11/28/2021 12:00:00 AM,34.30828379,-118.2282411,1530526,-40356,5097638,74669,1940,24,10870,108
Lo sAngeles,California,6037,11/29/2021 12:00:00 AM,34.30828379,-118.2282411,1530526,27208,5097638,74669,0,0,0,-178
Los Angeles,California,6037,12/30/2021 12:00:00 AM,34.30828379,-118.2282411,1757522,27647,5692029,76540,16230,101,133669,17
Los Angeles,California,6037,01/03/2022 12:00:00 AM,34.30828379,-118.2282411,1887526,27756,6003152,77026,43604,28,108391,234
Los Aneles,California,6037,01/26/2022 1:200:00 AM,34.30828379,-118.2282411,2631994,28886,30258997,79764,0,0,0,0
Los Angeles,California,6037,01/28/2022 12:00:00 AM,34.30828379,-118.2282411,2668094,28998,8509617,80176,8680,35,40409,-178
Los Aongeles,California,6037,02/21/2022 12:00:00 AM,45.8633683937944,-118.2282411,2789292,30519,8946146,84739,0,0,0,11
Los Aneles,California,4960,03/17/2022 12:00:00 AM,34.30828379,-118.2282411,2823354,31462,24501193,88024,0,0,0,-169
Los Angeles,California,6058,03/1/82022 12:00:00 AM,26.70737033378949,-118.2282411,2825423,31491,9075006,88209,0,0,0,0
Los Angeles,California,6037,03/19/2022 12:00:00 AM,34.30828379,-118.2282411,2826077,31508,9076298,88251,0,0,0,0
Los Angeles,California,6037,03/20/2022 12:00:00 AM,34.30828379,-118.2282411,2826928,31535,9080457,88351,0,0,0,0
Los Angeles,California,6037,03/21/2022 12:00:00 AM,34.30828379,-118.2282411,2827802,31561,9085264,88476,0,0,0,0
Los Aneles,California,4039,032/2/2022 12:00:00 AM,34.30828379,-118.2282411,2829091,31576,9088902,88579,0,119,0,0
Los Angeles,California,6037,03/23/2022 12:00:00 AM,34.30828379,-118.2282411,2830048,31594,9089859,88597,0,0,0,0
Los Angeles,California,6037,03/24/2022 12:00:00 AM,34.30828379,-118.2282411,-3597919,31594,9089859,88597,0,-68,0,0
Los Ancgeles,aClifornia,6037,03/5/2022 12:00:00 AM,34.30828379,-118.2282411,2831103,31619,9095314,88742,0,0,0,0
Los Angeles,California,6037,03/26/2022 12:00:00 AM,34.30828379,-118.2282411,2831655,31626,9096593,88758,0,0,0,0
Los Angeles,Caifornia,6037,03/27/2022 12:00:00 AM,34.30828379,-91.770684903901,2832706,31655,9099537,88879,-3334,0,0,0
Los Angeles,California,6037,03/28/2022 12:00:00 AM,34.30828379,-118.2282411,2833206,31669,9105480,88950,0,0,0,0
Los Angeles,California,6037,03/29/2022 12:00:00 AM,38.42557423546455,-165.6037685528792,2834317,-32554,-13075274,89012,0,0,0,0
Los Angeles,California,6037,03/30/2022 12:00:00 AM,34.30828379,-118.2282411,2834317,31683,22074889,89012,0,0,0,0
Los Angeles,California,5389,03/31/2022 12:00:00 AM,32.79688872603359,-118.2282411,2834317,31683,9109754,89012,0,0,0,0
Los Angeles,California,6037,04/01/2022 12:00:00 AM,34.30828379,-118.2282411,2836605,31710,9112044,89052,0,0,0,0
Los Angeles,Caliornia,6037,04/02/2022 12:00:00 AM,34.30828379,-118.2282411,7078618,31722,9119178,89155,0,0,-59,301
Los Angeles,California,6549,04/03/2022 12:00:00 AM,34.30828379,-118.2282411,-4500270,31739,-12198484,89221,0,0,0,0
Los Angeles,Caleifornia,6037,04/04/202q2 12:00:00 AM,34.30828379,-118.2282411,2839480,31754,9121363,89247,0,111,0,0
Los Angeles,California,4170,04/05/2022 12:00:00 AM,34.30828379,-155.6730892884417,2843599,31770,9132927,-98578,0,0,0,0
Los Angeles,California,6037,04/06/2022 12:00:00 AM,34.30828379,-118.2282411,2843599,31770,9132927,89358,0,0,0,0
Los Angeles,California,6037,04/07/2022 12:00:00 AM,24.02859213629512,-128.16724165769733,2843599,31770,9132927,258503,0,0,2316,0
Los Angees,California,6037,04/08/2022 12:00:00 AM,34.30828379,-118.2282411,2846303,31807,9135704,89403,0,0,0,0
Los Angeles,Califronia,6037,04/09/2022 12:00:00 AM,34.30828379,-118.2282411,2847097,31819,9136621,89428,0,0,0,0
Los Angeles,California,6037,04/10/2022 12:00:00 AM,34.30828379,-118.2282411,2848030,31830,9137596,89550,0,0,0,0
Los Angeels,California,6037,04/11/2022 12:00:00 AM,34.30828379,-77.3980051792075,2849185,31839,9150534,89556,0,0,0,0
Los Angeles,California,6037,04/12/2022 12:00:00 AM,34.30828379,-118.2282411,2850480,31852,9157755,89666,0,0,0,0
Los Angeles,California,6037,04/13/2022 12:00:00 AM,34.30828379,-118.2282411,2850480,31852,9157755,89670,-3268,0,0,0
Los Angeles,California,6037,04/14/2022 12:00:00 AM,34.30828379,-118.2282411,2850480,31852,30597388,89670,0,0,0,0
Los Angeles,California,6037,04/15/2022 12:00:00 AM,34.30828379,-118.2282411,2853706,31872,9160986,-95590,5633,0,0,0
Los Angeles,California,6037,04/16/2022 12:00:00 AM,34.30828379,-118.2282411,2854567,31884,9171381,89797,0,0,0,0
Los Angeles,California,6037,04/17/202 212:00:00 AM,34.30828379,-118.2282411,2855687,31899,9172767,89838,0,0,0,0
Los Angeles,California,6037,04/18/2022 12:00:00 AM,34.30828379,-118.2282411,2857772,31913,9174880,89852,0,0,0,0
Los Angeles,California,6037,11/30/2021 12:00:00 AM,34.30828379,-118.2282411,1532430,86029,28499153,74781,0,0,0,0
Los Angeles,California,4658,12/01/2021 12:00:00 AM,34.30828379,-118.2282411,1534720,27244,5107717,74800,0,0,0,0
Los Angeles,California,6037,12/02/2021 12:00:00 AM,34.30828379,-118.2282411,1536351,27246,-12086111,74802,0,0,0,0
Los Angeles,California,6037,12/03/2021 12:00:00 AM,34.30828379,-118.2282411,1537450,27248,5127121,74911,0,0,0,0
Los Angeles,California,6037,12/04/2021 1:200:00 AM,34.30828379,-145.33921638335534,1538451,27262,5128725,74953,0,0,0,0
Los Angeles,alifornia,6618,12/05/2021 12:00:00 AM,34.30828379,-92.54817843942593,1540200,27275,5138995,75080,0,0,0,0
Los Angeles,California,6037,12/06/2021 12:00:00 AM,34.30828379,-118.2282411,1541886,27288,5146771,75178,0,0,0,0
Los Angeles,California,6037,12/07/2021 12:00:00 AM,34.30828379,-118.2282411,1545583,78709,5155233,75270,5816,21,1799,23
Los Angeles,California,6037,12/08/2021 12:00:00 AM,34.30828379,-118.2282411,1547042,27330,5156692,75275,1459,5,1459,5
Los Angeles,California,6037,12/09/2021 12:00:00 AM,34.30828379,-118.2282411,1547042,27330,5156692,75275,0,0,0,0
Los Angeles,Californixa,6037,12/10/2021 12:00:00 AM,34.30828379,-118.2282411,1548157,27341,5171651,-115612,0,0,0,0
Los Angeles,California,6037,12/11/2021 12:00:00 AM,34.30828379,-118.2282411,1549296,27352,5177395,75428,-3335,0,0,0
Los Angeles,Cbalifornia,8315,12/12/2021 12:00:00 AM,34.30828379,-118.2282411,1551117,27369,5182686,252834,0,0,0,0
Los Angeles,California,6910,12/13/2021 12:00:00 AM,34.30828379,-118.2282411,1553366,27388,5191014,-126784,-3442,0,0,0
Los Angeles,California,6037,12/14/2021 12:00:00 AM,34.30828379,-137.48817408615292,1556685,27413,5199762,219054,0,-63,0,19
Los Angeles,California,6037,12/15/2021 12:00:00 AM,34.30828379,-118.2282411,1560377,27432,5203454,75718,0,103,0,0
Los Ageles,California,6037,12n/16/2021 12:00:00 AM,34.30828379,-118.2282411,1563879,70809,5206956,75727,0,0,0,0
Los Angeles,California,6037,12/17/2021 12:00:00 AM,34.30828379,-118.2282411,1567133,27448,5226183,75826,0,0,0,0
Los Anegles,California,6037,12/18/2021 12:00:00 AM,34.30828379,-118.2282411,1570230,27473,5237078,75878,0,0,0,0
Los Angeles,California,6037,12/19/2021 12:00:00 AM,25.946851605421013,-118.2282411,1576702,-30670,5249273,75958,0,0,0,0
Los Angeles,California,6037,12/20/2021 12:00:00 AM,34.30828379,-118.2282411,1585313,78908,5269446,76054,0,0,0,0
Los Angeles,California,6037,12/21/2021 12:00:00 AM,34.30828379,-118.2282411,1595239,27533,5289904,76126,0,0,0,0
Los Angeles,California,6037,12/22/2021 12:00:00 AM,34.30828379,-118.2282411,6952995,27533,5289904,-128227,5902,0,0,0
Los Angelse,California,6037,12/23/2021 12:00:00 AM,34.30828379,-118.2282411,1616033,27546,5310698,76139,0,0,0,327
Los Angeles,California,6037,12/24/0221 12:00:00 AM,34.30828379,-118.2282411,1623442,27555,-15703145,76175,0,0,0,0
Los Angeles,California,8748,12/25/2021 12:00:00 AM,34.30828379,-118.2282411,1632893,27576,5377245,76255,0,0,0,0
Los Angeles,oCalifornia,6037,12/26/2021 12:00:00 AM,34.30828379,-118.2282411,1649376,27601,5407310,76336,-3451,0,0,284
Los Angeles,California,6037,12/27/2021 12:00:00 AM,34.30828379,-118.2282411,-4094091,27625,5456421,76437,0,0,0,0
Los Angeles,California,6037,12/31/2021 12:00:00 AM,34.30828379,-118.2282411,1780154,27671,5768815,76634,-3600,24,76786,321
Los Angeles,California,6037,01/04/2022 12:00:00 AM,34.30828379,-118.2282411,1921890,27772,23477071,77043,34364,16,34364,17
Los Angeles,California,6037,01/29/2022 12:00:00 AM,46.45036519782696,-118.2282411,8170715,29099,8538829,80497,15550,101,29212,321
Los Angeles,California,6037,02/22/2022 12:00:00 AM,34.30828379,-118.2282411,7767438,30587,8959490,84980,0,0,0,0
Los Angeles,California,6037,02/23/2022 12:00:00 AM,34.30828379,-118.2282411,2793776,30650,8961636,85043,0,0,0,0
Los Angeles,California,8950,02/24/2022 12:00:00 AM,34.30828379,-118.2282411,7007298,78857,8961636,85043,0,118,0,0
Los Angeles,California,6037,02/25/2022 12:0:00 AM,34.30828379,-118.2282411,2796560,91299,8978479,85468,-3727,0,0,0
Los Angeles,California,6037,02/26/2022 12:00:00 AM,34.30828379,-118.2282411,2797628,30773,8981736,85557,0,0,0,0
Los Angeles,California,6037,0/227/2022 12:00:00 AM,34.30828379,-118.2282411,2799169,30853,8987156,85827,0,0,0,0
