OBJECTID,COMPTYPE,COMPKEY,HANSEGKEY,UNITID,UNITTYPE,BRGUNITID,UNITDESC_BRG,UNITDESC_SEG,INSTDATE,EXPDATE,STATUS,STATUSDT,CONDITION,CONDDT,OWN,LSTVERIFY,MAINTBY,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,ADDDTTM,MODDTTM,BR_NBR,BR_CODE,BR_TYPE,BR_NAME,BR_FACILITIES,BR_FEATURES,BR_RATING,BR_INSET,BR_GEO,BR_OWNER,BR_OWNER_NAME,GEOBASID,XGEOBASID,GISSEGKEY,EARTHQUAKE_RESPONSE_TEAM,SHAPE_Length
24861,66,515735,491951,BRG-883, ,BRG-883,I-5 SB / NE RAVENNA BLVD                                                                                                                                                                                                                                       ,I5 SB BETWEEN 45TH ST OFF RP AND NE LAKE CITY WY ON RP                                                                                                                                                                                                         ,,, ,, ,, ,, ,DISTRICT6, ,N,,2010/01/21 00:00:00+00,2010/09/15 00:00:00+00,883, 883,ST,RAVENNA BLVD OC,SR 5 NB,NE RAVENNA BLVD,1,0,NE,DOT,State of Washington,140100050,0,491951, ,1438.17421414248
24862,66,526180,20033,BRG-700A, ,BRG-700A,O&M FACILITY UNIT A (CROSSES S FOREST ST)                                                                                                                                                                                                                      ,S FOREST ST BETWEEN DEAD END 3 AND 6TH AVE S                                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT2, ,N,,2010/04/07 00:00:00+00,2011/01/07 00:00:00+00,0, , , , , ,0,0, , , ,,,20033, ,434.626312271775
24863,66,515734,491885,BRG-882, ,BRG-882,S-45TH RAMP 50TH S OC                                                                                                                                                                                                                                          ,45TH ST OFF RP BETWEEN I5 SB AND 5TH AVE NE                                                                                                                                                                                                                    ,,, ,, ,, ,, ,DISTRICT6,DISTRICT4,N,,2010/01/21 00:00:00+00,,882, 882,ST,S-45TH RAMP 50TH S OC,SR 5 NB,5TH AVE NE - SR 5 ON RAMP SB,2,0,NE,DOT,State of Washington,0,38950100,491885, ,763.828270362868
24864,66,512018,16368,BRG-302, ,BRG-302,NE 117TH ST /I-5                                                                                                                                                                                                                                               ,NE 117TH ST BETWEEN 1ST AVE NE AND 1ST PL NE                                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT5, ,N,,2009/12/21 00:00:00+00,2013/01/11 00:00:00+00,302, 302,ST,NE 117TH ST / I-5,NE 117TH ST,SR 5,4,0,NE,DOT,State of Washington,129300002,0,16368, ,333.941152506176
24865,66,511806,11902,BRG-022, ,BRG-022,MONTLAKE BR                                                                                                                                                                                                                                                    ,MONTLAKE BR BETWEEN MONTLAKE BLVD E AND POINT A                                                                                                                                                                                                                ,,, ,, ,, ,, ,DISTRICT4,DISTRICT3,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,22,  22,ST,MONTLAKE BRIDGE,MONTLAKE BLVD E,LAKE WASHINGTON SHIP CANAL,2,0,NE,DOT,State of Washington,86850010,0,11902, ,216.636274627916
24866,66,511947,5236,BRG-158, ,BRG-158,34TH AVE NE /THORNTON CULVERT                                                                                                                                                                                                                                  ,34TH AVE NE BETWEEN NE 115TH ST AND 35TH AVE NE                                                                                                                                                                                                                ,,, ,, ,, ,, ,DISTRICT5, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,0,158, , , , ,0,0, , , ,,,5236, ,75.0780537037577
24867,66,511826,11661,BRG-040E, ,BRG-040E,MARION ST FOOTBRIDGE - E BR                                                                                                                                                                                                                                    ,MARION ST BETWEEN WESTERN AVE AND POST AVE                                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2018/05/07 00:00:00+00,40,  40A,E,MARION ST FOOTBRIDGE,PEDESTRIANS,"POST ST, WESTERN AVE",4,1,DT,SDOT,Seattle Dept. of Transportation,84500020,0,11661,BRGTEAM-Q,190.977655521642
24868,66,511844,10624,BRG-060S, ,BRG-060S,ELLIOTT BAY MARINA - S RAMP                                                                                                                                                                                                                                    ,W GARFIELD ST ON RP BETWEEN MAGNOLIA BR AND W GARFIELD ST ACCESS RD                                                                                                                                                                                            ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,60, ,E,ELLIOTT BAY MARINA BR, , ,0,0,MA,SDOT,Seattle Dept. of Transportation,0,0,10624, ,876.636683042339
24869,66,520723,527192,BRG-246, ,BRG-246,ROYAL BROUGHAM /RR                                                                                                                                                                                                                                             ,S ROYAL BROUGHAM WAY BR BETWEEN OCCIDENTAL AVE S AND 3RD AVE S                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT2, ,N,,2010/03/23 00:00:00+00,2010/09/16 00:00:00+00,0, , , , , ,0,0, , , ,,,527192, ,1061.60166885644
24870,66,515778,491392,BRG-939, ,BRG-939,CONNECTICUT ST INTERCHANGE                                                                                                                                                                                                                                     ,I5 NB - I90 EB ON RP BETWEEN I5 NB COLLECTOR AND I90 EB                                                                                                                                                                                                        ,,, ,, ,, ,, ,DISTRICT2, ,N,,2010/01/21 00:00:00+00,,939, 939,ST,CONNECTICUT ST INTERCHANGE,SR 5 OFFR TO SR 90 ONR,12TH AVE S,1,2,S,DOT,State of Washington,0,0,491392, ,314.597803400645
24871,66,511918,8713,BRG-131ER, ,BRG-131ER,WS HIGHRISE - E APPR RAMP                                                                                                                                                                                                                                      ,S SPOKANE ST RP BETWEEN ALASKAN WY VI SB AND WSB-WB SPOK-NR RP                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT2, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,131, 131E,E,W SEATTLE FREEWAY (EAST),SW SPOKANE ST,"W/E MARGINAL,DELRIDGE,DUWAMISH",1,0,SW,SDOT,Seattle Dept. of Transportation,0,0,8713, ,4746.61471933417
24872,66,511973,23361,BRG-230, ,BRG-230,W GALER ST FLYOVER                                                                                                                                                                                                                                             ,W GALER ST FLYOVER BETWEEN MAGNOLIA BR WB AND PIER 91 ACCESS RD                                                                                                                                                                                                ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2010/04/01 00:00:00+00,230,230, ,GALER ST FLYOVER, , ,0,0, ,SDOT,Seattle Dept. of Transportation,186150200,0,23361, ,1155.21262507501
24873,66,515687,491050,BRG-823, ,BRG-823,N-W RAMP SR 5 OC                                                                                                                                                                                                                                               ,I5 NB - W SEATTLE BR RP BETWEEN I5 NB - 6TH AV S RP AND WEST SEATTLE BR WB                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT2, ,N,,2010/01/21 00:00:00+00,,823, 823,ST,N-W RAMP SR 5 OC,SR 5 RAMP SB,"SR 5, SPOKANE ST RAMP",1,3,S,DOT,State of Washington,0,0,491050, ,1850.15187677506
24874,66,511873,8936,BRG-087, ,BRG-087,SR-99 /N 50TH ST                                                                                                                                                                                                                                               ,AURORA AVE N BETWEEN N 50 UPPER ST AND N 59TH ST                                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT6, ,N,,2009/12/21 00:00:00+00,2010/09/16 00:00:00+00,87,  87,ST,AURORA AVE N / N 50TH ST,SR 99,N 50TH ST,1,0,NO,DOT,State of Washington,52500490,0,8936, ,137.535559716426
24875,66,511793,10484,BRG-012A, ,BRG-012A,FREMONT BR - APPRS                                                                                                                                                                                                                                             ,FREMONT AVE N BETWEEN FREMONT BR AND N 34TH ST                                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT6, ,N,,2009/12/21 00:00:00+00,2018/05/07 00:00:00+00,12,  12N,E,FREMONT BRIDGE N APPROACH,FREMONT AVE N,BUSINESS ACCESS ROADS,2,0,NO,SDOT,Seattle Dept. of Transportation,68700010,0,10484,BRGTEAM-H,566.342330993645
24876,66,515749,491952,BRG-900, ,BRG-900,EXP RAVENNA BLVD OC                                                                                                                                                                                                                                            ,I5 EXPRESS BETWEEN RAVENNA BV I5 EXPRESS RP AND I5 EXPRESS LAKE CITY RP                                                                                                                                                                                        ,,, ,, ,, ,, ,DISTRICT6,DISTRICT4,N,,2010/01/21 00:00:00+00,,900, 900,ST,EXP RAVENNA BLVD OC,SR 5,NE RAVENNA BLVD,1,0,NE,DOT,State of Washington,140100050,0,491952, ,652.504038425665
24877,66,511805,16155,BRG-021, ,BRG-021,20TH AVE NE /THORNTON CK                                                                                                                                                                                                                                       ,NE 100TH ST BETWEEN DEAD END AND 21ST AVE NE                                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT5, ,N,,2009/12/21 00:00:00+00,2014/08/26 00:00:00+00,21,  21,E,20TH AVE N / NE 98TH ST,PEDESTRIANS,THORNTON CREEK,5,0,NE,SDOT,Seattle Dept. of Transportation,0,127700100,16155, ,38.8676299354855
24878,66,515759,1273,BRG-916, ,BRG-916,S-S RAMP BR S-E RAMP OC                                                                                                                                                                                                                                        ,1ST AV S OFF RP BETWEEN SR509 SB AND 1ST S AVE S                                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT1, ,N,,2010/01/21 00:00:00+00,,916, 916,ST,S-S RAMP BR S-E RAMP OC,1ST AVE S RAMP, ,1,0,S,DOT,State of Washington,550080,0,1273, ,153.626931793784
24879,66,511924,275618,BRG-135, ,BRG-135,13TH AVE NW PED /HOLMAN                                                                                                                                                                                                                                        ,HOLMAN RD NW BETWEEN 13TH W AVE NW AND 13TH E AVE NW                                                                                                                                                                                                           ,,, ,, ,, ,, ,DISTRICT6, ,N,,2009/12/21 00:00:00+00,2018/05/03 00:00:00+00,135, 135,E,13TH AVE NW / HOLMAN RD NW,PEDESTRIANS,HOLMAN RD NW,1,0,NO,SDOT,Seattle Dept. of Transportation,3950120,0,275618,BRGTEAM-C,133.279210726303
24880,66,511857,22630,BRG-071, ,BRG-071,SW NEVADA ST /LONGFELLOW CK                                                                                                                                                                                                                                    ,SW NEVADA ST BETWEEN 26TH AVE SW AND 28TH AVE SW                                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT1, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,71,  71,E,SW NEVADA ST / LONGFELLOW CRK,SW NEVADA ST,LONGFELLOW CREEK,5,0,SW,SDOT,Seattle Dept. of Transportation,0,175850108,22630, ,134.239737315597
24881,66,511823,13345,BRG-038, ,BRG-038,FAUNTLEROY EXPRESSWAY                                                                                                                                                                                                                                          ,WEST SEATTLE BR WB BETWEEN SW ADMIRAL WY OFF RP AND POINT A                                                                                                                                                                                                    ,,, ,, ,, ,, ,DISTRICT1, ,N,,2009/12/21 00:00:00+00,2018/05/03 00:00:00+00,38,  38,E,FAUNTLEROY EXPRESSWAY,FAUNTLEROY WAY,HARBOR AVE SW ET AL,1,0,SW,SDOT,Seattle Dept. of Transportation,102600250,0,13345,BRGTEAM-A,1106.82474167093
24882,66,515711,491396,BRG-852, ,BRG-852,SR 5 OC S-E RAMP                                                                                                                                                                                                                                               ,I90 WB ON RP BETWEEN I5 SB COLLECTOR AND I90 WB OFF RP                                                                                                                                                                                                         ,,, ,, ,, ,, ,DISTRICT2, ,N,,2010/01/21 00:00:00+00,,852, 852,ST,SR 5 OC S-E RAMP,SR 5 RAMP SB,SR 5 AND SR 5 ON RAMPS,1,2,S,DOT,State of Washington,0,0,491396, ,541.738009258391
24883,66,511828,11218,BRG-042, ,BRG-042,LESCHI PARK BR                                                                                                                                                                                                                                                 ,LAKE WASHINGTON BLVD S BETWEEN E YESLER WAY AND 35TH AVE S                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT3, ,N,,2009/12/21 00:00:00+00,2011/03/25 00:00:00+00,42,  42,PK,LESCHI PARK BRIDGE,YESLER WAY (ROW),BLAINE BLVD (PARK),5,0,CE,PRKS,Other,116900260,0,11218, ,218.056772396715
24884,66,531731,492950,BRG-894, ,BRG-894,I-5 N RAMP /NORTHGATE WAY                                                                                                                                                                                                                                      ,1ST AV NE I5 NB ON RP BETWEEN 1ST AVE NE AND NORTHGATE I5 NB ON RP                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT5, ,N,,2010/09/17 00:00:00+00,,0, , , , , ,0,0, , , ,,,492950, ,214.536237480895
24885,66,515762,493061,BRG-923, ,BRG-923,PORTAGE BAY                                                                                                                                                                                                                                                    ,SR520 EB BETWEEN I5 NB SR520 EB ON RP AND SR520 EB MONTLAKE BV OFF RP                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT3, ,N,,2010/01/21 00:00:00+00,,923, 923,ST,PORTAGE BAY,SR 520,BOYER AVE E,2,0,CE,DOT,State of Washington,0,112200020,493061, ,2839.2985953258
24886,66,511985,20936,BRG-250, ,BRG-250,S NORFOLK ST & 42ND AVE                                                                                                                                                                                                                                        ,S NORFOLK ST BETWEEN 40TH AVE S AND M L KING JR WR WAY S                                                                                                                                                                                                       ,,, ,, ,, ,, ,DISTRICT2, ,N,,2009/12/21 00:00:00+00,2011/03/25 00:00:00+00,250,250, ,S NORFOLK/42ND AV S PED BRIDGE, , ,0,0, ,PRIV,Other,0,0,20936, ,110.365885760629
24887,66,531734,7884,BRG-235, ,BRG-235,PINE CENTER SKYBRIDGE                                                                                                                                                                                                                                          ,6TH AVE BETWEEN PINE ST AND OLIVE WAY                                                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT7, ,N,,2010/09/17 00:00:00+00,,0, , , , , ,0,0, , , ,,,7884, ,58.2308204584029
24888,66,511917,13341,BRG-131EA, ,BRG-131EA,WS HIGHRISE - E APPR                                                                                                                                                                                                                                           ,WEST SEATTLE BR WB BETWEEN WSB-WB SPOK-NR RP AND ALASKAN WY VI SB WSB WB OFF RP                                                                                                                                                                                ,,, ,, ,, ,, ,DISTRICT2, ,N,,2009/12/21 00:00:00+00,2018/05/07 00:00:00+00,131, 131E,E,W SEATTLE FREEWAY (EAST),SW SPOKANE ST,"W/E MARGINAL,DELRIDGE,DUWAMISH",1,0,SW,SDOT,Seattle Dept. of Transportation,0,0,13341,BRGTEAM-K,1725.8281046629
24889,66,531728,10357,BRG-070A, ,BRG-070A,FAIRVIEW /E NELSON PED                                                                                                                                                                                                                                         ,FAIRVIEW AVE N BETWEEN YALE AVE N AND FAIRVIEW AVE E                                                                                                                                                                                                           ,,, ,, ,, ,, ,DISTRICT3, ,N,,2010/09/17 00:00:00+00,2013/01/11 00:00:00+00,0,70A, , , , ,0,0, , , ,,,10357, ,67.4239215296525
24890,66,515732,491691,BRG-877, ,BRG-877,NEWTON - S RAMP BRIDGE                                                                                                                                                                                                                                         ,BOYLSTON AV E ON RP BETWEEN BOYLSTON AVE E AND I5 SB                                                                                                                                                                                                           ,,, ,, ,, ,, ,DISTRICT4, ,N,,2010/01/21 00:00:00+00,,877, 877,ST,NEWTON - S RAMP BRIDGE,BOYLSTON - SR 5 ON RAMP, ,5,0,CE,DOT,State of Washington,0,68550010,491691, ,825.976491687951
24891,66,515767,493125,BRG-929, ,BRG-929,N-E RAMP BR                                                                                                                                                                                                                                                    ,LK WASH BV ON RP BETWEEN SR520 EB AND LAKE WASHINGTON BLVD E                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT3, ,N,,2010/01/21 00:00:00+00,,929, 929,ST,N-E RAMP BR,SR 520 ON RAMP EB,UNION BAY,2,0,CE,DOT,State of Washington,0,112200020,493125, ,2099.25757672556
24892,66,515761,491758,BRG-922, ,BRG-922,W-S RAMP SR 5 OC                                                                                                                                                                                                                                               ,SR520 WB I5 SB RP BETWEEN SR520 WB AND I5 SB                                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT3,DISTRICT4,N,,2010/01/21 00:00:00+00,,922, 922,ST,W-S RAMP SR 5 OC,SR 520 OFFR AND SR 5 OR,SR 5 RAMP SB & SR 520 OR EB,1,0,CE,DOT,State of Washington,112200020,0,491758, ,349.097312948655
24893,66,511984,13880,BRG-249, ,BRG-249,SU PED /E JAMES WAY                                                                                                                                                                                                                                            ,E CHERRY ST BETWEEN E JAMES WAY AND 12TH AVE                                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT3, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,249,249, ,SEATTLE UNIVERSITY PED BRIDGE, , ,0,0, , ,Other,0,0,13880, ,75.7015694937081
24894,66,511929,23219,BRG-140, ,BRG-140,W DRAVUS ST /15TH AVE W                                                                                                                                                                                                                                        ,W DRAVUS ST BETWEEN 15TH AV W NB OFF RP AND 15TH AV W SB OFF RP                                                                                                                                                                                                ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2018/05/03 00:00:00+00,140, 140,E,W DRAVUS ST / 15TH AVE W,W DRAVUS ST,15TH AVE W,1,0,QA,SDOT,Seattle Dept. of Transportation,185250140,0,23219,BRGTEAM-D,127.104550738247
