X,Y,ProjectID,AppNum,AppType,ProjectName,ProjectTown,District,Status,Description,GisLatitude,GisLongitude,LINK
495766.157929848,229609.041097109,152,100041,Major,,Morristown,05,Findings,GAS STATION 7 USED CAR LOT ,44.566695817,-72.553336062,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100041
492517.508112134,229856.43841977,154,100042,Minor,,Morristown,05,Permit,COMMERCIAL BLDG,44.568923408,-72.594245542,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100042
453354.954235403,257168.350233112,155,100045,Major,,Saint Albans City,06,Permit,20 UNIT APT BLDG,44.8132207570001,-73.0896754519999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100045
445974.77174619,253436.532010393,156,100047,Minor,Burton Island State Park-Camp Kill Kare,Saint Albans Town,06,Withdrawn,"Construction of protected docking area, launching ramp, docks, parking",44.779098322,-73.182561398,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100047
471131.356687793,269954.763513878,159,100048,Minor,,Franklin,06,Permit,IMPROVE HIGHWAY INCLUDING BLACK TOPPING OF SAME AND WIDENING THEREOF,44.9291833600001,-72.865677142,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100048
485904.897791457,213444.131870488,160,100049,Minor,,Stowe,05,Permit,ROAD INTO SEVEN LOT SUBDIVISION ,44.4210703030001,-72.677043672,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100049
492557.836780105,230389.765905068,161,100050,Minor,,Morristown,05,Permit,24' X 25' ADDITION TO LOUNGE ,44.5737426910001,-72.593732272,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100050
435195.782500193,239410.938154962,163,100052,Minor,,South Hero,06,Permit,EXTENSION TO PRESENT STORE,44.6519980910001,-73.3169572749999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100052
501811.450543238,228841.188945491,164,100053,Major,,Wolcott,05,Permit,SANITARY LANDFILL ,44.559776297,-72.4772030509999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100053
492167.090441025,229101.239850997,165,100054,Major,,Morristown,05,Permit,REMODELING A BUILDING AND EXTEND BACK END ,44.5621347050001,-72.598577634,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100054
455272.233808909,74939.8662223652,166,1B0001,Major,,Manchester,08,Permit,14000 SQ. FT. ADDITION TO EXISTING WOODWORKING PLANT,43.173323,-73.050093309,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0001
444833.732395211,49975.0201926885,173,1B0004,Major,"CATAMOUNT BROADCASTERS, INC.",Shaftsbury,08,Permit,300' RADIO TRANSMIT TOWER,42.947934188,-73.175968214,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0004
454121.677168136,50062.1701117603,182,1B0007,Major,THE GREEN MOUNTAIN CLUB,Glastenbury,08,Permit,RELOCATE LONG TRAIL,42.9493088720001,-73.062214974,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0007
458696.366704523,84450.3849299829,184,1B0011,Major,,Dorset,08,Permit,TRAVEL TRAILER PK & CAMPGROUND,43.259133954,-73.008661602,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0011
455892.555487983,75302.4399561512,185,1B0012,Major,MURRAY HILL,Manchester,08,Permit,12 MORE UNITS & REVISE SITE PLAN,43.1765661380001,-73.042459766,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0012
454222.006341022,74746.8710698126,187,1B0014,Major,JELLY MILL,Manchester,08,Permit,ADD TO STORE BLDG,43.171518452,-73.063045901,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0014
455220.380151116,74473.5987159411,192,1B0015,Major,,Manchester,08,Permit,STRUCTURE FOR TRANSFER OF MILK,43.169077374,-73.050733662,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0015
454287.262928595,30731.1665838791,194,1B0016,Major,"STAMFORD FARMS, INC.",Stamford,08,Denied,46 LOT RES SUBDIV,42.7752530980001,-73.058635365,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0016
464182.910505438,79375.4307859002,195,1B0020,Major,BOWER HOUSE,Peru,08,Permit,12 CONDO UNITS,43.2137406530001,-72.9407518039999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0020
451762.722913502,84551.6646254544,196,1B0021,Major,,Dorset,08,Permit,EXTEND EXP DATE,43.2596370260001,-73.0941280169999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0021
449083.732377551,68328.5521176544,199,1B0034,Major,CHRISTMAS DAYS,Sunderland,08,Permit,GIFT SHOP,43.113410297,-73.1256366649999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0034
442185.907462889,41786.8587844654,201,1B0035,Major,HENRY W. PUTNAM MEMORIAL HOSPITAL,Bennington,08,Permit,EXPANSION OF HENRY W. PUTNAM MEMORIAL HOSPITAL,42.8740172970001,-73.2075956099999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0035
443454.185382185,55874.358113271,202,1B0036,Major,HIDDEN VALLEY,Shaftsbury,08,Permit,REMOVE 10000 CY GRAVEL FROM LOTS 19 AND 22 OF HIDDEN VALLEY,43.000906699,-73.193515109,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0036
455468.286357196,86237.2690739179,214,1B0037,Major,DORSET HOLLOW CORPORATION,Dorset,08,Permit,20 LOT SUBDIVISION,43.274985327,-73.048592195,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0037
440820.489807069,49275.2190907936,221,1B0039,Major,,Shaftsbury,08,Permit,EXT EXP DATE,42.941320746,-73.225104135,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0039
438981.812240385,43514.2969538885,225,1B0040,Major,,Bennington,08,Permit,IMPROVE BENNINGTON AIRPORT,42.8892681400001,-73.247012921,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0040
457518.226805651,75225.4432869697,228,1B0042,Major,,Manchester,08,Permit,"50 UNITS - CONDOMINIUMS; TOWN HOUSE CLUSTER HOUSING",43.1759596790001,-73.0225324909999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0042
441871.96901347,46211.0956897595,232,1B0043,Major,,Bennington,08,Permit,8 UNIT MOTEL,42.91375523,-73.211898919,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1B0043
475505.916275276,125108.894429243,234,1R0002,Major,,Killington,01,Permit,CONSTR SNOWMAKING SYSTEM ON SNOWDON MOUNTAIN,43.62582301,-72.8035388769999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0002
475424.323405693,122664.942383536,235,1R0003,Major,,Killington,01,Permit,DRIFTER TRAIL,43.6037816150001,-72.804358287,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0003
438138.159068072,119994.12093175,236,1R0005,Major,SKYLINE CORPORATION,Fair Haven,01,Permit,MOBILE HOME ASSEMBLY PLANT,43.577605238,-73.2658758219999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0005
445291.571130139,122554.161338376,238,1R0006,Major,,Castleton,01,Permit,12 UNIT APT HOUSE,43.601213714,-73.177594101,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0006
461476.918082375,109264.842721821,240,1R0010,Major,,Wallingford,01,Permit,MUNICIPAL SEWAGE & TREATMENT FAC,43.482587446,-72.9761983669999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0010
437515.492826551,120788.770459285,241,1R0013,Major,,Fair Haven,01,Permit,GARAGE/ STORAGE BLDG,43.5847233640001,-73.2736786849999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0013
455487.260671388,122234.319602915,242,1R0017,Adm. Amend,,West Rutland,01,Permit,ADD TO SUBSTATION,43.5990204600001,-73.0512927669999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0017
464543.981580865,123235.822535417,243,1R0018,Major,,Rutland Town,01,Permit,EXT EXP DATE,43.6085492300001,-72.939216669,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0018
452784.775989943,145407.76179172,256,1R0019,Major,,Brandon,01,Permit,WOODWORKING MANUFACTURING PLANT,43.8073769970001,-73.086819232,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0019
461673.611121366,121051.74923572,257,1R0022,Major,,Rutland Town,01,Permit,ADD TO WAREHOUSE,43.588681088,-72.97464454,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0022
448799.537320916,88928.5251365222,258,1R0023,Major,,Pawlet,01,Permit,46 KV ELECTRIC TRANSMISSION LINES,43.2987985460001,-73.1309828179999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0023
441288.770504469,122799.111721008,259,1R0024,Major,,Castleton,01,Permit,EXTEND AN EXISTING SALVAGE YARD ONTO A PARCEL OF LAND APPROXIMATELY 2 ACRES,43.603110723,-73.227213287,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0024
456083.740721301,138052.002631162,261,1R0025,Major,,Pittsford,01,Permit,CONSTRUCT A COMMERCIAL BUILDING,43.741397793,-73.0451642049999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0025
442133.126109333,123336.209057178,262,1R0026,Major,,Castleton,01,Permit,CONSTRUCT A COMMERICAL BUILDING ON ROUTE 4A,43.6079560950001,-73.216770719,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0026
469233.077210441,128212.327854253,263,1R0027,Minor,KILLINGTON GATEWAY CONDOS,Mendon,01,Permit,CONSTRUCT A SWIMMING POOL AND TWO TENNIS COURTS AS RECREATIONAL FACILITIES,43.653522647,-72.8813654369999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0027
433008.686173049,134510.258845476,264,1R0028,Major,,Benson,01,Permit,EXTEND AN ELECTRIC DISTRIBUTION LINE ALONG TH 17,43.707773408,-73.3311611029999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0028
454722.497139384,134505.633586714,265,1R0029,Major,,Pittsford,01,Permit,CONSTRUCT 82' X 212' ADDITION TO EXISTING PLANT COMPLEX,43.7093847880001,-73.0618252099999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0029
445799.956597031,122516.701641472,267,1R0030,Minor,,Castleton,01,Permit,SANITARY LANDFILL,43.600883885,-73.1712649529999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0030
445028.411101748,122956.303020245,268,1R0031,Major,CASTLETON STATE COLLEGE,Castleton,01,Permit,CONSTRUCT A GENERAL SERVICES BUILDINGS,43.604793306,-73.1808502389999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0031
445063.1366041,122267.146840563,269,1R0032,Major,"DROL ENTERPRISES, INC.",Castleton,01,Permit,CONSTRUCT 32 APARTMENT UNITS IN 7 BUILDINGS,43.5986364660001,-73.180361298,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0032
463298.461015241,124298.013549661,273,1R0038,Major,RUTLAND PUBLIC SCHOOLS,Rutland City,01,Permit,CONSTRUCT A VOCATIONAL HIGH SCHOOL,43.617962699,-72.9546961679999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0038
453770.558768158,129712.297335943,284,1R0041,Major,UPPER CASTLETON RIVER WATERSHED PROJECT,Pittsford,01,Permit,MULTIPLE-PURPOSE STRUCTURE,43.66620335,-73.073213373,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0041
476046.763748548,125140.270318194,286,1R0044,Major,,Killington,01,Permit,SKI VACATION COORD BLDG,43.626118557,-72.796793811,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0044
476233.213420312,125372.921659813,294,1R0045,Major,,Killington,01,Permit,CONDOS,43.6282197360001,-72.7944739389999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0045
476434.774356679,125316.658629051,297,1R0046,Major,,Killington,01,Permit,WASTE H2O TREATMENT FAC,43.627678014,-72.7919909829999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0046
476370.799440785,125483.537577996,302,1R0047,Major,GOLF COURSE,Killington,01,Permit,9 HOLE GOLF COURSE,43.6291550980001,-72.792810977,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0047
463326.383992804,124975.597314959,307,1R0048,Major,RUTLAND MALL,Rutland Town,01,Permit,"SHOPPING CENTER - 203,495 SF",43.6240949510001,-72.954427196,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0048
452132.9499467,145401.304015816,328,1R0049,Major,MOUNT PLEASANT ACRES,Brandon,01,Permit,HOME BUILDING LOTS - 19 LOTS,43.8073080940001,-73.0949156459999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0049
463635.264085637,114941.270752894,332,1R0050,Major,RUTLAND AIRPORT,Clarendon,01,Permit,RECONSTRUCTION OF 4000 OF RUNWAY 1-19 AND RUNWAY END INDENTIFIER LIGHTS (19),43.5337768630001,-72.9498608169999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0050
443199.306910329,126249.266908012,337,1R0051,Major,,Castleton,01,Permit,6 UNIT CONDO,43.634305951,-73.2039395689999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0051
462632.559281031,120679.698269226,338,1R0052,Major,MOORE BUSINESS FORMS,Rutland Town,01,Permit,ADDITION TO PRESENT BUILDING,43.5853651410001,-72.962679521,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0052
456190.166116419,145662.262564136,340,1R0053,Minor,,Brandon,01,Permit,EXTEND ELECTRIC DISTRIBUTION LINE ALONG TOWN HIGHWAY 80,43.809899452,-73.044458262,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0053
450475.8829864,127002.613093017,347,1R0055,Major,,Castleton,01,Permit,19 LOT RESIDENTIAL SUBDIVISION,43.6416114030001,-73.113785206,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0055
468971.488356989,127469.138662465,348,1R0056,Major,SUGAR TREE VALLEY,Mendon,01,Permit,DENIED 5/23/73,43.6467712470001,-72.884607543,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0056
477859.607496212,129100.398348737,349,1R0057,Major,,Killington,01,Permit,DEVELOPMENT - EIGHT APARTMENTS BUILT AS TWO FOUR-PLEXES,43.661775666,-72.774454276,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0057
477835.373446427,129089.368258856,350,1R0058,Major,,Killington,01,Permit,EIGHT APARTMENTS BUILDING AS FOUR-PLEXES,43.6617118020001,-72.774848145,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0058
475651.226943279,125119.475178207,352,1R0060,Major,,Killington,01,Permit,SNOWMAKING AND FIRE PROTECTION SYSTEM,43.625866667,-72.801743312,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0060
475772.325491737,125130.146558223,354,1R0061,Minor,,Killington,01,Permit,REPLACEMENT OF SURFACE LIFT WHICH CHAIRLIFT FOR PUBLIC RECREATIONAL ACTIVITIES,43.625984643,-72.8001949979999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0061
474313.370042798,123502.372385606,356,1R0062,Major,,Killington,01,Permit,REPLACEMENT OF SURFACE LIFT,43.611250727,-72.818190752,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0062
469799.261539069,128543.061761482,357,1R0063,Major,,Mendon,01,Permit,SKI LODGE,43.6564881460001,-72.874357889,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0063
468256.353989465,128083.56239274,359,1R0064,Major,"TYROL MOTEL, INC.",Mendon,01,Permit,ADDITION TO PRESENT BUILDING,43.6523015180001,-72.8934791419999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0064
462027.776757678,122271.880731206,360,1R0065,Major,,Rutland City,01,Permit,COMMERCIAL ESTABLISHMENT FOR PURPOSE OF MOBILE HOME SALES,43.5996823720001,-72.970257091,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0065
454770.115560862,146271.750352818,362,1R0066,Major,,Brandon,01,Permit,MOBILE HOME PARK,43.815300236,-73.0621763789999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0066
460356.978708967,131914.383126321,365,1R0067,Major,,Pittsford,01,Permit,NEW BUILDING,43.6864183930001,-72.991734864,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0067
441422.315669612,123297.936683153,367,1R0068,Major,,Castleton,01,Permit,CONSTRUCTION OF A RETAIL STORE,43.607598889,-73.225610947,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0068
474876.904955927,129544.231853015,369,1R0069,Major,,Killington,01,Permit,SLIGHT ALTERATION TO EXISTING OFFICE BUILDING,43.6657437440001,-72.811450151,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0069
476490.332143059,127349.641158306,371,1R0070,Major,,Killington,01,Permit,24 TOWN-HOUSE UNITS IN SIX BUILDINGS AND MANAGEMENT QUARTERS,43.6460366210001,-72.7913707389999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0070
475620.353799334,107687.84612981,372,1R0071,Major,,Mount Holly,01,Permit,LINE EXTENSION ALONG TOWN HIGHWAY 5,43.469004516,-72.801268567,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0071
443767.386379423,127588.89937446,373,1R0072,Major,TRAK INN,Castleton,01,Permit,CONSTRUCT STRUCTURE FOR COCKTAIL LOUNGE AND RESTAURANT,43.6464022800001,-73.196985161,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0072
461336.492222857,140941.633836698,377,1R0073,Major,,Chittenden,01,Permit,BUILD POLE LINE FOR TELEPHONE AND ELECTRIC SERVICE ON TOWN HIGHWAY 10,43.7676716620001,-72.980232445,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0073
462294.267990248,119403.897268887,378,1R0074,Major,"FORMULA FORD, LINCOLN, MERCURY",Rutland Town,01,Permit,SHOWROOM AND GARAGE,43.57391813,-72.966800758,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0074
462856.330565733,121711.721793197,382,1R0075,Major,REGENCY MANOR,Rutland City,01,Permit,CONSTRUCT 120 GARDEN-TYPE APARTMENTS IN 15 TYWO STORY BUILDINGS,43.5946560190001,-72.9599574329999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0075
457982.975267802,108119.154749685,385,1R0076,Major,,Tinmouth,01,Permit,CONSTRUCT TELEPHONE LINE EXTENSION TO SERVE G. MCNEAL & J. PALAMO ON TOWN RD. #7,43.4721327940001,-73.019316256,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0076
460798.126290253,130145.197533236,386,1R0077,Major,,Pittsford,01,Permit,INDOOR TENNIS COURTS,43.670480947,-72.9861361759999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0077
468382.902995742,105218.160800285,390,1R0078,Major,,Wallingford,01,Permit,CONSTRUCT A 12000000 GALLON WINTER WHEY STORAGE LAGOON WITH SPRAY IRRIGATION,43.446549147,-72.8905728139999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0078
459654.387764488,129052.046786311,391,1R0079,Major,CRESTWAY,Rutland Town,01,Permit,17 LOT SUBDIVISION,43.660624812,-73.00017812,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0079
461577.417119782,116941.462401951,411,1R0080,Major,MILL RIVER LUMBER COMPANY,Clarendon,01,Permit,INSTALL AN INDIVIDUAL SEWAGE DISPOSAL SYSTEM,43.551664644,-72.975506003,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0080
464599.252908435,126057.575216111,413,1R0082,Major,LEISURE LINES,Rutland Town,01,Permit,CONSTRUCTION OF SERVICE AND STORAGE BUILDING AND STORE BUILDING,43.633923737,-72.938672428,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0082
458882.671637366,116313.009832478,419,1R0083,Major,,Clarendon,01,Permit,CONSTRUCT A TELEPHONE & ELECTRIC SERVICE LINE EXTENSION ON TOWN HIGHWAY #9,43.545907749,-73.0087580049999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0083
463284.32595056,124664.735265811,420,1R0084,Major,,Rutland Town,01,Permit,CONSTRUCT MODULAR HOMES DISPLAY AND SALES OFFICE,43.621263125,-72.954947066,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0084
447037.830264484,101252.260416937,422,1R0085,Major,,Wells,01,Permit,RELOCATION AND ALTERATION IN STATE AID ROUTE #1,43.40957739,-73.153932818,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0085
458022.897451614,122273.525798737,424,1R0086,Major,,Rutland Town,01,Permit,"CONSTRUCT A RESTAURANT AND SNACK BAR ON ROUTE 4, CENTER RUTLAND",43.599469705,-73.019874024,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0086
476797.092433104,125070.969161972,426,1R0087,Major,WHIFFLETREE,Killington,01,Permit,72 UNIT CONDO PROJECT ON ROARING BROOK EAST ROAD,43.6255472030001,-72.787508982,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=1R0087
