censustract(long),edvisits(long),edhosp(long),ucvisits(long),asthmause(long),totalmembers(long)
42003490002,1,0,1,51,697
42003490003,0,0,1,42,554
42003490004,3,1,1,151,808
42003491101,1,0,0,83,1203
60561674025,0,0,1,15,248
42003492700,3,4,0,31,324
42003492800,5,4,1,40,545
42003492900,8,3,3,56,487
42003494000,2,1,1,23,271
42003495000,1,0,1,30,313
35158552057,1,0,2,35,454
42003496102,1,1,1,60,627
42003496200,1,0,1,50,851
54674891023,1,0,0,7,120
42003498000,0,0,0,26,351
42003499300,1,1,0,27,279
40585169765,8,2,0,59,599
42003500300,3,2,0,45,1740
42003501000,2,0,0,20,186
42003503002,2,1,2,60,783
42003504100,9,8,2,78,885
42003507000,2,1,0,152,344
30207493909,5,4,1,38,459
47436117705,9,6,3,85,1034
42003510000,8,6,3,57,558
62787134996,3,2,2,41,383
42003512800,6,6,4,36,332
42003512900,9,8,-2,48,373
42003513800,11,9,3,60,519
42003514000,6,2,4,55,415
42003515100,12,7,-2,65,565
42003515200,5,3,0,18,255
42003515300,2,1,0,24,1749
42003515401,2,0,2,20,304
42003516100,1,1,-2,14,145
42003516200,1,0,2,19,243
42003517000,2,1,1,136,244
42003518001,2,0,1,28,349
42003519000,1,0,0,23,373
42003520001,1,1,1,27,354
42003520002,3,0,2,143,388
42003521100,4,0,1,68,656
26647209776,0,0,3,43,593
42003521301,7,6,0,53,600
42003521302,5,2,1,63,682
42003521401,1,0,0,18,1695
56120044449,1,1,0,49,545
42003521500,3,0,1,27,510
42003522000,6,4,3,60,725
42003523100,13,8,3,72,706
42003523200,12,5,3,92,769
42003523300,7,0,1,56,655
23520031009,5,3,0,65,1511
42003523501,10,1,1,85,830
42003523502,5,3,0,17,262
42003523600,8,5,2,149,704
42003523701,7,4,2,49,618
42003523702,6,4,1,75,757
42003523800,2,2,1,55,647
42003524000,3,1,2,43,464
42003525100,2,1,0,28,253
42003525200,2,1,1,16,216
42003525300,1,0,0,24,309
42003526101,7,3,2,65,686
42003526102,1,1,0,18,341
59935651279,4,1,2,60,613
42003526202,2,1,0,148,777
42003526301,5,0,3,46,617
42003526302,3,2,1,122,710
42003550900,7,2,3,34,286
42003551200,20,14,1,85,839
42606083987,7,2,0,33,365
62171048024,4,1,0,27,246
42003552000,12,7,1,93,752
42003552100,2,3,1,18,259
42003552200,4,1,1,23,191
42003552300,8,0,0,54,581
42003552400,4,2,1,50,614
42003560400,3,2,0,8,114
42003560500,0,0,0,11,161
38123923380,3,3,1,27,197
42003561000,4,2,1,20,257
42003561100,7,7,1,29,224
42003561200,9,4,0,20,256
42003561400,23,9,5,90,720
42003561500,7,2,2,55,450
42003561600,6,3,0,38,447
42003561700,3,2,1,20,145
42003561900,3,1,1,45,374
42003562000,0,0,0,3,70
42003562300,9,9,0,79,680
42003562400,6,4,1,53,522
32104461369,19,11,0,90,787
42003562600,8,5,0,63,487
42003562700,1,1,0,10,181
42003562800,4,3,0,12,211
42003562900,7,3,0,48,380
57250163924,3,0,1,32,413
23684288962,2,0,1,28,594
42003563200,1,0,0,12,175
42003563300,0,0,0,21,258
42003563800,1,0,0,34,515
42003563900,4,2,4,54,566
42003564000,1,0,0,46,688
42003564100,1,1,1,5,118
42003564200,2,1,1,12,187
41722018476,3,2,4,56,800
38769966864,1,0,0,25,331
31600859627,0,0,0,0,1
42003980100,0,0,0,1,4
42003980300,0,0,0,0,4
60653968700,0,0,0,1,6
42003980500,0,0,0,2,4
42003980600,0,0,0,0,5
42003980700,0,0,0,1,2
42003981000,0,0,0,0,8
56172597820,0,0,3,0,13
42003982200,0,0,0,0,34
