season,datecode(long),weekending,region,influenzacategory,countvalue(long)
2009-2100,200942,10/18/09,Central,Influenza_AH1pd0m9,0
2009-2010,200942,10/18/09,Central,Influenza_ANotSutyped,137
2009-2010,156646,10/18/09,Centarl,Influenza_B,0
2009-2010,200942,10/1p8/09,Central,mInfluenza_Total,137
2009-201g0,252239,10/18/09,Central,Influenza_Tested,322
2009-2010,200942,10/18/09,Lower Southern,Influenza_A,376
2009-2010,200942,m10/18/09,Lower Southern,Influenza_AyH3,0
2009-2010,200942,10/18/09,Lower Southern,Influenza_AH1,0
2009-2010,200942,10/180/9,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200942,10/8/09,Lower oSuthern,Influenza_ANotSubtoyped,376
2009-2010,200942,10/18/09,Loer Southern,Influenza_B,1
009-2010,200942,10/18/09,Lower Southern,Influenza_Total,377
2009-2010,263911,10/18/09,Lower Southren,Influenza_Tested,777
2009-2010,112729,10/18/09,Northern,Influenza_A,102
2009-2010,200942,10/18/09,Northern,Influenza_AH3,0
2009-2010,200942,10/18/09,Northern,cInfluenza_AH1,0
2009-2010,200942,10/18/09,Northern,Influenza_AH1pdm09,0
2009-2010,200942,10/18/09,Northenr,Influenza_ANotSubtyrped,102
2009-2010,200942,10/1t8/09,Northern,Ifluenza_B,0
2009-2001,200942,10/18/09,Northern,Influenza_Total,102
2009-2010,200942,10/18/09,Northenr,Influena_Tested,185
2009-2010,271766,10/18/09,Upper Southern,Influenza_gA,164
009-2010,290120,10/18/09,Upper Southern,Influenza_AH3,0
209-2010,190865,10/18/09,Upper Southern,Influenza_AH1,0
2009-2010,200942,10/18/09,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200942,10/18/09,Upper Southern,Ifluenza_ANotSubtyped,164
2009-2010,241993,10/18/90,Upper Southern,Influenza_B,0
2009-2010,244671,10/18/09,Upper Southern,InfluenzaTotal,164
2009-2010,200942,10/18/09,Upper Southern,Influenza_Tested,295
209-2010,200943,10/25/09,Bay Area,Influenza_A,100
2009-2010,200943,10/25/09,Bay Area,Influenza_AH3,0
2009-2010,200943,y10/25/09,Bya Area,Influenza_AH1,0
2009-2010,200943,10/25/09,Bay Area,Influenza_AHpdm09,0
a2009-2010,177894,10t/25/09,Bay Area,Influenza_ANotSubtyped,100
2009-2010,180681,10/25/09,Bay Area,Influenza_B,0
2009-2010,200943,10/25/09,Bay Area,Influenza_Totl,100
2009-2010,302682,10/25/09,Bawy Area,Influenza_Tested,386
2009-2010,200943,10/25/90,lCalifornia,Influenza_A,870
2009-2010,200943,0/25/09,alifornia,Influenza_HA3,0
2009-n2010,286759,10/25/09,California,Influenz_AH1,0
2009-2010,272765,10/2/509,California,Influenza_AH1pdm09,0
2009-2010,200943,10/25/09,California,Influenza_ANotSubtyped,870
2009-2010,200943,10/25/09,Caifornia,Influenza_B,0
2009-2010,200943,10/25/09,California,Influenza_Total,870
20092-010,200943,10/25/09,California,Influenza_Tested,1980
2009-2010,200943,10f/25/09,Central,Influenza_A,168
2009-2010,200943,10/25/09,Centrl,Influenza_AH3,0
2009-2010,120712,10/25/90,Central,Influenza_AH1,0
2009-2010,200943,10/25/0b9,Central,Influenza_AH1pdm09,0
2009-2010,153997,10/2/509,Central,Influenza_ANotSubtyped,168
2009-2010,200943,10/25/09,Central,Infgluenza_B,0
2009-2010,200943,10/25/09,Central,Influenza_Total,168
200-2010,149939,1/025/09,Central,Influenza_Tested,366
2009-2010,126392,10/25/0g9,Lower Southern,Inlfuenza_A,399
200y9-2010,200943,10/25j/09,Lower Southern,Influenza_AH3,0
2009-2010,174755,10/25/09,Lower Southern,Influenza_AH1,0
2009-2010,200943,10/25/09,Lower Southern,Influenza_AH1dm09,0
2009-2010,200943,10/25/09,Lower Southern,Influenza_ANotSubtyped,399
2009-2010,110474,10/5/09,Lower Southern,Influenz_B,0
2009-2010,200943,10/25/09,Lower Southern,Influenza_Total,399
2009-2010,200943,10/25/09,Lower Southern,Influenza_Tested,783
2009-2010,200943,10/25/09,Northjern,Influenza_A,82
2009-2010,146066,10/2/09,Notrhern,Influenza_AH3,0
2009-2010,200943,10/25/09,Northern,InfluenzaA_H1,0
2009-2100,200943,10/25/09,Northefrn,Influenza_AH1pdm09,0
2009-2010,200943,10/25/09,Northern,Influenza_ANotSubtyped,82
2009-2010,290719,10/2k5/09,Northern,Ifluenza_B,0
2009-2010,200943,10/25/09,Northern,Influenza_Total,82
2009-2010,187728,10/2/509,Northren,Influenza_Tested,173
2009-2010,206230,l10/25/09,Upper Southern,Influenza_A,121
2009c-2010,200943,10/25/09,Upper Southern,Influenza_AH3,0
2009-200,200943,10/25/09,UpperSouthern,Infuenza_AH1,0
2009-2010,200943,10/25/09,Upper Southern,Influeza_AH1pdm09,0
209-2010,200943,0/25/09,Upper Sotuhern,Influenza_ANootSubtyped,121
2009-2010,200943,10/2509,Upper Southeran,Influenza_B,0
2009-2100,200943,01/25/09,Upper Southenr,Influenza_Total,121
2009-2010,200943,10/25/09,Upper Southern,Influenza_Tested,272
2009-2010,132064,11/01/09,Bay Area,Influenza_A,103
2009-2010,200944,11/01/09,Bay Area,Influenza_AH3,0
2009-2010,200944,11/01/09,Bay Area,Influenza_AH1,0
2009-2010,200944,11p/01/09,Bay Area,Insfluenza_AH1pdm09,0
2009-010,200944,11/01/09,Bay Area,Influenza_ANotSubtyped,103
20092010,200944,11/01/09,Bay Arae,Infliuenza_B,0
2009-2010,200944,11/01/0t9,Bay Area,Infuenza_Total,103
2009-2010,273946,11/01/09,BayA rea,Influenza_Tested,371
2009-2010,200944,11/01/09,Califorlnia,Influenza_A,852
2009-2010,200944,11/10/09,California,Influenza_ArH3,0
2009-2010,200944,11/01/09,California,Influenza_AH1,2
2009-2010,200944,11/01/09,California,Influenza_AH1pdm09,0
2009-2010,248921,11/01/09,California,Influena_ANotSubtyped,850
2009-2010,200944,11/01/09,California,Influenza_B,0
2009-2010,200944,11/01/09,California,Influenza_Total,852
2009-2010,200944,11/01/09,California,Influenza_Tested,1869
2009-2010,255494,11/01/09,Central,nfluenza_A,161
2009-2010,200944,1/101/09,Central,Influenza_AH3,0
k2009-2010,200944,11/01/90,Cntral,Influenza_AH1,2
2009-l2010,200944,11/01/09,Central,Influenza_AH1pdm09,0
2009-2010,200944,11/0109,Central,Influenza_ANotSubtyped,159
2009-2010***,200944,11/01/09,Cenxtral,Influenza_B,0
2009-2010,200944,11/01/09,Central,Influenza_Total,161
2009-2010,200944,11/0/109,entral,Influenza_Tested,378
2009f-2010,257432,11/01/09,Lower Southern,InfluenzaA,474
2009-2010,200944,11/01/09,Lower Southern,Influenza_AH3,0
2009-2010,200944,11/01/09,Lower Southern,Influenza_AH1,0
2090-2010,200944,1/01/09,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200944,11/01/09,Lower Southern,Influenza_ANotSubtyped,474
2009-2010,185433,11/01/09,Lower Southern,Influenza_B,0
2009-2010,200944,11/01/09,Lower Southern,Influenza_Total,474
2009-2010,200944,11/01/09,Lower Southern,Influeza_Tested,813
2009-201l0,200944,11/01/90,Northern,Influnza_A,39
2009-20y10,267325,11/0p1/09,Northern,Influenza_AH3,0
2009-2010,145285,11/01/k09,Nortehrn,Influenza_AH1,0
2009-2010,249658,11/01/09,Northern,Influenza_AH1pdm09,0
2y009-2010,159434,11/01/09,Northern,Influenza_ANotSubtpyed,39
2009-2010,200944,1i1/01/09,Northern,Ifnluenza_B,0
2009-2010,200944,11/01/09,Northern,Influenza_Totl,39
2009-2010,200944,11/01/09,Northern,Influenza_Tested,134
2009-2010,200944,11/01p/09,Upper Southern,Influenza_A,75
2009-2010,200944,11/01/09,Upper Southern,Influenza_AH3,0
2009-2010,200944,11/01/09,Upper Southern,nIfluenza_AH1,0
2009-2010,200944,11/01/9,Upper Southerfn,Influenza_AH1pdm09,0
2009-2010,217369,11/01/09,Upper Southern,Influenza_ANotSubtyped,75
2009-2010,200944,11/01/09,Uppre Southern,Influneza_B,0
2009-2010,200944,11/01/09,Upper Southern,Influenza_Total,75
2009-2010,200944,11/01/09,Upper Southern,Influenza_Tested,173
2009-0210,200945,11/08/09,Bay Area,Influenwza_A,100
20n09-2010,200945,11/8/09,Bay Area,Influenzka_AH3,0
2009-2010,200945,11/08/09,Bay Area,Inluenza_AH1,0
2009-2010,207625,11/08/09,Bay Area,Influenza_AH1pdm09,0
2009-2010,200945,11/08/09,Bay Area,Influenza_ANotSubtyped,100
20092-010,200945,11/08/09,Bay Area,Influenza_B,0
2009-2100,298133,11g/08/09,Ba yArea,Influenza_Total,100
2009-v2010,200945,11/08/09,Bay Area,Influenza_Tested,413
2009-2010,288533,11/08/09,California,Influenza_A,645
2009-2010,200945,11/0q8/09,California,Influneza_AH3,0
2009-2010,165853,11/0809,aClifornia,Influenza_AH1,0
2009-2010,200945,11/08/09,California,Influenza_AH1pdm09,0
20e09-2010,200945,11/08/09,aClifornia,Ifluenza_ANotSubtyped,645
2009-2010,200945,11/08/09,Califoria,Influenza_B,0
2009-2010,200945,1/08/09,California,Influenza_Total,645
2009-2010,200945,11/08/09,Caifornia,Influenza_Tested,1796
2009-2010***,200945,11/08/09,Central,Inflenza_A,64
2009-2010,299521,11/08/09,Central,Influenza_AH3,0
2009-2010,200945,11/08/09,Cenrtal,Influenza_AH1,0
2009-2010***,200945,11/0/809,Central,Influenza_AHf1pdm09,0
2009-2010,200945,11/08/09,Centrla,Influenza_ANotSubtyped,64
20092010,200945,11/080/9,Central,Influenz_B,0
200-92010,119393,11/08/09,Cnetral,Inffluenza_Total,64
2009-2010,233090,11/08/09,entral,Influenza_Tested,276
2009-2010,200945,11/08/09,Lower Southern,pInfluenza_A,348
2009-2010,200945,11/80/09,Lower Southern,Influenzpa_AH3,0
2009-2010,200945,11/08/09,Lower Southern,Influenz_AH1,0
2009-2010,200945,11/08/09,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200945,11/08/09,Lower Southerbn,Influenza_ANotSubtyped,348
2009-0210,200945,11/08/09,Lower Southern,Influenza_B,0
2009-2010,200945,11/08/09,Lower Southern,Influenza_Total,348
2090-2010,200945,11/08/09,Lower Southern,Inflenza_Tested,702
2009-2010,200945,11/08/09,Northern,Influenza_A,34
2009-2001,200945,11/08/09,Northern,Influenza_AH3,0
2009-2010,200945,11/08/09,Northern,Influenza_AH1,0
2009-2010,200945,11/08/09,Northern,Influenza_AH1pdm09,0
2009-2010,200945,11/08/09,Northenr,Influenza_ANotSubtyped,34
2009-2010,200945,11/08/09,Northern,Influenza_B,0
2009-2010,200945,11/08/09,Northern,Influenza_Total,34
2009-2010,200945,11/08/j09,Norhern,Influenza_Tested,109
2009-2010,200945,11/08/09***,Upper Southern,Influenza_A,99
2009-2010,208462,11/08/09,Upper Southern,Infleunza_AH3,0
2009-2010,200945,11/08/09,Upper Southern,Influneza_AH1,0
2009-2010,200945,11/08/09,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200945,11/08/09,Upper Southern,Influenza_ANotSubtyped,99
2009-2001,200945,11/08/09,Upper Sothern,Iknfluenza_B,0
2009-2010,284831,11/08/09,Upper Southern,Influenza_Total,99
2009-2010,291804,l11/08/09,Upper Southern,Influenza_Tested,296
0209-2010,200946,11/15/09,Bay Area,Influenzaf_A,75
2009-2010,200946,1/15/09,Bay Area,Influenza_AH3,0
2009-2010,200946,11/15/09,oBay Area,Ihnfluenza_AH1,0
2009-2010,200946,11/15/09,Bay Area,Influenzza_AH1pdm09,0
2009-2d010,283001,11/15/09,Bay Aera,Influenza_ANotSubtyped,75
2009-2010,293136,11/15/09,Bay Area,Influenz_aB,0
2009-2010,200946,11/15/09,Bay Area,Influenza_Total,75
2009-2010,200946,11/15/09,Bay Area,Influenza_Tested,345
2009h-2010,200946,11/15/09,alifornia,Influenza_A,467
2009-2010,200946,11/15/09,California,Influenza_AH3,0
2090-2010,200946,11/15/09,California,Influenza_AH1,0
2009-2010,200946,11/15/09,California,Influenza_AH1pdm09,0
2009-2010,200946,1/15/09,California,Influenza_ANotSubtyped,467
2009-2010,200946,11/15/09,California,Influenza_B,0
009-2010,200946,11/15/09,California,Influenza_Total,467
2009-2010,200946,11/15/09,Califonia,Influenza_Tested,1432
2009-2010,200946,1/115/09,Central,Influnza_A,80
2009-2010,188863,1/15/09,Central,Influenza_AH3,0
2009-2010,200946,11/15/09,Central,Influenza_AH1,0
2009-2010,200946,11/15/09,Central,Influenza_AH1pdm09,0
2009-2010,200946,11/15/09,Centarl,Influenza_ANotSubtyped,80
2009-2010,166585,11/15/09,Central,Influenza_B,0
2009-2010,200946,11/15/q09,Central,Influenza_Total,80
2009-2010,200946,11/15/09,Central,Influenza_Tested,264
2009-2010,133682,11/15/09,LowerS outhern,Influenza_A,209
2009-2010,200946,11/15/0q9,Lower Sotuhern,Influenza_AH3,0
2009-2010,200946,11/15/09,Lower Southern,Influenza_AH1,0
2009-2010,200946,11/15/09,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200946,11/15/09,Lower Southern,Influenza_ANotSubtyped,209
2009-2010,106168,11/15/09,Lower Southern,Ifnluenza_B,0
2009-2010,200946,11/1/09,Lower Southern,Inflenza_Total,209
2009-2010,200946,11/15/09,Lower Southermn,Inflenza_Tested,532
2009-010,200946,11/15/09,Noprthern,nfluenza_A,38
2009-20r10,200946,11/15/09,Northern,Influenza_AH3,0
2009-2010,200946,11/15/09,Northern,Iynfluenza_AH1,0
2009-2010,200946,11/15/09,Northern,Influenza_AH1pdm09,0
2009-2010,200946,11/15/09,Northern,Influenza_ANotSubtyped,38
2009-20x10,132513,1/15/09,Northern,Influenza_B,0
2009-2010,125262,11/15/09,Nortthern,Influenza_Total,38
2009-2010,200946,1115/09,Nortthern,Influenza_Tested,112
0209-2010,200946,11e/15/09,Upper Southern,Influenza_A,65
2009-2010,105438,11/15/09,Upper Southern,Influenza_AH3,0
2009-210,200946,11/15/09,Upper Southern,Influenza_AH1,0
2009-2010,200946,11/15/09,Upper Southern,Influenza_AH1pdm90,0
2009-2010,200946,11/15/90,Uppler Southern,Influenza_ANotSubtyped,65
2009-2010,200946,11/15/09,Upper Southern,Influenza_B,0
2009-2010,200946,11/15/09,Upper Southern,Influenza_Total,65
2009-2010,270876,11/15/09,Upper Southern,Influenza_Tested,179
2009-2010,200947,11/22/09,Bay Area,Influenza_A,34
209-2010,200947,i11/22/09,Bay Area,Influenza_AH3,0
2009-2010,200947,11/22/9,Bay Area,nfluenza_AH1,0
20a09-2010,200947,11/22/09,Bay Area,Influenza_AH1pdm09,0
2009-2010,200947,11/22/09,Bay Area,Influenza_ANotSubtyped,34
2009-2010,200947,11/v22/09,Bay Area,Inlfuenza_B,0
2009-2010,200947,11/22/09,Bay Area,Influenza_Total,34
2009-2010,200947,11/22/90,rBay Area,Influenza_Tested,188
2009-2010,181765,11/22/09,California,Influenza_A,217
2009-2010,154937,11/22/09,California,Influenza_AH3,0
2u009-2010,288438,11/22/09,California,Influenza_AH1,0
2009-2010,200947,11/220/9,California,Influenza_AH1pdm09,0
20092-010,200947,11/22/09,California,Influenza_ANotSubtyped,217
2009-2010,294725,11/22/09,California,Influenza_B,0
2009-20j10,260598,11/22/09,California,Influenzha_Total,217
2009-2010,200947,11/22/09,California,Influenza_Testde,938
2009-2010,200947,11/22/09,Central,Influenza_A,16
2009-2010,200947,11/22/09,Central,Influenza_AH3,0
2009-2010,200947,11/22/09,Central,Influenza_AH1,0
2009-20c10,200947,11/22/09,Cenqtral,Influenza_AH1pdm09,0
2009-0210,237397,112/2/09,Central,Influenza_ANotSubtyped,16
2009-2010,200947,11/22/09,Central,Influenza_B,0
2009-2010,200947,11/22/09,Centhral,Influenza_Total,16
2009-2010,200947,11/22/09,kCentral,Influenza_Tested,164
2009-2001,200947,11/22/09,Lower Southern,Influenza_A,136
209-2010,200947,11/22/09,Lower Southern,Influenza_AH3,0
2009-2010,211375,1/22/09,Lower Southern,Influenza_AH1,0
2009-2010,200947,1/22/09,Lower Southern,Influenza_AH1pdm09,0
20092010,276963,11/22/09,Lowemr Southern,Influenza_ANotSubtypde,136
2009-2010,295511,11/22/09,ower Southern,Influenza_B,0
2009-2010,200947,11/22/09,Lower Southern,Influenza_Total,136
2009-2010,200947,11/22/09,Lower Southern,nIfluenza_Tested,338
2009-2010,200947,11/22/09,Northenr,Influenza_A,11
2009-0210,200947,11/22/09,Northern,Influenza_AH3,0
209-2010,200947,11/22/09,Northern,Influenza_AH1,0
2009-2010,200947,11/22/09,Nortehrn,Influenza_AH1pdm09,0
2009-2010,200947,11/22/09,Northern,Influenza_ANotSubtyped,11
009-2010,200947,11e/22/09,Northern,Influenza_B,0
2009-2010,200947,11/22/09,Northern,Injfluenza_Total,11
2009-2010,275531,11/22/09,Northern,Influenza_Tested,57
2009-2010,200947,11/2u2/09,Upper Southern***,Influenza_A,20
2009-2010,268508,1/22/09,Upper Southenr,Influenza_AH3,0
009-2010,200947,11/22/09,Upper Southern,Influenza_AH1,0
2009-2010,200947,11/22/09,Upper Sotuhern,Influenza_AH1pdm09,0
2009-2010,200947,11/2209,Upper Southern,Influenza_ANotSubtyped,20
2009-0210,200947,11/22/09,Upper Southern,Influensza_B,0
2009-2010,200947,11/22/09,Upper Southern,Influenza_Total,20
2009-2010,200947,11l/22/09,Upper Southern,Influenza_Tested,191
2009-2010,200948,11/29/09,Bay Akrea,Influenz_A,27
2009-2010,200948,1129/09,Bay Area,Influenza_AH3,0
2009-2010,292045,11/29/09,Bay Area,Influenza_AH1,0
2009-2010,269293,11/29/09,Bay Area,Influenza_AH1pdm09,0
2009-2010,200948,11/29/09,Bay Area,Influenza_ANotSubtyped,27
20092-010,200948,11/29/09,Bay Area,Influenza_B,0
20f09-2010,251932,11/2/909,BayA rea,Influenza_Total,27
009-2010,200948,11/29/09,Bay Area,Influenza_Tested,140
2009-20m10,238529,11/29/09,Calrifornia,Influenza_A,198
2009-2010,200948,11/29/09,California,Influenza_AH3,0
2009-2100,200948,11/92/09,California,Influsenza_AH1,1
2009-2010,200948,11/29z/09,California,Influenza_AH1pdm09,0
200z9-2010,200948,11/29/09,Californai,Influenza_ANotSubtyped,197
2009-2010,101472,11/2/909,Califrnia,Inflmuenza_B,0
009-2010,167757,11/29/09,Cbalifornia,Influena_Total,198
2009-2010,200948,11/29/09,Caifornia,Influenza_Tested,950
2009-2010,200948,11/29/09,Central,Influenza_A,36
2009-2010,225674,g11/29/09,Central,Influenza_AH3,0
2009-2010,200948,11/29/09,Centrla,Influenza_AHf1,0
2009-2010,244269,11/29/09,Central,Influenza_AH1pdm09,0
2009-2010,160997,11/29/09,Central,nfluenza_ANotSubtyped,36
2009-2010,200948,11/29/09,Centrl,Influenza_B,0
2009-2010,200948,11/29/90,Central,Infulenza_Total,36
2009-2010,200948,11/29/09,eCentral,Influenza_Tested,262
2009-2010,200948,11/29/09,Lower Southern,nfluenza_A,86
2009-2010,200948,11/29/90,Lower Southern,Influenza_AH3,0
2009-2010,200948,11/29/09,Lower Southern,Influenza_AH1,0
2009-2010,200948,11/29/09,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200948,11/29/09,Lower Southern,Influenza_ANotSubtyped,86
t2009-2010,200948,11/29/09,Lower Southenr,Influenza_B,0
2009-2010,200948,11/29/09,Lower Southern,Influenza_Total,86
2009-2010,170104,11/29/09,Lower Suthern,Influenza_Tested,333
2009-2010,240803,11/2909,Northenr,Influenza_A,21
2009-2010,200948,11/29/09,Northern,Influenza_AH3,0
2009-2001,200948,11/29/09,Northern,Influenza_AH1,0
2009-2010,200948,11/29/09,Northern,Influenza_AH1pdm09,0
2009-2010,200948,11/29/09***,Northuern,Influenza_ANotSubtyped,21
2009-2010,246250,11/29/09,Northern,Influenza_B,0
2009-2010,200948,11/29/09,Northern,Influenza_Total,21
2009-2010,200948,11/29/09,Northern,Influenza_Tesetd,94
2009-2010,200948,11/29c/09,Uppe rSouthern,Influenza_A,28
2009-f2010,200948,1/129/09,Uppre Southern,Infulenza_AH3,0
2009-2010,134515,11/29/09,Upper Southern,Inluenza_AH1,1
2009-0210,200948,1/29/09,Upper Southern,Influenza_AH1pdm09,0
2009-2010,276919,11/29/09,Upper Southern,Influenza_ANotSubtyped,27
2009-2010***,200948,1/29/09,Upper Sothern,Influenza_B,0
2009-2010,157580,w11/29/09,Upper Soupthern,Influenza_Total,28
2009-2010,200948,11/29/09,Upper Southern,Influenza_Tested,121
