Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,RUCA_Cd,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2021,State,01,Alabama,,Rural/Urban,Rural,2331,1405,362718,6678157,5.43,-1.71,-0.13,18521.5,5.11,-3.14,-0.04
2021,State,02,Alaska,,Rural/Urban,Rural,980,659,35620,618162,5.76,-1.98,0.39,7674,21.54,-1.89,1.86
2021,State,04,Arizona,,Rural/Urban,Rural,1894,1189,127400,2388041,5.33,-2.43,-0.24,15791,12.39,-5.62,-0.49
2021,State,05,Arkansas,,Rural/Urban,Rural,2684,2094,308981,6665680,4.64,-0.99,-0.18,16330.5,5.29,-2.16,-0.32
2021,State,06,California,,Rural/Urban,Rural,4514,2983,325930,5908115,5.52,-2.07,-0.24,38638.5,11.85,-3.37,-1.29
2021,State,08,Colorado,,Rural/Urban,Rural,2417,1827,113971,2295359,4.97,-1.69,-0.05,14443,12.67,-3.97,-0.29
2021,State,09,Connecticut,,Rural/Urban,Rural,417,236,15774,511351,3.08,-1.26,-0.26,1718,10.89,-4.89,-0.76
2021,State,10,Delaware,,Rural/Urban,Rural,603,398,48849,1082189,4.51,-1.22,-0.43,8365.5,17.13,-3.33,-0.09
2021,State,11,District of Columbia,,Rural/Urban,Rural,0,0,0,0,,,,0,,,
2021,State,12,Florida,,Rural/Urban,Rural,1251,751,101601,2310829,4.4,-0.98,-0.32,7664.5,7.54,-2.09,-0.71
2021,State,13,Georgia,,Rural/Urban,Rural,3984,2758,483886,10569568,4.58,-0.71,-0.15,36081.5,7.46,-0.88,-0.45
2021,State,15,Hawaii,,Rural/Urban,Rural,833,539,41819,935423,4.47,-0.89,-0.4,5112,12.22,-5.4,-1.45
2021,State,16,Idaho,,Rural/Urban,Rural,1524,1084,101308,1955350,5.18,-1.66,-0.12,13189,13.02,-5.32,-0.25
2021,State,17,Illinois,,Rural/Urban,Rural,3860,2799,317991,8156289,3.9,-0.9,-0.11,24216.5,7.62,-4.06,-0.8
2021,State,18,Indiana,,Rural/Urban,Rural,3777,2563,314691,7454780,4.22,-1.44,-0.16,22994,7.31,-4.22,-0.5
2021,State,19,Iowa,,Rural/Urban,Rural,3725,2291,229245,6816209,3.36,-0.93,-0.09,27556.5,12.02,-3.9,-0.91
2021,State,20,Kansas,,Rural/Urban,Rural,2964,2205,253042,5528366,4.58,-0.94,-0.24,31808.5,12.57,-3.79,-0.85
2021,State,21,Kentucky,,Rural/Urban,Rural,6033,3640,650569,14670676,4.43,-0.72,-0.11,28616.5,4.4,-1.94,-0.35
2021,State,22,Louisiana,,Rural/Urban,Rural,1635,1160,145388,4107720,3.54,-0.95,-0.15,7538,5.18,-0.49,-0.06
2021,State,23,Maine,,Rural/Urban,Rural,2482,1607,150129,3393205,4.42,-1.29,-0.21,28088,18.71,-1.75,-0.75
2021,State,24,Maryland,,Rural/Urban,Rural,663,448,41806,1029470,4.06,-0.92,-0.35,5182.5,12.4,-2.9,-3.55
2021,State,25,Massachusetts,,Rural/Urban,Rural,557,348,24612,754704,3.26,-0.75,-0.11,4133.5,16.79,-0.92,-0.43
2021,State,26,Michigan,,Rural/Urban,Rural,5329,3684,408059,8945806,4.56,-2.07,0.03,50399,12.35,-3.31,-0.56
2021,State,27,Minnesota,,Rural/Urban,Rural,4057,2929,215799,6953526,3.1,-1.37,-0.1,23361,10.83,-5.05,-1.2
2021,State,28,Mississippi,,Rural/Urban,Rural,4392,3177,407164,9293559,4.38,-1.43,0.07,23794.5,5.84,-2.05,-0.45
2021,State,29,Missouri,,Rural/Urban,Rural,3888,2309,446616,9958787,4.48,-0.99,-0.16,39068,8.75,-2.95,-0.49
2021,State,30,Montana,,Rural/Urban,Rural,2451,1684,128400,2561415,5.01,-1.61,-0.21,17554.5,13.67,-4.43,-0.51
2021,State,31,Nebraska,,Rural/Urban,Rural,2109,1538,147663,4006957,3.69,-0.9,-0.08,22246,15.07,-2.19,-0.24
2021,State,32,Nevada,,Rural/Urban,Rural,471,323,29008,635335,4.57,-2.35,-0.03,2597.5,8.95,-0.5,-0.36
2021,State,33,New Hampshire,,Rural/Urban,Rural,3162,1990,100393,2787227,3.6,-1.25,0.04,19221.5,19.15,-1.43,0.73
2021,State,34,New Jersey,,Rural/Urban,Rural,271,145,22888,428068,5.35,-0.28,0.23,3993.5,17.45,-5.88,-1.14
2021,State,35,New Mexico,,Rural/Urban,Rural,1727,1098,102366,2193065,4.67,-1.61,-0.05,9290,9.08,-3.29,-0.65
2021,State,36,New York,,Rural/Urban,Rural,4807,3063,270882,8295807,3.27,-0.8,-0.13,34107,12.59,-3.22,-0.52
2021,State,37,North Carolina,,Rural/Urban,Rural,6359,4523,598725,13257391,4.52,-1.09,-0.11,55560,9.28,-2.18,0.11
2021,State,38,North Dakota,,Rural/Urban,Rural,1047,747,47402,1632311,2.9,-0.76,-0.06,6330.5,13.35,-4.06,-0.06
2021,State,39,Ohio,,Rural/Urban,Rural,6859,4609,445627,13351951,3.34,-1.35,-0.07,38344.5,8.6,-1.83,-0.12
2021,State,40,Oklahoma,,Rural/Urban,Rural,3637,2451,327771,6957323,4.71,-1.96,-0.25,26543.5,8.1,-3.32,-0.51
2021,State,41,Oregon,,Rural/Urban,Rural,3265,2265,192184,3947601,4.87,-2.02,-0.2,19133.5,9.96,-5.4,-1.09
2021,State,42,Pennsylvania,,Rural/Urban,Rural,4839,3016,314784,9936944,3.17,-1.32,-0.2,41414,13.16,-2.94,-0.84
2021,State,44,Rhode Island,,Rural/Urban,Rural,0,0,0,0,,,,0,,,
2021,State,45,South Carolina,,Rural/Urban,Rural,2375,1617,203114,4733563,4.29,-1.12,-0.08,11484.5,5.65,-1.47,-0.29
2021,State,46,South Dakota,,Rural/Urban,Rural,1344,961,69245,2101515,3.3,-1.4,-0.08,9494.5,13.71,-5.79,-1.18
2021,State,47,Tennessee,,Rural/Urban,Rural,4452,3158,524358,10827486,4.84,-2.22,-0.29,32448,6.19,-5.71,-0.66
2021,State,48,Texas,,Rural/Urban,Rural,6784,4706,492519,13403278,3.67,-1.18,-0.24,29777.5,6.05,-1.67,-0.48
2021,State,49,Utah,,Rural/Urban,Rural,878,705,69571,1094588,6.36,-1.57,-0.29,8925,12.83,-2.6,-1.16
2021,State,50,Vermont,,Rural/Urban,Rural,1481,919,66329,1821510,3.64,-1.47,-0.09,11712,17.66,-4.92,-1.35
2021,State,51,Virginia,,Rural/Urban,Rural,2552,1819,224124,5957869,3.76,-1.33,-0.09,16604,7.41,-1.34,-0.35
2021,State,53,Washington,,Rural/Urban,Rural,2435,1648,145446,2750771,5.29,-1.94,-0.19,17475,12.01,-4.12,-0.71
2021,State,54,West Virginia,,Rural/Urban,Rural,1802,1112,128103,3704523,3.46,-1.19,-0.2,9021.5,7.04,-1.13,-0.91
2021,State,55,Wisconsin,,Rural/Urban,Rural,4702,3365,249643,7115321,3.51,-1.72,-0.12,29680.5,11.89,-5.38,-0.99
2021,State,56,Wyoming,,Rural/Urban,Rural,1299,849,56517,1136584,4.97,-1.22,-0.12,7407.5,13.11,-3.58,-1.34
2021,State,60,American Samoa,,Rural/Urban,Rural,0,0,0,0,,,,0,,,
2021,State,66,Guam,,Rural/Urban,Rural,0,0,0,0,,,,0,,,
2021,State,69,Northern Mariana Islands,,Rural/Urban,Rural,0,0,0,0,,,,,,,
2021,State,72,Puerto Rico,,Rural/Urban,Rural,158,84,5885,588811,1,-1.1,-0.08,145.5,2.47,-1.4,-0.34
2021,State,78,Virgin Islands,,Rural/Urban,Rural,0,0,0,0,,,,0,,,
2021,State,01,Alabama,,Rural/Urban,Urban,13614,7987,1312494,21425697,6.13,-1.43,-0.25,100455,7.65,-3.17,-0.51
2021,State,02,Alaska,,Rural/Urban,Urban,1892,1188,48032,1092924,4.39,-2.06,-0.03,8082,16.83,-2.58,-0.79
2021,State,04,Arizona,,Rural/Urban,Urban,25138,14859,1134497,24044244,4.72,-1.74,-0.17,150840.5,13.3,-3.65,-0.68
2021,State,05,Arkansas,,Rural/Urban,Urban,7613,5145,623591,11049442,5.64,-1.23,-0.12,50156.5,8.04,-3.5,-0.73
2021,State,06,California,,Rural/Urban,Urban,126986,75957,4983246,130623708,3.81,-1.14,-0.13,542097,10.88,-2.3,-0.67
2021,State,08,Colorado,,Rural/Urban,Urban,19758,13427,815780,15393448,5.3,-1.88,-0.19,115500,14.16,-2.74,-0.47
2021,State,09,Connecticut,,Rural/Urban,Urban,17962,10144,529590,16419411,3.23,-0.9,-0.05,79872.5,15.08,-3.25,-0.82
2021,State,10,Delaware,,Rural/Urban,Urban,3310,2038,130178,3341457,3.9,-2.19,0.03,23332,17.92,-1.8,-0.82
2021,State,11,District of Columbia,,Rural/Urban,Urban,4918,2822,61183,1982986,3.09,-1.14,-0.19,7588,12.4,-1.65,-2.36
2021,State,12,Florida,,Rural/Urban,Urban,83279,45652,4608580,111492549,4.13,-1.08,-0.18,573694,12.45,-2.46,-0.78
2021,State,13,Georgia,,Rural/Urban,Urban,29816,18759,1866284,35898959,5.2,-0.99,-0.1,193709,10.38,-1.46,-0.49
2021,State,15,Hawaii,,Rural/Urban,Urban,3914,2366,94725,3278533,2.89,-0.52,-0.02,11853,12.51,-1.9,-1.23
2021,State,16,Idaho,,Rural/Urban,Urban,5153,3460,286220,5111256,5.6,-1.92,-0.24,37652.5,13.16,-3.73,-0.95
2021,State,17,Illinois,,Rural/Urban,Urban,46290,28749,1613738,43664735,3.7,-0.95,-0.08,140442,8.7,-2.95,-0.54
2021,State,18,Indiana,,Rural/Urban,Urban,20897,13478,1365594,26888281,5.08,-1.2,-0.16,131292.5,9.61,-3.65,-0.83
2021,State,19,Iowa,,Rural/Urban,Urban,8525,5259,356394,9799696,3.64,-1.1,0.01,36068,10.12,-3.85,-0.63
2021,State,20,Kansas,,Rural/Urban,Urban,7730,5153,422782,8664628,4.88,-1.3,-0.21,44165.5,10.45,-4.53,-0.72
2021,State,21,Kentucky,,Rural/Urban,Urban,11575,6542,785182,14925758,5.26,-0.62,-0.19,56745.5,7.23,-3.93,-0.56
2021,State,22,Louisiana,,Rural/Urban,Urban,17304,11377,1116428,22393026,4.99,-1.09,-0.17,82092.5,7.35,-2.27,-0.69
2021,State,23,Maine,,Rural/Urban,Urban,4158,2557,132357,3684601,3.59,-1.87,-0.2,17778,13.43,-5.17,-0.72
2021,State,24,Maryland,,Rural/Urban,Urban,24465,14702,828808,18573769,4.46,-1.42,-0.07,134429.5,16.22,-2.96,-0.82
2021,State,25,Massachusetts,,Rural/Urban,Urban,36990,21554,1058141,33487845,3.16,-0.76,-0.05,160933,15.21,-1.91,-0.71
2021,State,26,Michigan,,Rural/Urban,Urban,38898,26290,2023232,41863894,4.83,-1.94,-0.13,207387.5,10.25,-2.39,-0.67
2021,State,27,Minnesota,,Rural/Urban,Urban,19726,12606,601299,16718210,3.6,-1.4,-0.09,78018.5,12.97,-2.53,-0.65
2021,State,28,Mississippi,,Rural/Urban,Urban,5672,3833,352452,7666589,4.6,-1.64,-0.04,27422.5,7.78,-2.48,-0.5
2021,State,29,Missouri,,Rural/Urban,Urban,19672,11554,1174222,25633671,4.58,-1.02,-0.1,108315,9.22,-4.01,-0.89
2021,State,30,Montana,,Rural/Urban,Urban,2141,1440,102156,2004344,5.1,-0.93,-0.06,13113,12.84,-4.14,-0.37
2021,State,31,Nebraska,,Rural/Urban,Urban,5707,3703,224282,5706559,3.93,-0.89,-0.01,28543,12.73,-0.76,-0.77
2021,State,32,Nevada,,Rural/Urban,Urban,8857,5387,528873,9441044,5.6,-1.94,-0.26,63323,11.97,-3.53,-0.69
2021,State,33,New Hampshire,,Rural/Urban,Urban,3503,2093,122346,3297644,3.71,-1.66,-0.38,22289.5,18.22,-4.53,-1.78
2021,State,34,New Jersey,,Rural/Urban,Urban,33596,19180,1059718,36126432,2.93,-1.12,-0.13,154194,14.55,-3.21,-1.04
2021,State,35,New Mexico,,Rural/Urban,Urban,6250,3772,229552,5225276,4.39,-1.85,-0.21,22899,9.98,-3.5,-0.26
2021,State,36,New York,,Rural/Urban,Urban,93998,46333,2041206,89161796,2.29,-0.61,-0.05,278731.5,13.66,-2.62,-0.85
2021,State,37,North Carolina,,Rural/Urban,Urban,33955,22710,1970655,39747023,4.96,-1.15,-0.16,261873,13.29,-1.6,-0.43
2021,State,38,North Dakota,,Rural/Urban,Urban,2154,1398,74539,2205338,3.38,-1.32,0.01,8602,11.54,-7.18,-1.08
2021,State,39,Ohio,,Rural/Urban,Urban,42920,27498,1853299,49865465,3.72,-1.47,-0.12,175124,9.45,-1.97,-0.55
2021,State,40,Oklahoma,,Rural/Urban,Urban,9429,5764,661409,11115391,5.95,-1.85,-0.16,86140,13.02,-3.51,-0.74
2021,State,41,Oregon,,Rural/Urban,Urban,15097,9926,728259,13466911,5.41,-1.58,-0.12,90734.5,12.46,-5.05,-0.84
2021,State,42,Pennsylvania,,Rural/Urban,Urban,56554,32171,2175934,63964775,3.4,-1.37,-0.12,300764.5,13.82,-2.75,-0.61
2021,State,44,Rhode Island,,Rural/Urban,Urban,5370,3232,162880,5693495,2.86,-0.69,0.01,19709,12.1,-0.87,0.25
2021,State,45,South Carolina,,Rural/Urban,Urban,17075,10932,994241,21127579,4.71,-1.39,-0.09,101496.5,10.21,-1.39,-0.65
2021,State,46,South Dakota,,Rural/Urban,Urban,2369,1544,91938,2198752,4.18,-1.32,-0.15,13526,14.71,-1.4,-0.32
2021,State,47,Tennessee,,Rural/Urban,Urban,22410,14612,1509493,28975995,5.21,-1.76,-0.22,158380.5,10.49,-3.74,-0.31
2021,State,48,Texas,,Rural/Urban,Urban,77743,47279,3659612,84923025,4.31,-1.32,-0.27,322323.5,8.81,-1.34,-0.35
2021,State,49,Utah,,Rural/Urban,Urban,9202,6414,441351,7465004,5.91,-1.56,-0.22,63435.5,14.37,-1.47,-0.19
2021,State,50,Vermont,,Rural/Urban,Urban,1286,749,36421,921101,3.95,-2.28,-0.08,7472,20.52,-4.13,-2.01
2021,State,51,Virginia,,Rural/Urban,Urban,26941,17121,981950,25199776,3.9,-1.55,-0.18,123861.5,12.61,-0.92,-0.68
2021,State,53,Washington,,Rural/Urban,Urban,28194,17726,1133619,22941455,4.94,-1.72,-0.15,156939.5,13.84,-3.41,-0.76
2021,State,54,West Virginia,,Rural/Urban,Urban,6133,3586,306344,7694252,3.98,-1.63,-0.08,25448,8.31,-1.25,0.51
2021,State,55,Wisconsin,,Rural/Urban,Urban,19305,12446,825730,20435117,4.04,-1.69,-0.17,104102,12.61,-5.37,-1.02
2021,State,56,Wyoming,,Rural/Urban,Urban,780,501,30283,699723,4.33,-1.23,-0.15,4051.5,13.38,-1.19,-1.51
2021,State,60,American Samoa,,Rural/Urban,Urban,0,0,0,0,,,,0,,,
2021,State,66,Guam,,Rural/Urban,Urban,0,0,0,0,,,,0,,,
2021,State,69,Northern Mariana Islands,,Rural/Urban,Urban,0,0,0,0,,,,,,,
2021,State,72,Puerto Rico,,Rural/Urban,Urban,10907,5527,230796,28260371,0.82,-0.7,-0.02,9338,4.05,0.76,-0.39
2021,State,78,Virgin Islands,,Rural/Urban,Urban,0,0,0,0,,,,0,,,
2021,County,01001,Alabama:Autauga,,Totals,Overall,84,55,22569,212800,10.61,-0.72,-0.6,2748,12.18,-3.48,-1.23
2021,County,01003,Alabama:Baldwin,,Totals,Overall,618,382,63534,1098594,5.78,-2.78,-0.25,3227,5.08,-7.72,-0.28
2021,County,01005,Alabama:Barbour,,Totals,Overall,32,19,1338,74163,1.8,-1.76,-0.21,48,3.59,-2.96,0.46
2021,County,01007,Alabama:Bibb,,Totals,Overall,73,41,3339,103718,3.22,-0.58,0.18,247,7.4,-0.07,0.74
2021,County,01009,Alabama:Blount,,Totals,Overall,40,23,4750,151727,3.13,-2.61,0.05,69,1.45,-1.63,0
2021,County,01011,Alabama:Bullock,,Totals,Overall,8,7,1101,20230,5.44,0.68,0.56,20,1.82,-1.67,-0.77
2021,County,01013,Alabama:Butler,,Totals,Overall,40,22,2553,95645,2.67,-1.57,-0.06,93,3.64,-0.26,0.01
2021,County,01015,Alabama:Calhoun,,Totals,Overall,306,187,42447,644485,6.59,-0.76,0.33,3508,8.26,1.4,0.47
2021,County,01017,Alabama:Chambers,,Totals,Overall,31,25,8617,131376,6.56,-1.26,0.43,761,8.83,-3.69,-0.57
2021,County,01019,Alabama:Cherokee,,Totals,Overall,48,25,8072,162918,4.95,-2.73,-1.02,742,9.19,-6.23,-2.53
2021,County,01021,Alabama:Chilton,,Totals,Overall,55,34,8334,172729,4.82,-2.5,-0.33,84,1.01,-1.47,-0.09
2021,County,01023,Alabama:Choctaw,,Totals,Overall,14,10,3089,70441,4.39,-2.99,-0.11,62,2.01,-7.08,-0.03
2021,County,01025,Alabama:Clarke,,Totals,Overall,39,29,8034,158850,5.06,-0.74,-0.1,186,2.32,-2.61,-0.89
2021,County,01027,Alabama:Clay,,Totals,Overall,14,11,6299,98470,6.4,-1.62,-0.18,636,10.1,-4.84,-0.72
2021,County,01029,Alabama:Cleburne,,Totals,Overall,3,3,2392,34464,6.94,-0.78,0.55,151,6.31,0.01,-0.13
2021,County,01031,Alabama:Coffee,,Totals,Overall,103,68,14341,221748,6.47,-1.41,-0.17,685,4.78,-3.77,-1.08
2021,County,01033,Alabama:Colbert,,Totals,Overall,190,114,36556,546232,6.69,-0.13,-0.17,1011,2.77,-1.9,-0.46
2021,County,01035,Alabama:Conecuh,,Totals,Overall,13,11,9477,105999,8.94,-0.57,0.19,254,2.68,-2.38,-0.21
2021,County,01037,Alabama:Coosa,,Totals,Overall,3,1,18,4875,0.37,-4.03,-0.95,0,0,0,
2021,County,01039,Alabama:Covington,,Totals,Overall,82,49,14167,252512,5.61,-2.24,-0.31,328,2.32,-2.82,-0.32
2021,County,01041,Alabama:Crenshaw,,Totals,Overall,15,5,3256,68520,4.75,-0.82,-0.41,148,4.55,-2.4,0.24
2021,County,01043,Alabama:Cullman,,Totals,Overall,264,155,27635,592117,4.67,-3.16,-0.59,1572,5.69,-6.37,-0.56
2021,County,01045,Alabama:Dale,,Totals,Overall,50,29,4086,82688,4.94,-2.55,-0.35,103,2.52,-0.8,-0.42
2021,County,01047,Alabama:Dallas,,Totals,Overall,92,55,10807,270028,4,-2.21,0,248,2.29,-13.33,-0.56
2021,County,01049,Alabama:DeKalb,,Totals,Overall,129,70,20154,346053,5.82,-0.96,-0.35,909,4.51,-2.6,-0.92
2021,County,01051,Alabama:Elmore,,Totals,Overall,71,53,11704,207991,5.63,-1.92,-0.76,426,3.64,-0.9,0.58
2021,County,01053,Alabama:Escambia,,Totals,Overall,67,45,12632,183370,6.89,-1.15,0.11,206,1.63,-2.72,-0.56
2021,County,01055,Alabama:Etowah,,Totals,Overall,346,214,51914,820964,6.32,-2.11,-0.57,5314,10.24,-4.83,-0.88
2021,County,01057,Alabama:Fayette,,Totals,Overall,21,12,3180,93971,3.38,-1.51,-0.21,157,4.94,-0.94,1.63
2021,County,01059,Alabama:Franklin,,Totals,Overall,54,35,11370,131946,8.62,-2.79,-0.68,163,1.43,-2.98,-0.22
