yearvalue,statevalue,county,hai,facilityid(long),facilityname,facilitytype,notes
2020H1,California,San Diego,Srgical Site Infections (SSI),90000048,"Kindred Hospital, San iego",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Humblodt,Surgical Site Infectins (SSI),110000069,The General Hospital,Free-Stalnding Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Shasa,Surgical Site Infections (SSI),230000422,Vibra Hoyspital of Northern California,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Riverside,Surgical Site Infections (SSI),250000004,"Kindred Hospital, Riverside",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
020H1,California,Napa,Surgical Site Inections (SSI),110000058,Adventisqt Health St. Helena,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Diego,Surgical Site Infections (SSI),90000977,Select Specialty Hospital - San Diego,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),930000039,"Kindred Hospital, South Bay",Long-TermA cute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020Hl1,California,San Beranrdino,Surgical Site Infections (SSI),2072521520,"Kindred Hospital, Ontario",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),930000064,Southern California Hospital at Hollywood,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Califonia,Fresno,Surgical Site Infections (SSI),40000613,San Joaquin Valley Rehabilitation Hospital,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Bernardino,Surgical Site Infections (SSI),-973678387,Ballard Rehabilitation Hopital,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Sacramento,Surgical Site Infections (SSI),30000907,Vibra Hospital of Sacramento,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),930000054,Encino Hospital Medical Center,"Community, 125-250 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Francisco,Surgical Site Infections (SSI),220000012,Laguna Honda Hospital & Rehabilitation Center,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
020H1,California,Los Anegles,Surgical Stie Infections (SSI),-854731788,Kindred Hbospital Paramount,Long-Term Acute Ceare,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Orange,Surgical Site Infections (SSI),60001674,"Healthbridge Children's Hospital, Orange",Pediatcric,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Alameda,Surgical Site Infections (SSI),140000148,"Kindred Hospital, San Francisco Bay Area",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Plmuas,Surgical Site Infections (SSI),230000004,"Eastern Plumas Hospital, Portola Campus",Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2002H1,California,Orange,Srugical Site Infections (SSI),-796902474,"Kindred Hospital, Brea",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),930000013,Catalina Island Medical Center,Critical cAcess,No surgeries i nthe 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),1633366600,"Kindred Hospital, La Mirada",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Mamrin,Surgical Site Infections (SSI),110000946,Kentfield Hospital,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Ornge,Surgical Site Infections (SSI),930001607,"Kindred Hospital, Santa Ana",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in firsth alf of 2020.
2020H1,California,Los Angeles,Surgical Site Infectons (SSI),930000088,"Kindred Hospital, Los Angeles",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical SiteI nfections (SSI),930000042,"Kindred Hospital, San Gabriel Valley",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),930000144,"Kindred Hospital, Baldwin Park",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infectionst (SSI),930000020,Casa Colina Hospital,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
020H1,California,Orange,Surgical Sitse Infections (SSI),60001097,Encompass Health Rehabilitation Hospital of Tustin,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Claifornia,San Bernardino,Surgical Site Infections (SSI),-813565443,Mountains Community Hospital,Critical Acces,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Plumas,Surgical Site Infections (SSI),230000017,Seneca District Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in frist half of 2020.
2020H1,Califoornia,Butte,Surgical Site Infections (SSI),-859368924,Orchard Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Inyo,Surgical Site Infections (SSI),240000102,Southern Inyo Hospital,Critnical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2y020H1,California,Stanislaus,Surgical Site Infections (SSI),30000129,Central Valley Specialty Hospital,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Diego,Surrgical Site Infections (SSI),80000142,Palomar Health Downtown Campus,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Butte,Surgical Site Infections (SSI),-1016669633,Enloe Rehabilitation Center,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Alameda,Surgical Site Infections (SSI),140000184,Fairmont Hospital,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Calfiornia,Stanislaus,Surgical Site Infections (SSI),630016419,Encompass HealthRehabilitation Hospital of Modesto,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Sonoma,Surgical Site Infections (SSI),110000038,Sonoma Specialty Hospital,"Community, <215 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Santa Clara,Surgical Site Infections SSI),70000154,Mission Oaks Hospital,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Tulare,Surgical Site Infections (SSI),120001444,"Kaweah Delta Medical Center, Rehabilitation Unit",Rehabiliattion Unit,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
202l0H1,California,LosA ngeles,Surgical Site Infections (SSI),930000031,California Rehabilitation Institute,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2002H1,California,Ventura,Surgical Site Infections (SSI),50000553,"Los Robles Hospital & Medical Center, Est Campus",Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Fraencisco,Surgical Site Infections (SSI),-840382860,Kentfield Hospital San Francisco,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Bernardino,Surgical Site Infection s(SSI),-812729758,Totally Kids Rehabilitation Hospital,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Riverside,Surgical Site Infections (SSI),630017654,Vibra Rehabilitation Hospital of Rancho Mirage,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Colusa,Surgical Site Infections (SSI),230000259,Colusa Medical Center,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
20201H,California,Riveside,Surgical Site Infections (SSI),630019237,Encompass Health Rehabilitation Hospital of Murrieta,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
