characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(double precision),countvalue(double precision)
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.2,611.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,9.2,905.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,9.2,1005.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,9.2,1272.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,-302.73869634165226,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1757,9.2,1311.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2267,9.2,1183.0
"White, non-Hispanic",Male,"White, non-Hispanic",1341,290.1,34083.0
"White, non-Hispanic",Male,"White, non-Hispanic",2002,9.2,192.0
"White, non-Hispanic",Male,"White, non-Hispanic",2003,258.3,30592.0
"White, non-Hispanic",Male,"White, non-Hispanic",1976,495.0671603676679,192.0
"White, non-Hispanic",Male,"White, non-Hispanic",2005,9.2,192.0
"White, non-Hispanic",Male,"White, non-Hispanic",1647,226.3,26443.0
"White, non-Hispanic",Male,"White, non-Hispanic",1003,211.0,24429.0
"White, non-Hispanic",Male,"White, non-Hispanic",2008,9.2,192.0
"White, non-Hispanic",Male,"White, non-Hispanic",2009,9.2,192.0
"White, non-Hispanic",Male,"White, non-Hispanic",2010,174.7,19176.0
"White, non-Hispanic",Male,"White, non-Hispanic",2011,152.9,16576.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2001,1279.7,35249.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,9.2,192.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",1333,1087.5,31441.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,9.2,192.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,9.2,192.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,1069.0,32480.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2630,1018.1,31165.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2716,9.2,192.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,9.2,192.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2162,488.866033749478,25456.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,732.5,21615.0
Hispanic,Male,Hispanic,2893,519.7,15963.0
Hispanic,Male,Hispanic,2002,9.2,192.0
Hispanic,Male,Hispanic,2003,491.6,16212.0
Hispanic,Male,Hispanic,2203,9.2,192.0
Hispanic,Male,Hispanic,2005,9.2,192.0
Hispanic,Male,Hispanic,2006,454.9,16701.0
Hispanic,Male,Hispanic,2007,422.9,16060.0
Hispanic,Male,Hispanic,2008,9.2,192.0
Hispanic,Male,Hispanic,2009,9.2,192.0
Hispanic,Male,Hispanic,2010,351.4,13865.0
Hispanic,Male,Hispanic,2854,311.9,12393.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,547.3060173344064,1317.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,9.2,192.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,152.5,1261.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,9.2,192.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,9.2,192.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",1773,114.5,1022.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,97.3,892.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,9.2,192.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,9.2,192.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,65.6,633.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,49.9,480.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",1750,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",1907,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,849.6,1619.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,684.9,1346.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,636.1,1253.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",1754,491.8423065338332,1090.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,451.64330893570127,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,494.9,912.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",1504,485.7,883.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,9.2,458.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,9.2,192.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,9.2,713.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,9.2,192.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",1647,-291.40558397061216,192.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,9.2,791.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,9.2,1037.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,9.2,192.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,9.2,192.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,9.2,1054.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,9.2,937.0
"White, non-Hispanic",Female,"White, non-Hispanic",2001,63.2,7053.0
"White, non-Hispanic",Female,"White, non-Hispanic",2002,9.2,192.0
"White, non-Hispanic",Female,"White, non-Hispanic",2003,488.2309543717747,6519.0
"White, non-Hispanic",Female,"White, non-Hispanic",2004,9.2,192.0
"White, non-Hispanic",Female,"White, non-Hispanic",2789,9.2,192.0
"White, non-Hispanic",Female,"White, non-Hispanic",2006,53.2,5900.0
"White, non-Hispanic",Female,"White, non-Hispanic",2007,45.0,4942.0
"White, non-Hispanic",Female,"White, non-Hispanic",2008,-298.4030091014387,192.0
"White, non-Hispanic",Female,"White, non-Hispanic",2009,9.2,192.0
"White, non-Hispanic",Female,"White, non-Hispanic",2010,35.1,3665.0
"White, non-Hispanic",Female,"White, non-Hispanic",2011,31.7,3264.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,197.1,5293.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,9.2,192.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,181.6,5096.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2520,9.2,192.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,9.2,192.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",3007,160.2,4732.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,139.2,4142.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",1360,9.2,192.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,-282.64916298246936,192.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,117.8,3414.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,101.0,2884.0
Hispanic,Female,Hispanic,2001,72.3,2001.0
Hispanic,Female,Hispanic,2002,9.2,192.0
Hispanic,Female,Hispanic,2003,486.7968760428568,2147.0
Hispanic,Female,Hispanic,2004,9.2,192.0
Hispanic,Female,Hispanic,2005,9.2,192.0
Hispanic,Female,Hispanic,2006,66.9,2266.0
Hispanic,Female,Hispanic,2007,55.5,1951.0
Hispanic,Female,Hispanic,1430,9.2,192.0
Hispanic,Female,Hispanic,2009,9.2,192.0
Hispanic,Female,Hispanic,2404,-251.2336043566263,1655.0
Hispanic,Female,Hispanic,2011,41.7,1560.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,25.5,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,9.2,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2039,25.2,198.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,9.2,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,9.2,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,15.4,131.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",1459,16.2,141.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,9.2,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,9.2,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,10.1,94.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,9.2,85.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1917,491.1243756007685,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1836,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2681,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,468.9098265114459,363.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,185.5,351.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,455.7797701447132,436.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,187.6,353.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1618,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,174.0,310.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,166.1,292.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.2,153.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.2,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,9.2,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.2,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1975,9.2,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,9.2,214.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2883,9.2,235.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,9.2,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.2,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,9.2,257.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,9.2,246.0
