X,Y,OBJECTID,station_name,latitude,longitude,lldatum,station_type,cdec_id,source,last_modified_date,modified_by,date_data_refers_to,comments,station_number,station_short_name,dwr_gw_site_code,positional_accuracy,County
-121.497499999499,38.219749999799,21,Delta Island Consumptive Use_New Hope Tract_ ND21B_35ft,38.21975,-121.4975,WGS84,Groundwater,,DWR Hydstra,2023/04/25 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,Elevation and Depth from CASGEM,04N04E01N001M,ND-21B,382000N1214812W001,"GPS, 10m",San Joaquin
-121.507027999425,38.2328890002677,22,Delta Island Consumptive Use-Walnut Grove-ND34-20ft,38.232889,-121.507028,WGS84,Groundwater,,DWR Hydstra,2023/04/25 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,Elevation from CASGEM,04N04E02B001M,ND34,382328N1215070W001,"GPS, 10m",Sacramento
-121.528055600102,38.2044166699375,23,Delta Island Consumptive Use-Tyler Island-ND39MA-20ff,38.20441667,-121.5280556,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 100ft",04N04E10Q001M,ND39MA,382044N1215280W001,"GPS, 10m",Sacramento
-121.528055600102,38.2044166699375,24,Delta Island Consumptive Use-Tyler Island-ND39MB-100ff,38.20441667,-121.5280556,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"Elevation data taken from CASGEM. Well depth appox 100ft
Elevation came from CASGEM.  Well depth approx. 100ft",04N04E10Q002M,ND39MB,382044N1215280W002,"GPS, 10m",Sacramento
-121.502055599748,38.2108888997115,25,Delta Island Consumptive Use-Staten Island-ND38MA-20ft,38.2108889,-121.5020556,NAD83,Groundwater,,DWR Hydstra,2021/01/11 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 20ft",04N04E12M001M,ND38MA,382108N1215020W001,"GPS, 10m",San Joaquin
-121.502055599748,38.2108888997115,26,Delta Island Consumptive Use-Staten Island-ND38MB-100ft,38.2108889,-121.5020556,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,Elevation data taken from CASGEM. Well depth appox 100ft,04N04E12M002M,ND38MB,382108N1215020W002,"GPS, 10m",San Joaquin
-121.480888900339,38.2046944399785,27,Delta Island Consumptive Use-Staten Island-ND23MA-20ft,38.20469444,-121.4808889,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 20ft",04N04E13A001M,ND23MA,382047N1214809W001,"GPS, 10m",San Joaquin
-121.480888900339,38.2046944399785,28,Delta Island Consumptive Use-Staten Island-ND23MB-100ff,38.20469444,-121.4808889,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"Elevation data taken from CASGEM. Well depth appox 100ft
Elevation came from CASGEM.  Well depth approx. 100ft",04N04E13A002M,ND23MB,382047N1214809W002,"GPS, 10m",San Joaquin
-121.528708700466,38.1688045598456,29,Delta Island Consumptive Use-Staten Island-ND45 25ft,38.16880456,-121.5287087,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"Elevation data taken from CASGEM. Well depth appox 25ft
Elevation came from CASGEM.  Well depth approx. 100ft
Elevation from CASGEM.  Well depth approx. 20ft",04N04E27F001M,ND45,381688N1215288W001,"GPS, 10m",San Joaquin
-121.53608332996,38.1482500001896,30,Delta Island Consumptive Use-Staten Island-ND48MA 20ft,38.14825,-121.53608333,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 100ft
Elevation from CASGEM.  Well depth approx. 20ft",04N04E34N001M,ND48MA,381482N1215360W001,"GPS, 10m",San Joaquin
-121.53608332996,38.1482500001896,31,Delta Island Consumptive Use-Staten Island-ND48MB-100ff,38.14825,-121.53608333,NAD83,Groundwater,,DWR Hydstra,2023/06/16 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 100ft",04N04E34N002M,ND48MB,381482N1215360W002,"GPS, 10m",San Joaquin
-121.479359999167,38.2062499999628,32,Delta Island Consumptive Use-New Hope Tract-ND22-20ft,38.20625,-121.47936,WGS84,Groundwater,,DWR Hydstra,2023/04/25 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,Elevation and details taken from CASGEM,04N05E07N002M,ND-22,382063N1214794W001,"GPS, 10m",San Joaquin
-121.647330860035,38.2902060396977,33,Prospect Island Well 5A screen 27.9-37.9 ft bgs,38.29020604,-121.64733086,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E09L001M is part of a well cluster.  Other well in the cluster is 05N03E09L002M.,05N03E09L001M,PI-5A,382902N1216473W001,"Survey, 1m",Solano
-121.647362769991,38.2901976303063,34,Prospect Island Well 5B screen 67.5-77.5 ft bgs,38.29019763,-121.64736277,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E09L002M is part of a well cluster.  Other well in the cluster is 05N03E09L001M.,05N03E09L002M,PI-5B,382902N1216474W001,"Survey, 1m",Solano
-121.632368349983,38.2796508703526,35,Ryer Island (RD 501) Well 99-7 screen 33-38 ft bgs,38.27965087,-121.63236835,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E15F001M is part of a well cluster.  Other well in the cluster is 05N03E15F002M.,05N03E15F001M,Ryer MW-7,382797N1216324W001,"Survey, 1m",Solano
-121.632387789526,38.2796482104351,36,Ryer Island (RD 501) Well 99-8 screen 9-14 ft bgs,38.27964821,-121.63238779,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E15F002M is part of a well cluster.  Other well in the cluster is 05N03E15F001M.,05N03E15F002M,Ryer MW-8,382796N1216324W001,"Survey, 1m",Solano
-121.629857740224,38.2728005700815,37,Ryer Island (RD 501) Well 99-5 screen 33-38 ft bgs,38.27280057,-121.62985774,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E15P001M is part of a well cluster.  Other well in the cluster is 05N03E15P002M.,05N03E15P001M,Ryer MW-5,382728N1216299W001,"Survey, 1m",Solano
-121.629883660213,38.2728014502221,38,Ryer Island (RD 501) Well 99-6 screen 8-13 ft bgs,38.27280145,-121.62988366,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E15P002M is part of a well cluster.  Other well in the cluster is 05N03E15P001M.,05N03E15P002M,Ryer MW-6,382728N1216299W002,"Survey, 1m",Solano
-121.641876929231,38.2845365096256,39,Ryer Island (RD 501) Well 99-9 screen 33-38 ft bgs,38.28453651,-121.64187693,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E16A001M is part of a well cluster.  Other well in the cluster is 05N03E16A002M.,05N03E16A001M,Ryer MW-9,382845N1216419W001,"Survey, 1m",Solano
-121.641876929231,38.2845365096256,40,Ryer Island (RD 501) Well 99-10 screen 8-13 ft bgs,38.28453651,-121.64187693,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E16A002M is part of a well cluster.  Other well in the cluster is 05N03E16A001M.,05N03E16A002M,Ryer MW-10,382845N1216419W002,"Survey, 1m",Solano
-121.644257110797,38.2847104303638,41,Prospect Island Well 6A screen 16.2-26.2 ft bgs,38.28471043,-121.64425711,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E16B001M is part of a well cluster.  Other well in the cluster is 05N03E16B002M.,05N03E16B001M,PI-6A,382847N1216443W001,"Survey, 1m",Solano
-121.644252990225,38.2847369197957,42,Prospect Island Well 6B screen 45.8-55.8 ft bgs,38.28473692,-121.64425299,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E16B002M is part of a well cluster.  Other well in the cluster is 05N03E16B001M.,05N03E16B002M,PI-6B,382847N1216443W002,"Survey, 1m",Solano
-121.640301599531,38.2789211198803,43,Prospect Island Well 7A screen 12.4-22.4 ft bgs,38.27892112,-121.6403016,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E16H001M is part of a well cluster.  Other well in the cluster is 05N03E16H002M.,05N03E16H001M,PI-7A,382789N1216403W001,"Survey, 1m",Solano
-121.640328329801,38.2789381902041,44,Prospect Island Well 7B screen 46.8-56.8 ft bgs,38.27893819,-121.64032833,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E16H002M is part of a well cluster.  Other well in the cluster is 05N03E16H001M.,05N03E16H002M,PI-7B,382789N1216403W002,"Survey, 1m",Solano
-121.639888019666,38.2741717695803,45,Ryer Island (RD 501) Well 99-3 screen 34-39 ft bgs,38.27417177,-121.63988802,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E16J001M is part of a well cluster.  Other well in the cluster is 05N03E16J002M.,05N03E16J001M,Ryer MW-3,382742N1216399W001,"Survey, 1m",Solano
-121.639906160245,38.2741707194965,46,Ryer Island (RD 501) Well 99-4 screen 8-13 ft bgs,38.27417072,-121.63990616,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E16J002M is part of a well cluster.  Other well in the cluster is 05N03E16J001M.,05N03E16J002M,Ryer MW-4,382742N1216399W002,"Survey, 1m",Solano
-121.641914479708,38.2711298995098,47,Ryer Island (RD 501) Well 99-11 screen 53-58 ft bgs,38.2711299,-121.64191448,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,,05N03E16R001M,Ryer MW-11,382711N1216419W001,"Survey, 1m",Solano
-121.642415760298,38.2726716498272,48,Prospect Island Well 8A screen 12-22 ft bgs,38.27267165,-121.64241576,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E16R002M is part of a well cluster.  Other well in the cluster is 05N03E16R003M.,05N03E16R002M,PI-8A,382727N1216424W001,"Survey, 1m",Solano
-121.642399630148,38.2726972000382,49,Prospect Island Well 8B screen 46.3-56.3 ft bgs,38.2726972,-121.64239963,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E16R003M is part of a well cluster.  Other well in the cluster is 05N03E16R002M.,05N03E16R003M,PI-8B,382727N1216424W002,"Survey, 1m",Solano
-121.661349149994,38.2702847201774,50,Prospect Island Well 3A screen 12.1-22.1 ft bgs,38.27028472,-121.66134915,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E20B001M is part of a well cluster.  Other wells in the cluster are 05N03E20B002M and 05N03E20B003M.,05N03E20B001M,PI-3A,382703N1216613W001,"Survey, 1m",Solano
-121.661340340216,38.2703107599768,51,Prospect Island Well 3B screen 42.3-52.3 ft bgs,38.27031076,-121.66134034,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E20B002M is part of a well cluster.  Other wells in the cluster are 05N03E20B001M and 05N03E20B003M.,05N03E20B002M,PI-3B,382703N1216613W002,"Survey, 1m",Solano
-121.661336579868,38.2703246494646,52,Prospect Island Well 3C screen 84.2-94.2 ft bgs,38.27032465,-121.66133658,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E20B003M is part of a well cluster.  Other wells in the cluster are 05N03E20B001M and 05N03E20B002M.,05N03E20B003M,PI-3C,382703N1216613W003,"Survey, 1m",Solano
-121.642934700868,38.26651999985,53,Prospect Island Well 9A screen 11.2-21.2 ft bgs,38.26652,-121.6429347,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E21G001M is part of a well cluster.  Other wells in the cluster are 05N03E21G002M and 05N03E21G003M.,05N03E21G001M,PI-9A,382665N1216429W001,"Survey, 1m",Solano
-121.64291408004,38.2665424002324,54,Prospect Island Well 9B screen 45.7-55.7 ft bgs,38.2665424,-121.64291408,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E21G002M is part of a well cluster.  Other wells in the cluster are 05N03E21G001M and 05N03E21G003M.,05N03E21G002M,PI-9B,382665N1216429W002,"Survey, 1m",Solano
-121.642895339387,38.2665622798607,55,Prospect Island Well 9C screen 83.5-93.5 ft bgs,38.26656228,-121.64289534,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E21G003M is part of a well cluster.  Other wells in the cluster are 05N03E21G001M and 05N03E21G002M.,05N03E21G003M,PI-9C,382666N1216429W001,"Survey, 1m",Solano
-121.640809610299,38.2657433906843,56,Ryer Island (RD 501) Well 99-1 screen 33-38 ft bgs,38.26574339,-121.64080961,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E21H001M is part of a well cluster.  Other well in the cluster is 05N03E21H002M.,05N03E21H001M,Ryer MW-1,382657N1216408W001,"Survey, 1m",Solano
-121.640809610299,38.2657433906843,57,Ryer Island (RD 501) Well 99-2 screen 5-10 ft bgs,38.26574339,-121.64080961,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E21H002M is part of a well cluster.  Other well in the cluster is 05N03E21H001M.,05N03E21H002M,Ryer MW-2,382657N1216408W002,"Survey, 1m",Solano
-121.65030442017,38.2623044796842,58,Prospect Island Well 10A screen 18-28 ft bgs,38.26230448,-121.65030442,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E21L001M is part of a well cluster.  Other well in the cluster is 05N03E21L002M.,05N03E21L001M,PI-10A,382623N1216503W001,"Survey, 1m",Solano
-121.650269369704,38.2623042603226,59,Prospect Island Well 10B screen 45.5-55.5 ft bgs,38.26230426,-121.65026937,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E21L002M is part of a well cluster.  Other well in the cluster is 05N03E21L001M.,05N03E21L002M,PI-10B,382623N1216503W002,"Survey, 1m",Solano
-121.656740160173,38.2530582197709,60,Prospect Island Well 1A screen 13.1-23.1 ft bgs,38.25305822,-121.65674016,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E29A001M is part of a well cluster.  Other well in the cluster is 05N03E29A002M.,05N03E29A001M,PI-1A,382531N1216567W001,"Survey, 1m",Solano
-121.656710310054,38.2530710699285,61,Prospect Island Well 1B screen 60.7-70.7 ft bgs,38.25307107,-121.65671031,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E29A002M is part of a well cluster.  Other well in the cluster is 05N03E29A001M.,05N03E29A002M,PI-1B,382531N1216567W002,"Survey, 1m",Solano
-121.666496610658,38.2532358502832,62,Prospect Island Well 2A screen 8.3-18.3 ft bgs,38.25323585,-121.66649661,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E29C001M is part of a well cluster.  Other well in the cluster is 05N03E29C002M.,05N03E29C001M,PI-2A,382532N1216665W001,"Survey, 1m",Solano
-121.666511410402,38.2532588600211,63,Prospect Island Well 2B screen 49.6-59.6 ft bgs,38.25325886,-121.66651141,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,05N03E29C002M is part of a well cluster.  Other well in the cluster is 05N03E29C001M.,05N03E29C002M,PI-2B,382533N1216665W001,"Survey, 1m",Solano
-121.489388999408,38.2410830002557,64,Delta Island Consumptive Use-McCormackWilliamson-ND13MA,38.241083,-121.489389,WGS84,Groundwater,,DWR Hydstra,2023/04/25 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"elevation data from CASGEM, well depth 20ft",05N04E36G001M,ND13MA,382411N1214894W001,"GPS, 10m",Sacramento
-121.489388999408,38.2410830002557,65,Delta Island Consumptive Use-McCormackWilliamson-ND13MB,38.241083,-121.489389,WGS84,Groundwater,,DWR Hydstra,2023/04/25 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"elevation data from CASGEM, well depth 100ft",05N04E36G002M,ND13MB,382411N1214894W002,"GPS, 10m",Sacramento
-121.466361000611,38.2592499999254,66,Delta Island Consumptive Use-New Hope Tract-ND1-20ft,38.25925,-121.466361,WGS84,Groundwater,,DWR Hydstra,2023/04/25 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,Elevation data from CASGEM,05N05E29D003M,ND1,382593N1214664W001,"GPS, 10m",San Joaquin
-121.457638999701,38.2603610002328,67,Delta Island Consumptive Use-McCormack-Williamson-ND2,38.260361,-121.457639,WGS84,Groundwater,,DWR Hydstra,2023/04/25 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"elevation data taken from CASGEM, well depth is 20ft",05N05E30A004M,ND2,382604N1214665W001,"GPS, 10m",Sacramento
-121.474189999772,38.2511943994259,68,Delta Island Consumptive Use-New Hope Tract-ND6MA-20ft,38.2511944,-121.47419,WGS84,Groundwater,,DWR Hydstra,2023/04/25 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,Elevation data came from CASGEM,05N05E30K001M,ND-6MA,382512N1214742W001,"GPS, 10m",San Joaquin
-121.474189999772,38.2511943994259,69,Delta Island Consumptive Use-New Hope Tract-ND6MB-100ft,38.2511944,-121.47419,WGS84,Groundwater,,DWR Hydstra,2023/04/25 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,Elevation data is from CASGEM,05N05E30K002M,ND-6MB,382512N1214742W002,"GPS, 10m",San Joaquin
