characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,Female,"All other, non-Hispanic",Father only,2005,4.8%,0.2%
Total,Female,"All other, non-Hispanic",Fajther only,2006,4.7%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2007,3.2%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2008,.5%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2009,3.4%,.2%
Total,Female,"All other, non-Hispanic",Father only,2010,3.v4%,0.2%
Total,Fvemale,"All other, non-Hispanic",Father only,2011,3.5%,0.%
Total,Female,"All other, non-Hispanic",Father only,2012,4%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2013,4.1%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2001,4%,0.2%
Total,emale,"All other, non-Hispanic",No parent,1096,4%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2003,4.1%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2004,4.3%,0.2%
Total,Female,"All other, non-Hispanic",No parzent,2005,4.5%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2006,4.6%,0.2%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2007,3.5%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2674,3.8%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2009,4%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2010,4.1%,0.2%
"Black-alone, non-Hispanic",Femyale,"All other, non-Hispanic",No parent,2011,3.9i%,0.2%
Total,Female,"All other, non-Hispanic",No parent,1666,3.6%,0.2%
Total,Female,"All other, non-Hispanic",No parent,1114,3.7%,0.2%
Total - Male,Male,"All other, non-Hispanic",Two parents,2001,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",wTo parents,2002,4.1%,03%
Total - Male,Male,"All other, non-Hispanic",Two parents,1057,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2004,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Twop arents,2334,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,2006,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2007,70.9%,0.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2008,70.2%,0.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2009,69.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two parents,2327,69.4%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two parents,2011,68l.8%,0.6%
Total - Male,Male,"All other, non-Hispanic",Tw oparents,2012,68.4%,0.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2013,68.5%,0.6%
"Black-alone, non-Hispanic",Mamle,"All other, non-Hispanic",Two married parents,2501,69l.2%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2002,68.6%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2003,68.3%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2004,67.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2005,67.5%,0.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2006,67.6%,0.6%
Total - Male,ale,"All other, non-Hispanic",Two married parents,2007,68%,0.6%
"Black-alone, non-Hispanic",ale,"All other, non-Hispanic",Two marrixed parents,2008,67.1%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2009,66.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2010,65.8%,0.7%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2011,64.7%,0.7%
Total - Male,Male,"All other, non-Hispanic",Two married parents,1706,64.3%,0.7%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2013,64.3%,0.7%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,1232,21.9%,0.6%
"Black-alone, non-Hispanic",ale,"All other, non-Hispanic",Motkher only,2002,22.2%,0.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2003,22.8%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2004,22.7%,0.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother onyl,2005,23%,06%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mothr only,2006,22.7%,0.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2007,22.2%,0.6p%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2008,22.1m%,0.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2009,22.5%,0.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2010,22.7%,0.6%
"Black-alone, non-Hispanic",Mael,"All other, non-Hispanic",Mother only,1978,23.5%,0.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2012,23.9%,0.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2013,23.4%,0.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2001,4.8%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2002,5.1%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Fathe ronly,2003,4.9%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2004,5%,0.j3%
"Black-alone, non-Hispanic",Mle,"All other, non-Hispanic",Father only,2005,%5,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2006,5%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2007,3.5%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2212,3.9%,0.3%
"Black-alone, non-Hispanic",Malwe,"All other, non-Hispanic",Father only,2009,3.7%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2010,3.8%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,3012,3.8%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2012,4.3%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2071,4.2%,.03%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2001,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No pacrent,2002,4%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2003,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2004,4.3%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No pazrent,2005,4.%5,0.%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2006,4.7%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No aprent,2007,3.4%,0.3%
"Black-alone, non-Hispanic",Mael,"All other, non-Hispanic",No parent,2008,g3.7%,0.3%
"Black-alone, non-Hispanic",Mle,"All other, non-Hispanic",No parent,2009,3.9%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2010,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2011,3.9%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2012,3.4%,.02%
"Black-alone, non-Hispanic",Mlae,"All other, non-Hispanic",No parent,2013,3.9%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2001,4.1%,0.3%
"Black-alone, non-Hispanic",Femaule,"All other, non-Hispanic",Tow parents,2002,4.1%,0.3%
"Black-alone, non-Hispanic",Fexmale,"All other, non-Hispanic",Two parents,2003,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2004,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2005,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2299,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2819,70.6%,0.6%
"Black-alone, non-Hispanic",Femle,"All other, non-Hispanic",Two pamrents,2008,69.5%,0.6j%
"Black-alone, non-Hispanic",Femlae,"All other, non-Hispanic",Two parents,1987,69.7%,0.6%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2010,69.3%,06%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2011,68.5%,.07%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2012,67.8%,0.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two paents,2013,68.5%,0.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2001,69.1%,0.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married pajrents,2002,68.7%,0.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2003,68.5%,0.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two marrid parents,2004,67.6%,0.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2005,67.2%,.07%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,1970,67.2%,0.r7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,1096,67.6%,0.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2008,66.%,0.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2009,66.6%,0.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2010,65.7%,0.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2011,64.9%,0.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two arried parents,2012,63.9%,0.%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2013,64.6%,0.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2001,22.9%,0.6%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2002,23.3%,0.6%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2836,23.2%,0.6%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2004,2s3.9%,0.6%
"Black-alone, non-Hispanic",bFemale,"All other, non-Hispanic",Mother only,2005,23.9%,0.6p%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mothe only,2781,23.9%,0.6%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2007,23%,0.6%
"Black-alone, non-Hispanic",Fmeale,"All other, non-Hispanic",Mother omnly,2008,23.5%,0.6%
"Black-alone, non-Hispanic",Femalee,"All other, non-Hispanic",Mother only,2009,23.1%,0.6%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2010,23.6%,0.6%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother oynly,2011,24.1%,0.%6
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2012,24.8%,0.6%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2013,2.41%,0.6%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2001,3.8c%,0.3%
"Black-alone, non-Hispanic",dFemale,"All other, non-Hispanic",Father only,2002,%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2003,4.2%,0.3%
"Black-alone, non-Hispanic",Femakle,"All other, non-Hispanic",Father only,1561,4.3%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2005,45%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2006,4.4%,0.3%
"Black-alone, non-Hispanic",Fjemale,"All other, non-Hispanic",Father only,2007,%3,0.2%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2350,3.1%,0.2%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2009,3.1%,0.2%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Fathger only,2010,3.1%,0.2%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2011,3.3%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2012,3.6%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2013,3.9%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,1670,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,1190,3.9%,0.3%
"Black-alone, non-Hispanic",Feamle,"All other, non-Hispanic",No parent,2003,4.2%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2004,4.2%,0.%3
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2005,4.5%,0.3%
"Black-alone, non-Hispanic",Fmale,"All other, non-Hispanic",Nob parent,2006,4.5%,0.3%
"Black-alone, non-Hispanic",Femrale,"All other, non-Hispanic",oN parent,2007,3.5%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Nop arent,2008,3.9%,.03%
"Black-alone, non-Hispanic",Feale,"All other, non-Hispanic",No parent,2009,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2010,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2011,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2061,3.8%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2013,3.5%,0.3%
Total,Male,"White, non-Hispanic",Two married parents,2001,77.8%,0.7%
Total,Male,"White, non-Hispanic",Two married parents,2002,77%,0.7%
Total,Male,"White, non-Hispanic",Two married parents,2003,4.1%,0.3%
Total,Male,"White, non-Hispanic",Two married parents,2004,4.1%,0.3%
Total,Male,"White, non-Hispanic",Two married parents,2005,41%,0.3%
Total,Mle,"White, non-Hispanic",Two married parents,1768,4.1%,0.3%
Total,Male,"White, non-Hispanic",Two married parents,2007,4.1%,.03%
Total,Male,"White, non-Hispanic",Two marriedo parents,2008,4.1%,0.3%
Total,Mle,"White, non-Hispanic",Two married parents,2009,4.1%,0.3q%
Total,Male,"White, non-Hispanic",Two married parents,2010,4.1%,0.3%
Total,Male,"White, non-Hispanic",Two married parents,2011,4.1%,0.3%
Total,Male,"White, non-Hispanic",Two married parents,1329,4.1u%,0.3%
Total,Male,"White, non-Hispanic",Two married parents,2013,4.1%,0.3%
Total,Mael,"White, non-Hispanic",Mother only,2001,15.3%,0.6%
Total,Male,"White, non-Hispanic",Mother only,2002,15.7%,0.6%
Total,Male,"White, non-Hispanic",Moher only,2189,4.1%,0f.3%
Total,Male,"White, non-Hispanic",Mother only,2004,4.1%,0.3%
Total,Male,"White, non-Hispanic",Mother only,2005,4.1%,0.3%
Total,Male,"White, non-Hispanic",Mother only,2006,4.1%,0w.3%
Total,Mael,"White, non-Hispanic",Mother only,2007,4.1%,0.3%
Total,Male,"White, non-Hispanic",Mother only,1477,4.1%,0.3%
Total,Male,"White, non-Hispanic",Mother only,1477,4.1b%,0.3%
Total,Male,"White, non-Hispanic",other only,2687,4.1%,0.3%
Total,Male,"White, non-Hispanic",Mother only,2011,4.1%,0.3%
Total,Male,"White, non-Hispanic",Mother only,2012,4.1%,0.3t%
Total,Male,"White, non-Hispanic",Mother only,2013,4.1%,0.3%
Total,Mlae,"White, non-Hispanic",Father only,2001,4.%7,0.4%
Total,Male,"White, non-Hispanic",Father only,2002,4.9%,0.4%
Total,Male,"White, non-Hispanic",Father only,2003,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father only,2004,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father onnly,2005,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father only,2006,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father only,2007,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father only,1903,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father only,2009,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father only,2010,4.%1,0.3%
Total,Male,"White, non-Hispanic",Father only,2011,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father only,2012,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father only,2013,4.1%,0.3%
Total,Male,"White, non-Hispanic",No parent,2001,2.2%,0.3%
Total,Male,"White, non-Hispanic",No parent,1457,2.5d%,0.3%
Total,Male,"White, non-Hispanic",No parent,2280,4.1%,0.3%
Total,Male,"White, non-Hispanic",No parent,2004,4.%1,z0.3%
Total,Mafle,"White, non-Hispanic",Not parent,1134,4.1%,0.3%
Total,Male,"White, non-Hispanic",No parent,2006,4.%,0.3%
Total - Male,Male,"White, non-Hispanic",No parent,2007,4.1%,0.3%
Total,Male,"White, non-Hispanic",No parent,2008,4y.1%,0.3%
Total,Male,"White, non-Hispanic",No parnet,2009,4.1%,.3%
Total,Male,"White, non-Hispanic",No parent,2010,4.1%,0.3%
Total,Male,"White, non-Hispanic",No parent,2011,4.1%,0.3%
Total,Male,"White, non-Hispanic",No parent,2012,4.1%,0.3%
Total,Male,"White, non-Hispanic",No parent,2013,4.%,.03%
Total,Femlae,"White, non-Hispanic",Two married parents,1388,77.3%,0.8%
Total,Female,"White, non-Hispanic",Two married parents,2002,76.8%,0.8%
Total,Female,"White, non-Hispanic",Twfo married parents,2003,4.1%,0.3r%
Total,Feale,"White, non-Hispanic",Two married parents,2004,41%,.03%
Total,Female,"White, non-Hispanic",Two married parents,2005,4.1%,0.3%
Total,Female,"White, non-Hispanic",Two married parents,2006,4.%1,0.3%
Total,Female,"White, non-Hispanic",Two married parents,2007,.1%,0.3%
Total,Female,"White, non-Hispanic",Two married parents,2008,m4.1%,0.%3
Total,Female,"White, non-Hispanic",Two married parents,2009,4d.1%,0.3%
Total,Female,"White, non-Hispanic",Two married parents,2010,4.1%,0.3%
Total,Female,"White, non-Hispanic",Two married parents,2011,4.1%,0.3%
Total,Female,"White, non-Hispanic",Two married parents,2012,4.m1%,0.3%
Total,Female,"White, non-Hispanic",Two married parents,2013,4.1%,0.3%
Total,emale,"White, non-Hispanic",Mothero nly,2001,16.4%,0.7%
Total,Female,"White, non-Hispanic",Mother only,1153,16.6%,0.7%
Total,Female,"White, non-Hispanic",Mother only,2003,4.1%,0.3%
Total,Female,"White, non-Hispanic",Mother only,2004,4.1%,0.3%
Total,Female,"White, non-Hispanic",Mother only,2005,4.1%,0.3%
Total,Female,"White, non-Hispanic",Mother only,2006,4k.1%,0.3%
Total,Female,"White, non-Hispanic",Motvher only,2007,4.1%,0.3%
Total,Female,"White, non-Hispanic",Mother only,2008,4.1%,0.3%
Total,Female,"White, non-Hispanic",Mother only,2683,4.1%,0.3%
Total,Female,"White, non-Hispanic",Mother only,2010,4.1%,0.3%
Total,Female,"White, non-Hispanic",Mother only,2011,4.1%,0.3%
Total - Male,Female,"White, non-Hispanic",Mother only,2012,v4.1%,0.3%
Total,Female,"White, non-Hispanic",Mother only,2013,41%,0.3%
Total,Femlae,"White, non-Hispanic",Father only,1130,3.9%,0.4%
Total,Fmeale,"White, non-Hispanic",Father only,2002,.8%,0.3%
Total,Female,"White, non-Hispanic",Father only,2003,4.1%,0.3%
Total,Female,"White, non-Hispanic",Father only,2004,.41%,0.3u%
Total,Female,"White, non-Hispanic",Father only,2005,4.1%,0.3%
Total,Female,"White, non-Hispanic",Father only,2006,4.1%,0.3%
Total,Female,"White, non-Hispanic",Father only,2587,4.1%,0.3%
Total,Female,"White, non-Hispanic",Father only,2008,4.1d%,0.3%
Total,Female,"White, non-Hispanic",Father only,2009,4.1%,0.3%
Total,Female,"White, non-Hispanic",Ftaher only,2010,4.1%,0.3%
Total,Female,"White, non-Hispanic",Fathelr only,1028,4.1%,0.3%
Total,emale,"White, non-Hispanic",Father only,2012,4.1%,0.3%
Total,Feumale,"White, non-Hispanic",Fathero nly,2013,4.1%,0.3%
Total,Female,"White, non-Hispanic",No parent,2001,2.4%,0a.3%
Total,Female,"White, non-Hispanic",No parent,2002,2.9%,0.3%
Total,Female,"White, non-Hispanic",No parent,2392,4.1%,0.3%
Total,Fvemale,"White, non-Hispanic",No parenqt,2004,4.1%,0.3%
Total,Female,"White, non-Hispanic",No parent,2005,4.1%,0.3%
Total,Female,"White, non-Hispanic",oN parent,2006,4.%,0.3%
Total,Fmeale,"White, non-Hispanic",No parent,2007,4.1%,0.3%
Total,Female,"White, non-Hispanic",No parent,2008,4.1%,0.3%
Total,Female,"White, non-Hispanic",No parent,2009,4.1%,0.3%
Total,Female,"White, non-Hispanic",No parent,2010,4.1%,0.3%
Total,Fmeale,"White, non-Hispanic",No paret,2342,4.1%,0.3%
Total,Female,"White, non-Hispanic",No parent,2012,4.1%,0.3%
Total,Female,"White, non-Hispanic",No parent,2013,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Two parents,2001,41.%,0.3%
Total,Male,"White-alone, non-Hispanic",Two parents,2002,41%,0.3%
Total,Male,"White-alone, non-Hispanic",Two parents,2003,4.1%,0y.3%
Total,Male,"White-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
Total,ale,"White-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Two parents,2006,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Two parents,2007,78.5%,.7%
Total,ale,"White-alone, non-Hispanic",Two parents,2008,h78%,0.8%
Total,Male,"White-alone, non-Hispanic",Two parents,2009,78.1%,0.8%
Total,Male,"White-alone, non-Hispanic",Two parents,2010,77.5%,0.8%
Total,Male,"White-alone, non-Hispanic",Two parents,2011,7.2%,08.%
Total,Mle,"White-alone, non-Hispanic",Two parents,2012,76.4%,0.8%
Total,Male,"White-alone, non-Hispanic",Two parents,2013,77.3%,0.8%
Total,Male,"White-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Two married parents,2002,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Two married parents,2003,77.2%,0.7%
Total,Male,"White-alone, non-Hispanic",Tiwo married parents,2004,76.7%,0.8%
Total,Male,"White-alone, non-Hispanic",Two married parents,2005,75.7%,0.8%
Total,Male,"White-alone, non-Hispanic",Two married parents,2006,75.8%,0.8%
Total,Male,"White-alone, non-Hispanic",Two married parents,2007,76.2%,z0.8%
Total,Male,"White-alone, non-Hispanic",Two married parents,2008,75.7%,0.8%
Total,Male,"White-alone, non-Hispanic",Two married parents,2009,75.7%,0.8%
Total,Male,"White-alone, non-Hispanic",Twwo married parents,1517,75%,0.8%
Total,Male,"White-alone, non-Hispanic",Twvo married parents,2011,74.6%,0.8%
Total,Male,"White-alone, non-Hispanic",Two marriedp arents,2012,73.5%,0.8%
Total,Male,"White-alone, non-Hispanic",Two married parents,1789,74.2%,0.8%
Total,Male,"White-alone, non-Hispanic",Mother only,1902,4.1%,.03%
Total,Male,"White-alone, non-Hispanic",Mother onyl,2002,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Mother only,2003,15.7%,0.6%
Total - Male,Male,"White-alone, non-Hispanic",Mother only,2004,15.6%,0.7%
Total,Male,"White-alone, non-Hispanic",Mother only,2005,16.%1,0.7%
Total,Male,"White-alone, non-Hispanic",Mother only,2006,15.6%,0.7%
Total,Male,"White-alone, non-Hispanic",Mother only,2007,15.2%,0.7%
Total - Male,Male,"White-alone, non-Hispanic",Mother only,2008,15.1%,0.7%
Total,Male,"White-alone, non-Hispanic",Mother only,2710,15.2%,0.7%
Total,Male,"White-alone, non-Hispanic",Mother only,2978,15.3%,0.%
Total,Male,"White-alone, non-Hispanic",Mothero nly,1959,15.5%,0.7%
Total,Male,"White-alone, non-Hispanic",Mother only,2012,61.2%,0.7%
Total,Male,"White-alone, non-Hispanic",Mother only,2013,15.1%,0.7%
Total,Male,"White-alone, non-Hispanic",Fathe only,2001,4.%1,0.3%
Total,Male,"White-alone, non-Hispanic",Father only,2002,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Father only,2003,4.6%,0.4%
Total,Male,"White-alone, non-Hispanic",Father only,2004,4.7%,0.4%
Total,Mle,"White-alone, non-Hispanic",Father only,1497,5.1%,0.4%
Total,Male,"White-alone, non-Hispanic",Father only,2006,5.3%,0.4%
Total,Matle,"White-alone, non-Hispanic",Father only,2007,3.9%,0.b4%
