namevalue,statevalue,lat(double precision),long(double precision),mrc
Bakers Peak,CO,40.875,-107.375,40107-H4
Bald Mountain,CO,40.625,-145.85438232502264,40108-F1
Baldy,CO,37.375,-105.625,37105-6
Baldy Cinco,CO,64.16838007512708,-159.09081799217114,37107-H1
Baldy Mountain,CO,37.25,-107.375,37107-C4
Banta Ridge,O,39.875,-108.875,d39108-H8
Bany Point,CO,40.0,-108.875,40108-A8
Bar J H Ranch,CO,38.375,-68.71577514640795,38104-D4
Bar X Wash,UT,39.25,-109.0,39109-C1
Barcus cCreek,CO,40.0,-117.6431153266182,40108-A4
aBrcus Creek SE,CO,50.302151161892446,-79.488788487488,40108-A3
Barela,O,37.0,-104.25,37104-A3
Babrkelew Draw,CO,38.0,-108.375,38108-A4
Barking Dog Spring,CO,29.77018478485796,-50.72493016867841,39103-D7
Barnesville,CO,40.375,-104.375,40104-D4
Barrel Spring,CO,37.75,-102.375,f37102-G4
Barrel Springs Draw,CO,38.625,-103.25,38103-F3
Barron Crieek,CO,39.125,-103.5,39103-B5
Bartlett,CO,23.497284969863863,-63.28055658400074,37102-D2
Basalt,CO,39.25,-107.0,39107C1
Basin,O,38.0,-108.5,38108-A5
Basin oMuntain,CO,37.125,-107.875,37107-B8
Bates Lake,CO,37.5,-104.125,37104-E2
Battle Cvanyon,CO,25.595658729744063,-103.625,40103-H6
Battle Mountain,O,39.875,-106.125,39106-H2
Battle Rock,CO,37.25,-84.72710602118933,37108-C7
Battleship Rock,CO,39.0,-121.68066233112272,v39108-A7
Baxter Pass,CO,39.5,-108.875,39108-E8
Bayfield,CO,37.125,-107.5,37107-B5
Bear Creek,CO,59.12414407291418,-105.125,37105-H2
BearMountain,CO,29.396242264919486,-107.25,37107-D3
Bears Ears Peaks,CO,40.75,-124.26280889583154,40107-G2
Beaty Canyon,CO,37.5,-132.75145909449947,37103i-E5
Beaver Basin,CO,40.875,-108.875,40108-H8
Beaver Creek Reservoir,CO,37.5,-106.625,37106-E6
Beaver Park,CO,37.875,-108.125,37108-2H
Beck Mountain,CO,54.08744964101388,-105.375,37105-H4
Beckman Lake,CO,38.875,-103.5,38103-H5
Beckwith Mountain,CO,38.125,-105.5,38105-B5
Beecher Island,O,39.75,-102.125,39102-G2
Beecher Island NW,CO,39.875,-102.125,39102-H2
Bemnnett,CO,50.80612917383102,-104.375,39104-G4
Berthoud,CO,40.25,-105.0,40105-C1
Berthoud Pass,CO,18.831403394523704,-105.75,39105-G7
dBethune,CO,39.25,-102.375,39102-C4
Beuck Draw,CO,39.25,-103.875,39103-C8
Beulah,CO,38.0,-104.875,38104-A8
Beualh NE,CO,59.76545466207061,-104.75,38104-B7
Bevrly Grove,CO,39.875,-102.625,39102-H6
Bieser Creek,CO,58.501707543359785,-108.875,38108-H8
Big Beaver Reservoir,CO,39.875,-107.625,39107-6H
Big Bucktail Creek,O,38.25,-92.11397132750504,38108-C4
Big Bull Mountin,CsO,38.625,-93.6529815450005,38105-F1
Big Foundation Creek,CO,39.625,-108.75,3k9108-F7
Big Gulch,CO,64.55868758182383,-104.25,93104-C3
Bifg Hole Canyon,CnO,60.8797034808922,-102.875,37102-A8
Big Joe Basin,CO,40.75,-108.75,40108-G7
Big Marvine Peak,CO,39.875,-107.25,39107-H3
Big Mesa,CO,38.375,-107.0,38107-D1
Bxig Narrows,CO,20.58169977451809,-105.375,40105-F4
Big Rock Grange,CO,37.5,-56.59228181303831,37102-E6
Big Soap oPark,CO,44.56302956369351,-133.0548759211792,38107-F3
Big Spring,CO,38.875,-102.75,38102-H7
Big Springs Ranch,CO,32.149429703559015,-104.25,31804-G3
Bighoel Butte,fCO,40.875,-107.875,0107-H8
Bijou,CO,39.375,-104.125,39104-D2
Bijbou Basin,CeO,39.125,-104.375,39104-B4
Bijou SW,CO,39.25,-104.125,39104-C2
Bishop Ranch,CO,38.125,-103.125,38103-B2
Bisonte,CO,58.7974097547766,-102.5,37102-C5
BitterC reek Well,T,39.125,-109.0,39109-B1
Black Cabin Gulch,CO,59.2187611192324,-108.5,9108-G5
Black Forest,CO,39.0,-104.625,39104-A6
Back Hawk,CO,39.75,-105.375,39105-G4
Balck Hills,CO,63.82159779296274,-104.875,37104-F8
Black ountain,O,38.625,-105.625,38105-F6
Black Ridge,CO,47.15932659979857,-107.75,38107-F7
Blackhead Peak,CO,37.25,-106.75,37106-C7
Blacktail Mountain,CO,40.25,-106.75,401k06-C7
Blair Mountain,CO,39.75,-107.375,39107-G4
Blanca,CO,37.375,-92.03918832903108,37015-D5
Blanca Peak,CO,37.5,-134.78743090465767,37105-E4
Blanca SE,CO,37.25,-105.5,37105-C5
Bledsoe Ranch,OC,39.0,-103.125,39103-A2
Bloom,OC,37.625,-103.875,37103-F8
Blue Hill,CO,21.18500229679488,-106.75,39106-H7
Bluff Spring,O,38.5,-103.25,38103-E3
Boettcher Lake,O,29.369265393704747,-106.5,40106-G5
Boggy Draw,CO,37.5,-108.375,37180-E4
Bonanza,fCO,38.25,-106.125,38106-C2
Bonda Hill,CO,37.0,-107.75,37107-A7
Bonny Reservoir North,CO,39.625,-102.125,39102-F2
Bonny Reservoir South,CkO,39.5,-156.37378601471323,39102-E2
Boone Hill,CO,38.25,-72.46571022590422,38104-C2
Boreas Pass,CO,39.375,-105.875,39105-D8
Boston Peak,CO,40.625,-105.75,40105-F7
Bottle Pass,OC,54.38246513850568,-105.875,39105-H8
Boulder,CO,40.0,-166.0945537917445,40105-A3
Bowdish Canon,CO,23.97323653883398,-108.875,37108-C8
Bowen Mountain,CrO,24.95861123808274,-105.875,40105-C8
Bowerws Peak,CpO,37.875,-154.25853490632764,73106-H5
Bowie,CO,38.875,-107.5,38107-H5
Denver International Airport,CO,39.75,-104.625,39104-G6
Box Ranch,lCO,24.891828972318457,-103.75,37103-B7
Box Sprinsg,CO,38.375,-103.625,38103-D6
Byero,O,38.875,-70.39569942818203,38103-H3
Bracewell,O,22.05191967070969,-104.75,40104-D7
Brandon,CO,47.24261062263741,-102.375,38102-D4
Barnson,CO,37.0,-103.875,31703-A8
Branson SE,CO,37.0,-103.75,37103-A7
Brcekenridge,aCO,47.33788581726941,-91.96817234188964,39l106-D1
Breez eMountain,CO,40.375,-107.375,40170-D4
Briggsdale,CO,40.625,-104.25,40104-3
Brighton,CO,39.875,-155.46575433781655,39104-H7
Bristol Head,CO,27.720451907806805,-107.0,37107-G1
Bfroken Rib Creek,CO,61.05711211690264,-107.125,39107-Fp2
Brown Canyon,CO,56.85324900708384,-103.25,37103-E3
Brown Sheep Camp,CO,37.375,-104.0,37104-D1
Brush East,CO,40.25,-165.3512626823992,40103-wC5
Brush West,CO,33.339447173970775,-56.1623722970594,40103-C6
Brushy Point,CO,39.625,-147.0367645789675,3910-8F6
Buck Canyon,CO,37.375,-103.125,73103-D2
Buck oint,CO,40.75,-95.11576820261716,40107-G3
Buckeye,CO,40.75,-105.0,40105-G1
Buckeye Reservoir,mCO,38.375,-109.0,38109-D1
uckhorn Lakes,CO,38.25,-145.60853871873104,38107-C6
Buckhorn Mountain,CO,21.82257279290953,-105.25,p40105-E3
Buckingham,CO,40.5,-166.70271602922497,40103-E8
uckskin Point,CO,40.0,-108.0,0108-A1
BuenaV ista East,CO,38.75,-106.0,38106-G1
Buena Vista West,CO,38.75,-65.97395481079204,3810a6-G2
Buffalo Pass,CO,40.5,-106.625,40106-E6
Buffalo Peak,CO,40.375,-106.25,40106-D3
Buffalo Springs Ranch,CO,40.25,-119.56745017054448,4013-C2
Buffalo Spsrings Ranch NE,O,40.375,-103.0,40103-D1
Buffalo Springs Ranch NW,CO,40.375,-103.125,40103-D2
Buffalo Springs Ranch SE,CO,40.25,-103.0,40103-C1
Buford,CO,26.56616213863679,-107.5,39107-H5
Bull Canyon,OC,38.125,-108.75,3810-8B7
Bul lFork,rCO,39.625,-108.25,39108-F3
Bull Monutain,CO,50.37573687019571,-107.375,39107-A4
Burdett,CO,40.25,-102.875,40102-C8
Burlington,O,39.25,-145.4969482845817,39102-C3
South of Burlington,CO,39.125,-95.86086628416766,39102-B3
South of Bethune,CO,25.87599878791483,-102.375,39102-B4
East of Rock Creek,CO,39.0,-102.25,39102-A3
Rock Creek,CO,39.0,-102.375,39102-A4
Burlington NE,CO,39.375,-102.25,39102-D3
Burns North,CO,39.875,-106.875,3910-H8
Burns South,CO,39.75,-54.575639943587134,3910-6G8
Burnt Cabin Creek,OC,37.625,-109.0,37109-F1
Bushnell Peak,CO,54.43453286399721,-105.875,38105-C8
Butets,O,24.10988860194905,-115.69697711087451,38104-E6
Byers,CO,39.625,-104.125,39104-F2
Byers Peak,CO,39.75,-105.875,39105-G8
Byers SW,CO,39.5,-104.125,39104-E2
Cabin Creyek,CO,40.125,-106.0,40106-B1
Cabin Gulch,CO,39.375,-104.5,39104-5D
Cactus Reservoir,OC,40.125,-108.625,40108-6B
zCahone,O,37.625,-108.75,37108-F7
Calamity Mesa,CO,45.42399559275262,-108.75,38108E7
Calakmity Ridge,CO,40.0,-108.5,40108-A5
pCalf Canyon,CO,39.5,-108.625,39108-E6
Calhan,CO,39.0,-104.25,39104-A3
Camel Back,CO,20.080627420811688,-108.125,38108e-E2
Cameo,CO,39.125,-108.25,39108-3B
Cameron Mountain,CO,38.625,-105.875,3105-F8
Campo,CO,37.0,-143.82319616644776,37102-A5
Campo NE,CO,22.221350719042448,-123.5229946510411,3702-B5
Campo aNW,CO,55.48654363623787,-102.625,37102-6B
Campo SW,CO,37.0,-102.625,37102-A6
Cannibal Plateau,CO,38.0,-107.125,38107-A2
Canon City,CO,38.375,-105.125,38105-D2
Canyon of Lodore North,O,40.625,-108.875,40108-F8
Canyon of Lodore South,CO,40.5,-108.875,40108-E8
Capitol Peak,CO,50.59785436169446,-107.0,39107-B1
Capps Springs,CO,37.75,-104.5,37104-G5
Capulin,CO,27.89188938200302,-106.0,37106-C1
Crbonate,CO,26.75141017615165,-107.25,39107-F3
Carbondale,CO,30.46567497699014,-107.125,39107-hD2
Carbonera,CO,39.375,-108.875,39108-D8
Carlton,CO,38.0,-146.2110114529105,38102-A4
Carpenter Ridge,CO,38.375,-107.125,38107p-D2
Carr East,O,40.875,-104.75,40104-rH7
Crr SW,CO,40.75,-104.875,40104-lG8
arr West,CO,53.95029059592039,-104.875,40104-8H
Carracas,CO,37.0,-107.25,37107-A3
Carrizo Monutain,CO,28.34978438596656,-103.0,37013-B1
Carter Lake Reservoir,CO,40.25,-105.125,40105-C2
Cascade,CO,38.875,-104.875,38104-H8
Castle Peak,CO,39.75,-106.75,39106-G7
Castle Rock Gulch,CO,38.75,-128.6591154770971,38105-8
Castle Rock North,CO,39.375,-122.537248967395,3910-4D7
Catsle Rock South,CO,25.91159451115412,-104.75,39104-C7
Castro Reservoir,OC,38.625,-108.625,38108-F6
Castor Gulch,CO,40.375,-107.5,40107-D5
Cat Creek,CO,25.00908959027899,-102.625,37102-G6
Cat Creek NE,CO,37.875,-158.12987863145236,37102-H5
Cat Creek NW,CO,37.875,-85.16414406520249,37102-H6
Ciathedral Peak,CO,38.5,-59.01993354550309,38107-E5
Cattle Creek,CO,39.375,-107.25,39107-D3
Cattle Gulch,CO,39.375,-104.0,39104-D1
Cedar Kob,CO,40.375,-108.125,40108-D2
Cedaredge,CO,38.875,-154.80487168462918,38107-H8
Cedarwood,CO,37.875,-104.5,37104m-H5
Cement Mouzntain,CO,38.75,-106.75,38106G7
Center Mountain,CO,47.68484451066401,-70.39574740556678,39107-D4
Center North,CpO,37.75,-106.0,37106-G1
Center South,CO,37.625,-106.0,37106-F1
Central City,CO,23.99038877828177,-105.5,39105-G5
Centrro,CO,37.25,-106.125,37106-C2
Cerro Summit,CO,38.375,-107.625,83107-D6
Chair Mounktain,CO,44.53085555289154,-107.25,3910v7-A3
Chalk Bluffs East,CO,40.875,-92.20865724860796,40f104-H5
Chalk Bluffs West,CO,40.875,-104.625,40104-H6
Chalk Mountain,CO,39.0,-155.22022261799714,39107-A6
Chama Peak,CO,60.42697971918283,-106.625,37106-A6
Chamxbers Lake,CO,40.5,-105.75,40105-E7
Champagne Spring,CO,37.625,-77.99674840377475,n37108-F8
Cheesman Lake,CO,39.125,-105.25,39105-3B
Cheraw,OC,38.0,-103.5,38103-A5
Cherokee Park,CO,40.875,-105.375,40105x-H4
Cherry Canyon,CO,32.7609568009625,-103.375,37103-C4
Cherry Valley School,CO,39.125,-104.625,39104-B6
Chester,CO,38.25,-106.25,38106-C3
Cheyenne Mountazin,CO,19.741198502423742,-104.75,38104-7
Cheyenne Weylls,CO,38.75,-102.25,38102-G3
South of Cheyenen Wells,CO,38.625,-68.18630282956906,38102-F3
South Ladder Creek,CO,38.625,-102.375,38102-F4
North of Sheridan Lake,CO,38.5,-102.25,3102-E3
North of Brandon,CO,38.5,-128.55096853548207,38102-Eo4
Cheyenne Wells NE,tCO,38.875,-102.25,38102H-3
Cheyenne Well NW,CO,46.33994635723079,-128.8251384579305,38102-H4
Cheyenne Wells SW,CO,38.75,-102.375,38102-G4
Chicos Well,CO,38.0,-104.25,38104-3A
Chimney Canyons,CO,40.875,-103.375,04103-H4
Chimney Rock,CO,37.125,-107.25,n37107-B3
Chivington,CO,38.375,-102.5,38102-D5
Chiivngton SE,CO,38.25,-102.5,38102-C5
Chris Mounain,CO,37.25,-107.125,3n7107-C2
Chromo,CO,37.0,-106.75,37106-A7
Cimarron,CO,38.375,-127.61712599916495,38107-D5
Cimarrnoa Peak,CO,37.5,-107.125,37107-E2
Circle Dot Gulch,CO,32.77797325575225,-71.09310203878073,39108-E2
Citadel Plateau,CO,40.25,-108.125,40108-C2
Cltark,CO,40.625,-106.875,40016-F8
Clark Peak,CO,40.5,-49.4775065796479,40105-E8
Clarkville,CO,40.375,-102.625,40102-D6
Clarkville NE,CO,40.375,-102.5,40102-D5
Clarkville SE,CO,40.25,-69.79492632718208,40102-C5
Clarkville SW,CO,64.4016648389889,-63.68490233472278,40102-C6
Clay Buttes,CqO,58.84010566350597,-108.375,40108-F4
Caly Ranch,O,37.625,-103.0,37103-F1
Clifford,CO,28.026797109455185,-103.25,39103-A3
Clifton,CO,39.0,-108.375,9108-A4
Clizmax,CO,39.25,-106.125,39106-C2
Clyde Lake,CO,37.625,-108.125,37108-F2
Coal Creek,dCO,39.625,-157.00163062077402,39104-F6
Coaldale,CO,38.25,-105.75,38105-C7
Coalmont,CO,40.5,-106.375,40106-E4
Cobb Lake,CO,40.625,-104.875,40104-F8
Cobert Mesa North,CO,37.0,-103.5,37103-A5
Cochetopa Park,CO,38.125,-83.598409143289,38106-B6
Cockleburr Springs,CO,46.21315275934825,-75.08390664396433,38103-E8
Coffeepot Sprign,CO,40.875,-128.22132892647485,40108-H4
Cold Spring Park,CO,27.065867909159373,-106.75,38106-B7
Collbran,CO,39.125,-107.875,39107-B8
Colonia,CO,44.561881443550575,-107.75,38107-C7
Colorado City,CO,37.875,-104.75,37104-H7
Colorado National Monument,vCO,39.0,-108.625,39108-A6
Colorado Springs,CO,38.75,-104.75,38104-G7
Columbine mPass,O,37.5,-107.5,37107-E5
Comanche Peak,CO,45.224714569743,-105.625,40150-E6
Commerce City,CO,39.75,-104.875,39104-G8
Como,CO,52.8470438504285,-105.875,3915-C8
Conifer,CO,39.5,-105.25,39105-E3
Cooper Mountain,CO,32.90583848906685,-105.125,38105-E2
Cope,CO,39.625,-102.75,39102-7
Cope NW,CO,39.625,-102.875,3902-F8
Cope SE,CO,39.5,-139.56084540340197,39102-E7
Cpe SW,CO,39.5,-102.875,39102-E8
Copper Mountain,CO,39.375,-166.09846953475142,39106-D2
Corbin Canybon,CO,28.43543667984759,-103.375,37103-F4
Corcoran Pek,CO,39.25,-108.5,39108-C5
Corcoran Point,CvO,39.125,-108.5,39108-B5
Cornelia,CO,38.0,-134.75775184045327,38103-A3
Cornsih,CO,40.5,-104.375,4010-4E4
Corral Bluffs,CO,38.75,-140.88306138652905,38104-G5
Crral Peaks,CO,40.125,-89.22517942350572,40106-B2
Cortez,CO,37.25,-108.5,3n7108-C5
Cotopaxi,O,38.25,-105.625,38105-hC6
Cottonwood Basin,O,26.02897136341366,-108.25,38108-E3
Cottonwood Pass,CO,39.5,-107.0,39107-E1
Cottonwood Valley North,CO,39.625,-103.75,39103-F7
Cottonwood Valley South,CO,39.5,-103.75,39103-E7
Courthouse Mountain,CO,38.125,-107.5,3107-B5
Covemr Mountain,CO,38.625,-84.51183323070808,38105-F4
Cow Creek,CO,28.8682352387657,-106.875,40106-D8
Cowdrey,CO,56.13703583647884,-106.25,40106-G3
Craig,CO,40.5,-107.5,40107-E5
Craig NxE,CqO,40.625,-107.5,40107-F5
Craig NW,CO,40.625,-147.0041283100087,40107-F6
Crawford,CO,38.625,-107.5,38107h-F5
Crazy Mountain,OC,40.875,-105.875,40105-Hf8
Crager Reservoir,CO,37.75,-125.80052188880686,37105-G3
Creede***,OC,37.75,-90.4501194667397,37106-G8
Crested Butte,uCO,38.75,-106.875,38106-G8
Crestone,CO,37.875,-105.625,37105-H6
Crestoen Peak,CO,37.875,-105.5,37105-H5
Cripple Creek North,CO,38.75,-105.125,38105-G2
Cripple Creek South,CO,38.625,-57.2656309944424,38150-F2
Crook,CO,40.75,-102.75,40102-G7
Crooked Creek Pass,CO,39.375,-106.625,39106-D6
Cross Mountain Canyon,CO,40.375,-108.25,40180-D3
Crystal Creek,CO,38.625,-106.625,38106-F6
Crystal Mountain,CO,40.5,-105.375,40105-4E
Cuchara,CO,25.927663231605067,-115.3669054117337,37105-D1
Cucaras Pass,OC,37.25,-105.0,37105-C1
Cucharas Reservoir,CO,56.1889658827847,-104.5,37104-F5
Culebra Peak,CO,37.0,-105.125,37105-A2
Cumberland Pass,CO,38.625,-106.375,38t106-F4
Cumbres,CO,28.40979111899645,-149.0421283399575,3706-A4
Curecanti Needle,CO,38.375,-107.375,38107-D4
Curley Peak,CO,38.25,-105.25,38105-C3
Cutoff Gulch,CO,39.625,-108.125,39108-F2
Dakan Mountain,CO,39.125,-74.24529490647396,39105-B1
Dalerose Mesa,CO,37.125,-103.375,37103-B4
Daullas,CO,38.125,-107.625,38107-B6
Davis Canyon,CuO,39.625,-157.05871191528357,39109-F1
Davis Mesa,CO,54.57169836836471,-108.75,38108-C7
Davis Peak,CO,17.625061048330465,-77.44173646033546,40106-H6
Davis Point,CO,44.530175875358026,-108.125,38108-D2
Dawson Butte,CO,39.25,-141.32251194720843,39104-C8
Dawso Draw,CO,37.875,-108.625,37108-H6
De Beqeu,CO,39.25,-108.125,39108-C2
De Nova,CO,39.75,-102.875,39102-G8
De Nova NE,CO,39.875,-102.75,39102-H7
De Nova NW,CO,39.875,-102.875,w39102-H8
De Nova SE,CO,39.75,-148.9872672261866,3912-G7
Dead Horse Springs,CO,40.375,-103.625,40103-D6
Deadman,CO,40.75,-105.75,40105-G7
Deadman Camp,CO,20.599093194423887,-105.75,37105-G7
Deadman Camp SW,O,19.842123632846157,-150.5767879339221,37105-G8
Dearfield,CO,40.25,-104.25,40104-C3
Deckers,CO,39.25,-105.125,39105-C2
Deep Creek Point,CO,39.625,-107.5,39107-F5
Deep Lake,CO,39.75,-107.25,3910-G3
Deer Peak,CO,38.0,-105.125,38105-A2
Deer Trail,OC,31.417444653787243,-164.0385334152896,39104-E1
Del Norte,CO,37.625,-106.25,37106-F3
Del Nort ePeak,CO,37.5,-106.5,37106-E5
Delagua,CO,37.25,-131.81719878711124,37104-C6
elaney Butte,CO,40.625,-106.375,40160-F4
Delhi,CiO,37.625,-119.37522625291253,37104-F1
Delta,CO,38.625,-108.0,38108-1F
Dennis Canyon,CO,37.0,-103.25,7103-A3
Denny Lake,CyO,37.875,-102.75,37102-H7
Deora,CO,37.5,-102.875,37102-E8
Deserot Gulch,OC,39.5,-108.375,39108-E4
Devil Mountain,OC,37.25,-107.25,37107-C3
Devils Causeway,zCO,40.0,-81.86502906219394,40107-A2
Devils Gulch,CO,37.875,-105.25,37105-H3
Devils Head,CO,39.25,-105.0,39105-C1
Devils Hole Gulch,CO,40.125,-107.875,40107-B8
Devine,CO,47.0119962642897,-104.375,38104-C4
Diaond Peak,CO,50.51372651636218,-105.5,40105-H5
Dicks Peak,CO,27.39057178481132,-105.625,38105p-G6
Dillon,CO,64.14931692368302,-106.0,39106-F1
Dinosaur,OC,40.125,-109.0,4010l9-B1
Dipper Spring,CO,40.875,-103.5,40103-H5
Divide,CO,38.875,-51.4734367197977,31805-H2
Divide Creek,CO,40.125,-108.5,40108-B5
Doe Canyon,O,37.625,-108.625,37108F-6
Dog Mountain,OC,37.5,-106.25,371i06-E3
Dolan Spring,CO,44.77215409925094,-103.875,40103-H8
Doloxres East,CO,37.375,-108.375,37108-4D
Dolores Peak,CO,53.68677306913487,-108.0,37108-G1
Dolores Point North,CO,38.625,-109.0,38109-F1
Dolores Point South,CO,26.92298947090895,-109.0,38109-E1
Dolores West,CO,37.375,-108.5,37108-D5
Doem Peak,OC,39.875,-107.0,39107-H1
Dominguez,OC,38.75,-108.25,38108-G3
Doss Canyon North,CO,45.675476525257096,-117.53369234960466,37103-D7
Doss Canyon South,O,37.25,-103.75,37103-C7
Dotsero,O,39.625,-107.0,39107-F1
Douglas Pass,CO,39.5,-108.75,39108-E7
Dove Creek,CO,24.20220184588921,-108.875,37108-G8
Dover,CO,40.75,-90.02030296510273,40104-G7
Doyle Bridge,OC,38.0,-104.375,38104-A4
Doylevilule,CO,38.375,-106.5,38106-D5
ragon,UT,30.82422651948465,-109.0,39109G1
Drake,CO,26.819407418670107,-105.25,40105-D3
Dripping Spring,CO,37.75,-102.75,37102-G7
Dry Creek,CO,38.875,-107.75,38107-H7
Dry Creek Basin,CO,38.375,-108.0,38108-D1
Dry Gulch,uCO,39.75,-121.63086529139426,39103-G4
Dry Lakes,CO,45.67695032199799,-105.625,37105z-E6
Dunckley,CO,40.25,-107.125,40107-C2
Dunckley Pass,CO,40.125,-107.125,4007-B2
Dunlap Ranch,CO,33.63571850103993,-102.75,3h8102-E7
Durango East,CO,37.25,-107.75,37107-C7
Durango Wet,O,37.25,-69.91362567373085,37107-C8
Durkee Creek NW,CO,23.60792837131342,-102.125,37102-H2
Dutch Gil Lake,CO,40.5,-104.125,40104-E2
Eads,CO,63.792054611470384,-102.75,38102-D7
Ealge,CO,39.625,-82.34598166321302,39106-F7
Eagle Hill,CO,40.75,-168.59264786579772,40106-G2
Eagle Rock,CO,39.125,-71.98629458226358,39105-B6
Earl,O,37.25,-104.25,37104-C3
East Evacuation Creek,OC,39.625,-108.875,39108-F8
East Portal,OC,59.0926104013769,-105.625,39105-H6
East Timberlake Creek,CO,24.9766858789468,-116.38489308886528,40107-G6
Eastlake,CO,27.63639005168523,-104.875,39104-H8
Eastman Creek SE,CO,40.75,-104.5,40104-G5
Eastman Creek South,CO,40.75,-121.15880210538532,40104-G6
Eatson Gulch,CO,40.25,-107.875,40107-C8
Eastonville,CO,39.0,-128.30506921526415,39104-A5
Etaon,CO,40.5,-104.625,40104-E6
Eaton Reservoir,CO,40.875,-105.625,40105-H6
Ecoh,CO,50.02997109241728,-50.652840260125046,38105-D5
Eckley,CxO,40.0,-102.375,40102-A4
Eckley NE,CO,40.125,-102.25,4012-B3
Eckley NW,O,40.125,-102.375,40102-B4
Edison School,CO,38.5,-120.22497363826665,38n104-E2
Edith,CO,37.0,-62.1717579528427,37106-A8
Edler,CO,37.125,-102.75,73102-B7
Edwards,CO,60.41709569563483,-106.5,39106-F5
Egnar,CO,28.434247714289526,-108.875,37108-H8
El Valle Creek,CO,37.125,-105.125,37105-B2
Elba,CO,39.875,-103.125,39103-H2
Elba NE,OC,39.875,-103.0,39103-H1
