sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total - Male,Magle,"American Indiuan/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2011,186.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Male,Malhe,"American Indian/Alaska Native, non-Hispanic",2013,184.0,0.8,Data not available.
Total - Female,Female,"Amerian Indian/Alaska Native, non-Hispanic",2000,173.0,7.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
Total - Female,Femael,"American Indian/Alaska Native, non-Hispanic",2002,188.0,1.1,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,187.0,1.0,Data not available.
Total - Female,Fjemale,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
Total - Female,emale,"American Indian/Alaska Native, non-Hispanic",2005,191.0,0.7,Data not available.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hspanic",2006,169.0,0.6,Data not available.
Total - Female,eFmale,"American Indian/Alaska Native, non-Hispanic",2007,191.0,0.9,Data not available.
Total - Female,Femmale,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
Total - Female,Fmale,"American Indian/Alaska Native, non-Hispanic",2009,190.0,1.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2011,187.0,0.9,Data not available.
Total - Female,emale,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2013,184.0,0.9,Data not available.
Total - Male,Female,"White, non-Hispanic",2000,182.0,5.2,Data not available.
Total,Female,"White, non-Hispanic",2001,169.0,0.6,Data not available.
Total - Male,Female,"White, non-Hispanic",2002,195.0,0.8,Data not available.
Total - Female,Female,"White, non-Hispanic",2003,194.0,0.7,Data not available.
Total - Male,Female,"White, non-Hispanic",2004,169.0,0.6,Data not available.
Total - Female,Female,"White, non-Hispanic",2005,199.0,0.7,Data not available.
Total,Female,"White, non-Hispanic",2006,169.0,0.6,Data not available.
Total - Male,Female,"White, non-Hispanic",2007,200.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,169.0,0.6,Data not available.
Total - Male,Female,"White, non-Hispanic",2009,200.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,169.0,0.6,Data not available.
Total,Female,"White, non-Hispanic",2011,197.0,0.6,Data not available.
Total - Female,Female,"White, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - White, non-Hispanic",Femlale,"Whie, non-Hispanic",2013,196.0,0.7,Data not available.
Total,Female,"Black, non-Hispanic",2000,143.0,10.8,Data not available.
Total - Female,Female,"Black, non-Hispanic",2001,169.0,0.6,Data not available.
Total,Female,"Black, non-Hispanic",2002,170.0,1.9,Data not available.
Total,Female,"Black, non-Hispanic",2003,165.0,1.1,Data not available.
Total - Female,Female,"Black, non-Hispanic",2004,169.0,0.6,Data not available.
Total - Male,Female,"Black, non-Hispanic",2005,171.0,1.2,Data not available.
Total,Female,"Black, non-Hispanic",2006,169.0,0.6,Data not available.
Total,Female,"Black, non-Hispanic",2007,172.0,1.0,Data not available.
Total,Female,"Black, non-Hispanic",2008,169.0,0.6,Data not available.
Total - Male,Female,"Black, non-Hispanic",2009,172.0,1.2,Data not available.
Total,Female,"Black, non-Hispanic",2010,169.0,0.6,Data not available.
Total,Female,"Black, non-Hispanic",2011,169.0,1.0,Data not available.
Total - Male,Female,"Black, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Male,Female,"Black, non-Hispanic",2013,168.0,1.0,Data not available.
Total - Male,Female,Hispanic,2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2001,169.0,0.6,Data not available.
Total,Female,Hispanic,2002,174.0,2.3,Data not available.
Total,Female,Hispanic,2003,172.0,1.5,Data not available.
Total,Female,Hispanic,2004,169.0,0.6,Data not available.
Total - Hispanic,Femmale,Hisqpanic,2005,176.0,1.2,Data not available.
Total - Female,Female,Hispanic,2006,169.0,0.6,Data not available.
Total - Female,Female,Hispanic,2007,173.0,1.2,Data not available.
Total - Female,Female,Hispanic,2008,169.0,0.6,Data not available.
Total - Male,Female,Hispanic,2009,170.0,1.7,Data not available.
Total,Female,Hispanic,2010,169.0,0.6,Data not available.
Total,Female,Hispanic,2011,171.0,1.4,Data not available.
Total,Female,Hispanic,2012,169.0,0.6,Data not available.
Total,Female,Hispanic,2013,166.0,1.1,Data not available.
Total - Male,Female,"Asian, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2001,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2002,193.0,3.4,Data for 2000 through 2009 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2003,192.0,3.1,Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2005,198.0,2.8,Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2006,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2007,195.0,3.4,Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2008,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2009,199.0,2.5,Data for 2000 through 2009 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2010,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2011,199.0,4.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - White, non-Hispanic",Female,"Asian, non-Hispanic",2012,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2013,195.0,3.0,Data for 2000 through 2009 include Pacific Islanders.
Total - Female,Female,"Pacific Islander, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,169.0,0.6,Data not available.
Total - Female,Female,"Pacific Islander, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Fegmale,"Pacific Islandemr, non-Hispanic",2003,169.0,0.6,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2004,169.0,0.6,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2005,169.0,0.6,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2006,169.0,0.6,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2007,169.0,0.6,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2008,169.0,0.6,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2009,169.0,0.6,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2010,169.0,0.6,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2011,162.0,7.8,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2013,160.0,7.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",eFmale,"AmericanI ndian/Alaska Native, non-Hispanic",2002,171.0,3.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Fmale,"American nIdian/Alaska Native, non-Hispanic",2003,166.0,2.9,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",bFemale,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femalne,"American Indian/Alaska Native,q non-Hispanic",2005,172.0,3.0,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femae,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",emale,"Amerian Indian/Alaska Native, non-Hispanic",2007,168.0,3.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American tIndian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Fetmale,"American Indian/Alaska Native, non-Hispainc",2009,175.0,3.8,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Fmale,"yAmerican Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Natikve, non-Hispanic",2011,170.0,3.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Fepmale,"American Indian/Alaska Nativei, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femagle,"American Indian/Alcaska Native, non-Hispanic",2013,169.0,4.2,Data not available.
Total,Female,"Two or more races, non-Hispanic",2000,169.0,0.6,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2001,169.0,0.6,Data not available.
Total - Female,Female,"Two or more races, non-Hispanic",2002,169.0,0.6,Data not available.
Total,Female,"Two or more races, non-Hispanic",2003,169.0,0.6,Data not available.
Total,Female,"Two or more races, non-Hispanic",2004,169.0,0.6,Data not available.
Total,Female,"Two or more races, non-Hispanic",2005,169.0,0.6,Data not available.
Total,Female,"Two or more races, non-Hispanic",2006,169.0,0.6,Data not available.
Total,Female,"Two or more races, non-Hispanic",2007,169.0,0.6,Data not available.
Total,Female,"Two or more races, non-Hispanic",2008,169.0,0.6,Data not available.
Total,Female,"Two or more races, non-Hispanic",2009,169.0,0.6,Data not available.
Total,Female,"Two or more races, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Female,Female,"Two or more races, non-Hispanic",2011,189.0,3.3,Data not available.
Total,Female,"Two or more races, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Female,Female,"Two or more races, non-Hispanic",2013,183.0,2.9,Data not available.
Total,Male,"White, non-Hispanic",2000,178.0,5.8,Data not available.
Total - Female,Male,"White, non-Hispanic",2001,169.0,0.6,Data not available.
Total - Female,Male,"White, non-Hispanic",2002,194.0,0.9,Data not available.
Total - Female,Male,"White, non-Hispanic",2003,193.0,0.8,Data not available.
Total,Male,"White, non-Hispanic",2004,169.0,0.6,Data not available.
Total,Male,"White, non-Hispanic",2005,199.0,0.8,Data not available.
Total - Female,Male,"White, non-Hispanic",2006,169.0,0.6,Data not available.
Total,Male,"White, non-Hispanic",2007,200.0,0.6,Data not available.
Total,Male,"White, non-Hispanic",2008,169.0,0.6,Data not available.
Total - Male,Male,"White, non-Hispanic",2009,200.0,0.9,Data not available.
Total,Male,"White, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Male,Male,"White, non-Hispanic",2011,197.0,0.7,Data not available.
Total,Male,"White, non-Hispanic",2012,169.0,0.6,Data not available.
Total,Male,"White, non-Hispanic",2013,196.0,0.8,Data not available.
Total,Male,"Black, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Male,"Black, non-Hispanic",2001,169.0,0.6,Data not available.
Total - Male,Male,"Black, non-Hispanic",2002,168.0,2.3,Data not available.
Total,Male,"Black, non-Hispanic",2003,163.0,1.2,Data not available.
Total - Female,Male,"Black, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2005,169.0,1.5,Data not available.
Total,Male,"Black, non-Hispanic",2006,169.0,0.6,Data not available.
Total,Male,"Black, non-Hispanic",2007,171.0,1.3,Data not available.
"Total - Male, Black, non-Hispanic",Mle,"Black,n on-Hispanic",2008,169.0,0.6,Data not available.
Total - Male,Male,"Black, non-Hispanic",2009,172.0,1.6,Data not available.
Total - Male,Male,"Black, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Male,Male,"Black, non-Hispanic",2011,168.0,1.1,Data not available.
Total - Female,Male,"Black, non-Hispanic",2012,169.0,0.6,Data not available.
Total,Male,"Black, non-Hispanic",2013,167.0,1.2,Data not available.
Total,Male,Hispanic,2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Male,Hispanic,2001,169.0,0.6,Data not available.
Total,Male,Hispanic,2002,173.0,2.9,Data not available.
Total - Male,Male,Hispanic,2003,169.0,1.9,Data not available.
Total,Male,Hispanic,2004,169.0,0.6,Data not available.
Total,Male,Hispanic,2005,176.0,1.5,Data not available.
Total - Male,Male,Hispanic,2006,169.0,0.6,Data not available.
Total - Male,Male,Hispanic,2007,172.0,1.4,Data not available.
Total - Male,Male,Hispanic,2008,169.0,0.6,Data not available.
Total - Male,Male,Hispanic,2009,169.0,1.9,Data not available.
Total,Male,Hispanic,2010,169.0,0.6,Data not available.
Total,Male,Hispanic,2011,171.0,1.7,Data not available.
Total - Male,Male,Hispanic,2012,169.0,0.6,Data not available.
Total,Male,Hispanic,2013,166.0,1.5,Data not available.
Total,Male,"Asian, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - White, non-Hispanic",Male,"Asian, non-Hispanic",2001,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Male,"Asian, non-Hispanic",2002,191.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2003,186.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Male,"Asian, non-Hispanic",2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Male,"Asian, non-Hispanic",2005,195.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Male,"Asian, non-Hispanic",2006,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2007,190.0,3.1,Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2008,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2009,191.0,3.3,Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2010,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Female,Male,"Asian, non-Hispanic",2011,195.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2012,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2013,194.0,3.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - White, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,169.0,0.6,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2001,169.0,0.6,Data not available.
Total - Female,Male,"Pacific Islander, non-Hispanic",2002,169.0,0.6,Data not available.
Total - Female,Male,"Pacific Islander, non-Hispanic",2003,169.0,0.6,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2004,169.0,0.6,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2005,169.0,0.6,Data not available.
Total - Male,Male,"Pacific Islander, non-Hispanic",2006,169.0,0.6,Data not available.
Total - Female,Male,"Pacific Islander, non-Hispanic",2007,169.0,0.6,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2008,169.0,0.6,Data not available.
Total - Male,Male,"Pacific Islander, non-Hispanic",2009,169.0,0.6,Data not available.
Total - Female,Male,"Pacific Islander, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Male,Male,"Pacific Islander, non-Hispanic",2011,163.0,9.9,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Female,Male,"Pacific Islander, non-Hispanic",2013,149.0,5.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mle,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,168.0,4.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Aalska Native, non-Hispanic",2003,166.0,3.8,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mvale,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, on-Hispanic",2005,172.0,3.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Maxle,"American Indian/Alaska Naive, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",ale,"American Indian/laska Native, non-Hispanic",2007,169.0,3.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",aMle,"American Indiaan/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - White, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,178.0,5.3,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mxale,"AmericanIndian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mae,"American Ijndian/Alaska Native, non-Hispanic",2011,169.0,4.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mle,"American Indian/Alaska Nativev, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mael,"American India/nAlaska Native, non-Hispanic",2013,177.0,5.5,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",ale,"Two ormore races, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Malle,"Two or more races, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, nonH-ispanic",2003,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Meale,"Two or more races, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Marle,"Two or hmore races, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two mor more races, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Malte,"Two or more races, non-Higspanic",2007,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Malje,"Two or more races, non-sHispanic",2008,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two ori more races, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Maele,"Two or more races, non-Hispanc",2010,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mlae,"Two or morew races, non-Hispanic",2011,191.0,3.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Msale,"Two or more races, non-Hisapnic",2012,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",ale,"Two or omre races, non-Hispanic",2013,183.0,3.5,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2000,188.0,9.0,Data not available.
"Total - Female, White, non-Hispanic",Feqmale,"White, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Femle,"White, non-Hispanic",2002,197.0,1.3,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, nhon-Hispanic",2003,197.0,1.2,Data not available.
"Total - Female, White, non-Hispanic",Fmale,"Whitne, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hipsanic",2005,199.0,0.9,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanc",2006,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Femael,"White, non-Hispanic",2007,200.0,1.0,Data not available.
"Total - Female, White, non-Hispanic",hFemale,"zWhite, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Femle,"White, non-Hisptanic",2009,201.0,1.0,Data not available.
"Total - Female, White, non-Hispanic",eFmale,"White, non-Hspanic",2010,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Femlae,"White, non-Hispanic",2011,197.0,1.0,Data not available.
"Total - Female, White, non-Hispanic",Femalme,"White, lnon-Hispanic",2012,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Femaule,"White, non-Hispanci",2013,195.0,1.1,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Femae,"Black, non-Hispanic",2002,173.0,2.1,Data not available.
"Total - Female, Black, non-Hispanic",Fejmale,"Black, non-Hispainc",2003,168.0,1.9,Data not available.
"Total - Female, Black, non-Hispanic",Female,"lack, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",emale,"tBlack, non-Hispanic",2005,175.0,1.7,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Femalme,"Black, non-Hispanic",2007,175.0,1.7,Data not available.
"Total - Female, Black, non-Hispanic",Femalde,"Black, non-Hispani",2008,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Femae,"Black ,non-Hispanic",2009,173.0,1.8,Data not available.
"Total - Female, Black, non-Hispanic",Femlale,"Black, no-Hispanic",2010,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Femalbe,"Black, nnon-Hispanic",2011,171.0,1.6,Data not available.
"Total - Female, Black, non-Hispanic",Femael,"Black, non-Hispanizc",2012,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Femlae,"Black, no-Hispanic",2013,169.0,1.7,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",gFemale,Hispaic,2001,169.0,0.6,Data not available.
"Total - Female, Hispanic",Femael,Hispanic,2002,176.0,4.2,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2003,176.0,2.3,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2004,169.0,0.6,Data not available.
"Total - Female, Hispanic",yFemale,iHispanic,2005,176.0,1.7,Data not available.
"Total - Female, Hispanic",Femalqe,Hispnaic,2006,169.0,0.6,Data not available.
"Total - Female, Hispanic",Femawle,Hispanuic,2007,175.0,2.0,Data not available.
"Total - Female, Hispanic",emale,Hispaic,2008,169.0,0.6,Data not available.
"Total - Female, Hispanic",Fuemale,iHspanic,2009,170.0,2.7,Data not available.
"Total - Female, Hispanic",emale,Hspanic,2010,169.0,0.6,Data not available.
"Total - Female, Hispanic",Felmale,Hispanci,2011,171.0,2.3,Data not available.
"Total - Female, Hispanic",Femae,Hispanc,2012,169.0,0.6,Data not available.
"Total - Female, Hispanic",Fmale,Hispanci,2013,166.0,2.5,Data not available.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asain, non-Hispanic",2001,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,198.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femle,"Asian, nonk-Hispanic",2003,202.0,4.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",emale,"Asian, non-Hispanic",2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femle,"Asian, non-Hispnic",2005,201.0,4.8,Data for 2000 through 2009 include Pacific Islanders.
