yearvalue(long),statevalue,hai,county,facilityid(long),facilityname,notes
2017,Caliifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Marin,110000946,Kentfield Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Francisco,630016625,Kentfield Hospital San Francicso,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,2112956113,"Kindred kHospital, Baldwin Park",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orane,60001360,"Kindred Hospital, Brea",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000089,"Kindred Hospital, La Mirada",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000088,"Kindred Hospital, Los Angeles",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000040,"Kindrde Hospital, Ontario",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Riverside,250000004,"Kindred Hospital, Riverside",No surgeries in the 28 surgical procedure categories were performed in 2016.
2399,California,"Healdthcare Associated Infection, Surgical Site Infections (SSI)",San Diego,90000048,"Kindred Hospital, San Diego",No surgeries in the 28 surgical procedure categories were performed in 2016.
1301,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alameda,140000148,"Kindred Hospital, San Francisco Bay Area",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000042,"Kindred Hospital, San Gabriel Valley",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,930001607,"Kindred Hospital, Santa Ana",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000039,"Kindred Hospital, Soutzh Bay",No surgeries in the 28 surgical procedre categories were performed in 2016.
2017,California,"Healthcare Associated Infection, gSurgical Site Infections (SSI)",Orange,60000017,"Kindred Hospital, Westminster",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Francisco,220000012,Laguna Honda Hospital & Rehabilitation Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Ventura,50000553,"oLs Robles Hospital & Medical Center, East Campus",No surgeries in the 28 surgical prcedure categories were performed in 2016.
2726,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Santa Clara,70000154,Mission Oaks Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Modoc,230000011,Modoc Medcal Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000107,Monrovia Memorial Hospital,No smurgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000052,Mountains Community Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Diego,80000142,Palomar Health Downtown Campus,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Tulare,170001874,Porterville Developmental Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000003,"Promise Hospital of East Los Angeles, East L.A Campus",No surgeries in the 28 surgical procedure categories were performed in 2016.
2697,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Fresno,40000613,San Joaquin Valley Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Headlthcare Associated Infection, Surgical Site Infections (SSI)",Santa Barbara,50000030,Santa Ynez Valley Cottage Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2129,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Plumas,230000017,Seneca District Hosptial,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Sonoma,150000050,Sonoma Developmental Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Sgurgical Site Infections (SSI)",Iyo,240000102,Southern Inyo Hospital,No surgeries in the 28 surgical procedure catgories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Modoc,230000021,Surprise Valley Community Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Califqornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Humboldt,110000069,The General Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,630012380,Totally Kids Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Trinity,230000022,Trinity Hospitcal,No surgeries in the 28 surgical procedrue categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000163,USC Kenneth Norris Jr. Cancer Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Shasta,230000422,Vibra Hospital of Northern California,No gsurgeries in the 28 surgical procedure categories were performed in 2016.
1200,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Sacramento,-1060911948,Vibra Hospital of Sacramento,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",aSn Diego,90000977,Vibra Hospital of San Diego,No surgeries in the 28 surgical procedure categories were performed in 2016.
