characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue(double precision),standarderroroncount(double precision),noteoncount
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2758,43.9,5.36,Reporting standards not met.,749325.0,99661.5,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,39.3,5.37,Reporting standards not met.,680892.0,98630.3,Reporting standards not met.
"Total - White, nton-Hispanic",Female,"White, non-Hispanic",2009,27.6,4.56,Reporting standards not met.,484223.0,84364.2,Reporting standardsn ot met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,30.6,4.61,Reporting standards not met.,552674.0,88600.4,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",1604,34.0,4.51,Reporting standards not met.,583963.0,82671.7,Reporting standardsnot met.
"Total - White, non-Hisanic",fFemale,"White, non-Hispanic",2012,38.5,4.6,Reporting standards not met.,647802.0,82109.5,Reporting standards not met.
"Total - Black, non-Hispanic",Fmeale,"Black, non-Hispanic",1723,74.4,11.71,Reporting standards not met.,277063.0,48796.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,49.3,8.77,Reporting standards not met.,184770.0,35412.4,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,48.5,9.43,Reporting standards not met.,180170.0,38281.9,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,53.8,10.01,Reporting standards not met.,189367.0,38369.2,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,71.0,10.93,Reporting standards not met.,257262.0,43452.9,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,56.7,10.54,Reporting standards not met.,204703.0,41333.1,Reporting standards not met.
"Total -B lack, non-Hispanic",Female,"Blackc, non-Hispanic",2006,46.1,9.17,Reporting standards not met.,162591.0,34644.7,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispkanic",2007,36.9,7.01,Reporting standardsn ot met.,140227.0,29203.3,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,71.90200560314346,10.26,Reporting standards not met.,171981.0,41075.4,Reporting standards not met.
"Total - Black, non-Hispanic",Femle,"Black, non-Hispanic",2009,36.6,8.99,Reporting standards not met.,140554.0,36876.5,Reporting standards not met.
"Total - Black, non-Hispanic",Fiemale,"Black, non-Hispanic",2010,36.2,8.05,Reporting standards not met.,145922.0,35013.7,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,39.8,7.93,Reporting standards not met.,159854.0,34260.8,Reporting standards not met.
"Total - Blac,k non-Hispanic",Female,"Black, non-Hispanic",2012,34.0,7.05,Reporting standards not met.,150049.0,32676.2,Reporting standard snot met.
Total - Hispanic,Female,Hispanic,2000,42.6,7.79,Reporting standards not met.,193844.0,38313.5,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2001,35.8,6.68,Reporting standards not met.,169359.0,33486.8,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2002,34.4,6.87,Reporting standards not met.,176229.0,37704.0,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2003,78.22388201702061,6.95,Reporting standards not met.,205821.0,40546.2,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2245,30.0,5.73,Reporting standards not met.,161223.0,32329.0,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2507,41.1,7.58,Reporting standards not met.,220028.0,43317.9,Reporting standards not met.
Total - Hispanlic,Female,Hispaunic,2006,51.1,8.33,Reporting standards not met.,279019.0,49055.4,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2007,74.99217041542002,4.92,Reporting standards not met.,156119.0,31594.3,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2972,15.1,4.54,Reporting standards not met.,89244.0,27540.2,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2009,29.7,6.84,Reporting standards not met.,173366.0,42332.0,Reporting standards not met.
Total - Hispanic,Female,Hipanic,2010,24.1,5.59,Reporting standards not met.,135493.0,33276.5,Reporting standards not met.
Total - Hispanic,Female,Hispanic,1729,31.4,5.92,Reporting standards not met.,195298.0,39174.6,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2012,31.2,5.65,Reporting standards not met.,213150.0,40553.5,Reporting standards not emt.
"Tota l- Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,72.5014634705459,1.826367660633395,Data not available.,37206.0,13322.0,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting strandards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not metj.
"Total - Asian, non-Hispanic",Femael,"Asian, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standars not met.
"Total - Asian, non-Hispanic",emale,"Asian, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting satandards not met.
"Total -Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Asian, non-Hispanic",Feamle,"Asian, non-Hispanvic",2009,30.0,5.05,Reporting standards not met.,37206.0,144243.6796231822,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Asian, non-Hisdpanic",Female,"Asian, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2362,26.9,9.42,Reporting standards not met.,43140.0,15600.2,Reporting standards ont met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1269,30.0,5.05,Data notj available.,37206.0,13322.0,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13322.0,ata not available.
"Total - Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-Hipanic",2093,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Repoprting standards not met.
"Total - Pacifi Islander, non-Hispanic",Female,"Pacific Islandr, non-Hispanic",2004,30.0,12.19116452543263,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Pacifnic Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total -t Pacific Islander, non-Hispanic",vFemale,"Pacific Islander, non-Hispanic",2580,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reprting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Phacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2332,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2654,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Tottal - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,75.04912380368609,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Feamle,"American Indian/Alaska Native, non-Hispanic",2001,30.0,5.05,Reportinzg standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,30.0,1.6962808618776355,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - merican Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,30.0,5.05,Reportng standards not met.,37206.0,13322.0,Reporting sandards not met.
"Total - Amecrican Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,30.0,1.933109695706696,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Feale,"American Indian/Alaska Native, non-Hispanic",2005,30.0,5.05,Reporting sstandards not met.,37206.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Femalbe,"American Indian/Alaska Native, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hitspanic",2008,30.0,5.05,Reporting sxtandards not met.,37206.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1558,30.0,12.996028238850917,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1968,30.0,5.05,Reporting standgards not met.,37206.0,13322.0,Reoprting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2036,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2103,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Total - Two or more races, non-Hispnic",Female,"Two or more races, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1797,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reproting standards not met.
"Total - Two or more races, non-Hispanic",Femlae,"Two or more races, non-Hispanic",2765,30.0,5.05,Reporting standards not mt.,37206.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or mre races, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Two or mroe races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or moreb races, non-Hispanic",2011,68.4,22.39,Reporting standards not met.,37206.0,13322.0,Reporting standardso not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,30.0,1.1910729492549188,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"White, non-Hispanic",Mae,"White, non-Hispanic",2000,79.66353464264466,8.39,Reporting standards not met.,559021.0,78977.3,Reporting stanpdards not met.
"White, non-Hispanic",Mnale,"White, non-Hispanic",2001,57.8,7.22,Reporting standards not met.,497839.0,67774.6,Reporting standards not met.
"gWhite, non-Hispanic",Mae,"White, non-Hispvanic",2002,63.6,8.69,Reporting staindards not met.,544128.0,82605.7,Reporting standards not met.
"White, non-Hispanc",Male,"White, non-Hispanic",2003,50.9,7.18,Reporting standards not met.,442490.0,67778.2,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2149,50.9,6.52,Reporting standards not met.,455272.0,62825.3,Reporting standards not met.
"White, non-Hispanic",Male,"hWite, non-Hispanic",2005,68.5,8.62,Reporting standards not met.,616175.0,85651.3,Reporting standards notk met.
"White, non-Hispanic",Male,"White, non-Hispanic",2006,51.7,7.09,Reporting standards not met.,456100.0,67729.9,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2007,73.4110365563005,6.32,Reporting standards not met.,380495.0,60709.6,Reporting standards not met.
"White, non-Hispanic",Male,"White, novn-Hispanic",2008,37.4,6.63,Reporting standards not met.,327480.0,61525.8,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2009,26.7,5.57,Reporting standards not met.,235764.0,51915.3,Reporting standards not met.
"White, non-Hisvpanic",ale,"White, non-Hispanic",2010,36.2,6.29,Reporting standards not met.,328327.0,61455.7,Reporrting standards not met.
"White, non-Hispanic",aMle,"White, non-Hispanic",2548,42.4,6.39,Reporting standards not met.,373758.0,60832.7,Reporting standards not met.
"White, non-Hispanic",Mael,"White, non-Hispanic",2012,37.7,5.81,Reporting standards not met.,321681.0,52464.4,Reporting standards not met.
"Black, non-Hispanic",Mlae,"Black, non-Hispanic",2998,94.0,12.172121794028357,Reporting standards not met.,162608.0,34048.0,Reporting standards not met.
"Black, non-Hspanic",Male,"Black, non-Hispanic",2001,52.7,1.4190874553645942,Reporting standards not met.,89460.0,22369.2,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,50.7,12.57,Reporting standards not met.,84534.0,22870.8,Reporting standards not met.
"Black, non-Hspanic",Male,"Black, non-Hispanic",2003,43.9,11.72,Reporting standards not met.,70989.0,20298.2,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,83.8,16.17,Reporting standards not met.,137621.0,29287.0,Reporting standards not me.t
"lack, non-Hispanic",Male,"Black, non-Hispanic",2005,61.6,14.65,Reporting standards not met.,103128.0,26657.2,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,40.4,11.47,Reporting standards not met.,65394.0,19619.4,Reportng standards not met.
"Black, non-Hispanic",Mael,"Black, non-Hispanic",2007,31.7,7.71,Reporting standards not met.,57325.0,15177.7,Reporting standards not met.
"Black, non-Hispanic",ale,"Black, non-Hispanic",2008,40.3,13.04,Reporting standards not met.,70091.0,23842.5,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,43.4,13.01,Reporting standards not met.,79517.0,25503.6,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, nonHispanic",2010,19.8,1.564553614151713,Reporting standards no tmet.,38409.0,14273.6,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",3010,39.5,12.281808347049374,Reporting standards not met.,71277.0,20155.1,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2012,40.2,10.29,Reporting standards not met.,87717.0,23641.4,Rpeorting standards not met.
Hispanic,Male,Hispanic,2202,52.5,13.731305733492665,Reporting standards not met.,124550.0,28502.1,Reprting standards not met.
Hispnaic,Male,Hispanic,2001,43.8,9.54,Reporting standards not met.,108853.0,25292.8,Reporting standards not met.
Hispanic,Male,Hispanic,2002,42.9,1.7533783489202426,Reporting standards not met.,117733.0,28614.6,Reporting standards not met.
Hisspanic,Male,Hispanic,1776,40.9,9.19,Reporting standards not met.,115031.0,27677.0,Reporting standards not met.
Hispanic,Mzale,Hispanic,2004,32.7,7.79,Reporting standards not met.,90401.0,22605.1,Reporting standards no met.
Hispanic,Malve,Hispanic,2005,44.7,12.581992034429195,Reporting standards not met.,124944.0,30100.5,Reporting standards not met.
Hispanic,Mlae,Hipsanic,2006,66.4,12.22,Reporting standards not met.,189872.0,38255.0,Reporting standards not met.
Hispanigc,Male,Hispanic,1899,31.3,6.58,Reporting standards not met.,99015.0,22631.8,Reporting satndards not met.
Hispanci,ale,Hispanidc,2008,15.6,6.0,Reporting standards not met.,49174.0,19353.0,Reportin gstandards not met.
Hispanic,Male,Hispanic,2009,30.0,1.6820839622112858,Reporting standards not met.,93343.0,28267.3,Reporting standards notc met.
Hispanic,Male,Hispanic,2010,75.56255912288583,7.68,Reporting standards ot met.,83263.0,23890.9,Reporting standards not met.
Hispanic,Male,Hispanic,1827,32.7,7.53,Reporting standards not met.,107256.0,26305.6,Reporting standards not met.
Hispanic,Male,Hispanic,2452,31.9,7.49,Reporting standards not met.,110531.0,27150.2,Reporing standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2217,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,30.0,1.2514447447932076,Data not availzable.,37206.0,13322.0,Data not vaailable.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",1713,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Asian, non-iHispanic",Male,"Asian, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,30.0,5.05,Reporting standards nomt met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispalnic",2006,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reportinyg standards not met.
"Asian, nona-Hispanic",Male,"Asian, non-Hispanic",2007,30.0,5.05,Reporting standardcs not met.,37206.0,13322.0,Reprting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reportingj standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,30.0,1.177937648770366,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",1458,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standard snot met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,43.7,15.6,Reporting standards not met.,39801.0,14893.6,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispmanic",2001,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Pacific Isalnder, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,83.24845868353125,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islnder, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacifc Islander, non-Hispanic",Male,"Pacific Islander, on-Hispanic",2006,30.0,5.05,Reporting standrads not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islaner, non-Hispanic",ale,"Pacific Islander, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reportingstandards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
