AGENCY NO,STATE AGENCY,PROPERTY CLASSIFICATION,TYPE OF PROPERTY,NAME OF BUILDING,PHYSICAL ADDRESS,CITY,COUNTY,YEAR PROPERTY ACQUIRED,PURPOSE - BUILDING,SECTION,TOWNSHIP,RANGE,LEGAL DESCRIPTION,SQUARE FEET OF STRUCTURE (NUMBER ONLY),ACRES ASSOCIATED WITH A STRUCTURE (NUMBER ONLY),ADDITIONAL DESCRIPTION OF SIZE/SPACE (TEXT AND NUMBER),LIST VALUE,ADDITIONAL DESCRIPTION OF LIST VALUE,% OF PROPERTY BEING UTILIZED,YEAR BUILT,OCCUPANCY RATE OF THE BUILDING,ADDITIONAL DESCRIPTION OF OCCUPANCY RATE,STATE EMPLOYEES AT THIS LOCATION (FTE) NUMBER ONLY,ADDITIONAL DESCRIPTION OF FTE,% OCCUPIED BY THE STATE,ADDITIONAL DESCRIPTION OF % OCCUPIED BY STATE,% OF THE BUILDING BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % BUILDING LEASED OR SUBLEASED,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY - BUILDING",ACRES,ACRES USED BY STATE,ADDITIONAL DESCRIPTION OF ACRES (TEXT AND NUMBER),PURPOSE - LAND,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY - LAND",% OF ACRES OF THE LAND BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % LAND LEASED OR SUBLEASED,VACANT SQUARE FOOTAGE,LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES,LISTED WITH THE NATIONAL TRUST FOR  HISTORIC PRESERVATION,PROPERTY IS OF POTENTIAL HISTORIC SIGNIFICANCE,RISK MGMT #,AGENCY INVENTORY ID,ESTIMATED VALUE
830,HUMAN SERVICES DEPARTMENT,OWNED,CLIENT ADVOCACY,"NORC, DELTA HOUSE",2504 DELAWARE,ENID,GARFIELD,1950,VACANT,33,23N,6W,,"1,883",640,,"BUILDING REPLACEMENT 338,940      TOTAL NORCE LAND ESTIMATED 1,600,000",,0,1950,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,1883,,,,830-13684,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,RESIDENT HOUSING,"NORC, COTTAGE #1",2804 CHEROKEE CIRCLE,ENID,GARFIELD,2010,VACANT,33,23N,6W,,"5,740",640,,"BUILDING REPLACEMENT 1,469,440   TOTAL NORCE LAND ESTIMATED 1,600,000",,0,2010,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,5740,,,,830-14549,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,RESIDENT HOUSING,"NORC, COTTAGE #2",2802 CHEROKEE CIRCLE,ENID,GARFIELD,2010,VACANT,33,23N,6W,,"5,740",640,,"BUILDING REPLACEMENT $1,469,440   TOTAL NORCE LAND ESTIMATED $1,600,000",,0,2010,0,,59,TOTAL NORCE FTE 59,0,,,,DAILY,,,,,,,,5740,,,,830-14550,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,HORTICULTURE,"NORC, GREENHOUSE (3)",2707 CHEROKEE,ENID,GARFIELD,1950,VACANT,33,23N,6W,,"5,004",640,,"BUILDING REPLACEMENT 500,400       TOTAL NORCE LAND ESTIMATED 1,600,000",,0,1950,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,5004,,,,830-03010,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,LAUNDRY,"NORC, LAUNDRY",2601 CHEROKEE,ENID,GARFIELD,1972,VACANT,33,23N,6W,,"10,611.80",640,,"BUILDING REPLACEMENT 1,061,180      TOTAL NORCE LAND ESTIMATED 1,600,000",,0,1972,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,10612,,,,830-03026,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,OFFICE BUILDING,"NORC, PROFESSIONAL SVC (FERN)",2530 CHOCTAW,ENID,GARFIELD,1916,VACANT,33,23N,6W,,"12,677.10",640,,"BUILDING REPLACEMENT 2,281,878   TOTAL NORCE LAND ESTIMATED 1,600,000",,0,1916,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,12677,,,,830-02978,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,RECREATION,"NORC, SWIMMING POOL",2530 CHEROKEE,ENID,GARFIELD,1980,VACANT,33,23N,6W,,"14,803",640,"POOL 5,000 SF","POOL 320,000                                                    STRUCTURE 1,480,300   TOTAL NORCE LAND ESTIMATED 1,600,000",,0,1980,0,,59,TOTAL NORCE FTE 59,0,,,,DAILY,,,,,,,,"POOL 5,OOO SF; 14,803 BUILDING",,,,830-02990,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,RESIDENT HOUSING,"NORC, OMEGA (HALF-WAY HOUSE)",2616 DELAWARE,ENID,GARFIELD,1971,VACANT,33,23N,6W,,"17,049.30",640,,"BUILDING REPLACEMENT 4,364,621    TOTAL NORCE LAND ESTIMATED 1,600,000",,0,1971,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,17049,,,,830-02979,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,RESIDENT HOUSING,"NORC, CANNA COTTAGE",2415 CHOCTAW,ENID,GARFIELD,1941,VACANT,33,23N,6W,,"18,174",640,,"BUILDING REPLACEMENT 4,652,544    TOTAL NORCE LAND ESTIMATED 1,600,000",,0,1941,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,18174,,,,830-02972,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,RESIDENT HOUSING,"NORTHERN OKLAHOMA RESOURCE CENTER (NORC), ELM COTTAGE",2815 CHOCTAW,ENID,GARFIELD,1951,VACANT,33,23N,6W,,"25,879.60",640,,"BUILDING REPLACEMENT 6,625,178      TOTAL NORCE LAND ESTIMATED 1,600,000",,0,1951,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,25880,,,,830-02966,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,RESIDENT HOUSING,"NORC, CHICKASAW (ROSE) COTTAGE",2401 CHICKASAW,ENID,GARFIELD,1951,VACANT,33,23N,6W,,"30,874.60",640,,"BUILDING REPLACEMENT 7,903,898  TOTAL NORCE LAND ESTIMATED 1,600,000",,0,1951,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,30875,,,,830-02977,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,EDUCATION/THERAPY,"NORC, BIKE SHOP 7 OLD CARPENTRY",2629 CREEK,ENID,GARFIELD,1926,VACANT,33,23N,6W,,"4,218",640,,"BUILDING REPLACEMENT 759,240       TOTAL NORCE LAND ESTIMATED 1,600,000",,0,1926,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,4218,,,,830-02995,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,CHAPEL/RECORDS,"NORC, PANSY COTTAGE",2510 CHICKASAW,ENID,GARFIELD,1932,VACANT,33,23N,6W,,"9,760.10",640,,"BUILDING REPLACEMENT 1,756,818   TOTAL NORCE LAND ESTIMATED 1,600,000",,0,1932,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,9760,,,,830-02976,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,RESIDENT HOUSING,"NORC, LILY",2526 CHICKASAW,ENID,GARFIELD,1926,VACANT,33,23N,6W,,"9,715",640,,"BUILDING REPLACEMENT 2,487,040   TOTAL NORCE LAND ESTIMATED 1,600,000",,0,1926,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,"9,517",,,,830-02975,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #6,,3748 N LINCOLN,OKLAHOMA CITY,OKLAHOMA,2000,VACANT LAND,15,12N,3W,,,,,"1,041,946.27",PURCHASE PRICE,0,,,,,,,,,,,7.92,,2 PARCELS,LINCOLN RENAISSANCE,,,,,,,,,,1379980
480,NORTHEASTERN OKLAHOMA A&M COLLEGE,OWNED,Education Building,Cinch Factory,820 N. Wilson,VINITA,CRAIG,2013,,15,25N,20E,,"87,252",12.39,,"5,100,000.00",,0,1975,0,,,,0,,,,DAILY,,,,,,,,87252,,,,480-13830,,1250000
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #3,,NE 30TH AND N LINCOLN BLVD,OKLAHOMA CITY,OKLAHOMA,2001,VACANT LAND,22,12N,3W,,,,,,,0,,,,,,,,,,,5.8816,,8 PARCELS,LINCOLN RENAISSANCE,,,,,,,,,,1024808
650,VETERANS AFFAIRS,OWNED,LAND,,10014 SE 1138TH AVENUE,TALIHINA,LATIMER,,VACANT,,,,,,,,,,0,,,,,,,,,,,600,,,VACANT LAND,,,,,,,,,,900000
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #9,,3821 N LINCOLN,OKLAHOMA CITY,OKLAHOMA,2000,VACANT LAND,15,12N,3W,,,,,"1,398,979.85",PURCHASE PRICE,0,,,,,,,,,,,3.3890,,14 PARCELS,LINCOLN RENAISSANCE,,,,,,,,,,590499
830,HUMAN SERVICES DEPARTMENT,OWNED,RECYCLE CENTER,"NORC,  RECYCLING CENTER",730 SOUTH 9TH ST,ENID,GARFIELD,2009,VACANT,,,,,"32,155",3.69,,"BUILDING REPLACEMENT 3,215,500       LAND VALUE APPRAISED 22,140",,0,2009,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,32155,,,,830-14546,,335000
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,OFFICE BUILDING,GRIFFIN MEMORIAL HOSPITAL,"900 EAST MAIN STREET, BLDG 40",NORMAN,CLEVELAND,1972,VACANT OFFICE- DAMAGED IN STORM-CURRENTLY UNDER RENOVATIONS,29,9N,2W,"NE/4 OF SECTION 29, T9N, R2W",25102,2.49,,,,0,1972,0,,,,0,,,,,,,,,,,,,,,,452-04560,,325393
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,FORMER COUNTRY MANOR,NO PHYSICAL ADDRESS TO MAP,TULSA,TULSA,6+,VACANT LAND NEAR TULSA WOMEN AND CHILDREN'S CENTER,20,20N,13E,"N/2, NW/4, SECTION 20, T20N, R13E",,,,,,0,,,,,,,,,,,5.29,0,,VACANT LAND,,,,,,,,,,320000
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #4,,3312 N LINCOLN,OKLAHOMA CITY,OKLAHOMA,2000,VACANT LAND,22,12N,3W,,,,,"183,500",PURCHASE PRICE,0,,,,,,,,,,,1.673,,2 PARCELS,LINCOLN RENAISSANCE,,,,,,,,,,291504
978,TURNPIKE AUTHORITY,OWNED,LAND,,WILL ROGERS TURNPIKE,,ROGERS,1956,RIGHT-OF-WAY DECLARED AS SURPLUS ON 8/27/13,"29,31,32",20N,15E,,,,,"290,700",,0,,,,,,0,,,,,34.02,,,,,,,,,,,,,290700
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #2,,3000 LINCOLN,OKLAHOMA CITY,OKLAHOMA,2010,LINCOLN RENAISSANCE,22,12N,3W,,,,,,,0,,,,,,,,,,,1.3618,,5 PARCELS,LINCOLN RENAISSANCE,,,,,,,,,,237280
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #8,,3701 N LINCOLN,OKLAHOMA CITY,OKLAHOMA,2000,VACANT LAND,15,12N,3W,,,,,"527,021.39",PURCHASE PRICE,0,,,,,,,,,,,1.3155,,5 PARCELS,LINCOLN RENAISSANCE,,,,,,,,,,229213
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,FORMER GRIFFIN MEMORIAL HOSPITAL -WHITE HOUSE,900 EAST MAIN STREET,NORMAN,CLEVELAND,,LAND-OFFICE DEMOLISHED 2014,29,9N,2W,"NE/4 OF SECTION 29, T9N, R2W",,1.70,,,,0,,,,,,100,,,,,,,,VACANT LAND,,,,,,,,452-11097,,222156
150,UNIVERSITY OF SCIENCE AND ARTS,OWNED,RESIDENCE HALL,WILLARD HALL,1876 S. 17TH,CHICKASHA,GRADY,1919,VACANT RESIDENCE HALL,32,7N,7W,,"36,324",,,"2,000,000",,0,1919,,,,,0,,,,,,,,,,,,36324,yes,,,150-01193,,181620
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,CHAPEL,GRIFFIN MEMORIAL HOSPITAL,"900 EAST MAIN STREET, BLDG 30",NORMAN,CLEVELAND,1936,CHAPEL,29,9N,2W,"NE/4 OF SECTION 29, T9N, R2W",19500,1.38,,,,0,1936,0,,,,100,,,,,,,,,,,,,,,yes,452-11096,,180338
120,UNIVERSITY OF CENTRAL OKLAHOMA,OWNED,ACADEMIC BUILDING,OLD NORTH,"100 NORTH UNIVERSITY DRIVE EDMOND, OK 73034",EDMOND,OKLAHOMA,1893,OFFICE SPACE/CLASSROOMS,25,14,3WIM,,"35,821",,,"6,556,902.68",,0,1893,,TEMPORARILY CLOSED FOR MAJOR RENOVATIONS CONSTRUCTION IS IN TWO PHASES-FIRST PHASE COMPLETE,,WAS 88  UNTIL CLOSED,100,,,,DAILY,,,,,,,,,yes,,yes,120-00884,,175000
485,NORTHEASTERN STATE UNIVERSITY,OWNED,OFFICE BUILDING,SPRING STREET PROPERTY,113 SPRING STREET,TAHLEQUAH,CHEROKEE,2013,OFFICE SPACE,28,17N,22E,,"10,700",,,138000,,0,1958,0,,,,0,,,,,,,,,,,,,,,,485-14552,Bldg #96,152000
531,ROSE STATE COLLEGE,OWNED,LAND,,NE 10TH AND MIDWEST BLVD,MIDWEST CITY,OKLAHOMA,2012,VACANT LAND,26,12N,2WIM,,,,VACANT LAND,"1,625,576",,0,,,,,,0,VACANT LAND,,,,37.85,,,EASEMENTS,VACANT LAND,,,,,,,,300778,151400
120,UNIVERSITY OF CENTRAL OKLAHOMA,OWNED,LAND,,"825/829 AYERS  EDMOND, OK 73034",EDMOND,OKLAHOMA,2011,TWO VACANT LOTS FOR FUTURE USE,25,14N,3W,,,,,"112,130",,0,,,,,,,,,,,0.4821,0.4821,,THIS LAND IS BEING HELD FOR FUTURE CAMPUS EXPANSION  CAN BE USED FOR TEMPORARY PARKING,,,,,,,,120-14112,,150000
