drawdate,winningnumbers,multiplier(double precision)
08/22/2020,19 30 36 42 66 14,3.0
11/28/2020,13 23 47 55 58 23,10.0
10/21/2020,05 12 34 45 56 03,3.0
11/11/2020,02 06 18 36 37 21,2.0
09/30/2020,06 10 31 37 44 23,3.0
12/12/2020,07 14 17 57 65 24,5.0
12/19/2020,06 24 30 53 56 19,3.0
07/29/2020,07 29 35 40 45 26,2.0
10/24/2020,05 21 36 61 62 18,2.0
11/25/2020,16 25 36 44 55 14,3.0
08/22/2020,03 10 34 36 62 05,2.0
09/26/2020,27 47 61 62 69 04,10.0
12/09/2020,14 19 61 62 64 04,2.0
10/17/2020,03 10 34 36 62 05,10.0
07/04/2020,06 24 30 53 56 19,2.0
11/11/2020,21 37 52 53 58 05,4.0
12/09/2020,10 31 41 63 67 05,2.0
10/17/2020,15 22 27 33 46 23,3.0
10/03/2020,10 31 41 63 67 05,3.0
09/30/2020,05 18 33 43 65 02,3.0
12/12/2020,02 57 58 60 65 26,3.0
10/17/2020,10 33 41 52 54 18,5.0
06/06/2020,18 31 36 43 47 20,2.0
10/10/2020,02 06 40 42 55 24,2.0
11/11/2020,13 32 41 58 60 14,0.2626412960075412
10/10/2020,38 58 59 64 68 21,3.0
11/14/2020,02 08 18 21 23 16,4.0
02/15/2020,06 13 38 39 53 06,2.0
10/10/2020,08 12 26 39 42 11,2.0
11/14/2020,08 12 19 47 58 02,3.0
11/11/2020,12 18 42 48 65 19,5.0
10/17/2020,05 18 23 40 50 18,4.0
10/21/2020,13 16 33 58 68 24,5.0
10/28/2020,02 20 49 61 67 20,2.0
09/26/2020,11 14 31 47 48 04,2.0
03/24/2021,03 43 45 61 65 14,5.0
10/21/2020,13 16 33 58 68 24,2.0
11/11/2020,10 12 33 36 41 02,3.0
11/25/2020,22 29 30 42 47 17,3.0
11/14/2020,13 15 17 45 63 13,3.0
10/17/2020,08 31 39 40 43 04,3.0
10/03/2020,33 35 45 48 60 16,2.0
09/26/2020,28 31 40 41 46 04,2.0
09/26/2020,05 09 27 39 42 16,2.0
09/26/2020,02 23 40 59 69 13,2.0
12/19/2020,13 15 17 45 63 13,4.0
10/03/2020,09 23 26 30 32 08,3.0
12/19/2020,05 11 51 56 61 02,4.0
09/30/2020,07 15 21 33 62 23,2.0
12/12/2020,18 43 58 60 68 14,0.4678143794333602
11/11/2020,24 44 46 50 51 13,3.0
11/25/2020,03 04 11 41 67 05,3.0
11/11/2020,25 37 39 61 62 11,3.0
02/15/2020,28 31 40 41 46 04,2.0
02/15/2020,07 29 35 40 45 26,3.0
10/07/2020,14 47 54 55 68 25,2.0
09/26/2020,35 49 50 59 66 06,2.0
10/17/2020,23 30 35 41 57 02,3.0
10/07/2020,12 33 54 57 60 13,4.0
11/11/2020,09 12 15 31 60 02,2.0
10/28/2020,02 09 17 36 67 18,2.0
10/03/2020,11 33 44 59 67 08,3.0
02/15/2020,22 29 30 42 47 17,2.0
03/03/2021,02 06 40 42 55 24,2.0
08/28/2019,12 18 42 48 65 19,2.0
10/10/2020,02 04 07 43 56 22,4.0
01/04/2020,34 38 42 61 62 19,2.0
02/15/2020,35 41 44 58 59 03,2.0
02/15/2020,03 10 34 36 62 05,2.0
03/03/2021,02 06 40 42 55 24,2.0
10/28/2020,19 31 35 50 67 14,2.0
02/15/2020,22 29 30 42 47 17,2.0
11/25/2020,03 06 12 32 64 19,3.0
11/14/2020,01 04 11 20 69 18,4.0
10/17/2020,13 15 17 45 63 13,3.0
10/24/2020,08 27 44 51 61 14,3.0
11/14/2020,07 15 18 32 45 20,4.0
10/10/2020,05 18 23 40 50 18,2.0
10/03/2020,28 35 38 61 66 23,3.0
11/20/2019,08 12 18 44 51 18,2.0
11/14/2020,14 22 26 55 63 26,3.0
11/14/2020,23 26 27 28 66 11,2.0
03/27/2021,04 33 43 53 65 21,2.0
10/03/2020,15 28 46 62 64 17,3.0
10/10/2020,11 21 27 36 62 24,2.0
01/16/2021,05 18 23 40 50 18,2.0
09/26/2020,03 20 48 54 59 04,4.0
09/30/2020,05 12 50 61 69 23,2.0
12/09/2020,14 27 29 59 65 12,2.0
09/26/2020,14 19 39 47 51 15,2.0
10/21/2020,10 33 41 52 54 18,2.0
10/07/2020,05 18 33 43 65 02,2.0
08/22/2020,01 02 39 43 66 02,2.0
01/16/2021,01 20 22 60 66 03,2.0
12/09/2020,02 28 31 44 52 18,2.0
10/17/2020,37 43 44 45 53 25,3.0
10/17/2020,01 09 22 36 68 22,2.0
11/28/2020,14 19 39 47 51 15,3.0
01/16/2021,05 13 28 38 63 21,2.0
10/17/2020,06 17 24 53 57 03,3.0
11/11/2020,11 20 41 42 56 06,2.0
10/03/2020,04 08 30 52 59 02,0.4446480467322998
07/29/2020,17 54 56 63 69 20,5.0
08/28/2019,09 32 37 41 56 14,10.0
10/07/2020,05 12 20 21 47 01,2.0
11/11/2020,12 21 22 29 32 21,6.6492082896526
03/24/2021,03 20 48 54 59 04,3.0
01/16/2021,16 25 36 44 55 14,2.0
12/12/2020,35 41 44 58 59 03,3.0
11/11/2020,08 32 47 53 59 03,3.0
10/03/2020,03 06 45 66 68 13,2.0
11/25/2020,14 37 47 55 67 06,2.0
11/28/2020,01 19 31 48 61 06,2.0
01/16/2021,01 20 22 60 66 03,2.0
10/07/2020,05 26 36 64 69 19,3.0
09/30/2020,19 43 47 60 68 10,2.0
04/03/2021,10 21 26 41 49 25,3.0
11/14/2020,07 09 26 44 68 03,3.0
10/03/2020,04 08 23 46 65 01,2.0
12/19/2020,09 12 15 31 60 02,3.0
10/17/2020,13 17 24 59 62 08,2.0
12/26/2020,05 21 36 61 62 18,3.0
10/17/2020,03 06 11 14 66 21,0.4578316234064089
10/17/2020,04 18 21 26 38 01,5.741019582184057
10/07/2020,08 11 14 16 49 14,5.432301835862033
10/07/2020,05 35 38 42 57 13,0.3877860231252861
10/10/2020,09 13 42 48 60 18,2.0
12/19/2020,17 23 28 34 38 08,6.513288560340827
12/09/2020,06 13 38 39 53 06,2.0
10/24/2020,03 32 34 42 61 07,2.0
09/30/2020,01 02 39 43 66 02,3.0
10/07/2020,07 10 20 44 57 03,0.2807056985574058
08/22/2020,18 31 36 43 47 20,4.0
08/22/2020,02 06 40 42 55 24,2.0
12/09/2020,06 08 09 37 40 26,2.0
09/26/2020,01 45 53 64 66 03,0.2749834676092637
08/28/2019,10 31 41 63 67 05,2.0
11/25/2020,05 23 28 56 66 17,5.0
09/30/2020,02 29 41 45 62 06,3.0
09/30/2020,06 32 35 36 65 04,5.0
10/10/2020,03 27 30 63 65 01,3.0
09/23/2020,07 15 18 32 45 20,3.0
11/25/2020,04 17 26 32 49 10,2.0
11/28/2020,12 21 23 39 67 06,4.0
09/26/2020,15 33 43 59 60 08,3.0
09/26/2020,16 19 25 32 49 18,2.0
12/09/2020,21 52 54 64 68 04,3.0
07/29/2020,03 04 06 48 53 10,3.0
09/23/2020,18 20 27 45 65 06,3.0
10/21/2020,10 14 50 53 63 21,2.0
02/15/2020,11 21 27 36 62 24,2.0
03/17/2021,13 23 47 55 58 23,3.0
12/19/2020,14 19 61 62 64 04,3.0
08/28/2019,05 37 40 64 66 05,2.0
10/10/2020,01 19 25 27 68 21,2.0
07/04/2020,10 17 31 51 53 01,5.0
11/25/2020,04 06 14 20 32 13,2.0
03/03/2021,11 31 50 52 58 18,2.0
11/20/2019,02 06 40 42 55 24,4.0
10/28/2020,02 08 14 24 69 26,2.0
06/06/2020,21 37 52 53 58 05,3.0
11/14/2020,05 13 28 38 63 21,5.0
03/03/2021,21 25 32 63 67 06,5.0
10/17/2020,02 12 16 29 54 06,2.0
10/17/2020,11 28 37 40 53 13,4.0
01/04/2020,23 32 33 45 49 14,3.0
10/28/2020,05 08 41 65 66 20,3.0
02/15/2020,28 35 38 61 66 23,2.0
08/22/2020,02 06 40 42 55 24,2.0
11/28/2020,06 19 37 49 59 22,3.0
02/15/2020,02 04 07 43 56 22,2.0
12/12/2020,08 12 42 46 56 12,2.0
03/27/2021,16 25 36 44 55 14,2.0
08/22/2020,10 33 41 52 54 18,2.0
12/12/2020,02 57 58 60 65 26,3.0
10/03/2020,15 29 31 37 43 16,6.526696695515123
10/28/2020,08 38 43 52 55 17,6.046506945364658
10/07/2020,04 09 21 29 64 26,0.3857965168041054
03/27/2021,11 14 23 47 57 14,2.0
12/09/2020,09 11 36 37 38 11,5.0
09/26/2020,10 11 47 55 58 26,6.156320325611312
08/28/2019,19 30 36 42 66 14,2.0
03/03/2021,25 37 39 61 62 11,2.0
11/28/2020,07 14 23 38 55 18,0.4926217301411365
08/28/2019,05 23 28 56 66 17,2.0
10/21/2020,07 15 18 32 45 20,5.0
11/28/2020,05 29 34 53 57 24,2.0
11/07/2018,08 12 18 44 51 18,2.0
11/03/2018,09 32 37 41 56 14,0.4783470738822385
10/24/2020,07 25 39 40 47 20,3.0
10/27/2018,11 14 31 47 48 04,3.0
10/21/2020,03 21 45 53 56 22,2.0
10/28/2020,16 54 57 62 69 23,2.0
10/03/2020,03 57 64 68 69 15,3.0
12/09/2020,11 14 32 43 65 15,3.0
10/03/2020,08 23 27 42 60 07,3.0
10/07/2020,01 22 27 53 67 15,3.0
10/21/2020,41 53 59 63 66 03,0.2754736880532302
09/29/2018,19 30 36 42 66 14,2.0
09/30/2020,01 02 07 30 50 08,5.0
10/10/2020,24 61 63 64 69 18,5.0
09/19/2018,06 10 31 37 44 23,3.0
10/21/2020,02 18 19 24 34 03,3.0
11/28/2020,06 28 48 63 64 24,2.0
09/30/2020,03 13 20 32 33 21,0.4312258357079628
09/05/2018,34 38 42 61 62 19,2.0
11/11/2020,11 54 55 61 66 09,3.0
11/25/2020,25 41 53 57 67 12,0.3257513373755907
10/21/2020,20 25 54 57 63 08,2.0
10/03/2020,01 07 45 47 69 13,2.0
08/18/2018,05 18 23 40 50 18,3.0
08/15/2018,19 30 36 42 66 14,5.270751109746123
08/11/2018,19 30 36 42 66 14,2.0
10/17/2020,10 21 30 43 63 17,2.0
08/04/2018,17 54 56 63 69 20,4.0
10/10/2020,05 22 32 38 58 26,2.0
07/28/2018,27 32 34 43 52 13,2.0
07/25/2018,07 29 35 40 45 26,2.0
09/30/2020,09 23 56 58 68 01,2.0
12/12/2020,01 10 27 28 36 12,0.4649248305605319
09/26/2020,22 41 42 49 67 11,3.0
10/17/2020,19 21 27 46 47 07,4.0
07/07/2018,14 18 36 49 67 18,5.849921677183108
07/04/2018,14 18 36 49 67 18,2.0
10/17/2020,03 09 20 42 61 24,2.0
10/10/2020,07 28 37 62 63 15,5.967473326154163
06/23/2018,18 31 36 43 47 20,2.0
06/20/2018,01 03 13 44 56 26,2.0
10/24/2020,09 45 57 58 65 09,2.0
10/07/2020,13 20 38 45 55 01,0.2748537331312471
06/09/2018,34 38 42 61 62 19,3.0
11/14/2020,23 28 41 53 56 14,3.0
06/02/2018,06 24 30 53 56 19,0.3057301337975516
10/10/2020,17 23 26 46 68 20,2.0
05/26/2018,18 31 36 43 47 20,2.0
11/25/2020,20 54 56 61 64 07,4.0
09/26/2020,03 06 09 17 56 25,3.0
10/28/2020,17 19 21 22 51 19,0.2741212983808035
05/12/2018,06 24 30 53 56 19,3.0
05/09/2018,01 20 22 60 66 03,2.0
0h5/05/2018,11 28 37 40 53 13,4.0
05/02/2018,02 06 40 42 55 24,2.0
04/28/2018,20 22 28 45 500 8,5.0
04/25/2081,17 18 39 5 664 12,6.40584713865183
04/21/2018,40 50 54 62 69 19,0.3869221453035207
04/18z/2018,90 10 12 17 23 09,2.0
04/14/2018,17 19 26 61 6m2 15,0.3424752434408094
04/11/2018,16 18 27 55 67 18,0.3877264915257901
04/07/2018,02 17 20 38 39 20,0.4444020353033101
04/04/2018,08 24 42 54 64 24,4.0
03/31/2018,08j 24 52 55 61 21,3.0
03/28/2018,06 08 26 52 53 21,2.0
03/24/2018,10 33 45 53 56 24,3.0
03/21/2018,03 04 18 29 61 25,2.0
03/17/2018,22 57 59 60 66 07,2.0
03/14/2018,06 12 24 41 68 09,3.0
03/10/2018,43 44 54 61 69 22,3.0
03/07/2018,06 13 19 36 51 18,2.0
03/03/2018,13 17 25 36 40 05,0.2607012901663205
02/28/2018,12 30 59 65 69 16,5.0
02/24/2018,24 25 38 62 63 06,2.0
02/21/2018,07 15 31 34 36 08,3.0
02/17/2018,13 26 39 44 62 02,3.0
02/14/2018,37 39 44 46 69 26,2.0
02/10/2018,01 13 27 41 59 20,5.924629005552541
02/07/2018,23 34 35 40 47 10,2.0
02/03/2081,15 23 27 48 53 06,2.0
01/31/2018,04 07 14 46 59 22,6.563841967996303
0/27/2018,17 21 26 47 54 07,6.322211494784267
01/24/2018,05 09 11 33 64 21,3.0
01/20/2018,26 28 47 49 58 03,4.0
01/17/2018,03 33 37 51 57 21,2.0
01/13/2018,142 5 35 58 69 24,6.189416343391535
01/10/2018,07 24 33 49 50 04,0.3197834584942218
01/06/2018,12 61 30 29 33 26,3.0
i01/03/2018,02 18 37 39 42 12,3.0
12/30/201y7,28 36 41 51 58 24,2.0
12/27/2017,03 09 16 56 60 03,3.0
12/23/2017,01 3 13 15 44 25,2.0
12/20/2017,01 20 61 64 69 20,2.0
12/16/2017,09 35 37 50 63 11,5.877196484585273
12/13/2017,02 24 28 51 58 07,3.0
12/09/2017,25 36 37 55 60 06,5.0
12/06f/2017,19 0 50 55 62 09,2.0
12/02/2017,28 30 32 365 8 06,6.201501515473726
11/29/2017,24 26 28 59 63 16,3.0
11/25/2017,08 13 27 53 54 04,0.3817796845266397
11/22/2017,35 37 46 51 61 13,2.0
11/18/2017,17 28 31 32 39 26,3.0
11/15/2017,23 32 44 48 50 25,2.0
11/11/2017,04 06 16 30 56 1j8,2.0
11/08/207,12 14 20 21 34 22,6.232108896655332
11/04/2017,12 14 26 48 51 13,3.0
11/01/2c017,03 06 19 26 44 01,0.3891039841582939
10/28/2017,27 35 38 57 66 10,0.4865160783237919
10/25/2017,18 22 29 54 57 08,3.0
10/21/2017,14 41 42 45 69 04,2.0
10/18/2017,30 49 54 66 69 08,2.0
10/14/207,32 37 56 66 69 11,3.0
1y0/11/2017,01 03 13 19 69 23,2.0
10/07/2017,10 49 61 63 65 07,2.0
10/04/2017,22 23 62 63 66 24,2.0
09/30/2017,08 12 25 41 64 15,3.0
09/27/2017,08 10 21 23 25 22,3.0
09/23/2017,24 45 55 56 57 19,2.0
09/20/2017,39 48 53 67 68 26,3.0
09/16/2017,17 18 24 25 31 24,2.0
09/13/2017,17 24 35 57 63 19,3.0
09/09/2017,06 20 29 57 59 22,2.0
09/06/2017,08 14 32 58 67 17,3.0
09/02/2017,06 21 41 52 62y 26,2.0
08/30/207,91 28 43 67 69 07,5.907960752003785
08/26/2017,07 15 32 38 66 15,2.0
08/23/2017,06 07 16 23 26 04,4.0
08/19/2017,17 19 39 43 68 13,4.0
08/16/2017,09 15 43 60 64 04,5.61249521570051
08/12/2017,20 24 26 35 49 19,6.206787199243873
08/09/2017,12 30 36 47 62 09,0.2678976615976031
08/05/0217,11 21 28 33 45 11,2.0
08/m02/2017,01 16 54 63 69 18,3.0
y07/29/2017,01 28 40 45 48 12,2.0
07/62/2017,07 19 21 42 69 12,2.0
07/22/2017,05 32 44 53 60 09,3.0
07/19/2017,50 51 59 61 63 04,5.0
07/15/2107,09 40 63 64 66 17,2.0
07/12/2017,01 02 18 23 61 09,2.0
0/708/2017,08 10 29 40 59 26,2.0
07/05/2017,04 09 16 54 68 21,2.0
07/01/2017,19 42 45 48 53 16,3.0
06/28/2017,29 37 46 53 68 08,2.0
06/24/2017,10 22 32 36 58 10,4.0
6/21/2017,14 46 61 65 68 13,2.0
06/172/017,10 13 32 53 62 21,2.0
06/14/2017,05 22 43 57 63 24,2.0
06/07/2017,05 21 57 66 69 13,3.0
06/03/2017,03 09 21 41 54 25,4.0
05/31/2017,04 33 39 46 60 06,2.0
05/27/2017,05 10 28 55 67 09,6.357436804572432
05/24/2017,28 32 33 38 6x2 15,2.0
05/20/2017,05 22 45 47 54 03,2.0
05/17/2017,04 11 39 45 48 90,3.0
05/13/2017,17 20 32 63 68 19,5.0
05/10/2017,29 31 46 56 62 08,2.0
05/06/2017,11 21 31 41 59 21,0.494344009078489
05/03/2017,17 18 49 59 66 09,2.0
04/29/0217,22 23 24 45 62 05,6.396970618054925
04/26/2017,01 15 18 26 51 26,4.0
04/22/201v7,21 39 41 48 63 06,3.0
04/19/2017,01 19 37 40 52 15,3.0
04/15/2017,05 22 26 45 61 13,0.4714024123504998
04/12/2017,08 14 61 63 68 24,2.0
4/08/2017,23 36 51 53 60 15,2.0
04/05/2017,08 20 46 53 5 413,6.636403335474252
04/01/2017,09 32 36 4z4 65 01,3.0
03/29/2017,08 15 31 36 62 11,3.0
03/25/2017,18 31 32 45 48 16,0.3852132539453028
03/22/2017,02 09 27 29 42 09,2.0
03/18/0217,13 25 44 54 67 05,3.0
03/15/207,16 30 41 48 53 16,3.0
03/11/2017,01 26 41 50 57 11,4.810544919388165
03/08/2017,23 33 42 46 59 04,4.983993850513253
03/04/2017,02 18 19 22 63 19,3.0
03/01/2017,10 16 40 52 55 17,10.0
02/25/2017,06 32 47 62 65 19,2.0
02/22/2017,1 013 28 52 61 02,0.2500810924207771
02/18/2017,03 7 09 31 33 20,3.0
02/15/2017,05 28 33 38 42 19,2.0
02/11/2017,05 09 17 37 64 02,0.3018315563077602
02/08/2017,14 20 42 49 66 05,2.0
02/04/20y17,06 13 16 17 52 25,6.090471180132987
02/01/2017,09 43 57 60 64 10,2.0
01/28/2017,12 20 39 49 69 17,2.0
0s1/25/2017,18 28 62 66 68 22,2.0
01/21/2017,23 25 45 52 67 02,2.0
01/18/2017,09 40 41 53 58 12,2.0
01/14/2017,23 55 59 64 69 13,5.0
01/11/2017,01 03 13 16 43 24,2.0
01/07/2017,3 12 24 37 63 10,2.0
01/04/2017,16 17 29 41 42 04,3.0
12/31/2016,01 03 28 57 67 09,2.0
12/28/2016,16 23 3 044 58 04,0.3994877495854864
12/24/2016,28 38 42 51 52 21,2.0
12/21/2016,25 33 40 54 68 03,5.0
12/17/2016,01 08 16 40 48 10,5.651716723506645
12/14/2016,18 26 37 39 66 15,3.0
12/10/2016,12 21 32 44 66 15***,2.0
12/07/2016,41 48 49 53 64 20,2.0
12/03/2016,08 10 26 27 33 22,2.0
11/30/2016,03 14 18 25 45 70,2.0
11/26/2016,17 19 21 37 44 16,2.0
11/23/2016,7 32 41 47 61 03,2.0
11/19/2016,16 24 28 43 1 21,6.002492447165023
11/16/2016,28 41 61 63 65 07,2.0
11/12/2016,0y8 17 20 27 52 24,2.0
11/09/2016,01 25 28 31 54 02,2.0
11/05/2016,21 31 50 51 69 08,3.0
11/02/2016,13 18 37 54 61 05,0.2881596549899502
10/29/2016,19 20 21 42 48 23,5.522476037632668
102/6/2016,02 03 16 48 56 24,2.0
10/22/2016,01 28 33 55 56 22,2.0
10/19/2016,10 16 38 43 63 23,0.3758059719751146
10/15/2016,23 49 57 64 67 20,4.985244396820801
10/12/2016,16 30 34 37 44 16,2.0
0/08/2016,03 54 61 64 68 09,2.0
10/05/2016,08 18 27 29 60 15,2.0
10/01/2016,02 12 5 61 64 01,2.0
09/28/2016,30 38 52 53 62 01,3.0
09/24/2016,07 15 20 29 41 22,2.0
09/21/2016,01 28 63 67 o69 17,4.0
09/17/2016,09 19 51 55 62 14,4.0
09/14/2016,10 11 23 28 31 14,2.0
09/10/2016,03 17 49 55 68 08,2.0
09/07/2016,22 23 29 33 5z5 21,2.0
09/03/2016,07 39 50 59 67 25,3.0
08/31/2016,05 10 24 56 61 12,2.0
08/27/2016,04 32 48 49 63 20,5.678329135079288
08/24/2016,09 11 25 64 65 16,3.0
08/20/2016,03 06 12 60 68 24,2.0
08/17/2016,33 44 49 50 52 08,3.0
08/13/2016,384 4 60 64 69 06,5.19492902024427
08/10/2016,23 56 61 64 67 12,5.0
08/06/2016,20 33 36 47 52 12,0.4289067520357476
08/03/2016,09 11 27 66 67 02,3.0
07/30/2016,11 17 21 23 32 05,2.0
07/27/2016,10 47 506 5 68 24,2.0
07/23/2016,05 07 23 35 39 11,0.328215878067626
07/20/2016,06 25 35 58 66b 05,0.4004793500971224
07/16/016,11 17 40 50 62 26,2.0
07/13/2016,03 15 29 54 57 10,3.0
07/09/2016,10 28 32 61 64 12,3.0
07/06/2016,02 24 31 57 66 18,3.0
07/02/2016,10 34 39 59 63 04,2.0
06/29/2016,23 29 37 60 64 06,0.4603948908070016
06/25/2016,03 27 36 56 69 25,2.0
06/22/2016,14 40 42 43 52 17,3.0
06/18/2016,02 23 41 53 63 11,2.0
06/15/2016,04 2 24 31 33 10,2.0
06/11/2016,20 27 36 41 58 07,2.0
06/08/2016,12 25 37 60 69 20,3.0
06/04/2016,16 20 22 43 64 17,2.0
06/01/2016,23 30 33 40 69 12,5.0
05/28/2016,06 33 34 58 59 12,2.0
05/25/2016,11 24 41 59 64 15,3.0
05/21/2016,05 07 09 23 32 26,0.2691184207082486
05/18/2061,23 25 39 54 67 11,3.0
05/14/2016,13 27 47 64 65 09,3.0
05/112016,20 32 52 66 69 23,3.0
05/07/2016,05 25 26 44 66 09,2.0
05/04/2016,30 47 57 66 69 03,4.507338854100553
04/30/2016,03 12 16 32 34 14,3.0
04/27/2016,02 25 33 39 64 17***,2.0
04/23/2016,19 35 46 59 62 13,5.0
04/20/2016,12 25 30 52 62 08,0.4674809872198423
c04/16/2016,03 18 25 32 51 03,2.0
04/13/2016,30 33 35 38 64 22,5.243287414846623
04/09/2016,14 22 23 41 61 09,0.2586126995924663
04/06/2016,04 28 49 60 65 25,6.125471090948359
04/02/2016,09 28 30 40 61 03,2.0
03/30/2016,24 44 53 55 63 19,2.0
03/26/2016,11h 23 42 52 68 06,3.0
03/23/2016,05 08 15 22 49 25,3.0
03/19/2016,11 23 43 54 60 03,0.3585671395965699
03/16/2016,10 1 213 46 50 21,3.0
03/12/2016,11 28 50 57 62 23,5.441041846319124
03/09/2016,14 23 32 34 68 03,3.0
0/05/2016,03 27 34 59 69 19,2.0
03/02/2016,12 1 44 52 62 06,2.0
02/27/2016,10 11 21 22 53 18,3.0
0224/2016,21 31 64 65 67 05,3.0
02/20/2016,11 12 15 16 54 25,5.0
02/17/2016,07 17 2 29 40 25,2.0
02/13/2016,07 15 18 19 36 20,2.0
02/10/2016,02 03 40 50 62 05,2.0
02/06/2016,04 13 31 36 52 08,3.0
02/03/2016,26 28 31 60 67 23,3.0
01/30/2016,05 12 16 31 43 18,4.0
01/2p7/2016,03 12 40 52 67 21,2.0
0123/2016,22 32 34 40 69 19,4.0
01/20/2016,05 39 44 47 69 24,5.0
01/16/2016,03 51 52 61 64 06,0.3600610353612865
01/13/2016,04 08 19 27 34 10,2.0
01/09/2016,16 19 32 34 57 13,3.0
01/06/2016,02 11 47 62 63 17,3.0
01/02/2016,05 06 15 29 42 10,2.0
12/3/02015,12 36 38 54 61 22,4.897424694828652
12/26/2015,27 40 44 59 65 20,2.0
12/23/2015,16 38 55 63 67 25,4.0
12/19/2015,28 30 41 59 68 10,2.0
12/16/2015,09 10 32 42 55 06,2.0
12/12/2015,02 14 19 30 62 22,2.0
12/09/2015,07 10 16 46 56 01,2.0
12/05/2015,13 27 33 47 68 13,2.0
12/02/2015,14 18 19 32 64 09,2.0
11/28/215,02 06 47 66 67 02,3.0
11/25/2015,16 29 53 58 69 21,2.0
11/21/2015,37 47 50 52 57 21,3.0
11/18/2015,17 40 41 46 69 06,2.0
11/14/2015,14 22 37 45 66 05,3.0
11/11/2015,04 26 32 55 64 18,3.0
11/07/2015,07 16 25 50 53 15,2.0
11/04/2015***,02 12 17 20 65 17,4.0
10/31/2015,09 20 25 47 68 07,2.0
10/28/2015,04 54 56 62 63 10,2.0
10/24/2015,20 31 56 60 64 02,3.0
10/21/2015,30 32 42 56 57 11,4.0
10/17/2015,48 49 57 62 69 19,3.0
10/14/2015,15 20 29 31 40 01,2.0
10/10/2015,12 27 29 43 68 01,2.0
10/07/2015,18 30 40 48 52 09,3.0
10/03/2015,06 26 33 44 46 04,2.0
09/0/2015,21 39 40 55 59 17,3.0
09/26/2015,23 31 42 50 57 05,0.3998464010285575
09/23/2015,08 29 41 51 58 05,2.0
09/19/2015,12 17 26 b43 48 24,5.985051695325595
09/16/2015,05 07 24 31 39 07,3.0
09/12/2015,02 03 13 16 35 27,3.0
09/09/2015,44 45 47 50 51 08,2.0
09/05/2015,10 16 18 29 45 19,0.3498144740674345
