X,Y,PermitNumber,EffectiveDate,ExpirationDate,PermitStatus,RecordType,PlantClass,ResponsibleParty,FacilityName,PermitDescription,StreetAddress,City,State,ZIP,Longitude,Latitude,PermitType,PermitSubtype,PermitCategory,ObjectId
-85.86375576,38.10536734,O-1541,2017/04/06 00:00:00+00,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,SMOOTH FINISH AUTO COLLISION,SMOOTH FINISH AUTO COLLISION,Auto repair body shop,5402 VALLEY STATION RD 100 ,LOUISVILLE,KY,40272,-85.86375576,38.10536734,Industrial,Operating,Permit,17
-85.70087797,38.17767873,O-1542,2006/03/31 00:00:00+00,2001/01/01 00:00:00+00,Closed,Industrial Operating Permit,FEDOOP with STAR,Closed,1542 IQL CORPORATION,"Metal Parts coating and conveyor assembly; Plant #2.  Company relocated, no activities at this location that needs a permit. See License 36523 for new source plant ID 1806",3319 GILMORE INDUSTRIAL BLVD  ,LOUISVILLE,KY,40213,-85.70087797,38.17767873,Industrial,Operating,Permit,18
-85.55476044,38.20989131,O-1544,2019/01/11 00:00:00+00,,Open,Industrial Operating Permit,Registered Source,VERIZON WIRELESS,Verizon Wireless,Emergency generator,2441 HOLLOWAY RD  ,JEFFERSONTOWN,KY,40299,-85.55476044,38.20989131,Industrial,Operating,Permit,19
-85.72094277,38.25683717,O-1545,2014/07/07 00:00:00+00,,Open,Industrial Operating Permit,Registered Source,"EXCEL SERVICE COMPANY, INC.",Excel Shop,"Plantwide process description:  Excel Shop Furniture Restoration is a furniture restore and repair facility    Process equipment description:  Furniture stripping room, finishing room, woodworking equipment",1617 MELLWOOD AVE  ,LOUISVILLE,KY,40206,-85.72094277,38.25683717,Industrial,Operating,Permit,20
-85.75559454,38.19603872,O-1547,2016/04/19 00:00:00+00,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,CLARK ELECTRIC COMPANY,CLARK ELECTRIC COMPANY,"Repair for electric motors, generators, and pumps
Bag Collector System for Cut-Off Saw shavings Shop-made Parts Washer with secondary recirculating reservoir. Pyrolysis furnace, make Pollution Control Products, model PR52 (maximum heat input is 300,000 BTU per hour). Custom-built varnish dip tank (for the insulating of motor windings) with exhaust fan, Steelman curing oven (400,000 BTU/hr max. heat input), and aerosol spray painting operation for the coating of electric motors.",4157 PARK BLVD  ,LOUISVILLE,KY,40209,-85.75559454,38.19603872,Industrial,Operating,Permit,21
-85.53928935,38.2069506,O-1548,2021/07/22 00:00:00+00,,Open,Industrial Operating Permit,Registered Source,AIR HYDRO POWER,AIR HYDRO POWER,Commercial hydraulic cylinder repair,2550 BLANKENBAKER PKY  ,JEFFERSONTOWN,KY,40299,-85.53928935,38.2069506,Industrial,Operating,Permit,22
-85.66061998,38.16078115,O-1552,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,VALVOLINE INSTANT OIL CHANGE,auto oil change facility,,6110 SHEPHERDSVILLE RD  ,LOUISVILLE,KY,40228,-85.66061998,38.16078115,Industrial,Operating,Permit,23
-85.88776535,38.1719453,O-1553,2022/07/18 00:00:00+00,2027/07/31 00:00:00+00,Open,Industrial Operating Permit,FEDOOP with STAR,Republic Conduit Manufacturing,Republic Conduit,8.4 MM BTU boiler - IA Flow Coat Operation - IA,7301 LOGISTICS DR  ,LOUISVILLE,KY,40258,-85.88776535,38.1719453,Industrial,Operating,Permit,24
-85.69093016,38.18812468,O-1554,,,Closed,Industrial Operating Permit,Minor Source,Closed,1554 CAPCO INC.,"Company closed, Richard field verified on 8/4/2011",4614 BITTERSWEET RD  ,LOUISVILLE,KY,40218,-85.69093016,38.18812468,Industrial,Operating,Permit,25
-85.6797248,38.1788172,O-1555,,,Open,Industrial Operating Permit,Registered Source,FAURECIA CLEAN MOBILITY,Faurecia,,4415 E INDIAN TRL  ,WATTERSON PARK,KY,40213,-85.6797248,38.1788172,Industrial,Operating,Permit,26
-85.51972343,38.29588943,O-1556,2018/08/02 00:00:00+00,,Open,Industrial Operating Permit,Registered Source,BLUEGRASS PACKAGING INDUSTRIES,BLUEGRASS PACKAGING INDUSTRIES,Label printing and packaging,3651 COLLINS LN  ,LOUISVILLE,KY,40245,-85.51972343,38.29588943,Industrial,Operating,Permit,27
-85.80937172,38.22002173,O-1557,2015/11/18 00:00:00+00,,Open,Industrial Operating Permit,Minor Source,NORTHWOOD INDUSTRIAL MACHINERY,NORTHWOOD INDUSTRIAL MACHINERY,Manufactures heavy-duty CNC machinery,3100 COMMERCE CENTER PL  ,LOUISVILLE,KY,40211,-85.80937172,38.22002173,Industrial,Operating,Permit,28
-85.50606317,38.25452923,O-1558,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,RIVER CITY FOUNDATIONS,RIVER CITY FOUNDATIONS,"concrete contractor, waste oil furnace",13120 AIKEN RD  ,MIDDLETOWN,KY,40223,-85.50606317,38.25452923,Industrial,Operating,Permit,29
-85.75564624,38.22506471,O-1559,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,PARADISE TOMATO KITCHENS,food processing plant,,1500 S BROOK ST  ,LOUISVILLE,KY,40208,-85.75564624,38.22506471,Industrial,Operating,Permit,30
-85.49602063,38.26046452,O-1561,2006/08/31 00:00:00+00,,Closed,Industrial Operating Permit,Minor Source,Closed,"1561 NATURAL PRODUCTS, LLC","Company closed, Richard Heil field verified 9/14/11",13905 AIKEN RD  ,LOUISVILLE,KY,40245,-85.49602063,38.26046452,Industrial,Operating,Permit,31
-85.68297978,38.09622708,O-1562,2020/05/18 00:00:00+00,2025/05/31 00:00:00+00,Closed,Industrial Operating Permit,FEDOOP Exempt from STAR,CORAL GRAPHIC SERVICES OF KY,Coral Graphic,"410-07-O: Komori, model LS840P, 8-color litho press; Komori, model LS 440P 4-color litho press; Eff. 8/31/2006, Ex. 8/31/2011 411-07-O: Steinman UV coater, model GLM102; Eff. 12/31/2007, Ex. 8/31/2011 412-07-O: Paper scrap collection system with cyclone and baler; Eff. 12/31/2007, Ex. 8/31/2011 413-07-O: Komori, model LS840P, 8-color litho press; Eff. 2/28/2007, Ex. 8/31/2011    Plantwide process description:  Coral Graphics Services, Inc. is a printing facility    Plantwide equipment description:  (6) Lithographic printer, (4) UV printer, binding operation, (2) plate developer, scrapping system, embossing machine, foil stamping machine, screen manufacturing",4700 COMMERCE CROSSINGS DR  ,LOUISVILLE,KY,40229,-85.68297978,38.09622708,Industrial,Operating,Permit,32
-85.77153122,38.24453906,O-1563,2008/10/31 00:00:00+00,,Closed,Industrial Operating Permit,Minor Source,STRATHMORE PRESS,Commercial printing and business forms,DM#35404,816 S 11TH ST  ,LOUISVILLE,KY,40210,-85.77153122,38.24453906,Industrial,Operating,Permit,33
-85.77525691,38.2407631,O-1564,2019/11/22 00:00:00+00,,Open,Industrial Operating Permit,Minor Source,Mt. Carmel Stabilization Group - Louisville LH,Mt. Carmel Stabliization,,1310 W KENTUCKY ST  ,LOUISVILLE,KY,40210,-85.77525691,38.2407631,Industrial,Operating,Permit,34
-85.55831807,38.2141434,O-1566,2016/07/27 00:00:00+00,,Closed,Industrial Operating Permit,Registered Source,"Quantumgraphix, LLC","Quantumgraphix, LLC","Professional Printing Services; business closed as of 8/4/2020 and the building was sold in February 2021.",2130 WATTERSON TRL  ,JEFFERSONTOWN,KY,40299,-85.55831807,38.2141434,Industrial,Operating,Permit,35
-85.75341607,38.25372702,O-1567,2014/03/18 00:00:00+00,,Open,Industrial Operating Permit,Registered Source,MPI PRINTING,MPI Printing,commercial printer,137 W JEFFERSON ST  ,LOUISVILLE,KY,40202,-85.75341607,38.25372702,Industrial,Operating,Permit,36
-85.88344127,38.13176219,O-1568,2021/12/22 00:00:00+00,2026/12/31 00:00:00+00,Open,Industrial Operating Permit,FEDOOP with STAR,"NHK Spring Precision of America, Inc.",NHK Spring Precision,"45-08-O eff. 2/29/08 rxp. 5/31/12    One (1) Heritage Crystal Clean Parts Washer, rated at 45 gallons with no secondary reservoir.   173-07-O eff. 5/31/07 exp. 5/31/12    One (1) Anti Corrosion Coating Operation and one (1) Paint/Ink Marking Process for coating miscellaneous metal parts, which   are done in three (3) inspection machines.   172-07-O eff. 5/31/07 exp. 5/31/12    Two (2) Shot Peening Machines with internal baghouses.   169-07-O eff. 5/31/07 exp. 5/31/12    Two (2) Baghouses (OS-4 and OS-6).   170-07-O eff. 5/31/07 exp. 5/31/12    One (1) Shot Blaster (Dry Honing) controlled by Baghouse.   168-07-O eff. 5/31/07 exp. 5/31/12    One (1) Edge Grinder (A-4), make Daisho Seiki Co., model GMV4-915, capacity 479.5 lb springs per hour; and one (1)   Chamfering Machine (A-5), make custom, model custom, capacity 467.51 lb springs per hour.   171-07-O eff. 5/31/07 exp. 5/31/12    One (1) Baghouse for controlling One (1) Shot Blaster (Dry Honing).",10600 FREEPORT DR  ,LOUISVILLE,KY,40258,-85.88344127,38.13176219,Industrial,Operating,Permit,37
-85.88749794,38.16365091,O-1569,2014/12/16 00:00:00+00,,Open,Industrial Operating Permit,Minor Source,"GENENTECH, INC",Genetech,"Plantwide process description:  Genetech, Inc. is a warehouse and distribution facility    Plantwide equipment description:  (1) Emergency generator, (1) diesel storage tank",7100 RIVERPORT DR  ,LOUISVILLE,KY,40258,-85.88749794,38.16365091,Industrial,Operating,Permit,38
-85.73866082,38.14117686,O-1570,2007/02/28 00:00:00+00,2012/02/28 00:00:00+00,Open,Industrial Operating Permit,Exempt,LIQUID RECOVERY INC,LIQUID RECOVERY INC,"Solvent Recycling: Permit #  112-07-O, Effective 02/28/07, Expires 02/28/2012, One mobile solvent recovery unit with a rated capacity of 110 gallons per hour. One 241 HP Caterpillar model 3208 Diesel-fired generator.
Company exempted because it's a mobile source, any emissions would be from location the mobile equipment is being operated and to a lesser extent, company does not do business in Jefferson County.",7404 GRADE LN  ,LOUISVILLE,KY,40219,-85.73866082,38.14117686,Industrial,Operating,Permit,39
-85.51275136,38.26417244,O-1571,2016/10/12 00:00:00+00,,Open,Industrial Operating Permit,Registered Source,Lee Brick & Block,Lee Brick & Block,Cement construction materials distributor,12906 OLD HENRY RD  ,LOUISVILLE,KY,40223,-85.51275136,38.26417244,Industrial,Operating,Permit,40
-85.58804413,38.19968325,O-1572,2015/02/25 00:00:00+00,,Closed,Industrial Operating Permit,Registered Source,"SAM SWOPE AUTO GROUP, LLC",Automobile dealers,,9125 GALENE DR A ,JEFFERSONTOWN,KY,40299,-85.58804413,38.19968325,Industrial,Operating,Permit,41
,,O-1573,,,Closed,Industrial Operating Permit,Minor Source,Closed,1573 ACTIVATED SYSTEMS,"Company has not paid for permit renewals.  This company needs to be inspected periodically to determine if they are operating without a permit.  Company closed, Richard field verified 1/14/2011.",581 INDUSTRY RD  ,LOUISVILLE,KY,40208,1203349,265540,Industrial,Operating,Permit,42
-85.56558283,38.21907665,O-1574,2014/01/10 00:00:00+00,,Closed,Industrial Operating Permit,Registered Source,SOLID LIGHT,Wood Working,Source moved to ID O-1964,312 PRODUCTION CT  ,JEFFERSONTOWN,KY,40299,-85.56558283,38.21907665,Industrial,Operating,Permit,43
-85.73098047,38.12960808,O-1575,2017/03/03 00:00:00+00,,Open,Industrial Operating Permit,Minor Source,UPS SUPPLY CHAIN SOLUTIONS,Package delivery service maintenance center,"These three source need to be combined into one minor source permit under ID 1575    Plant ID 1781 @ 1840 Outer Loop has one construction permit, 33672-11-C; Emergency Generator    Plant ID 1597 @ 1860 Outer Loop has one operating permit, 469-08-O; Emergency Generator    Plant ID 1575 @ 1920 Outer Loop has three construction permits, 188-06-C &amp; 434-05-C &amp; 33654-11-C; Emergency Generators    Plantwide process description:  UPS Supply Chain Solutions is a warehouse and distribution facility    Plantwide equipment description:  (5) Emergency generator, (1) emergency fire pump, (5) diesel storage tank",1920 OUTER LOOP  ,LOUISVILLE,KY,40219,-85.73098047,38.12960808,Industrial,Operating,Permit,44
-85.62870945,38.21969521,O-1577,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,VALVOLINE INSTANT OIL CHANGE,Oil change facility,,3920 TAYLORSVILLE RD  ,LOUISVILLE,KY,40220,-85.62870945,38.21969521,Industrial,Operating,Permit,45
-85.56354345,38.22539475,O-1578,2017/02/23 00:00:00+00,,Closed,Industrial Operating Permit,Registered Source,APPRISS INC.,Emergency generator.,"One (1) Nixon Power Services diesel-powered emergency generator, model 400REOZV, rated at 400 kW, equipped with a Volvo Penta engine, model D40012.1A65, rated at 602 bhp    Plantwide process description:  Appriss is a tech company specializing in software programming    Plantwide equipment description:  (1) Emergency generator, (1) diesel storage tank",10401 LINN STATION RD  ,JEFFERSONTOWN,KY,40223,-85.56354345,38.22539475,Industrial,Operating,Permit,46
-85.73418657,38.24517213,O-1580,,,Closed,Industrial Operating Permit,Minor Source,Closed,1580 J&M LABORATORIES,"Company Closed, see inspection #29211",658 BARRET AVE  ,LOUISVILLE,KY,40204,-85.73418657,38.24517213,Industrial,Operating,Permit,47
-85.80062589,38.25276708,O-1582,2019/05/20 00:00:00+00,2024/05/31 00:00:00+00,Open,Industrial Operating Permit,FEDOOP Exempt from STAR,PRINT FULFILLMENT SERVICES,Lithographic printers,,2929 MAGAZINE ST  ,LOUISVILLE,KY,40211,-85.80062589,38.25276708,Industrial,Operating,Permit,48
-85.77572273,38.23243581,O-1584,2020/09/15 00:00:00+00,,Open,Industrial Operating Permit,Registered Source,BYK USA Inc. Louisville Facility,BYK USA Inc. Louisville Facility,Manufacturer Specialty Additives,1335 S 13TH ST  ,LOUISVILLE,KY,40210,-85.77572273,38.23243581,Industrial,Operating,Permit,49
-85.74265375,38.24570509,O-1585,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,PERRY'S PAINT SHOP,PERRY'S PAINT SHOP,Automobile refinishing paint shop,614 E GRAY ST  ,LOUISVILLE,KY,40202,-85.74265375,38.24570509,Industrial,Operating,Permit,50
-85.7308904,38.14555153,O-1586,,,Closed,Industrial Operating Permit,Minor Source,Closed,1586 SANG CORPORATION,"Company closed, field verified by Richard Heil see Inspection ID 29769",4574 MELTON AVE  ,LOUISVILLE,KY,40213,-85.7308904,38.14555153,Industrial,Operating,Permit,51
-85.73114505,38.25753821,O-1587,,2999/01/01 00:00:00+00,Closed,Industrial Operating Permit,Exempt,T.E.A. INCORPORATED,Conveyor system manufacturer,"Closed; field verified 01/11/18",1047 FRANKLIN ST  ,LOUISVILLE,KY,40206,-85.73114505,38.25753821,Industrial,Operating,Permit,52
-85.55099613,38.3237198,O-1588,2007/06/30 00:00:00+00,,Open,Industrial Operating Permit,Minor Source,Metropolitan Sewer District,Hite Creek Sewerage pumping plant,Emergency generators,5500 HITT RD  ,LOUISVILLE,KY,40241,-85.55099613,38.3237198,Industrial,Operating,Permit,53
-85.6999616,38.15800859,O-1589,,,Closed,Industrial Operating Permit,Minor Source,Closed,1589 ARC CONCRETE,Company closed    Building concrete distribution service.,1122 ULRICH AVE  ,LOUISVILLE,KY,40219,-85.6999616,38.15800859,Industrial,Operating,Permit,54
-85.56683635,38.26673538,O-1590,2017/02/17 00:00:00+00,,Open,Industrial Operating Permit,Registered Source,UNITED PARCEL SERVICE,UNITED PARCEL SERVICE,"A/P# 29493: 470-08-O; EFF 6/30/2007; EXP 6/30/2012 EMER GEN    Plantwide process description:  United Parcel Services, Inc. is an office building for management personnel    Plantwide equipment description:  (1) Emergency generator, (1) diesel storage tank",1400 N HURSTBOURNE PKY  ,LYNDON,KY,40223,-85.56683635,38.26673538,Industrial,Operating,Permit,55
-85.63887978,38.1881974,O-1591,2015/01/27 00:00:00+00,,Open,Industrial Operating Permit,Registered Source,M.A.J. CLEANERS,M.A.J. CLEANERS,Dry cleaner,4223 BARDSTOWN RD  ,LOUISVILLE,KY,40218,-85.63887978,38.1881974,Industrial,Operating,Permit,56
-85.5591201,38.20330661,O-1592,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,PET ANGEL WORLD SERVICES LLC,PET ANGEL WORLD SERVICES LLC,pet crematory,2815 WATTERSON TRL  ,JEFFERSONTOWN,KY,40299,-85.5591201,38.20330661,Industrial,Operating,Permit,57
-85.57076771,38.28681574,O-1593,2016/12/20 00:00:00+00,,Closed,Industrial Operating Permit,Registered Source,PLAZA CLEANERS,Dry cleaners,"One (1) Dry Cleaning Machine, make Union, model HL-840 Serial #612-E5-0438-B, with a rated capacity of 40 lbs/batch, equipped with condenser and using DF-2000 as cleaning agent.      Plantwide process description:  Plaza Cleaners is a dry cleaning facility      Plantwide equipment description:  (1) Dry-to-dry machine, 40-lb, non-perc",2813 N HURSTBOURNE PKY 101 ,LOUISVILLE,KY,40223,-85.57076771,38.28681574,Industrial,Operating,Permit,58
-85.70036876,38.19004181,O-1594,2019/07/15 00:00:00+00,,Open,Industrial Operating Permit,Registered Source,EPIC COATINGS AND BLAST,EPIC Coatings,,1419 SELINDA AVE  ,LOUISVILLE,KY,40213,-85.70036876,38.19004181,Industrial,Operating,Permit,59
-85.70710258,38.27476962,O-1598,,,Closed,Industrial Operating Permit,Minor Source,Closed,1598 NB MANUFACTURING,The company is no longer at the location on file and is closed.,2604 RIVER GREEN CIR  ,LOUISVILLE,KY,40206,-85.70710258,38.27476962,Industrial,Operating,Permit,60
-85.57659805,38.22698187,O-1600,2016/07/19 00:00:00+00,,Open,Industrial Operating Permit,Registered Source,Plainview Cleaners,Plainview Cleaners,"One (1) dry cleaning machine, make Union, model HL-860 serial # 607-D6-0772-D, with a rated capacity of 60 lbs/batch, equipped with a condenser and using DF-2000 as cleaning agent.    Plantwide process description:  Plainview Cleaners is a dry cleaning facility    Plantwide equipment description:  (1) Dry-to-dry machine, 60-lb, non-perc",1261 S HURSTBOURNE PKY  ,JEFFERSONTOWN,KY,40222,-85.57659805,38.22698187,Industrial,Operating,Permit,61
-85.75930633,38.25489456,O-1601,2016/11/07 00:00:00+00,,Open,Industrial Operating Permit,Registered Source,LOUISVILLE METRO GOV. (LOUISVILL METRO FLEET SVCS),LOUISVILLE METRO GOV. (LOUISVILL METRO FLEET SVCS),"Government emergency control center:
One (1) Caterpillar diesel-powered emergency generator and one (1) 660-gallon above-ground diesel fuel storage tank. Generator Model 3412CDITA is rated at 800 KW. Engine is Caterpillar Model 3412C TA, V-12, 4-stroke cycle watercooled diesel rated at 1210 bhp.",517 COURT PL  ,LOUISVILLE,KY,40202,-85.75930633,38.25489456,Industrial,Operating,Permit,62
-85.70738359,38.22538359,O-1602,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,REECE SERVICE STATION,Reece Service station,Service station,1632 NORRIS PL  ,LOUISVILLE,KY,40205,-85.70738359,38.22538359,Industrial,Operating,Permit,63
-85.51017477,38.26169164,O-1603,,2999/01/01 00:00:00+00,Closed,Industrial Operating Permit,FEDOOP with STAR,Closed,1603 PEARCE READY MIX CONC AVOCA RD,"Concrete plant, need a field verification company is closed.",12401 AVOCA RD  ,LOUISVILLE,KY,40223,-85.51017477,38.26169164,Industrial,Operating,Permit,64
-85.5303209,38.24770672,O-1604,,,Closed,Industrial Operating Permit,Minor Source,Closed,1604 BOB MORRIS AUTOMOTIVE,Automobile body shop.  Richard Heil field verified on 10/28/11 that this company was closed.,12104 SHELBYVILLE RD  ,MIDDLETOWN,KY,40243,-85.5303209,38.24770672,Industrial,Operating,Permit,65
-85.73247032,38.19966766,O-1605,2016/04/26 00:00:00+00,,Open,Industrial Operating Permit,Registered Source,"GLASER ENTERPRISES, INC",Glaser's Collision Center,"Automobile body shop: E1, One Blowtherm spray booth, model # 65585-A, and a paint safe spray gun cleaner; E2, One Blowtherm sanding /preparation station, model#65585-B",3331 PRESTON HWY  ,LOUISVILLE,KY,40213,-85.73247032,38.19966766,Industrial,Operating,Permit,66
-85.56291372,38.20983615,O-1606,2015/01/12 00:00:00+00,,Open,Industrial Operating Permit,Registered Source,"UNIPAK, LLC","UNIPAK, LLC","Package Detergents: One Dust collector by American Air Filter, Model ARRESTALL AR-35 O, One product packaging system consisting of a Supersack unloader, a screen conveyor, packaging and pouch filler/sealer and one baghouse to package detergents.",2501 PLANTSIDE DR  ,JEFFERSONTOWN,KY,40299,-85.56291372,38.20983615,Industrial,Operating,Permit,67
-85.69933585,38.16203911,O-1607,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,GIPE AUTOCOLOR,GIPE AUTOCOLOR,Only tests paints to sell to body shops,6113 PRESTON HWY  ,LOUISVILLE,KY,40219,-85.69933585,38.16203911,Industrial,Operating,Permit,68
-85.7629248,38.14974392,O-1608,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,BENEKE WIRE COMPANY,Wire stretcher,,5540 NATIONAL TPKE  ,LOUISVILLE,KY,40214,-85.7629248,38.14974392,Industrial,Operating,Permit,69
-85.50654354,38.27109593,O-1609,2011/11/01 00:00:00+00,,Closed,Industrial Operating Permit,Minor Source,THOROUGHBRED DRY CLEANERS,Dry cleaners,"Closed; field verified 01/06/15",1981 NELSON MILLER PKY  ,LOUISVILLE,KY,40223,-85.50654354,38.27109593,Industrial,Operating,Permit,70
-85.80407891,38.20690072,O-1610,2019/01/08 00:00:00+00,2024/01/31 00:00:00+00,Open,Industrial Operating Permit,FEDOOP with STAR,FerValue - Louisville Bakery,FerValue,"Plantwide process description:  The Keebler Company is a baked goods manufacturing facility    Plantwide equipment description:  (7) Ovens, (1) grinder, (1) invert process, (1) boiler, (3) condenser, (2) storage silos, railcar unloading, hoppers, mixers",2287 RALPH AVE  ,SHIVELY,KY,40216,-85.80407891,38.20690072,Industrial,Operating,Permit,71
-85.64182627,38.18879313,O-1611,2008/01/31 00:00:00+00,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,MEINEKE CAR CARE CENTER,MEINEKE CAR CARE CENTER,Waste oil furnace,4170 BARDSTOWN RD  ,LOUISVILLE,KY,40218,-85.64182627,38.18879313,Industrial,Operating,Permit,72
-85.78043578,38.2176823,O-1613,2007/02/28 00:00:00+00,,Closed,Industrial Operating Permit,Minor Source,"CHILE'S AUTO BODY, LLC",Body Shop,Company closed in June 2013.,2252 7TH STREET RD  ,LOUISVILLE,KY,40208,-85.78043578,38.2176823,Industrial,Operating,Permit,73
-85.59203737,38.28087587,O-1614,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,VALVOLINE INSTANT OIL CHANGE,Oil change facility,,8701 WESTPORT RD  ,PLANTATION,KY,40242,-85.59203737,38.28087587,Industrial,Operating,Permit,74
