characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,Female,"All other, non-Hispanic",Father only,2012,4%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2013,4.1%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2206,4%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2002,4%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2003,4.1%,0.2%
Total,Female,"All other, non-Hispanic",No parent,1096,4.3%,0.2%
Total,Female,"All other, non-Hispanic",No parent,1296,4.5%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2006,4.6%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2007,3.5%,0.2%
Total,Female,"All other, non-Hispanic",No parent,1182,3.8%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2972,4%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2010,4.1%,0.2%
Total,Female,"All other, non-Hispanic",No parent,1732,3.9%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2012,3.6%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2013,3.7%,0.2%
Total - Male,Male,"All other, non-Hispanic",Two parents,2001,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,2002,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,2438,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,2004,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,1865,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,2006,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,2007,70.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two parents,2766,70.2%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two parents,2009,69.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two parents,2010,69.4%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two parents,2011,68.8%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two parents,2012,68.4%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two parents,2013,68.5%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2428,69.2%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,1497,68.6%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2003,68.3%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2004,67.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2005,67.5%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2651,67.6%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,1598,68%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2008,67.1%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2009,66.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2716,65.8%,0.7%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2011,64.7%,0.7%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2012,64.3%,0.7%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2321,64.3%,0.7%
Total - Male,Male,"All other, non-Hispanic",Mother only,2001,21.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2002,22.2%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2003,22.8%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2004,22.7%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2005,23%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2006,22.7%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2469,22.2%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2663,22.1%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2009,22.5%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2010,22.7%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2011,23.5%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2012,23.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2013,23.4%,0.6%
Total - Male,Male,"All other, non-Hispanic",Father only,2001,4.8%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2002,5.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2003,4.9%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,1325,5%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2005,5%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,1962,5%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2007,3.5%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2008,3.9%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,1537,3.7%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2010,3.8%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2011,3.8%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2378,4.3%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2013,4.2%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2001,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2002,4%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2003,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,1118,4.3%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2606,4.5%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2006,4.7%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2007,3.4%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2008,3.7%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2855,3.9%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,1033,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2011,3.9%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2012,3.4%,0.2%
Total - Male,Male,"All other, non-Hispanic",No parent,2013,3.9%,0.3%
Total - Female,Female,"All other, non-Hispanic",Two parents,2001,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",Two parents,2002,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",Two parents,2003,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",Two parents,2004,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",Two parents,2005,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",Two parents,1842,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",Two parents,1935,70.6%,0.6%
Total - Female,Female,"All other, non-Hispanic",Two parents,2008,69.5%,0.6%
Total - Female,Female,"All other, non-Hispanic",Two parents,1040,69.7%,0.6%
Total - Female,Female,"All other, non-Hispanic",Two parents,2010,69.3%,0.6%
Total - Female,Female,"All other, non-Hispanic",Two parents,2011,68.5%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two parents,2012,67.8%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two parents,2013,68.5%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2001,69.1%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2002,68.7%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2003,68.5%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2004,67.6%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2005,67.2%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2006,67.2%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2007,67.6%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2008,66.3%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2009,66.6%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2034,65.7%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2011,64.9%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,1145,63.9%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2013,64.6%,0.7%
Total - Female,Female,"All other, non-Hispanic",Mother only,2001,22.9%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2002,23.3%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2003,23.2%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2004,23.9%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2005,23.9%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2006,23.9%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,1170,23%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,1391,23.5%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2052,23.1%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2010,23.6%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2011,24.1%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2012,24.8%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2013,24.1%,0.6%
Total - Female,Female,"All other, non-Hispanic",Father only,3022,3.8%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,1322,4%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2003,4.2%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2481,4.3%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2005,4.5%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2006,4.4%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2880,3%,0.2%
Total - Female,Female,"All other, non-Hispanic",Father only,2008,3.1%,0.2%
Total - Female,Female,"All other, non-Hispanic",Father only,2075,3.1%,0.2%
Total - Female,Female,"All other, non-Hispanic",Father only,2010,3.1%,0.2%
Total - Female,Female,"All other, non-Hispanic",Father only,2011,3.3%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2012,3.6%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2013,3.9%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2001,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2002,3.9%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2003,4.2%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2004,4.2%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2005,4.5%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2006,4.5%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2007,3.5%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2008,3.9%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2009,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2010,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2011,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2012,3.8%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,1818,3.5%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2001,77.8%,0.7%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,1335,77%,0.7%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2003,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2004,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2580,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2006,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,1783,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2008,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2009,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,1780,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2011,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2815,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2013,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2001,15.3%,0.6%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2002,15.7%,0.6%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2003,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2004,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2005,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2006,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2007,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2008,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2009,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2010,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2011,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2685,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2930,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2001,4.7%,0.4%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2002,4.9%,0.4%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2217,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2004,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2005,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2006,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2007,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2816,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2009,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2010,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2011,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2012,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2013,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,1683,2.2%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2002,2.5%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2003,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2004,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2005,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2006,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2007,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2008,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2009,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2010,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2011,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,1622,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2013,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2001,77.3%,0.8%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2002,76.8%,0.8%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2003,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2004,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2005,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,1913,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,1804,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2008,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2325,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2010,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2011,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2012,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2013,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2001,16.4%,0.7%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2002,16.6%,0.7%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2003,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2004,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2005,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2006,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2007,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2008,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2009,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2010,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2011,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2012,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2013,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2539,3.9%,0.4%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,1490,3.8%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2212,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2004,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,1955,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2006,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,1076,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2008,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,1491,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2010,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2517,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2975,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2458,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2001,2.4%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2690,2.9%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2003,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2004,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2005,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,1792,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,1670,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2008,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2009,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,1088,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2011,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2012,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2013,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2006,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,3026,78.5%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,1754,78%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2009,78.1%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2010,77.5%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2011,77.2%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,1841,76.4%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2013,77.3%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2002,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2099,77.2%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2004,76.7%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2005,75.7%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2006,75.8%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2703,76.2%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2008,75.7%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2009,75.7%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2819,75%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2011,74.6%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2012,73.5%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2621,74.2%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2002,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2003,15.7%,0.6%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2004,15.6%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2005,16.1%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,1479,15.6%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2007,15.2%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2008,15.1%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2009,15.2%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2010,15.3%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2464,15.5%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2956,16.2%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2013,15.1%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2001,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2002,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2003,4.6%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2904,4.7%,0.4%
