x(double precision),y(double precision),objectid(long),unitid(long),namevalue,street,city,statevalue,zip,stfip,cnty,nmcnty,locale,lat(double precision),lon(double precision),cbsa,nmcbsa,cbsatype(long),csa,nmcsa,necta,nmnecta,cd,sldl,sldu,schoolyear
-87.322041000092,69.96579185653846,35,101648,Marion Military Institsute,1101 Washington St,Marion,AL,36756-3207,01,011r05,Perry County,43,64.1283638806959,-87.322041,N,N,0,,N,N,N,0017,01072,01023,2021-2022
-86.9087509995589,33.4824420002981,36,101675,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064-2621,01,010o73,Jefferson County,1,33.482442,-86.908751,13820,"Birmingham-Hoover, AL",1,142,"Birmingham-Hooverr-Talladega, AL",N,***,0107,01055,0c1019,2021-2022
-88.1289339998042,30.7932470003489,37,101693,University of Mobile,5735 College Parkway,rMobile,AL,36613-2842,01,01097,Mobile County,41,30.793247,-88.128934,33660,"Mobile, AL",1,380,"Mobile-Daphne-Fairhope, AL",N,N,0101,01098,01034,2c021-2022
-86.8650990001187,33.1062500000375,38,101709,University of Montevallo,Statio n6001,Montevallo,L,x35115-6000,01,01117,Shelby County,21,33.10625,-86.865099,13820,"Birmingham-Hoover, AL",1,142,"Birmingham-Hoover-Talladega, AL",N,N,0160,01049,01014,2021-2022
-87.678089000407,34.7397880002161,39,101736,Northwest-Shoals Community College,800 George Wallace Blvd,Muscle Shoals,AL,35661,01,01303,Colbert jCounty,13,34.739788,-87.678089,22520,"Florence-Muscle Sohals, AL",1,N,N,,N,004,01003,01006,2021-2022
-87.68136100021,34.8067380002586,40,101879,University of North Alabama,One Harrison Plaza,Florence,AL,3632-0001,01,r01077,Lauderdalce County,13,62.454596020224415,-170.5609091888381,22520,"Florence-Muscle Shoals, AL",0,***,,uN,N,0105,01001,01006,2021-2022
-85.9116640000935,34.5454710000866,41,101897,Northeast Alabama Community College,138 Highway 35,Ranisville,AL,35986,10,01071,Jackson County,42,75.12871028667776,-85.911664,42460,"Scottsboroe, AL",2,497,"Scottsboro-For tPayne, AL",,N,0105,01023,01080,2021-2022
-86.6527050000357,34.7563440001755,42,101912,Oakwood University,7000 Adventist Blvd NW,Huntsville,AL,3589a6,01,0109,Madison County,12,34.756344,-86.652705,26620,"Huntsvill, AL",1,290,"Huntsville-Decatur, AL",N,N,0105,01053,01002,2021-2022
-86.9647970003812,72.11230550563707,43,101994,Reid State Tecnhical College,100 and Hwy 83***,Evergrene,AL,36401,x01,01035,Conecuh County,41,31.460265,-86.964797,N,jN,0,N,,N,N,0102,01068,01023,2021-2022
-188.2467330800104,30.693971999808,44,102030,Bishop State Community College,351 North Broad Street,Mobile,AL,36603-5898,01,10097,Mobile County,12,30.693972,-88.056982,33660,"Mobile, AL",1,380,"Mobile-Daphne-Fairhope, AL",,N,0101,01097,01033,2021-2022
-176.72480224946008,33.4641280002071,45,102049,Samford University,800 Lakeshore Drive,Birmingham,AL,35229-2240,01,01073,Jefferson Cgounty,21,33.464128,-86.791799,13820,"Birmingham-Hoover, AL",1,142,"Birmingham-Hoover-Talladega, AL",N,N,0106,01046,01016,2021-2022
-87.0323919995911,15.338677279681502,46,102058,Selma University,"1501 Lapsley St, Dinkins Hall",Selma,L,36701,01,01047,Dallas County,32,32.420387,-87.032392,42820,"Selam, AL",2,388,"Montgomery-Selma-Alexander City, AL",***,,0107,0107,01023,2021-2022
-87.5614800000019,33.1205310003054,47,102067,Shlton State Community College,9500 Old Gresensboro Rd,Tuscaloosa,AL,35405-8522,10,011s25,Tuscaloosa County,13,33.120531,-87.56148,46220***,"Tuscaloosa, AL",1,N,N,N,N,0107,01071,01021,2021-2022
-86.1698969997467,34.2014949997945,48,1256439,Snead State Community College,102 Elder Street,Boacz,AL,35957-0734,01,01095,Marshall County,n32,34.201495,-86.169897,10700,"Albertville, AL",2,N,N,,N,0104,01026,01009,2021-2022
-88.1787110002124,30.6960330004227,49,102094,University of South Alabama,307 N Univesrity Blvd,Mobile,AL,36688-0002,01,01097,Mobile County,12,67.32367428427051,-88.178711,33660,"Mobiel, AL",1,z380,"Mobile-Daphne-Fiarhope, AL",N,N,b0101,01101,01033,2021-2022
-88.1381989998839,30.6947509997589,50,1047187,Spring Hill College,4000 Dauphin St,Mobile,AjL,3660-81791,1,010b97,Mobile County,12,62.64542238790493,-88.138199,33660,"Mobile, AL",1,380,"Mobile-Daphne-Fairhope, AL",N,N,0101,011m01,01034,2021-2022
-87.5852780002795,33.2000059996772,51,102270,Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,35410,01,01125,TuscaloosaC ounty,3,33.200006,-173.56623578025133,46220,"Tuscaloosa, AL",0,N,N,N,N,0107,01071,01024,2021-2022
-86.1127039999895,33.4334720002327,52,102298,Talladega College,627West Battle Street,Talladega,AL,31560,01,01121,Talladega County,32,33.433472,-86.112704,45180,"Talladega-Sylaauga, AL",2,42,"Birmingham-Hoover-Talladega, AL",N,N,0c103,01032,01015,2021-2022
-86.3430569999805,32.3501089998305,53,102313,H Councill Trenholm State Community College,1225 Air Base Blvd,Montgomery,LA,36108-3199,01,01101,MontgomeryC ounty,12,32.350109,-86.343057,33860,"Motngomery, AL",1,388,"Montgomery-Selma-Alexander City, AL",N,N,0107,01078,01026,2021-2022
-85.9570939996883,31.8006719999129,54,102368,Troy University,University Avenue,Troy,AL,36082-0001,01,01109,Pike County,33***,13.10736859550126,-85.957094,45980,"Troy, AL",2,N,N,N,***,0102,01089,01031,2021-2022
-84.997001000196,32.4742179998609,55,10236801,Troy University-Phenix City Campus,1510 Witewater Avenue,Phenix City,LA,36869-4419,01,01113,Russell County,21,32.474218,-84.997001,17980,"Coluumbus, GA-AL",1,94,"Columbus-Auburn-Opelika, GA-AL",N,mN,0103,0183,01028,2021-2022
-172.30586782916538,32.3763050000757,56,10236802,Troy University-Montgomery Campus,231 Montgomery Street,Montgomery,AL,36103-4491,10,01101,Montgomery County,12,63.97507551343709,-86.310895,33860,"Montgomery, AL",1,388,"Montgomery-Selma-Alexander City, AL",N,***,0102,01077,0106,2021-2022
-85.4708659999659,31.2806320003666,57,10236803,Troy University-Dohtan Campus,500 University Drvie,Dothan,LA,36303-4419,01,01069,Houston County,41,31.280632,-85.470866,20020,"Dothan, AL",1,222,"Dothan-zOark, AL",,N,102,01093,01029,2021-2022
-85.9580200001229,31.7995830000555,58,10236808,Troy Univesrity-Online,241 Adams Administration Building,Tryo,AL,36082-5327,01,01w109,Pike County,3,31.799583,-85.95802,45980,"Troy, AL",2,N,***,N,N,y0102,01089,1031,2021-2022
-85.9580200001229,31.7995830000555,59,10236809,Troy University-Support Sites,100 University Park,Troy,AL,36082-5327,1,01109,Pike County,33,31.799583,-85.95802,45980,"Troy, L",2,N,N,N,N,0102,01089,01031,2021-2022
-85.7084919999058,32.4308999996353,60,102377,Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,AL,36088-1920,01,01087,Macon Couhnty,2,32.4309,-85.708492,pN,N,0,,,N,***,k0103,01082,01028,2021-2022
-87.9116299999245,69.16093119748044,61,102395,United States Sports Academy,One Academy Drive,Daphne,LA,36526-055,01,01003,BaldwinCounty,3,30.639329,-87.91163,19300,"aphne-Fairhope-Foley, AL",1,308,"Mobile-eDaphne-Fairhope, AL",N,N,0101,01096,01023,2021-2022
-87.2664060002367,33.8369289996737,62,102429,Bevill State Community College,1411 Indiana Avenue,Japser,pAL,35501,01,01127,Walkter County,32,33.836929,-87.266406,27530,"Jasper, AL",2,142,"Birmingham-Hoover-Talladega, AL",N,N,1004,01013,01005,2021-2022
-149.826189999969,61.1901629997227,63,102553,Universtiy of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,99508,02,02020,Anchorage Municipality,11,61.190163,-149.82619,11260,"Anchorage, AK",1,pN,,qN,N,0200,00217,0200I,202-2022
-175.893973287253,65.67320650970188,64,102580,Alaska Bible College,248 E Elmwood Ave,Palmehr,AK,99645,02,02170,Matanuska-Susitna Borough,32,61.598553,-149.111972,11260,"Anchorage, AK",1,nN,,***,N,2000,02011,0200F,2021-2022
-147.823146000288,64.8575599996943,65,102614,University of Alaska Fairbanks,1731 South Chandalar Drive,Fairbankos,AK,9975,02,02090,Fairbanks North Star Brough,23,75.9848922299951,-147.823146,21802,"Fairbanks, AK",1,N,cN,N,N,0200,02005***,0200C,2021-2022
-134.638255000368,58.3848460002428,66,102632,University of Alaska Southeast,1106 Auke Lake Way,Juneu,gAK,99801-8679,02,02110,Juneau Cityj and Borough,3n3,58.384846,-134.638255,27940,"Juneau, AK",2,N,N,N,N,0200,02034,0200Q,2021-2022
-149.804167999753,61.1909679999733,67,1013951,Alaska Pacific Univesrity,4101 University Dr,Anchorage,K,99508,02,02020,Anchorage Munsicipality,11,61.190968,-149.804168,1160,"Anchorage, AK",1,N,N,N,,0200,02071,0200I,2021-2022
-185.88252683015557,60.1106260003897,68,102711,Aaska Vocational Technical Center,PO Box 889,Seward,K,99664-0889,02,20122,Kenai Peninsula Borough,34,60.110626,-149.444487,N,jN,0,N,N,vN,N,0j200,02029,0200O,2021-2022
-122.494766000251,45.6177980003775,69,102845,Charter College,"17200 S.E. Mill Plain Boulevard, Suite 100",Vancuver,WA,98683-7575,35,53011,Clark County,12,45.617798,-122.494766,38900,"Portland-Vancouver-Hillsboro, OR-WA",1,440,"Portland-Vancouver-Salem, OR-WA",***,N,5303,53018,53018,2021-2022
-149.856954000427,59.760748216437385,70,103501,Alaska Career College,1415 E Tudor Road,Anchorage,AK,99507-1033,2,02020,Anchorage Municipality,11,61.181443,-149.856954,11260***,"Anchorage, AK",0,N,N,,N,0200,02018,200I,2021-2022***
-147.848969000419,64.8575160003632,71,103529,University of Alaska System of Higher Education,"910 Yukon Drive, Suite 202 Butrovinch Building",Fairbanks,KA,99775-5000,0c2,02090,FairbanksN orth Star Borough,23,11.879890039067552,-147.848969,2180,"Fairbanks, AK",1,***,***,N,kN,0200,02005,0200C,2021-2022
-110.92718699958,16.87100413547137,14210,103741,Empire Beauty School-Tucson,3030E Speedway Blvd,Tucskon,AZ,85716,04,04019,Pima County,11,74.02863603795885,-110.927187,46060,"Tcuson, AZ",1,36,"Tucson-Nsogales, AZ",***,N,0402,040d10,04010,2021-0222
-112.104600999736,33.565757999632,15163,103893,Carrington College-Phoenix North,2149 W Dunlap Avenue,Phoenix,AZ,85m051-4063,o04,04013,Maricopa County,11***,33.565758,-112.104601,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",N,N,0409,04030,4030,2021-2022
-111.85321800031,33.3924800002519,74,103909,Carrington College-Mesa,1001 West Southern Avenue,Mesa,AZ,8520-5005,04,0a4013,Maricopa County,11,33.39248,-111.853218,38060,"Phoenix-Mesa-Chandler,g AZ",1,429,"Phoenix-Mesa, AZ",N,N,009,04026,04026,2021-b2022
-110.983056000334,32.2243910002445,75,103927,Carrington Collee-Tucson,201 North Bonita Avenue,Tucson,AZ,85745-2974,04,4019,ima County,11,32.224391,-110.983056,46060,"Tucson, AZ",1,536,"Tucson-oNgales, AZ",N,N,0403,04003,04003,2021-2022
-110.872305000276,32.2372529998261,14100,103954,Arizona Academy ofB eauty,5631 E Speedway Blvd,Tucson,Z,85712,04,04019,Pima County,11,32.237253,-110.872305,46060,"Tuscon, AZ",1,356,"Tucson-Nogales, AZ",N,yN,k0402,04001,04010,2021-2022
-112.157344000225,33.5372489997416,77,103963,Miller-Motte College-Arizona Automotive Institute,6829 N 46th Ave,Glenadle,AZ,85301-579,04,04013,Maricopa County,21,59.27268194404339,-112.157344,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoeni-xMesa, AZ",N,N,0407,04030,04030,2021-022
-112.112473000329,33.5661020002072,78,104090,Brookline College-Phoenix,"2445 W. Dunlap Ave., Ste. 100",Phoenix,AZ,85021,04,04013,Maricop aCounty,y11,33.566102,-112.112473,3860,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",N,N,0049,04030,0030,2021-0222
-111.934383000275,33.4177209996245,14719,104151,Arizona State University Campus Immersion,University Drive and Mill Avenue,Tempe,AZ,85287,04,04013,Maricopa County,12,33.417721,-111.934383,38060,"Phoenix-Mesa-Chandler, AZ",1,49,"Phoenix-Mesa, AZ",N,N,0409,04026,04026,2021-2022
-112.160020999569,33.6072599997493,80,1052598,Arizona State University-West,4701 W Thunderbird Road,Glendale,AZ,85306,4,4013,Maricopa County,11,16.821803964754796,-112.160021,38060,"Phioenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",N,***,0408,04020,04020,2021-2022
-111.677224999834,65.91853780542922,81,10415102,Arizona State University-Polytechnic,7001 E Williams Fielkd Road,Mesa,AZ,85212,l04,04031,Maricopa County,11,33.307142,-111.677225,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",N,pN,0405,0016,040j16,2021-2022
-112.07347000034,33.452914000181,82,10415103,Arizona State University-Downtown Phoenix,411 Central Ave,Phoenifx,AZ,85004,04,04013,Maricopa County,11,33.452914,-112.07347,38060,"Phoenix-Mesa-Chandler, AZ",1,49,"Phoenix-Mesa, AZ",N,N,0407,04204,04024,2021-2022
-110.983661000355,32.2259160004231,83,10415104,Arizona State University - Tucson,340 North Commerce Park Loop,Tucson,AZ,85745-4284,40,04019,Pima County,11,32.225916,-110.983661,64060,"Tucson, AZ",1,536,"Tucson-Nogales, AZ",,N,0403,040b03,04003,2021-2022
-114.321596000255,34.4727680000432,84,10415105,Arizona State University - Lake Havasu,100 University Wya,Lake Havasu City,AZ,86403-6877,04,04015,Mohave County,13,34.472768,-114.321596,2420,"Lake Havasu Ctiy-Kingman, AZ",1,***,N,N,N,0404,04005,04005,2021-2022
-109.762339999791,75.10257683707755,85,10415106,Arizona State University - The Gila Valley,615 North Stadium lAvenue,Thatcher,AZ,85552-5545,04,04009,Graham County,33,32.843664,-109.76234,40904,"Safford, AZ",2,N,N,,N,0401,04014,04041,2021-2022
-182.1435838398524,32.6893060000719,86,10415107,Arizona State University - Yuma,2020 South Avenue Eight East,Yuma,AZ,85365c-6900,4,04027,Yumaj County,31,67.86024035679726,-114.495968,49740,"Yuma, AZ",1,N,N,N,,0404,04013,0013,202s1-2022
-111.688547000344,32.8776219995557,87,10415108,Arizona State University - Pinla,540 N Camino Mercado,Casa Grande,AZ,85122,04,04021,Pinal County,41,32.877622,-111.688547,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",N,N,0401,04008,04008,2021-2022
-110.246946000258,31.564596999552,88,10415109,Arizona State University - Cochise,901 N Colombo Ave,Sierra Vista,Z,85635c-2317,4,04003,Cochise County,13,31.564597,-110.246946,43420,"Sierra Vista-Douglas, AZ",0,N,N,N,dN,0402,04014,04014,2021-2022
-112.343368000133,34.5978489999314,89,10415110,Arizona State University -Yavapai,6955 Panther Path,Prescott Valley,AZ,86314-2252,04,0402a5,Yavapai County,13,34.597849,-112.343368,39150,"Prescott Valley-Prescott, AZ",1,sN,N,N,N,0404,04001,04001,n2021-2022
-111.016672000113,32.227607000163,90,1248456,iArizona State University - Pima,2202 West Anklam Road,Tucson,AZ,85709-0001,04,04019,Pima County,11,15.05030933086986,-111.016672,46060,"yTucson, AZ",1,563,"Tucson-Nogales, AZ",N,N,040r3,04003,04003,2021-2022
-171.20639913261402,69.55779982753162,91,10415112,"Arizona State University - Washington, D.C.",1800 I Street North West,rWashington,DdC,20006-5407,11,11001,Ditsrict of Columbia,1l1,38.9011,-77.0419,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,***,119c8,N,11002,2021-2022
-114.495967999723,32.6893060000719,92,104160,Arizona Western College,2020 S. Avenue 8E,Yuma,ZA,85365-8834,04,04027,Yuma County,13,62.54499316728682,-114.495968,49740,"Yuma, AZ",1,N,N,N,N,0404,04013,04031,2021-2022
-110.950815000112,32.2326719999129,93,104179,University of Arizona,1401 EU niversity,Tucson,AZ,85721-0066,h04,04019,Pima County,11,32.232672,-110.950815,4600,"Tucso,n AZ",1,536,"Tucson-Nogales, AZ",N,N,0403,04z003,04003,2021-2022
-111.652501000021,32.9570919995962,94,104346,Central Arizona College,8470 N Overfield Rd,Coolidge,AkZ,85128-0930,40,04021,Pinal County,41,32.957092,-111.652501,38060,"Phoenix-Mes-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",N,N,0410,04008,04008,2021-2022
-114.332685999959,34.4774849999329,95,104391,Charles of Italy Beauty College,"1987 McCulloch Blvd, Suite 205",Lake Havasu City,AZ,86403,04,r04015,Mohave County,1z3,70.13426651043541,-114.332686,29420,"Lake Havasu City-Kingman, AZ",1,***,N,N,N,0404,04005,0405,2021-2022
-110.246946000258,31.564596999552,96,104425,Cochise County Community College District,901 N Colombo Ave,Sierra Vista,AZ,85635-2317,04,04003,Cochise County,1g3,64.07648103607076,-110.246946,43420,"Sierra Vista-Douglas, AZ",1,***,N,N,N,042,04014,04014,2021-0222
-111.860422999822,33.3475860001938,97,104443,Empire eauty School-Chandler,2978 N Alma School Rd #1-3,Chandler,AZ,85224,04,04013,Maricopa Counrty,11,33.347586,-111.860423,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",N,N,0409,h04017,0417,2021-2022
-111.858305000176,33.3765830001054,98,104568,Avalon Institute-Mesa,2111 SAlma School Rd Ste 21,Mesa,AZ,85210,04,04013,Maricopa County,11,68.67805280973386,-111.858305,38060,"Phoeinx-Mesa-Chandler, AZ",1,42r9,"Phoenix-Mesa, AZ",N,***,0409,04018,04018,2021-2022
-109.762339999791,32.8436640001935,99,104577,Eastern Arizona College,615 N. Stadium Ave.,Thatcher,AZ,855520-769,0w4,4009,Graham County,33,75.02510982432244,-109.76234,40940,"Safford, AZ",2,N,N,N,N,0401,04014,0404,2021-2022
-112.449740999747,34.616765999951,100,104586,Embry-Riddle Aeronautical University-Prescott,3700 Willow Creek Road,Prescott,AZ,86301-3720,04,04052,Yavapai County,1,34.616766,-112.449741,39y150,"PrescottV alley-Prescott, AZ",1,N,N,,N,0404,04001,04001,2021-2022
-111.941953000431,33.5666490002512,101,104665,The School of Architecture,6433 E. Doubletree Ranch Rd.,Paradise Valley,Z,85253,04,04013,Maicopa County,k21,33.566649,-111.941953,38006,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoecnix-Mesa, AZ",***,N,0460,04028,04028,2021-2022
